dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
BJ,Beijing,1,谁啊?我是老三。,谁呀?我是老三,,ʂei a uo ʂʅ lau san,ʂei35 a2 uo214 ʂʅ51 lau21421 san55,ʂeiauoʂɻ̩lausan,ʂei35a2uo214ʂɻ̩51lau21421san55
BJ,Beijing,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正跟一朋友说着话儿呢,,lau sɿ nə tˈa tʂəŋ kən i pˈəŋ iou ʂuo tʂə xuar nə,lau21421 sɿ51 nə1 tˈa55 tʂəŋ51 kən55 i35 pˈəŋ35 iou3 ʂuo55 tʂə2 xuar51 nə1,lausɹ̩nətʰatʂəŋkənipʰəŋiouʂuotʂəxuarnə,lau21421sɹ̩51nə1tʰa55tʂəŋ51kən55i35pʰəŋ35iou3ʂuo55tʂə2xuar51nə1
BJ,Beijing,3,她还没说完吗?,她还没说完吗,,tˈa xai mei ʂuo uan ma,tˈa55 xai35 mei35 ʂuo55 uan35 ma3,tʰaxaimeiʂuouanma,tʰa55xai35mei35ʂuo55uan35ma3
BJ,Beijing,4,还没有。大概再有一会儿就说完了。,还没呢。估摸着再待会儿就说完了,,xai mei nə ku mə tʂə tsai xuər tɕiou ʂuo uan lə,xai35 mei35 nə3 ku55 mə2 tʂə2 tsai51 xuər214 tɕiou51 ʂuo55 uan35 lə3,xaimeinəkumətʂətsaixuərtɕiouʂuouanlə,xai35mei35nə3ku55mə2tʂə2tsai51xuər214tɕiou51ʂuo55uan35lə3
BJ,Beijing,5,他说马上就走，怎么这半天了还在家里?,他说立马儿就走，怎么这么半天了还在家·里,,tˈa ʂuo li mar tɕiou tsou tsəm səm pan tˈian lə xai tsai tɕia li,tˈa55 ʂuo55 li51 mar214 tɕiou51 tsou214 tsəm214 səm51 pan51 tˈian55 lə2 xai35 tsai21421 tɕia55 li2,tʰaʂuolimartɕioutsoutsəmsəmpantʰianləxaitsaitɕiali,tʰa55ʂuo55li51mar214tɕiou51tsou214tsəm214səm51pan51tʰian55lə2xai35tsai21421tɕia55li2
BJ,Beijing,6,你到哪儿去?我到城里去。,你上哪儿去?我进城去,,ni ʂɑŋ nar tɕˈy uo tɕin tʂˈəŋ tɕˈi,ni214 ʂɑŋ51 nar214 tɕˈy51 uo214 tɕin51 tʂˈəŋ35 tɕˈi3,niʂɑŋnartɕʰyuotɕintʂʰəŋtɕʰi,ni214ʂɑŋ51nar214tɕʰy51uo214tɕin51tʂʰəŋ35tɕʰi3
BJ,Beijing,7,在那儿，不在这儿。,在那儿，不在这儿,,tsai nar pu tsai tʂər,tsai214 nar51 pu5135 tsai214 tʂər51,tsainarputsaitʂər,tsai214nar51pu5135tsai214tʂər51
BJ,Beijing,8,不是那么做，要这么做。,不那么着，得这么着,,pu nam tʂə tei tʂəm tʂə,pu5135 nam51 tʂə1 tei214 tʂəm51 tʂə1,punamtʂəteitʂəmtʂə,pu5135nam51tʂə1tei214tʂəm51tʂə1
BJ,Beijing,9,太多了，用不着那么多，只要这么多就够了。,忒多了，用不着那么多，只要这么多就够了,,tˈei tuo lə yŋ pu tʂau nam tuo tʂʅ iau tʂəm tuo tɕiou kou lə,tˈei55 tuo55 lə2 yŋ51 pu2 tʂau35 nam51 tuo55 tʂʅ214 iau51 tʂəm51 tuo55 tɕiou51 kou51 lə1,tʰeituoləyŋputʂaunamtuotʂɻ̩iautʂəmtuotɕioukoulə,tʰei55tuo55lə2yŋ51pu2tʂau35nam51tuo55tʂɻ̩214iau51tʂəm51tuo55tɕiou51kou51lə1
BJ,Beijing,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这俩哪个好点儿,,tʂei kə ta nei kə ɕiau tʂei lia nei kə xɑu tiar,tʂei51 kə1 ta51 nei51 kə1 ɕiau214 tʂei51 lia214 nei214 kə4 xɑu21435 tiar214,tʂeikətaneikəɕiautʂeilianeikəxɑutiar,tʂei51kə1ta51nei51kə1ɕiau214tʂei51lia214nei214kə4xɑu21435tiar214
BJ,Beijing,11,这个比那个好。,这个比那个好,,tʂei kə pi nei kə xau,tʂei51 kə1 pi21421 nei51 kə1 xau214,tʂeikəpineikəxau,tʂei51kə1pi21421nei51kə1xau214
BJ,Beijing,12,这些房子不如那些房子好。,这些房子不比那些房子好,,tʂei ɕiɛ fɑŋ tsɿ pu pi nei ɕiɛ fɑŋ tsɿ xau,tʂei51 ɕiɛ1 fɑŋ35 tsɿ3 pu51 pi214 nei51 ɕiɛ1 fɑŋ35 tsɿ3 xau214,tʂeiɕiɛfɑŋtsɹ̩pupineiɕiɛfɑŋtsɹ̩xau,tʂei51ɕiɛ1fɑŋ35tsɹ̩3pu51pi214nei51ɕiɛ1fɑŋ35tsɹ̩3xau214
BJ,Beijing,13,这句话用成都话怎么说?,,,,,,
BJ,Beijing,14,他今年多大岁数了?,他今年多大岁数儿了,,tˈa tɕin nian tuo ta suei ʂurlə,tˈa55 tɕin55 nian2 tuo55 ta51 suei51 ʂur1lə1,tʰatɕinniantuotasueiʂurlə,tʰa55tɕin55nian2tuo55ta51suei51ʂur1lə1
