dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
BJ,Beijing,1,有一回,有一回,,iou i xuei,iou21421 i5551 xuei35,iouixuei,iou21421i5551xuei35
BJ,Beijing,2,北风跟太阳在那儿争论谁的本事大,北风跟太阳在那儿争竟谁的能耐大,,pei fəŋ kən tˈai iɑŋ ai nar tʂəŋ tɕiŋ ʂei tə nəŋ nai ta,pei21421 fəŋ55 kən55 tˈai51 iɑŋ1 ai55 nar51 tʂəŋ55 tɕiŋ2 ʂei35 tə3 nəŋ35 nai33 ta51,peifəŋkəntʰaiiɑŋainartʂəŋtɕiŋʂeitənəŋnaita,pei21421fəŋ55kən55tʰai51iɑŋ1ai55nar51tʂəŋ55tɕiŋ2ʂei35tə3nəŋ35nai33ta51
BJ,Beijing,3,争来争去就是分不出高低来,争来争去就是分不出个高低来,,tʂəŋ lai tʂəŋ tɕˈy tɕiou ʂʅ fən pu tʂˈu kə kɑu ti lai,tʂəŋ55 lai35 tʂəŋ55 tɕˈy51 tɕiou51 ʂʅ1 fən55 pu2 tʂˈu55 kə2 kɑu55 ti55 lai2,tʂəŋlaitʂəŋtɕʰytɕiouʂɻ̩fənputʂʰukəkɑutilai,tʂəŋ55lai35tʂəŋ55tɕʰy51tɕiou51ʂɻ̩1fən55pu2tʂʰu55kə2kɑu55ti55lai2
BJ,Beijing,4,这时候路上来了个走道儿的,这会儿来了个走道儿的,,tʂei xyər lai lə kə tsou taur tə,tʂei51 xyər214 lai35 lə3 kə2 tsou214 taur51 tə1,tʂeixyərlailəkətsoutaurtə,tʂei51xyər214lai35lə3kə2tsou214taur51tə1
BJ,Beijing,5,他身上穿着件厚大衣,他身上穿了件儿厚大衣,,tˈa ʂən ʂɑŋ tʂˈuan lə tɕiar xou ta i,tˈa55 ʂən55 ʂɑŋ2 tʂˈuan55 lə2 tɕiar51 xou51 ta51 i55,tʰaʂənʂɑŋtʂʰuanlətɕiarxoutai,tʰa55ʂən55ʂɑŋ2tʂʰuan55lə2tɕiar51xou51ta51i55
BJ,Beijing,6,他们俩就说好了,他们俩就说好了,,tam lia tɕiou ʂuo xɑu lə,tam55 lia214 tɕiou51 ʂuo55 xɑu214 lə4,tamliatɕiouʂuoxɑulə,tam55lia214tɕiou51ʂuo55xɑu214lə4
BJ,Beijing,7,谁能先叫这个走道儿的脱下他的厚大衣,谁能先叫这个走道儿的把他的厚大衣脱下来,,ʂei nəŋ ɕian tɕiɑu tʂei kə tsou tɑur tə pai tˈa tə xou ta i tˈuo ɕia lai,ʂei35 nəŋ35 ɕian55 tɕiɑu51 tʂei51 kə1 tsou214 tɑur51 tə1 pai214 tˈa55 tə2 xou51 ta51 i55 tˈuo55 ɕia2 lai1,ʂeinəŋɕiantɕiɑutʂeikətsoutɑurtəpaitʰatəxoutaitʰuoɕialai,ʂei35nəŋ35ɕian55tɕiɑu51tʂei51kə1tsou214tɑur51tə1pai214tʰa55tə2xou51ta51i55tʰuo55ɕia2lai1
BJ,Beijing,8,就算谁的本事大,就算谁的能耐大,,tɕiou suan ʂei tə nəŋ nai ta,tɕiou51 suan51 ʂei35 tə3 nəŋ35 nai3 ta51,tɕiousuanʂeitənəŋnaita,tɕiou51suan51ʂei35tə3nəŋ35nai3ta51
BJ,Beijing,9,北风就使劲儿地刮起来了,北风就一个劲儿的刮了起来,,pei fəŋ tɕiou i kə tɕiər tə kua lə tɕˈi lai,pei21421 fəŋ55 tɕiou51 i5535 kə3 tɕiər51 tə1 kua55 lə2 tɕˈi21421 lai4,peifəŋtɕiouikətɕiərtəkualətɕʰilai,pei21421fəŋ55tɕiou51i5535kə3tɕiər51tə1kua55lə2tɕʰi21421lai4
BJ,Beijing,10,不过他越是刮得厉害,不过北风越是刮得利害,,pu kuo pei fəŋ yɛ ʂʅ kua tə li xai,pu35 kuo51 pei21421 fəŋ55 yɛ51 ʂʅ1 kua55 tə2 li51 xai1,pukuopeifəŋyɛʂɻ̩kuatəlixai,pu35kuo51pei21421fəŋ55yɛ51ʂɻ̩1kua55tə2li51xai1
BJ,Beijing,11,那个走道儿的把大衣裹得越紧,那个走道儿的把大衣裹得越是紧,,na kə tsou tɑur tə pai ta i kuo tə yɛ ʂʅ tɕin,na51 kə1 tsou21421 tɑur51 tə1 pai214 ta51 i55 kuo214 tə4 yɛ51 ʂʅ1 tɕin214,nakətsoutɑurtəpaitaikuotəyɛʂɻ̩tɕin,na51kə1tsou21421tɑur51tə1pai214ta51i55kuo214tə4yɛ51ʂɻ̩1tɕin214
BJ,Beijing,12,后来北风没法儿了,后来呢北风没辙了,,xou lai nə pei fəŋ tɕiou mei tʂɤ lə,xou51 lai35 nə3 pei21421 fəŋ55 tɕiou51 mei35 tʂɤ35 lə3,xoulainəpeifəŋtɕioumeitʂɤlə,xou51lai35nə3pei21421fəŋ55tɕiou51mei35tʂɤ35lə3
BJ,Beijing,13,只好就算了,只好拉倒了,,tʂʅ xɑu la tɑu lə,tʂʅ21435 xɑu214 la55 tɑu214 lə4,tʂɻ̩xɑulatɑulə,tʂɻ̩21435xɑu214la55tɑu214lə4
BJ,Beijing,14,过了一会儿,过了一阵子,,kuo lə i tʂən tsɿ,kuo51 lə1 i5535 tʂən51 tsɿ1,kuoləitʂəntsɹ̩,kuo51lə1i5535tʂən51tsɹ̩1
BJ,Beijing,15,太阳出来了,太阳出来了,,tˈai iɑŋ tʂˈu lai lə,tˈai51 iɑŋ1 tʂˈu55 lai2 lə1,tʰaiiɑŋtʂʰulailə,tʰai51iɑŋ1tʂʰu55lai2lə1
BJ,Beijing,16,他火辣辣地一晒,他火辣辣地那么一晒,,tˈa xuo la la tə nəm i ʂai,tˈa55 xuo21421 la51 la51 tə1 nəm51 i5535 ʂai51,tʰaxuolalatənəmiʂai,tʰa55xuo21421la51la51tə1nəm51i5535ʂai51
