dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
GY,Guiyang,1,谁啊?我是老三。,哪个?我是老三,,la ko ŋo sɿ lao san,la42 ko213 ŋo42 sɿ213 lao42 san55,lakoŋosɹ̩laosan,la42ko213ŋo42sɹ̩213lao42san55
GY,Guiyang,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正在和一个朋友说起话的嘞,,lao sɿ lɛ la tsen tsai xo i ko pˈoŋ iəu so tɕˈi xua lɛ lɛ,lao42 sɿ213 lɛ55 la55 tsen213 tsai213 xo21 i21 ko213 pˈoŋ21 iəu42 so21 tɕˈi42 xua213 lɛ55 lɛ21,laosɹ̩lɛlatsentsaixoikopʰoŋiəusotɕʰixualɛlɛ,lao42sɹ̩213lɛ55la55tsen213tsai213xo21i21ko213pʰoŋ21iəu42so21tɕʰi42xua213lɛ55lɛ21
GY,Guiyang,3,她还没说完吗?,她还没得说完啊,,la xai mei tɛ so uan a,la55 xai21 mei55 tɛ21 so21 uan21 a21,laxaimeitɛsouana,la55xai21mei55tɛ21so21uan21a21
GY,Guiyang,4,还没有。大概再有一会儿就说完了。,还没得。多半还有一下下就说完喽,,xai mei tɛ to pan xai iəu i xa xa təu so uan ləu,xai21 mei55 tɛ21 to55 pan213 xai21 iəu42 i21 xa213 xa213 təu213 so21 uan21 ləu42,xaimeitɛtopanxaiiəuixaxatəusouanləu,xai21mei55tɛ21to55pan213xai21iəu42i21xa213xa213təu213so21uan21ləu42
GY,Guiyang,5,他说马上就走，怎么这半天了还在家里?,他说的立马就走，咋个这样大半天了还在屋头呢,,la so lɛ li ma təu tsəu tsa ko tsɿ iaŋ ta pan tˈian ao xai tsai u tˈəu lɛ,la55 so21 lɛ55 li21 ma42 təu213 tsəu42 tsa21 ko213 tsɿ55 iaŋ213 ta213 pan213 tˈian55 ao213 xai21 tsai213 u21 tˈəu55 lɛ21,lasolɛlimatəutsəutsakotsɹ̩iaŋtapantʰianaoxaitsaiutʰəulɛ,la55so21lɛ55li21ma42təu213tsəu42tsa21ko213tsɹ̩55iaŋ213ta213pan213tʰian55ao213xai21tsai213u21tʰəu55lɛ21
GY,Guiyang,6,你到哪儿去?我到城里去。,你走哪点去呃?我走城头去,,li tsəu la tai kˈi ei ŋo tsəu tsˈen tˈəu kˈi,li42 tsəu42 la42 tai42 kˈi213 ei55 ŋo42 tsəu42 tsˈen21 tˈəu55 kˈi213,litsəulataikʰieiŋotsəutsʰentʰəukʰi,li42tsəu42la42tai42kʰi213ei55ŋo42tsəu42tsʰen21tʰəu55kʰi213
GY,Guiyang,7,在那儿，不在这儿。,在那点，不在这点,,tsai a tiɛ pu tsai tsɿ tiɛ,tsai213 a213 tiɛ42 pu21 tsai213 tsɿ55 tiɛ42,tsaiatiɛputsaitsɹ̩tiɛ,tsai213a213tiɛ42pu21tsai213tsɹ̩55tiɛ42
GY,Guiyang,8,不是那么做，要这么做。,不是那样做，是要像这样做的,,pu sɿ a iaŋ tsəu sɿ iao ɕiaŋ tsɿ iaŋ tsəu lɛ,pu21 sɿ213 a213 iaŋ213 tsəu213 sɿ213 iao213 ɕiaŋ213 tsɿ55 iaŋ213 tsəu213 lɛ55,pusɹ̩aiaŋtsəusɹ̩iaoɕiaŋtsɹ̩iaŋtsəulɛ,pu21sɹ̩213a213iaŋ213tsəu213sɹ̩213iao213ɕiaŋ213tsɹ̩55iaŋ213tsəu213lɛ55
GY,Guiyang,9,太多了，用不着那么多，只要这么多就够了。,太多啦，要不倒那样多，只要这样多就够啦,,tˈai to la iao pu tao a iaŋ to tsɿ iao tsɿ iaŋ to təu kəu la,tˈai213 to55 la42 iao213 pu21 tao42 a213 iaŋ213 to55 tsɿ42 iao213 tsɿ55 iaŋ213 to55 təu213 kəu213 la42,tʰaitolaiaoputaoaiaŋtotsɹ̩iaotsɹ̩iaŋtotəukəula,tʰai213to55la42iao213pu21tao42a213iaŋ213to55tsɹ̩42iao213tsɹ̩55iaŋ213to55təu213kəu213la42
GY,Guiyang,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个到底哪个要好一点呢,,tsɿ ko ta a ko ɕiao tsɿ liaŋ ko tao ti la ko iao xao i tɛ lɛ,tsɿ55 ko213 ta213 a213 ko213 ɕiao42 tsɿ55 liaŋ42 ko213 tao213 ti42 la42 ko213 iao213 xao42 i21 tɛ42 lɛ55,tsɹ̩kotaakoɕiaotsɹ̩liaŋkotaotilakoiaoxaoitɛlɛ,tsɹ̩55ko213ta213a213ko213ɕiao42tsɹ̩55liaŋ42ko213tao213ti42la42ko213iao213xao42i21tɛ42lɛ55
