dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
GY,Guiyang,1,有一回,有一回,,iəu i xuei,iəu42 i21 xuei21,iəuixuei,iəu42i21xuei21
GY,Guiyang,2,北风跟太阳在那儿争论谁的本事大,北风同太阳在那点争哪个的本事大,,pɛ foŋ tˈoŋ tˈai iaŋ tsai a tɛ tsen la ko lɛ pen sɿ ta,pɛ21 foŋ55 tˈoŋ21 tˈai213 iaŋ21 tsai213 a213 tɛ42 tsen55 la42 ko213 lɛ55 pen42 sɿ213 ta213,pɛfoŋtʰoŋtʰaiiaŋtsaiatɛtsenlakolɛpensɹ̩ta,pɛ21foŋ55tʰoŋ21tʰai213iaŋ21tsai213a213tɛ42tsen55la42ko213lɛ55pen42sɹ̩213ta213
GY,Guiyang,3,争来争去就是分不出高低来,争来争去就是分不出高低长短来,,tsen lai tsen tɕˈɛ təu sɿ fen pu tsˈu kao ti tsˈaŋ tuan lai,tsen55 lai21 tsen55 tɕˈɛ213 təu213 sɿ213 fen55 pu21 tsˈu21 kao55 ti55 tsˈaŋ21 tuan42 lai21,tsenlaitsentɕʰɛtəusɹ̩fenputsʰukaotitsʰaŋtuanlai,tsen55lai21tsen55tɕʰɛ213təu213sɹ̩213fen55pu21tsʰu21kao55ti55tsʰaŋ21tuan42lai21
GY,Guiyang,4,这时候路上来了个走道儿的,正在这个时候路上来了个走路的,,tsen tsai tsɿ ko sɿ xəu lu saŋ lai la ko tsəu lu lɛ,tsen213 tsai213 tsɿ55 ko213 sɿ21 xəu55 lu213 saŋ213 lai21 la42 ko213 tsəu42 lu213 lɛ55,tsentsaitsɹ̩kosɹ̩xəulusaŋlailakotsəululɛ,tsen213tsai213tsɹ̩55ko213sɹ̩21xəu55lu213saŋ213lai21la42ko213tsəu42lu213lɛ55
GY,Guiyang,5,他身上穿着件厚大衣,他身上穿起件厚大衣,,la sen saŋ tsˈuan tɕˈi tɕian xəu ta i,la55 sen55 saŋ213 tsˈuan55 tɕˈi42 tɕian213 xəu213 ta213 i55,lasensaŋtsʰuantɕʰitɕianxəutai,la55sen55saŋ213tsʰuan55tɕʰi42tɕian213xəu213ta213i55
GY,Guiyang,6,他们俩就说好了,他们两个就说好,,la men liaŋ ko təu so xao,la55 men55 liaŋ42 ko213 təu213 so21 xao42,lamenliaŋkotəusoxao,la55men55liaŋ42ko213təu213so21xao42
GY,Guiyang,7,谁能先叫这个走道儿的脱下他的厚大衣,哪个先叫这个走路的脱下他的厚大衣来,,la ko ɕiaŋ tɕiao tsɿ ko tsəu lu lɛ tˈo ɕia la lɛ xəu ta i lai,la42 ko213 ɕiaŋ55 tɕiao213 tsɿ55 ko213 tsəu42 lu213 lɛ55 tˈo21 ɕia213 la55 lɛ55 xəu213 ta213 i55 lai21,lakoɕiaŋtɕiaotsɹ̩kotsəululɛtʰoɕialalɛxəutailai,la42ko213ɕiaŋ55tɕiao213tsɹ̩55ko213tsəu42lu213lɛ55tʰo21ɕia213la55lɛ55xəu213ta213i55lai21
GY,Guiyang,8,就算谁的本事大,就算哪个的本事大,,tɕiu suan la ko lɛ pen sɿ ta,tɕiu213 suan213 la42 ko213 lɛ55 pen42 sɿ213 ta213,tɕiusuanlakolɛpensɹ̩ta,tɕiu213suan213la42ko213lɛ55pen42sɹ̩213ta213
GY,Guiyang,9,北风就使劲儿地刮起来了,北风就展劲展劲的吹起来,,pɛ foŋ təu tsan tɕin tsan tɕin lɛ tsˈuei tɕˈi lai,pɛ21 foŋ55 təu213 tsan42 tɕin213 tsan42 tɕin213 lɛ55 tsˈuei55 tɕˈi42 lai21,pɛfoŋtəutsantɕintsantɕinlɛtsʰueitɕʰilai,pɛ21foŋ55təu213tsan42tɕin213tsan42tɕin213lɛ55tsʰuei55tɕʰi42lai21
GY,Guiyang,10,不过他越是刮得厉害,但不过是他吹得越凶,,tan pu ko sɿ la tsˈuei tɛ iɛ ɕioŋ,tan213 pu21 ko213 sɿ213 la55 tsˈuei55 tɛ21 iɛ21 ɕioŋ55,tanpukosɹ̩latsʰueitɛiɛɕioŋ,tan213pu21ko213sɹ̩213la55tsʰuei55tɛ21iɛ21ɕioŋ55
