dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
GY,Guiyang,1,太阳,太阳 ,,tˈai iaŋ,tˈai213 iaŋ21,tˈai iaŋ,tˈai213 iaŋ21
GY,Guiyang,2,月亮,月亮 ,,iɛ liaŋ,iɛ21 liaŋ213,iɛ liaŋ,iɛ21 liaŋ213
GY,Guiyang,3,星星,星宿 ,,ɕin ɕiəu,ɕin55 ɕiəu213,ɕin ɕiəu,ɕin55 ɕiəu213
GY,Guiyang,4,打雷,打雷 ,,ta luei,ta42 luei21,ta luei,ta42 luei21
GY,Guiyang,5,闪电,火闪 ,,xo san,xo42 san42,xo san,xo42 san42
GY,Guiyang,6,下雨,下雨 ,,ɕia i,ɕia213 i42,ɕia i,ɕia213 i42
GY,Guiyang,7,下雪,下雪 ,,ɕia ɕiɛ,ɕia213 ɕiɛ21,ɕia ɕiɛ,ɕia213 ɕiɛ21
GY,Guiyang,8,冰雹,冰雹,,pin pao,pin55 pao213,pin pao,pin55 pao213
GY,Guiyang,9,结冰,结冰 ,,tɕiɛ pin,tɕiɛ21 pin55,tɕiɛ pin,tɕiɛ21 pin55
GY,Guiyang,10,刮风,吹风,,tsˈuei foŋ,tsˈuei55 foŋ55,tsˈuei foŋ,tsˈuei55 foŋ55
GY,Guiyang,11,虹,虹 ,,kaŋ,kaŋ213,kaŋ,kaŋ213
GY,Guiyang,12,端午节,端午 ,,tuan u,tuan55 u42,tuan u,tuan55 u42
GY,Guiyang,13,中秋节,八月十五 ,,pa iɛ sɿ u,pa21 iɛ21 sɿ21 u42,pa iɛ sɹ̩ u,pa21 iɛ21 sɹ̩21 u42
GY,Guiyang,14,除夕,三十夜 ,,san sɿ iɛ,san55 sɿ21 iɛ213,san sɹ̩ iɛ,san55 sɹ̩21 iɛ213
GY,Guiyang,15,今年,今年,,tɕin lian,tɕin55 lian21,tɕin lian,tɕin55 lian21
GY,Guiyang,16,明年,明年,,min lian,min21 lian21,min lian,min21 lian21
GY,Guiyang,17,去年,去年,,tɕˈi lian,tɕˈi213 lian21,tɕˈi lian,tɕˈi213 lian21
GY,Guiyang,18,明天,明天 ,,min tˈian,min21 tˈian55,min tˈian,min21 tˈian55
GY,Guiyang,19,昨天,昨天 ,,tso tˈian,tso21 tˈian55,tso tˈian,tso21 tˈian55
GY,Guiyang,20,今天,今天 ,,tɕin tˈian,tɕin55 tˈian55,tɕin tˈian,tɕin55 tˈian55
GY,Guiyang,21,星期天,星期天 ,,ɕin tɕˈi tˈian,ɕin55 tɕˈi55 tˈian55,ɕin tɕˈi tˈian,ɕin55 tɕˈi55 tˈian55
GY,Guiyang,22,麦子,麦子 ,,mɛ tsɿ,mɛ21 tsɿ42,mɛ tsɹ̩,mɛ21 tsɹ̩42
GY,Guiyang,23,大米,大米 ,,ta mi,ta213 mi42,ta mi,ta213 mi42
GY,Guiyang,24,蚕豆,胡豆 ,,fu təu,fu21 təu213,fu təu,fu21 təu213
GY,Guiyang,25,向日葵,葵花 ,,kˈuei xua,kˈuei21 xua55,kˈuei xua,kˈuei21 xua55
GY,Guiyang,26,菠菜,菠菜 ,,po tsˈai,po55 tsˈai213,po tsˈai,po55 tsˈai213
GY,Guiyang,27,卷心菜,裹心白 ,,ko ɕin pɛ,ko42 ɕin55 pɛ21,ko ɕin pɛ,ko42 ɕin55 pɛ21
GY,Guiyang,28,西红柿,毛辣角 ,,mao la ko,mao21 la21 ko21,mao la ko,mao21 la21 ko21
GY,Guiyang,29,茄子,茄子 ,,tɕˈiɛ tsɿ,tɕˈiɛ21 tsɿ42,tɕˈiɛ tsɹ̩,tɕˈiɛ21 tsɹ̩42
