dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HZ,Hangzhou,1,有一回,有一毛子,,ʔiø ʔiəʔ mɔ tsɿ,ʔiø53 ʔiəʔ5 mɔ213-31 tsɿ,ʔiø53 ʔiəʔ5 mɔ213-31 tsɹ̩,ʔiø ʔiəʔ mɔ tsɹ̩
HZ,Hangzhou,2,北风跟太阳在那儿争论谁的本事大,北风搭太阳勒哈争争儿比哪个大本事大,,poʔ foŋ tɑʔ tˈE ɦiɑŋ lɑʔ hɑ tsen tsen əl,poʔ5 foŋ33-31 tɑʔ5 tˈE445 ɦiɑŋ213-31 lɑʔ2 hɑ33 tsen33 tsen33 əl213-33,poʔ5 foŋ33-31 tɑʔ5 tˈɤ445 ɦiɑŋ213-31 lɑʔ2 hɑ33 tsen33 tsen33 əl213-33,poʔ foŋ tɑʔ tˈɤ ɦiɑŋ lɑʔ hɑ tsen tsen əl
HZ,Hangzhou,,争来争去就是分不出高低来,争来争去也争不出个高低来,,pi nɑ koʔ tiəʔ pen zɿdo,pi53 nɑ53 koʔ5 tiəʔ pen53 zɿ13-31do13,pi53 nɑ53 koʔ5 tiəʔ pen53 zɹ̩13-31do13,pi nɑ koʔ tiəʔ pen zɹ̩do
HZ,Hangzhou,,这时候路上来了个走道儿的,格个时光路高头有个人走过来得,,kəʔ koʔ zɿ kuɑŋ lu kɔ dei ʔiø koʔ zen tsei ku lE tə,kəʔ5 koʔ5 zɿ213-21 kuɑŋ33 lu13 kɔ33 dei ʔiø53 koʔ5 zen213 tsei53 ku445-31 lE213-21 tə,kəʔ5 koʔ5 zɹ̩213-21 kuɑŋ33 lu13 kɔ33 dei ʔiø53 koʔ5 zen213 tsei53 ku445-31 lɤ213-21 tə,kəʔ koʔ zɹ̩ kuɑŋ lu kɔ dei ʔiø koʔ zen tsei ku lɤ tə
HZ,Hangzhou,,他身上穿着件厚大衣,他身高头穿得一件厚大衣,,tˈɑ sen kɔ dei tsˈɥõ tə ʔieʔ dʑiẼ ɦei tˈɑ ʔi,tˈɑ33 sen33 kɔ33 dei tsˈɥõ33 tə ʔieʔ5 dʑiẼ13 ɦei13 tˈɑ33 ʔi33,tˈɑ33 sen33 kɔ33 dei tsˈɥõ33 tə ʔieʔ5 dʑiɤ̃13 ɦei13 tˈɑ33 ʔi33,tˈɑ sen kɔ dei tsˈɥõ tə ʔieʔ dʑiɤ̃ ɦei tˈɑ ʔi
HZ,Hangzhou,,他们俩就说好了,北风搭太阳就说好得,,poʔ foŋ tɑʔ tˈE ɦiɑŋ dʑiø sɥəʔ hɔ tə,poʔ5 foŋ33-31 tɑʔ5 tˈE445 ɦiɑŋ213-31 dʑiø13 sɥəʔ5 hɔ53 tə,poʔ5 foŋ33-31 tɑʔ5 tˈɤ445 ɦiɑŋ213-31 dʑiø13 sɥəʔ5 hɔ53 tə,poʔ foŋ tɑʔ tˈɤ ɦiɑŋ dʑiø sɥəʔ hɔ tə
HZ,Hangzhou,,谁能先叫这个走道儿的脱下他的厚大衣,哪个能叫接个走路格老倌拨厚大衣落来,,nɑ koʔ nen tɕiɔ tɕiəʔ koʔ tsei lu kəʔ lɔ kuõ pəʔ ɦei dɑ ʔi tˈoʔ loʔ lE,nɑ53 koʔ5 nen213-21 tɕiɔ445 tɕiəʔ5 koʔ5 tsei53 lu13 kəʔ5 lɔ53 kuõ33-31 pəʔ5 ɦei13 dɑ13 ʔi33 tˈoʔ5 loʔ2-5 lE,nɑ53 koʔ5 nen213-21 tɕiɔ445 tɕiəʔ5 koʔ5 tsei53 lu13 kəʔ5 lɔ53 kuõ33-31 pəʔ5 ɦei13 dɑ13 ʔi33 tˈoʔ5 loʔ2-5 lɤ,nɑ koʔ nen tɕiɔ tɕiəʔ koʔ tsei lu kəʔ lɔ kuõ pəʔ ɦei dɑ ʔi tˈoʔ loʔ lɤ
HZ,Hangzhou,,就算谁的本事大,就算哪个的本事大,,dʑiø sɥõ nɑ koʔ ti pen zɿ do,dʑiø13 sɥõ445-53 nɑ53 koʔ5 ti pen53 zɿ13-31 do13,dʑiø13 sɥõ445-53 nɑ53 koʔ5 ti pen53 zɹ̩13-31 do13,dʑiø sɥõ nɑ koʔ ti pen zɹ̩ do
HZ,Hangzhou,,北风就使劲儿地刮起来了,北风就用尽刮起来,,poʔ foŋ dʑiø ɦioŋ dʑin kuɑʔ tɕˈi lE,poʔ5 foŋ33-31 dʑiø13 ɦioŋ13 dʑin13 kuɑʔ5 tɕˈi53 lE213-31,poʔ5 foŋ33-31 dʑiø13 ɦioŋ13 dʑin13 kuɑʔ5 tɕˈi53 lɤ213-31,poʔ foŋ dʑiø ɦioŋ dʑin kuɑʔ tɕˈi lɤ
HZ,Hangzhou,,不过他越是刮得厉害,哪晓得他越是刮得厉害,,nɑ ɕiɔ təʔ tˈɑ ɦyəʔ zɿ kuɑʔ təʔ ȵi ɦE,nɑ53 ɕiɔ53 təʔ5 tˈɑ33 ɦyəʔ2 zɿ13 kuɑʔ5 təʔ5 ȵi13 ɦE13-53,nɑ53 ɕiɔ53 təʔ5 tˈɑ33 ɦyəʔ2 zɹ̩13 kuɑʔ5 təʔ5 ɲi13 ɦɤ13-53,nɑ ɕiɔ təʔ tˈɑ ɦyəʔ zɹ̩ kuɑʔ təʔ ɲi ɦɤ
HZ,Hangzhou,,那个走道儿的把大衣裹得越紧,那个走路格老倌拨身高头格大衣越是裹得牢,,nɑ koʔ tsei lu kəʔ lɔ kuõ pəʔ sen kɔ dei kəʔ dɑ ʔi ɦyəʔ zɿ ku təʔ lɔ,nɑ13 koʔ5 tsei53 lu13 kəʔ5 lɔ53 kuõ33-31 pəʔ5 sen33 kɔ33 dei213-33 kəʔ5 dɑ13 ʔi33 ɦyəʔ2 zɿ13 ku53 təʔ5 lɔ213,nɑ13 koʔ5 tsei53 lu13 kəʔ5 lɔ53 kuõ33-31 pəʔ5 sen33 kɔ33 dei213-33 kəʔ5 dɑ13 ʔi33 ɦyəʔ2 zɹ̩13 ku53 təʔ5 lɔ213,nɑ koʔ tsei lu kəʔ lɔ kuõ pəʔ sen kɔ dei kəʔ dɑ ʔi ɦyəʔ zɹ̩ ku təʔ lɔ
HZ,Hangzhou,,后来北风没法儿了,后首来北风没有办法,,ɦei sei lE poʔ foŋ məʔ ʔiø bẼ fɑʔ,ɦei13 sei53 lE213-31 poʔ5 foŋ33-31 məʔ2 ʔiø53 bẼ13 fɑʔ5,ɦei13 sei53 lɤ213-31 poʔ5 foŋ33-31 məʔ2 ʔiø53 bɤ̃13 fɑʔ5,ɦei sei lɤ poʔ foŋ məʔ ʔiø bɤ̃ fɑʔ
HZ,Hangzhou,,只好就算了,只好拉倒得,,tsəʔ hɔ lɑ tɔ tə,tsəʔ5 hɔ53 lɑ33 tɔ53 tə,tsəʔ5 hɔ53 lɑ33 tɔ53 tə,tsəʔ hɔ lɑ tɔ tə
HZ,Hangzhou,,过了一会儿,过了一歇儿,,ku lə ʔiəʔ ɕieʔ əl,ku445 lə ʔiəʔ5 ɕieʔ5 əl213-31,ku445 lə ʔiəʔ5 ɕieʔ5 əl213-31,ku lə ʔiəʔ ɕieʔ əl
HZ,Hangzhou,,太阳出来了,太阳出来得,,tˈE ɦiɑŋ tsˈɥəʔ lE tə,tˈE445 ɦiɑŋ213-31 tsˈɥəʔ5 lE213-31 tə,tˈɤ445 ɦiɑŋ213-31 tsˈɥəʔ5 lɤ213-31 tə,tˈɤ ɦiɑŋ tsˈɥəʔ lɤ tə
HZ,Hangzhou,,他火辣辣地一晒,它火辣辣的一晒,,tˈɑ ho lɑʔ lɑʔ ti ʔiəʔ sE,tˈɑ33 ho53 lɑʔ2 lɑʔ2 ti ʔiəʔ5 sE445,tˈɑ33 ho53 lɑʔ2 lɑʔ2 ti ʔiəʔ5 sɤ445,tˈɑ ho lɑʔ lɑʔ ti ʔiəʔ sɤ
HZ,Hangzhou,,那个走道儿的马上就把那件厚大衣脱下来了,那个走路格老倌当忙就拨格件厚大衣脱落来得,,nɑ koʔ tsei lu kəʔ lɔ kuõ tɑŋ mɑŋ dʑiø pəʔ kəʔ dʑiẼ ɦei dɑ ʔi tˈoʔ loʔ lE tə,nɑ13 koʔ5 tsei53 lu13 kəʔ5 lɔ53 kuõ33-31 tɑŋ33 mɑŋ213-33 dʑiø13 pəʔ5 kəʔ5 dʑiẼ13 ɦei13 dɑ13 ʔi33 tˈoʔ5 loʔ2-5 lE tə,nɑ13 koʔ5 tsei53 lu13 kəʔ5 lɔ53 kuõ33-31 tɑŋ33 mɑŋ213-33 dʑiø13 pəʔ5 kəʔ5 dʑiɤ̃13 ɦei13 dɑ13 ʔi33 tˈoʔ5 loʔ2-5 lɤ tə,nɑ koʔ tsei lu kəʔ lɔ kuõ tɑŋ mɑŋ dʑiø pəʔ kəʔ dʑiɤ̃ ɦei dɑ ʔi tˈoʔ loʔ lɤ tə
HZ,Hangzhou,,这下北风只好承认,格一记北风只好承认,,poʔ foŋ tsəʔ hɔ dzen zen,poʔ5 foŋ33-31 tsəʔ5 hɔ53 dzen213-21 zen13,poʔ5 foŋ33-31 tsəʔ5 hɔ53 dzen213-21 zen13,poʔ foŋ tsəʔ hɔ dzen zen
HZ,Hangzhou,,他们俩当中还是太阳的本事大,他们两个当中还是太阳格本事大,,tˈɑ men liɑŋ koʔ tɑŋ tsoŋ ɦɑ zɿ tˈE ɦiɑŋ kəʔ pen zɿ do,tˈɑ33 men liɑŋ53 koʔ5 tɑŋ33 tsoŋ33 ɦɑ213-21 zɿ13 tˈE445 ɦiɑŋ213-31 kəʔ5 pen53 zɿ13-31 do13,tˈɑ33 men liɑŋ53 koʔ5 tɑŋ33 tsoŋ33 ɦɑ213-21 zɹ̩13 tˈɤ445 ɦiɑŋ213-31 kəʔ5 pen53 zɹ̩13-31 do13,tˈɑ men liɑŋ koʔ tɑŋ tsoŋ ɦɑ zɹ̩ tˈɤ ɦiɑŋ kəʔ pen zɹ̩ do
