dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HZ,Hangzhou,1,太阳,太阳,,tˈE ɦiɑŋ,tˈE445 ɦiɑŋ213-31,tˈɤ445 ɦiɑŋ213-31,tˈɤ ɦiɑŋ
HZ,Hangzhou,2,月亮,月亮,,ɦyəʔ liɑŋ,ɦyəʔ2 liɑŋ13,ɦyəʔ2 liɑŋ13,ɦyəʔ liɑŋ
HZ,Hangzhou,3,星星,星,,ɕin,ɕin33,ɕin33,ɕin
HZ,Hangzhou,4,打雷,打雷,,tɑ lei,tɑ53 lei213,tɑ53 lei213,tɑ lei
HZ,Hangzhou,5,闪电,霍闪,,huoʔ sɥõ,huoʔ5 sɥõ53,huoʔ5 sɥõ53,huoʔ sɥõ
HZ,Hangzhou,6,下雨,落雨,,loʔ ʔɥ,loʔ2 ʔɥ53,loʔ2 ʔɥ53,loʔ ʔɥ
HZ,Hangzhou,7,下雪,落雪,,loʔ çiəʔ,loʔ2 çiəʔ5,loʔ2 çiəʔ5,loʔ çiəʔ
HZ,Hangzhou,8,冰雹,冰雹,,pin bɔ,pin33 bɔ213-33,pin33 bɔ213-33,pin bɔ
HZ,Hangzhou,9,结冰,结冰,,tɕiəʔ pin,tɕiəʔ5 pin33,tɕiəʔ5 pin33,tɕiəʔ pin
HZ,Hangzhou,10,刮风,起风,,tɕˈi foŋ,tɕˈi53 foŋ33,tɕˈi53 foŋ33,tɕˈi foŋ
HZ,Hangzhou,11,虹,鲎,,hei,hei445,hei445,hei
HZ,Hangzhou,12,端午节,端午,,tuõ ʔu,tuõ33 ʔu53-33,tuõ33 ʔu53-33,tuõ ʔu
HZ,Hangzhou,13,中秋节,八月半,,pɑʔ ɦyəʔ puõ,pɑʔ5 ɦyəʔ2-5 puõ445-33,pɑʔ5 ɦyəʔ2-5 puõ445-33,pɑʔ ɦyəʔ puõ
HZ,Hangzhou,14,除夕,年三十晚上,,ȵiẼ sẼ zəʔ vẼ zɑŋ,ȵiẼ213-21 sẼ33 zəʔ2-5 vẼ53 zɑŋ13-31,ɲiɤ̃213-21 sɤ̃33 zəʔ2-5 vɤ̃53 zɑŋ13-31,ɲiɤ̃ sɤ̃ zəʔ vɤ̃ zɑŋ
HZ,Hangzhou,15,今年,根年,,ken ȵiẼ,ken33 ȵiẼ213-33,ken33 ɲiɤ̃213-33,ken ɲiɤ̃
HZ,Hangzhou,16,明年,门年,,men ȵiẼ,men213-21 ȵiẼ213-13,men213-21 ɲiɤ̃213-13,men ɲiɤ̃
HZ,Hangzhou,17,去年,旧年子,,dʑiø ȵiẼ tsɿ,dʑiø13 ȵiẼ213-53 tsɿ53-31,dʑiø13 ɲiɤ̃213-53 tsɹ̩53-31,dʑiø ɲiɤ̃ tsɹ̩
HZ,Hangzhou,18,明天,门朝,,men tsɔ,men213-21 tsɔ33,men213-21 tsɔ33,men tsɔ
HZ,Hangzhou,19,昨天,上额子,,zɑŋ ŋɑʔ tsɿ,zɑŋ13 ŋɑʔ2-5 tsɿ53,zɑŋ13 ŋɑʔ2-5 tsɹ̩53,zɑŋ ŋɑʔ tsɹ̩
HZ,Hangzhou,20,今天,根朝,,ken tsɔ,ken33 tsɔ33,ken33 tsɔ33,ken tsɔ
HZ,Hangzhou,21,星期天,礼拜天,,li pE tˈiẼ,li53 pE445-31 tˈiẼ33-31,li53 pɤ445-31 tˈiɤ̃33-31,li pɤ tˈiɤ̃
HZ,Hangzhou,22,麦子,麦子,,mɑʔ tsɿ,mɑʔ2 tsɿ53,mɑʔ2 tsɹ̩53,mɑʔ tsɹ̩
HZ,Hangzhou,23,大米,晚米,,mẼ mi,mẼ53 mi53-31,mɤ̃53 mi53-31,mɤ̃ mi
HZ,Hangzhou,24,蚕豆,蚕豆儿,,dzẼ dei əl,dzẼ213-21 dei13 əl213-53,dzɤ̃213-21 dei13 əl213-53,dzɤ̃ dei əl
HZ,Hangzhou,25,向日葵,葵花,,gui huɑ,gui213-21 huɑ33,gui213-21 huɑ33,gui huɑ
HZ,Hangzhou,26,菠菜,菠菜,,po tsˈE,po33 tsˈE445-33,po33 tsˈɤ445-33,po tsˈɤ
HZ,Hangzhou,27,卷心菜,包心菜,,pɔ ɕin tsˈE,pɔ33 ɕin33 tsˈE445-33,pɔ33 ɕin33 tsˈɤ445-33,pɔ ɕin tsˈɤ
HZ,Hangzhou,28,西红柿,番茄,,fẼ dʑiɑ,fẼ33 dʑiɑ213-13,fɤ̃33 dʑiɑ213-13,fɤ̃ dʑiɑ
HZ,Hangzhou,29,茄子,茄儿,,dʑi əl,dʑi213-21 əl213-13,dʑi213-21 əl213-13,dʑi əl
HZ,Hangzhou,30,白薯,番薯,,fẼ dzɥ,fẼ33 dzɥ13-33,fɤ̃33 dzɥ13-33,fɤ̃ dzɥ
HZ,Hangzhou,31,马铃薯,洋番薯,,ɦiɑŋ fẼ dzɥ,ɦiɑŋ213-21 fẼ33 dzɥ13-33,ɦiɑŋ213-21 fɤ̃33 dzɥ13-33,ɦiɑŋ fɤ̃ dzɥ
HZ,Hangzhou,32,南瓜,南瓜,,nẼ kuɑ,nẼ213-21 kuɑ33,nɤ̃213-21 kuɑ33,nɤ̃ kuɑ
HZ,Hangzhou,33,猪,猪,,tsɥ,tsɥ33,tsɥ33,tsɥ
HZ,Hangzhou,34,公猪,公猪,,koŋ tsɥ,koŋ33 tsɥ33,koŋ33 tsɥ33,koŋ tsɥ
HZ,Hangzhou,35,母猪,母猪,,mu tsɥ,mu53 tsɥ33-31,mu53 tsɥ33-31,mu tsɥ
HZ,Hangzhou,36,公鸡,雄鸡,,ɦioŋ tɕi,ɦioŋ213-21 tɕi33,ɦioŋ213-21 tɕi33,ɦioŋ tɕi
HZ,Hangzhou,37,母鸡,婆鸡,,bo tɕi,bo213-21 tɕi33,bo213-21 tɕi33,bo tɕi
HZ,Hangzhou,38,麻雀,麻巧儿,,mɑ tɕˈiɔ əl,mɑ213-21 tɕˈiɔ53 əl213-31,mɑ213-21 tɕˈiɔ53 əl213-31,mɑ tɕˈiɔ əl
