dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HB,Harbin,1,谁啊?我是老三。,谁啊?我，我是小三儿,,ʂei ia uo ʂʅ ɕiau sar,ʂei24 ia uo213 ʂʅ ɕiau213-21 sar44,ʂei24 ia uo213 ʂɻ̩ ɕiau213-21 sar44,ʂei ia uo ʂɻ̩ ɕiau sar
HB,Harbin,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正跟一个朋友唠嗑儿呢,,lau sɿ nə tˈa tʂəŋ kən i kɤ pˈəŋ iou lau kˈɤr nə,lau213-21 sɿ53 nə tˈa44 tʂəŋ53 kən44 i44-24 kɤ pˈəŋ24 iou lau53 kˈɤr44 nə,lau213-21 sɹ̩53 nə tˈa44 tʂəŋ53 kən44 i44-24 kɤ pˈəŋ24 iou lau53 kˈɤr44 nə,lau sɹ̩ nə tˈa tʂəŋ kən i kɤ pˈəŋ iou lau kˈɤr nə
HB,Harbin,3,她还没说完吗?,她还没唠完哪,,tˈa xai mei lau uan na,tˈa44 xai53 mei53 lau53 uan24 na,tˈa44 xai53 mei53 lau53 uan24 na,tˈa xai mei lau uan na
HB,Harbin,4,还没有。大概再有一会儿就说完了。,还没有。大概再呆一会儿就唠完了,,xai mei iou ta kai tsai tai i xuər tɕiou lau uan lə,xai53 mei24 iou ta53 kai53 tsai53 tai44 i44-53 xuər213 tɕiou53 lau53 uan24 lə,xai53 mei24 iou ta53 kai53 tsai53 tai44 i44-53 xuər213 tɕiou53 lau53 uan24 lə,xai mei iou ta kai tsai tai i xuər tɕiou lau uan lə
HB,Harbin,5,他说马上就走，怎么这半天了还在家里?,他说马上就走，咋这老半天了还在家呢,,tˈa ʂuo ma ʂaŋ tɕiou tsou tsa tʂɤ lau pan tˈian lə xai tsai tɕia nə,tˈa44 ʂuo44 ma213-21 ʂaŋ53 tɕiou53 tsou213 tsa213 tʂɤ53 lau213 pan53 tˈian44 lə xai53 tsai213 tɕia44 nə,tˈa44 ʂuo44 ma213-21 ʂaŋ53 tɕiou53 tsou213 tsa213 tʂɤ53 lau213 pan53 tˈian44 lə xai53 tsai213 tɕia44 nə,tˈa ʂuo ma ʂaŋ tɕiou tsou tsa tʂɤ lau pan tˈian lə xai tsai tɕia nə
HB,Harbin,6,你到哪儿去?我到城里去。,你上哪儿去?我上街里,,ni ʂaŋ nar tɕˈy uo ʂaŋ kai li,ni213 ʂaŋ53 nar213 tɕˈy uo213 ʂaŋ53 kai44 li213,ni213 ʂaŋ53 nar213 tɕˈy uo213 ʂaŋ53 kai44 li213,ni ʂaŋ nar tɕˈy uo ʂaŋ kai li
HB,Harbin,7,在那儿，不在这儿。,在那疙儿，不在这疙儿,,tsai nei kar pu tsai tʂei kar,tsai213-21 nei53 kar44 pu53 tsai213-21 tʂei53 kar44,tsai213-21 nei53 kar44 pu53 tsai213-21 tʂei53 kar44,tsai nei kar pu tsai tʂei kar
HB,Harbin,8,不是那么做，要这么做。,不是那么做，得这么做,,pu ʂʅ na mɤ tsuo tei tʂɤ mɤ tsuo,pu53-24 ʂʅ53 na53 mɤ tsuo53 tei213 tʂɤ53 mɤ tsuo53,pu53-24 ʂɻ̩53 na53 mɤ tsuo53 tei213 tʂɤ53 mɤ tsuo53,pu ʂɻ̩ na mɤ tsuo tei tʂɤ mɤ tsuo
HB,Harbin,9,太多了，用不着那么多，只要这么多就够了。,太多了，用不着那老多，只要这些就够了,,tˈai tuo lə yŋ pu tʂau na lau tuo tʂʅ iau tʂɤ ɕiɛ tɕiou kou lə,tˈai53 tuo44 lə yŋ53 pu tʂau24 na53 lau213 tuo44 tʂʅ213-21 iau53 tʂɤ53 ɕiɛ44 tɕiou53 kou53 lə,tˈai53 tuo44 lə yŋ53 pu tʂau24 na53 lau213 tuo44 tʂɻ̩213-21 iau53 tʂɤ53 ɕiɛ44 tɕiou53 kou53 lə,tˈai tuo lə yŋ pu tʂau na lau tuo tʂɻ̩ iau tʂɤ ɕiɛ tɕiou kou lə
HB,Harbin,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪个好点儿呢,,tʂei kɤ ta nei kɤ ɕiau tʂɤ liaŋ kɤ nei kɤ xau tiar nə,tʂei53 kɤ ta53 nei53 kɤ ɕiau213 tʂɤ53 liaŋ213-21 kɤ nei213 kɤ53 xau213 tiar213 nə,tʂei53 kɤ ta53 nei53 kɤ ɕiau213 tʂɤ53 liaŋ213-21 kɤ nei213 kɤ53 xau213 tiar213 nə,tʂei kɤ ta nei kɤ ɕiau tʂɤ liaŋ kɤ nei kɤ xau tiar nə
HB,Harbin,11,这个比那个好。,这个比那个好,,tʂei kɤ pˈi nei kɤ xau,tʂei53 kɤ pˈi213 nei53 kɤ xau213,tʂei53 kɤ pˈi213 nei53 kɤ xau213,tʂei kɤ pˈi nei kɤ xau
HB,Harbin,12,这些房子不如那些房子好。,这些房子不如那些房子好,,tʂei ɕiɛ faŋ tsɿ pu lu nei ɕiɛ faŋ tsɿ xau,tʂei53 ɕiɛ44 faŋ24 tsɿ pu53 lu24 nei53 ɕiɛ44 faŋ24 tsɿ xau213,tʂei53 ɕiɛ44 faŋ24 tsɹ̩ pu53 lu24 nei53 ɕiɛ44 faŋ24 tsɹ̩ xau213,tʂei ɕiɛ faŋ tsɹ̩ pu lu nei ɕiɛ faŋ tsɹ̩ xau
HB,Harbin,13,这句话用成都话怎么说?,,,,,,
HB,Harbin,14,他今年多大岁数了?,他今年多大岁数了,,tˈa tɕin nian tuo ta suei ʂu lə,tˈa44 tɕin44 nian24 tuo24 ta53 suei53 ʂu lə,tˈa44 tɕin44 nian24 tuo24 ta53 suei53 ʂu lə,tˈa tɕin nian tuo ta suei ʂu lə
HB,Harbin,15,大概三十来岁吧。,大概三十来岁吧,,ta kai san ʂʅ lai suei pa,ta53 kai53 san44 ʂʅ lai suei53 pa,ta53 kai53 san44 ʂɻ̩ lai suei53 pa,ta kai san ʂɻ̩ lai suei pa
HB,Harbin,16,这个东西有多重呢?,这个东西有多沉呢,,tʂei kɤ tuŋ ɕi iou tuo tʂˈən nə,tʂei53 kɤ tuŋ44 ɕi iou213 tuo24 tʂˈən24 nə,tʂei53 kɤ tuŋ44 ɕi iou213 tuo24 tʂˈən24 nə,tʂei kɤ tuŋ ɕi iou tuo tʂˈən nə
HB,Harbin,17,有五十斤重呢。,有五十斤沉,,iou u ʂʅ tɕin tʂˈən,iou213 u213-21 ʂʅ tɕin44 tʂˈən24,iou213 u213-21 ʂɻ̩ tɕin44 tʂˈən24,iou u ʂɻ̩ tɕin tʂˈən
HB,Harbin,18,拿得动吗?,能拿动吗,,nəŋ na tuŋ ma,nəŋ24 na24 tuŋ53 ma,nəŋ24 na24 tuŋ53 ma,nəŋ na tuŋ ma
HB,Harbin,19,我拿得动，他拿不动。,我能拿动，他拿不动,,uo nəŋ na tuŋ tˈa na pu tuŋ,uo213 nəŋ24 na24 tuŋ53 tˈa44 na24 pu tuŋ53,uo213 nəŋ24 na24 tuŋ53 tˈa44 na24 pu tuŋ53,uo nəŋ na tuŋ tˈa na pu tuŋ
HB,Harbin,20,真不轻，重得连我也拿不动。,真不轻，沉得连我也拿不动,,tʂən pu tɕˈiŋ tʂˈən ti lian uo iɛ na pu tuŋ,tʂən44 pu tɕˈiŋ44 tʂˈən24 ti lian24 uo213 iɛ213 na24 pu tuŋ53,tʂən44 pu tɕˈiŋ44 tʂˈən24 ti lian24 uo213 iɛ213 na24 pu tuŋ53,tʂən pu tɕˈiŋ tʂˈən ti lian uo iɛ na pu tuŋ
