dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HB,Harbin,1,有一回,有一回,,iou i xuei,iou21321 i xuei24,iou21321ixuei24,iouixuei
HB,Harbin,2,北风跟太阳在那儿争论谁的本事大,北风跟太阳在那疙儿掰扯谁的章程大,,pei fəŋ kən tˈai iaŋ tsai nei kar pai tʂˈɤ ʂei ti tʂaŋ tʂˈəŋ ta,pei21321 fəŋ44 kən44 tˈai53 iaŋ tsai53 nei53 kar44 pai44 tʂˈɤ ʂei24 ti tʂaŋ44 tʂˈəŋ ta53,pei21321fəŋ44kən44tʰai53iaŋtsai53nei53kar44pai44tʂʰɤʂei24titʂaŋ44tʂʰəŋta53,peifəŋkəntʰaiiaŋtsaineikarpaitʂʰɤʂeititʂaŋtʂʰəŋta
HB,Harbin,3,争来争去就是分不出高低来,掰扯来掰扯去就是掰扯不出个高低来,,pai tʂˈɤ lai pai tʂˈɤ tɕˈy tɕiou sʅ pai tʂˈɤ pu tʂˈu kɤ kau ti lai,pai44 tʂˈɤ lai24 pai44 tʂˈɤ tɕˈy53 tɕiou53 sʅ pai44 tʂˈɤ pu tʂˈu44 kɤ kau44 ti44 lai,pai44tʂʰɤlai24pai44tʂʰɤtɕʰy53tɕiou53sɻ̩pai44tʂʰɤputʂʰu44kɤkau44ti44lai,paitʂʰɤlaipaitʂʰɤtɕʰytɕiousɻ̩paitʂʰɤputʂʰukɤkautilai
HB,Harbin,4,这时候路上来了个走道儿的,这时候儿道儿上来了个走道儿的,,tʂɤ ʂʅ xour taur ʂaŋ lai lə kɤ tsou taur ti,tʂɤ53 ʂʅ24 xour taur53 ʂaŋ lai24 lə kɤ tsou21321 taur53 ti,tʂɤ53ʂɻ̩24xourtaur53ʂaŋlai24ləkɤtsou21321taur53ti,tʂɤʂɻ̩xourtaurʂaŋlailəkɤtsoutaurti
HB,Harbin,5,他身上穿着件厚大衣,他身上穿着件厚大衣,,tˈa ʂən ʂaŋ tʂˈuan tʂə tɕian xou ta i,tˈa44 ʂən44 ʂaŋ tʂˈuan44 tʂə tɕian xou53 ta53 i44,tʰa44ʂən44ʂaŋtʂʰuan44tʂətɕianxou53ta53i44,tʰaʂənʂaŋtʂʰuantʂətɕianxoutai
HB,Harbin,6,他们俩就说好了,他么俩就说好了,,tˈa mən lia tɕiou ʂuo xau lə,tˈa44 mən lia213 tɕiou53 ʂuo44 xau213 lə,tʰa44mənlia213tɕiou53ʂuo44xau213lə,tʰamənliatɕiouʂuoxaulə
HB,Harbin,7,谁能先叫这个走道儿的脱下他的厚大衣,谁能先叫这个走道儿的脱下他的厚大衣,,ʂei nəŋ ɕian tɕiau tʂei kɤ tsou taur ti tˈuo ɕia tˈa ti xou ta i,ʂei24 nəŋ ɕian44 tɕiau53 tʂei53 kɤ tsou21321 taur53 ti tˈuo44 ɕia tˈa44 ti xou53 ta53 i44,ʂei24nəŋɕian44tɕiau53tʂei53kɤtsou21321taur53titʰuo44ɕiatʰa44tixou53ta53i44,ʂeinəŋɕiantɕiautʂeikɤtsoutaurtitʰuoɕiatʰatixoutai
HB,Harbin,8,就算谁的本事大,就算谁的章程大,,tɕiou suan ʂei ti tʂaŋ tʂˈəŋ ta,tɕiou53 suan53 ʂei24 ti tʂaŋ44 tʂˈəŋ ta53,tɕiou53suan53ʂei24titʂaŋ44tʂʰəŋta53,tɕiousuanʂeititʂaŋtʂʰəŋta
HB,Harbin,9,北风就使劲儿地刮起来了,北风就使劲儿地刮起来了,,pei fəŋ tɕiou ʂʅ tɕiər ti kua tɕˈi lai lə,pei21321 fəŋ44 tɕiou53 ʂʅ21321 tɕiər53 ti kua213 tɕˈi lai lə,pei21321fəŋ44tɕiou53ʂɻ̩21321tɕiər53tikua213tɕʰilailə,peifəŋtɕiouʂɻ̩tɕiərtikuatɕʰilailə
HB,Harbin,10,不过他越是刮得厉害,不过他越是刮得厉害,,pu kuo tˈa yɛ ʂʅ kua ti li xai,pu24 kuo53 tˈa44 yɛ53 ʂʅ kua213 ti li53 xai,pu24kuo53tʰa44yɛ53ʂɻ̩kua213tili53xai,pukuotʰayɛʂɻ̩kuatilixai
