dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HB,Harbin,1,太阳,太阳,,tˈai iaŋ,tˈai53 iaŋ,tˈai53 iaŋ,tˈai iaŋ
HB,Harbin,2,月亮,月亮,,yɛ liaŋ,yɛ53 liaŋ,yɛ53 liaŋ,yɛ liaŋ
HB,Harbin,3,星星,星星 ,,ɕiŋ ɕiŋ,ɕiŋ44 ɕiŋ,ɕiŋ44 ɕiŋ,ɕiŋ ɕiŋ
HB,Harbin,4,打雷,打雷,,ta lei,ta213-21 lei24,ta213-21 lei24,ta lei
HB,Harbin,5,闪电,打闪 ,,ta ʂan,ta213-24 ʂan213,ta213-24 ʂan213,ta ʂan
HB,Harbin,6,下雨,下雨 ,,ɕia y,ɕia53 y213,ɕia53 y213,ɕia y
HB,Harbin,7,下雪,下雪 ,,ɕia ɕyɛ,ɕia53 ɕyɛ213,ɕia53 ɕyɛ213,ɕia ɕyɛ
HB,Harbin,8,冰雹,雹子 ,,pau tsɿ,pau24 tsɿ,pau24 tsɹ̩,pau tsɹ̩
HB,Harbin,9,结冰,冻冰,,tuŋ piŋ,tuŋ53 piŋ44,tuŋ53 piŋ44,tuŋ piŋ
HB,Harbin,10,刮风,刮风 ,,kua fəŋ,kua213-21 fəŋ44,kua213-21 fəŋ44,kua fəŋ
HB,Harbin,11,虹,虹,,kaŋ,kaŋ53,kaŋ53,kaŋ
HB,Harbin,12,端午节,五月节 ,,u yɛ tɕiɛ,u213-21 yɛ53 tɕiɛ213,u213-21 yɛ53 tɕiɛ213,u yɛ tɕiɛ
HB,Harbin,13,中秋节,八月节 ,,pa yɛ tɕiɛ,pa44-24 yɛ53 tɕiɛ213,pa44-24 yɛ53 tɕiɛ213,pa yɛ tɕiɛ
HB,Harbin,14,除夕,三十儿晚上,,san ʂər uan ʂaŋ,san44 ʂər24 uan213-21 ʂaŋ,san44 ʂər24 uan213-21 ʂaŋ,san ʂər uan ʂaŋ
HB,Harbin,15,今年,今年 ,,tɕin nian,tɕin44 nian24,tɕin44 nian24,tɕin nian
HB,Harbin,16,明年,来年 ,,lai nian,lai24 nian24,lai24 nian24,lai nian
HB,Harbin,17,去年,去年 ,,tɕˈy nian,tɕˈy53 nian24,tɕˈy53 nian24,tɕˈy nian
HB,Harbin,18,明天,明天 ,,miŋ tˈian,miŋ24 tˈian44,miŋ24 tˈian44,miŋ tˈian
HB,Harbin,19,昨天,昨天 ,,tsuo tˈian,tsuo24 tˈian44,tsuo24 tˈian44,tsuo tˈian
HB,Harbin,20,今天,今天 ,,tɕin tˈian,tɕin44 tˈian44,tɕin44 tˈian44,tɕin tˈian
HB,Harbin,21,星期天,礼拜天 ,,li pai tˈian,li213-21 pai53 tˈian44,li213-21 pai53 tˈian44,li pai tˈian
