dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HF,Hefei,1,谁啊?我是老三。,哈个?我是老三,,xa kə ʊ ʂʅ lɔ sæ̃,xa24 kə ʊ24 ʂʅ53 lɔ24 sæ̃21,xa24kəʊ24ʂɻ̩53lɔ24sæ̃21,xakəʊʂɻ̩lɔsæ̃
HF,Hefei,2,老四呢?她正跟一个朋友说着话呢。,老四在哪格子?她跟一个朋友讲着话在,,lɔ sʅ tsE la kə tsə tˈa kən iəʔ kə pˈən iɯ tɕiɑ̃ tʂʅ xua tsE,lɔ24 sʅ53 tsE53 la24 kə tsə tˈa2124 kən21 iəʔ5 kə pˈən55 iɯ tɕiɑ̃24 tʂʅ xua53 tsE,lɔ24sɻ̩53tsɤ53la24kətsətʰa2124kən21iəʔ5kəpʰən55iɯtɕiɑ̃24tʂɻ̩xua53tsɤ,lɔsɻ̩tsɤlakətsətʰakəniəʔkəpʰəniɯtɕiɑ̃tʂɻ̩xuatsɤ
HF,Hefei,3,她还没说完吗?,她可是还没讲完,,tˈa kˈə ʂʅ xE me tɕiɑ̃ ʊ̃,tˈa21 kˈə24 ʂʅ53 xE55 me53 tɕiɑ̃24 ʊ̃55,tʰa21kʰə24ʂɻ̩53xɤ55me53tɕiɑ̃24ʊ̃55,tʰakʰəʂɻ̩xɤmetɕiɑ̃ʊ̃
HF,Hefei,4,还没有。大概再有一会儿就说完了。,还没。大约摸再有一霎就中了,,xE me ta yeʔ mɐʔ tsE iɯ iəʔ ʂɐʔ tɕiɯ tʂəŋ lə,xE55 me53 ta53 yeʔ52 mɐʔ5 tsE53 iɯ24 iəʔ52 ʂɐʔ5 tɕiɯ53 tʂəŋ21 lə,xɤ55me53ta53yeʔ52mɐʔ5tsɤ53iɯ24iəʔ52ʂɐʔ5tɕiɯ53tʂəŋ21lə,xɤmetayeʔmɐʔtsɤiɯiəʔʂɐʔtɕiɯtʂəŋlə
HF,Hefei,5,他说马上就走，怎么这半天了还在家里?,他讲马上就走，奖搞第半天还在家里头,,tˈa tɕiɑ̃ ma ʂɑ̃ tɕiɯ tsɯ tɕiɑ̃ kɔ ti pʊ̃ tˈiɪ̃ xE tɕia zɿ tˈɯ,tˈa21 tɕiɑ̃24 ma24 ʂɑ̃53 tɕiɯ53 tsɯ24 tɕiɑ̃24 kɔ24 ti53 pʊ̃53 tˈiɪ̃21 xE55 tɕia21 zɿ24 tˈɯ,tʰa21tɕiɑ̃24ma24ʂɑ̃53tɕiɯ53tsɯ24tɕiɑ̃24kɔ24ti53pʊ̃53tʰiɪ̃21xɤ55tɕia21zɹ̩24tʰɯ,tʰatɕiɑ̃maʂɑ̃tɕiɯtsɯtɕiɑ̃kɔtipʊ̃tʰiɪ̃xɤtɕiazɹ̩tʰɯ
HF,Hefei,6,你到哪儿去?我到城里去。,你到哪块去?我到街上去,,li tɔ la kˈiE tsˈɥ ʊ tɔ tɕiE ʂɑ̃ tsˈɥ,li24 tɔ53 la24 kˈiE53 tsˈɥ53 ʊ24 tɔ53 tɕiE21 ʂɑ̃ tsˈɥ53,li24tɔ53la24kʰiɤ53tsʰɥ53ʊ24tɔ53tɕiɤ21ʂɑ̃tsʰɥ53,litɔlakʰiɤtsʰɥʊtɔtɕiɤʂɑ̃tsʰɥ
HF,Hefei,7,在那儿，不在这儿。,在那奥子，不在第奥子,,tsE la ɔ tsə pəʔ tsE ti ɔ tsə,tsE53 la53 ɔ tsə pəʔ5 tsE53 ti53 ɔ tsə,tsɤ53la53ɔtsəpəʔ5tsɤ53ti53ɔtsə,tsɤlaɔtsəpəʔtsɤtiɔtsə
HF,Hefei,8,不是那么做，要这么做。,不是那样搞，要第样搞,,pəʔ ʂʅ la iɑ̃ kɔ iɔ ti iɑ̃ kɔ,pəʔ5 ʂʅ53 la53 iɑ̃53 kɔ24 iɔ53 ti53 iɑ̃53 kɔ24,pəʔ5ʂɻ̩53la53iɑ̃53kɔ24iɔ53ti53iɑ̃53kɔ24,pəʔʂɻ̩laiɑ̃kɔiɔtiiɑ̃kɔ
HF,Hefei,9,太多了，用不着那么多，只要这么多就够了。,太多之，用不着那样多，只要第一毫就够之,,tˈE tʊ tʂə iŋ pəʔ tʂuɐʔ la iɑ̃ tʊ tʂəʔ iɔ ti iəʔ xɔ tɕiɯ kɯ tʂə,tˈE53 tʊ21 tʂə iŋ53 pəʔ52 tʂuɐʔ5 la53 iɑ̃53 tʊ21 tʂəʔ5 iɔ53 ti53 iəʔ52 xɔ55 tɕiɯ53 kɯ53 tʂə,tʰɤ53tʊ21tʂəiŋ53pəʔ52tʂuɐʔ5la53iɑ̃53tʊ21tʂəʔ5iɔ53ti53iəʔ52xɔ55tɕiɯ53kɯ53tʂə,tʰɤtʊtʂəiŋpəʔtʂuɐʔlaiɑ̃tʊtʂəʔiɔtiiəʔxɔtɕiɯkɯtʂə
HF,Hefei,10,这个大，那个小，这两个哪一个好一点呢?,第个大，那个小，第两个哈个好毫子,,ti kə ta la kə ɕiɔ ti liɑ̃ kə xa kə xɔ xɔ tsə,ti53 kə ta53 la53 kə ɕiɔ24 ti53 liɑ̃24 kə xa24 kə xɔ24 xɔ55 tsə,ti53kəta53la53kəɕiɔ24ti53liɑ̃24kəxa24kəxɔ24xɔ55tsə,tikətalakəɕiɔtiliɑ̃kəxakəxɔxɔtsə
HF,Hefei,11,这个比那个好。,第个比那个好,,ti kə pɿ la kə xɔ,ti53 kə pɿ24 la53 kə xɔ24,ti53kəpɹ̩24la53kəxɔ24,tikəpɹ̩lakəxɔ
