dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
KM,Kunmijng,01,谁啊?我是老三。,哪个?我是老三,,,nA53 kə212 o53 ʂʅ212 lɔ53 sÃ44
KM,Kunmijng,02,老四呢?她正跟一个朋友说着话呢。,老四嘹?她在挨一个朋友讲着话,,,lɔ53 sɿ212 næ212 tˈə44 tsæ212 æ44 i31 kə212 poŋ31 iəu53 tɕiÃ53 tʂə44 xuA212
KM,Kunmijng,03,她还没说完吗?,她还冇说完□?,,,tˈə44 xæ31 məu53 ʂo31 uÃ31 kæ53
KM,Kunmijng,04,还没有。大概再有一会儿就说完了。,还冇。大概再讲一小下就完了,,,xæ31 məu53 tA212 kˈæ212 tsæ212 tɕiÃ53 i31 ɕiɔ53 xA212 tɕiəu212 uÃ31 lə53
KM,Kunmijng,05,他说马上就走，怎么这半天了还在家里?,他说马上就走，咋个这半天了还在家首,,,tˈə44 ʂo31 mA53 ʂÃ212 tsəu53 tsA31 kə212 tʂʅ212 pÃ212 tˈiɛ̃44 lə53 xæ31 tsæ212 tɕiA44 ʂəu53
KM,Kunmijng,06,你到哪儿去?我到城里去。,你去哪点儿?我去城首去,,,ni53 kˈə212 nA53 tiə31 o53 kˈə212 tʂˈə̃53 ʂəu44 kˈə212
KM,Kunmijng,07,在那儿，不在这儿。,在那点儿，不在这点儿,,,tsæ212 nə212 tiə31 pu31 tsæ212 tʂʅ212 tiə31
KM,Kunmijng,08,不是那么做，要这么做。,不仿那种整，要仿这种整,,,pu31 fÃ53 nə212 tʂoŋ53 tʂə̃53 iɔ212 fÃ53 tʂʅ212 tʂoŋ53 tʂə̃53
KM,Kunmijng,09,太多了，用不着那么多，只要这么多就够了。,太多了，不消那多，只要这些就够了,,,tˈæ212 to44 lə53  pu31 ɕiɔ44 nə212 to44 tʂʅ53 iɔ212 tʂʅ212 ɕiɛ44 tɕiəu212 kəu212 lə53
KM,Kunmijng,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪个好点儿,,,tʂʅ44 kə212 tA212 nə44 kə212 xiɔ53 tʂʅ212 liÃ53 kə212 nA53 kə212 xɔ53 tiə53
KM,Kunmijng,11,这个比那个好。,这个比那个好,,,tʂʅ44 kə212 pi53 nə212 kə212 xɔ53
KM,Kunmijng,12,这些房子不如那些房子好。,这些房子有得那些房子好,,,tʂʅ212 ɕiɛ44 fÃ31 tsɿ53 məu53 tə31 nə212 ɕiɛ44 fÃ31 tsɿ53 xɔ53
KM,Kunmijng,13,这句话用成都话怎么说?,,,,
KM,Kunmijng,14,他今年多大岁数了?,他今年多大了?,,,tˈə44 tɕĩ44 niɛ̃44 to44 tA212 lə53
KM,Kunmijng,15,大概三十来岁吧。,怕有三十多岁啦,,,pˈA212 iəu53 sÃ44 ʂʅ31 to44 suei212 lA53
KM,Kunmijng,16,这个东西有多重呢?,这个东西有多重,,,tʂʅ44 kə212 toŋ44 ɕi44 iəu53 to44 tʂoŋ212
KM,Kunmijng,17,有五十斤重呢。,有五十斤重,,,iəu53 u53 ʂʅ31 tɕĩ44 tsoŋ212
KM,Kunmijng,18,拿得动吗?,𠺝拿得动,,,kə53 nA31 tə31 toŋ212
KM,Kunmijng,19,我拿得动，他拿不动。,我拿得动，他拿不动,,,o53 nA31 tə31 toŋ212 tˈə44 nA31 pu31 toŋ212
KM,Kunmijng,20,真不轻，重得连我也拿不动。,真个呢不轻，重呢连我都拿不动,,,tʂə̃44 kə44 nə44 pu31 tɕˈi44 tʂoŋ212 nə44 liɛ̃31 o53 tu44 nA31 pu31 toŋ212
KM,Kunmijng,21,你说得很好，你还会说点什么呢?,你说呢很好，你还会说点儿哪样,,,ni53 ʂo31 nə44 xə̃53 xɔ53 ni53 xæ31 xuei212 ʂo31 tiə53 nA53 iÃ212
KM,Kunmijng,22,我嘴笨，我说不过他。,我呢嘴笨，我说不过他,,,o53 nə44 tsuei53 pə̃212 o53 ʂo31 pu31 ko212 tˈə44
KM,Kunmijng,23,说了一遍，又说一遍。,说了一遍，又说一遍,,,ʂo31 lə53 i31 piɛ̃212 iəu212 ʂo31 i31 piɛ̃212
KM,Kunmijng,24,请你再说一遍。,请你家再说一遍,,,tɕˈĩ53 ni53 tɕiɛ44 tsæ212 ʂo31 i31 piɛ̃212
KM,Kunmijng,25,不早了，快去吧。,不早了，快点儿去,,,pu31 tsɔ53 lə53 kˈuæ212 tiə31 kˈə212
KM,Kunmijng,26,现在还早着呢，等一会儿再去吧。,这下还早呢，等下再去,,,tʂʅ44 xA212 xæ31 tsɔ53 nə44 tə̃53 xA212 tsæ212 kˈə212
KM,Kunmijng,27,吃了饭再去好吗?,吃嘚饭再去𠺝要得,,,tʂˈʅ31 tə212 fÃ212 tsæ212 kˈə212 kə53 iɔ212 tə31
KM,Kunmijng,28,慢慢儿吃啊，不要着急。,慢点儿吃嘛，不消急,,,mÃ212 tiə31 tʂˈʅ31 mA31 pu31 ɕiɔ44 tɕi31
KM,Kunmijng,29,坐着吃比站着吃好些。,坐嘚吃比站嘚²吃好点儿,,,tso212 tə44 tʂˈʅ31 pi53 tʂÃ212 tə44 tʂˈʅ31 xɔ53 tiə31
KM,Kunmijng,30,他吃了饭了，你吃了饭没有呢?,他吃嘚饭了，你𠺝吃嘚了,,,tˈə44 tʂˈʅ31 tə212 fÃ212 lə53 ni53 kə53 tʂˈʅ31 tə212 lə53
KM,Kunmijng,31,他去过上海，我没有去过。,他去过上海，我有去过,,,tˈə44 kˈə212 ko212 ʂÃ212 xæ53 o53 məu53 kˈə212 ko212
KM,Kunmijng,32,来闻闻这朵花香不香。,来闻闻这朵花𠺝香,,,læ31 uə̃31 uə̃31-44 tʂʅ212 to53 xuA44 kə53 ɕiÃ44
KM,Kunmijng,33,给我一本书。,给我一本书,,,kə53 o53 i31 pə̃53 ʂu44
KM,Kunmijng,34,我真的没有那本书呀。,我真个冇得那本书,,,o53 tʂə̃44 kə44 məu tə31 nə212 pə̃53 ʂu44
KM,Kunmijng,35,你告诉他。,你告诵他,,,ni53 kɔ212 soŋ212 tˈə44
KM,Kunmijng,36,好好地走，不要跑。,好好呢走，莫跑,,,xɔ53 xɔ53 nə44 tsəu53 mɔ31 pˈɔ53
KM,Kunmijng,37,小心跌下去爬不上来。,小心掼下去爬不上来,,,ɕiɔ53 ɕĩ44 kuÃ212 ɕiA212 kˈə212 pˈA31 pu31 ʂÃ212 læ31
KM,Kunmijng,38,医生叫你多睡睡。,医生叫你多睡睡,,,i44 sə̃44 tɕiɔ212 ni53 to44 ʂuei212 ʂuei212-44
KM,Kunmijng,39,抽烟或者喝茶都不许。,吃烟、吃茶都不准,,,tʂˈʅ31 iɛ̃44 tʂˈʅ31 tʂˈA31 tu44 pu31 tʂuə̃53
KM,Kunmijng,40,烟也好，茶也好，我都不喜欢。,烟也好，茶也好，我都不喜欢,,,iɛ̃44 iɛ53 xɔ53 tʂˈA31 iɛ53 xɔ53 o53 tu44 pu31 xi53 xuÃ44
KM,Kunmijng,41,不管你去不去，反正我是要去的。,不管你去不去，反正我倒是要去呢,,,pu31 kuÃ53 ni53 kˈə212 pu31 kˈə212 fÃ53 tʂə̃̃212 o53 tɔ212 ʂʅ212 iɔ212 kˈə212 nə44
KM,Kunmijng,42,我非去不可。,我非去不可,,,o53 fei44 kˈə212 pu31 kˈo53
KM,Kunmijng,43,你是哪一年来的?,你是哪一年来呢,,,ni53 ʂʅ212 nA53 i31 niɛ̃31 læ31 nə44
KM,Kunmijng,44,我是前年到的北京。,我是前年到北京呢,,,o53 ʂʅ212 tɕˈiɛ̃31 niɛ̃31-44 tɔ212 pə31 tɕĩ44 nə44
KM,Kunmijng,45,今天开会谁的主席?,今儿日开会哪个当主席,,,tɕiə44 ʐʅ31-44 kˈæ44 xuei212 nA53 kə212 tÃ44 tʂu53 ɕi31
KM,Kunmijng,46,你得请我的客。,你要请我呢客了,,,ni53 iɔ212 tɕˈĩ53 o53 nə44 kˈə31 lə53
KM,Kunmijng,47,一边走，一边讲。,一面走，一面讲,,,i31 miɛ̃212-44 tsəu53 i31 miɛ̃212-44 tɕiÃ53
KM,Kunmijng,48,越走越远，越说越多。,越走越远，越说越多,,,iɛ31 tsəu53 iɛ31 iɛ̃53 iɛ31 ʂo31 iɛ31 to44
KM,Kunmijng,49,把那个东西拿给我。,挨那个东西拿来给我,,,æ44 nə212 kə31 toŋ44 ɕi44 nA31 kə53 o53
KM,Kunmijng,50,有些地方把太阳叫日头。,有些地方挨太阳叫热头,,,iəu53 ɕiɛ44 ti212 fÃ̃44 æ44 tˈæ212 iÃ31 tɕiɔ212 ʐə31 tˈəu31-44
KM,Kunmijng,51,您贵姓?我姓王。,你贵姓?我姓王,,,ni53 kuei212 ɕĩ212 o53 ɕĩ212 uÃ31
KM,Kunmijng,52,你姓王我也姓王，咱们两个人都姓王。,你姓王我也姓王，我们两个都姓王,,,ni53 ɕĩ212 uÃ31 o53 iɛ53 ɕĩ212 uÃ31 o53 mə̃44 liÃ53 kə212 tu44 ɕĩ212 uÃ31
KM,Kunmijng,53,你先去吧，我们等一会儿再去。,你前去嘛，我们等一下再去,,,ni53 tɕˈiɛ̃31-44 kˈə212 mA31 o53 mə̃44 tə̃53 i31 xA212 tsæ212 kˈə212
KM,Kunmijng,54,你抽烟不抽?/你抽不抽烟?,你咯咂烟,,,ni53 kə53 tsA31 iɛ̃44
KM,Kunmijng,55,你认得那个人不认得?,你𠺝认得那个人,,,ni53 kə53 ʐə̃212 tə31 nə212 kə212 ʐə̃31
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
