dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
KM,Kunming,01,有一回,有一回,,,iəu53 i31 xuei31
KM,Kunming,02,北风跟太阳在那儿争论谁的本事大,北风挨太阳在那点儿争论哪个呢本事大,,,pə31 foŋ44 æ44 tˈæ212 iÃ31 tsæ212 nə212 tiə31 tsə̃44 luə̃212 nA53 kə212 nə44 pə̃53 sɿ212 tA212
KM,Kunming,03,争来争去就是分不出高低来,争来争去就是分不出个高低来,,,tsə̃44 læ31 tsə̃44 kˈə212 tɕiəu212 ʂʅ212 fə̃44 pu31 tʂˈu31 kə212 kɔ44 ti44 læ31
KM,Kunming,04,这时候路上来了个走道儿的,这下子路上来了个过路呢,,,tʂʅ44 xA212 tsɿ31 lu212 ʂÃ212 læ31 lə53 kə212 ko212 lu212 nə44
KM,Kunming,05,他身上穿着件厚大衣,他身上穿嘚件厚厚呢大衣,,,tˈə44 ʂə̃44 ʂÃ212 tʂˈuÃ44 tə44 tɕiɛ212 xəu212 xəu212 nə44 tA212 i44
KM,Kunming,06,他们俩就说好了,他们两个就扳好嘚,,,tˈə44 mə̃44 liÃ53 kə212 tɕˈiɛ̃31-44 tɕiəu212 pÃ53 xɔ53 tə212
KM,Kunming,07,谁能先叫这个走道儿的脱下他的厚大衣,哪个前喊这个过路呢脱下他呢厚大衣,,,nA53 kə212 tɕˈiɛ̃31-44 xÃ53 tʂʅ44 kə212 ko212 lu212 nə44 tˈo31 ɕiA212 tˈə44 nə44 xəu212 tA212 i44
KM,Kunming,08,就算谁的本事大,就算哪个呢本事大,,,tɕiəu212 suÃ212 nA53 kə212 nə44 pə̃53 sɿ212 tA212
KM,Kunming,09,北风就使劲儿地刮起来了,北风就使力呢刮起来,,,pə31 foŋ44 tɕiəu212 ʂʅ53 li31 nə44 kuA31 tɕˈi53 læ31
KM,Kunming,10,不过他越是刮得厉害,不过他越发刮呢厉害,,,pu31 ko212 tˈə44 iɛ31 fA31-44 kuA nə44 li212 xæ212
KM,Kunming,11,那个走道儿的把大衣裹得越紧,那个过路呢挨大衣裹呢越发紧,,,nə212 kə212 ko212 lu212 nə44 æ44 tA212 i44 ko53 nə44 iɛ31 fA44 tɕĩ53
KM,Kunming,12,后来北风没法儿了,后首北风冇得办法,,,xəu212 ʂəu53 pə31 foŋ44 məu53 tə31 pÃ212 fA31
KM,Kunming,13,只好就算了,只好算了,,,tʂʅ53 xɔ53 suÃ212 lə212
KM,Kunming,14,过了一会儿,过了一小下,,,ko212 lə53 i31 ɕiɔ53 xA212
KM,Kunming,15,太阳出来了,太阳出来了,,,tˈæ212 iÃ31 tʂˈu31 læ31 lə53
KM,Kunming,16,他火辣辣地一晒,他火辣辣呢晒了一下,,,tˈə44 xo53 lA31 lA31 nə44 ʂæ212 lə53 i31 xA212
KM,Kunming,17,那个走道儿的马上就把那件厚大衣脱下来了,那个过路呢马上就挨那件厚大衣脱下来了,,,nə44 kə212 ko212 lu212 nə44 mA53 ʂÃ212 tɕiəu212 æ44 nə212 tɕiɛ̃212 xəu212 tA212 i44 tˈo31 ɕiA212 læ31 lə53
KM,Kunming,18,这下北风只好承认,这下子北风只得承认,,,tʂʅ44 xA212 tsɿ53 pə31 foŋ44 tʂʅ53 tə31 tʂˈə̃31 ʐə̃212
KM,Kunming,19,他们俩当中还是太阳的本事大,他们两个当中还是太阳呢本事大,,,tˈə44 mə̃44 liÃ53 kə212 tÃ44 tʂoŋ44 xæ31 ʂʅ212 tˈæ212 iÃ31 nə44 pə̃53 sɿ212 tA212
