dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone
KM,Kunming,001,太阳,太阳,,,tˈæ212 iÃ31
KM,Kunming,002,月亮,月亮,,,iɛ31 liÃ212
KM,Kunming,003,星星,星宿,,,ɕĩ44 ɕiəu212
KM,Kunming,004,打雷,升雷,,,ʂə̃44 luei31
KM,Kunming,005,闪电,扯闪,,,tʂˈə53 ʂÃ53
KM,Kunming,006,下雨,下雨,,,ɕiA212 i53
KM,Kunming,007,下雪,下雪,,,ɕiA212 ɕiɛ31
KM,Kunming,008,冰雹,冰雹,,,pĩ44 pɔ212
KM,Kunming,009,结冰,结冰,,,tɕiɛ31 pĩ44
KM,Kunming,010,刮风,刮风,,,kuA31 foŋ44
KM,Kunming,011,虹,虹,,,kÃ
KM,Kunming,012,端午节,五月端午,,,u53 iɛ31-44 tuÃ44 u53
KM,Kunming,013,中秋节,中秋节,,,tʂoŋ44 tɕˈiəu44 tɕiɛ31
KM,Kunming,014,除夕,三十晚辰,,,sÃ44 ʂʅ31 uÃ53 ʂə̃31-44
KM,Kunming,015,今年,今年,,,tɕĩ44 niɛ̃31-44
KM,Kunming,016,明年,明儿年 ,,,mĩ31 ə31 niɛ̃31
KM,Kunming,017,去年,去年,,,tɕˈi212 niɛ̃31-44
KM,Kunming,018,明天,明儿日,,,mĩ31 ə31 ʐʅ31-44
KM,Kunming,019,昨天,昨日,,,tso31 ʐʅ31-44
KM,Kunming,020,今天,今儿日,,,tɕĩ44 ə31 ʐʅ31
KM,Kunming,021,星期天,星期,,,ɕĩ44 tɕˈi44
KM,Kunming,022,麦子,麦子,,,mə31 tsɿ53
KM,Kunming,023,大米,米,,,mi53
KM,Kunming,024,蚕豆,蚕豆,,,tsˈÃ31 təu212
KM,Kunming,025,向日葵,朝阳饼,,,tʂˈɔ31 iÃ31 pĩ53
KM,Kunming,026,菠菜,菠菜,,,po44 tsˈæ212
KM,Kunming,027,卷心菜,莲花白,,,liɛ̃31 xuA44 pə31
KM,Kunming,028,西红柿,番茄,,,fÃ44 tɕˈiɛ31
KM,Kunming,029,茄子,茄子,,,tɕˈiɛ31 tsɿ53
KM,Kunming,030,白薯,白薯,,,pə31 tʂˈu53
KM,Kunming,031,马铃薯,洋芋,,,iÃ31 i212
KM,Kunming,032,南瓜,麦瓜,,,mə31 kuA44
KM,Kunming,033,猪,猪,,,tʂu44
KM,Kunming,034,公猪,牙猪,,,iA31 tʂu44
KM,Kunming,035,母猪,母猪,,,mu53 tʂu44
KM,Kunming,036,公鸡,公鸡,,,koŋ44 tɕi44
KM,Kunming,037,母鸡,母鸡,,,mu53 tɕi44
KM,Kunming,038,麻雀,谷雀,,,ku31 tɕˈio31
KM,Kunming,039,老鼠,老鼠,,,lɔ53 tʂˈu53
KM,Kunming,040,臭虫,壁虱,,,pi31 sə31
KM,Kunming,041,房子(整),房子,,,fÃ31 tsɿ53
KM,Kunming,042,房子(单),房间,,,fÃ31 tɕiɛ̃44
KM,Kunming,043,窗户,窗户,,,tʂˈuÃ44 xoŋ44
KM,Kunming,044,门坎,门坎,,,mə̃31 kˈÃ53
KM,Kunming,045,厕所,茅厕,,,mɔ31 sɿ44
KM,Kunming,046,厨房,灶房,,,tsɔ212 fÃ31-44
KM,Kunming,047,烟囱,烟囱,,,iɛ̃44 tsˈoŋ44
KM,Kunming,048,桌子,桌子,,,tʂo31 tsɿ53
KM,Kunming,049,楼梯,楼梯,,,ləu31 tˈi44
KM,Kunming,050,头,脑壳,,,nɔ53 kˈo31
KM,Kunming,051,额头,脑门,,,nɔ53 mə̃31
KM,Kunming,052,脸,脸,,,liɛ̃53
KM,Kunming,053,鼻子,鼻子,,,pi31 tsɿ53
KM,Kunming,054,脖子,脖子,,,po31 tsɿ53
KM,Kunming,055,左手,左手,,,tso53 ʂəu53
KM,Kunming,056,右手,右手,,,iəu212 ʂəu53
KM,Kunming,057,拳头,捶头,,,tʂˈuei31 tˈəu31-44
KM,Kunming,058,手指头,手指头,,,ʂəu53 tʂʅ31 tˈəu31-44
KM,Kunming,059,指甲,指甲,,,tʂʅ31 tɕiA31-44
KM,Kunming,060,膝盖,磕膝头,,,kˈə31 ɕi31-44 tˈəu31
KM,Kunming,061,腿,腿肚包,,,tˈuei53 tu+H66212 pɔ44
KM,Kunming,062,父亲,爹  ,,,tiɛ44
KM,Kunming,063,母亲,妈 ,,,mA44
KM,Kunming,064,祖父,老爹,,,lɔ53 tiɛ44
KM,Kunming,065,祖母,奶,,,næ44
KM,Kunming,066,伯父,大爹,,,tA212 tiɛ44
KM,Kunming,067,伯母,大嫫,,,tA212 mo44
KM,Kunming,068,叔父,耶耶,,,iɛ44 iɛ44
KM,Kunming,069,叔母,婶婶,,,ʂə̃53 ʂə̃53
KM,Kunming,070,外祖父,公公,,,koŋ44 koŋ44
KM,Kunming,071,外祖母,婆婆,,,pˈo31 pˈo31-44
KM,Kunming,072,舅舅,舅爹,,,tɕiəu212 tiɛ44
KM,Kunming,073,舅母,舅妈,,,tɕiəu212 mA44
KM,Kunming,074,丈夫,男人,,,nÃ31 ʐə̃31
KM,Kunming,075,妻子,婆娘,,,pˈo31 niA31-44
KM,Kunming,076,儿子,儿子,,,ə31 tsɿ53
KM,Kunming,077,女儿,囡,,,nuə31
KM,Kunming,078,早饭,早点,,,tsɔ53 tiɛ̃53
KM,Kunming,079,午饭,早饭,,,tsɔ53 fÃ212
KM,Kunming,080,晚饭,晚饭,,,uÃ53 fÃ212
KM,Kunming,081,面条,面,,,miɛ̃212
KM,Kunming,082,馒头,馒头,,,mÃ31 tˈəu31-44
KM,Kunming,083,包子,包子,,,pɔ44 tsɿ53
KM,Kunming,084,馄饨,饺,,,tɕiɔ31
