dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
LZ,Lanzhou,01,谁啊?我是老三。,谁吵?我是老三,,,fei53 ʂa21 və442 ʂʅ13 lɔ442 sɛ̃n31
LZ,Lanzhou,02,老四呢?她正跟一个朋友说着话呢。,老四崃?她正连一个朋友说话着哩,,,lɔ442 ʂʅ13-11 lɛ53 tˈa31 tʂə̃n13 liɛ̃n53 i13-22 kə13 pə̃n53 iou13 fə13-22 xua13-11 tʂə53 li21
LZ,Lanzhou,03,她还没说完吗?,她还没说罢吗,,,tˈa31 xɛ̃n53 m̩13-11 iou442 fə13-22 pa13-11 ma53
LZ,Lanzhou,04,还没有。大概再有一会儿就说完了。,还没有。哈巴还得一会儿就说完了,,,xɛ̃n53 m̩13-11 iou442 xa21 pa21 xɛ̃n53 tə13 i13-22 xuei13-11 ɯ21 tɕiou13 fə13-11 vɛ̃n53 lɔ21
LZ,Lanzhou,05,他说马上就走，怎么这半天了还在家里?,他说马上就走呢，这么半天了怎么还在屋里哩唦?,,,tˈa442 fə13 ma442 ʂɑ̃21 tɕiou13-11 tsou442 li21 tʂʅ13-11 mə̃n53 pɛ̃13-11 tˈiɛ̃n31 lɔ21 tsə̃n442 mə21 xɛ̃n53 tsɛ13 vu13-11 li13 li53 ʂa21
LZ,Lanzhou,06,你到哪儿去?我到城里去。,你哪里去哩?我进城去哩,,,ȵi442 la42 li21 tɕˈi13-11 li53 və442 tɕĩn13-11 tʂˈə̃n53 tɕˈi13-11 li53
LZ,Lanzhou,07,在那儿，不在这儿。,在那搭呢，没有在这搭。,,,tsɛ13 lɛ13-11 ta53 li21 m̩13-11 iou442 tsɜ13 tʂʅ13-11 ta53
LZ,Lanzhou,08,不是那么做，要这么做。,不是那么的个做法，这么做着哩,,,pu13-22 ʂʅ13 lɛ13-11 mə̃n53 ti21 kə21 tsu13-11 fa13 tʂʅ13-11 mə̃n53 tsu13-11 tʂə53 li21
LZ,Lanzhou,09,太多了，用不着那么多，只要这么多就够了。,太多了，用不上那么些子，这么些就够了。,,,tˈɛ13-11 tuə31 lɔ21 ỹn13-22 pu13-22 ʂɑ̃13 lɛ13-11 mə̃n53 ɕiə21 tsɿ21 tsʅ13-11 mə̃n53 ɕiə21 tɕiou13 kou13-11 lɔ53
LZ,Lanzhou,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个尕，这两个哪个好些唦?,,,tʂʅ13-11 kə53 ta13 lɛ13-11 kə53 ka442 tʂʅ13-11 liɑ̃442 kə21 la442 kə21 xɔ442 ɕiə21 ʂa21
LZ,Lanzhou,11,这个比那个好。,这个赶那个好噧。,,,tʂʅ13-11 kə53 kɛ̃n442 lɛ13-11 kə53 xɔ442 mɛ̃n21
LZ,Lanzhou,12,这些房子不如那些房子好。,这些房子没有那些房子好。,,,tʂʅ13-11 ɕiə31 fɑ̃53 tsɿ13 m̩13-11 iou442 lɛ13-11 ɕiə31 fɑ̃53 tsɿ13 xɔ442
LZ,Lanzhou,13,这句话用成都话怎么说?,,,,
LZ,Lanzhou,14,他今年多大岁数了?,他今年多大了?,,,tˈa442 tɕĩn31 ȵiɛ̃n21 tuə31 ta13-11 lɔ53
LZ,Lanzhou,15,大概三十来岁吧。,大谋儿三十多了。,,,ta13-11 mu442 ɯ21 sɛ̃n31 ʂʅ13-11 tuə31 lɔ21
LZ,Lanzhou,16,这个东西有多重呢?,这个东西有多重吵?,,,tʂʅ13-11 kə53 tũn31 ɕi21 iou442 tuə31 pfə̃n13-11 ʂa53
LZ,Lanzhou,17,有五十斤重呢。,哈巴有五十来斤哩。,,,xa21 pa21 iou442-53 vu442 ʂʅ21 lɛ53 tɕĩn31 li21
LZ,Lanzhou,18,拿得动吗?,能拿动吗?,,,lə̃n53 la53 tũn13-11 ma53
LZ,Lanzhou,19,我拿得动，他拿不动。,我能拿动，他拿不动,,,və442 lə̃n53 la53 tũn13 tˈa31 la53 pu13-11 tũn13
LZ,Lanzhou,20,真不轻，重得连我也拿不动。,哦实话不轻呐，连我都拿不动呐,,,a21 ʂʅ53 xua13 pu13-11 tɕˈĩn31 la21 liɛ̃n53 və442 tou31 la53 pu13-22 tũn13-11 la53
LZ,Lanzhou,21,你说得很好，你还会说点什么呢?,你说的好哇，你还会说些啥唦,,,ȵi442 fə13-11 ti53 xɔ442 ua21 ȵi442 xɛ̃n53 xuei13-22 fə13-11 ɕiə53 sa13-11 ʂa53
LZ,Lanzhou,22,我嘴笨，我说不过他。,我的嘴笨的很，我说不过那,,,və442 ti21 tsuei442 pə̃n13-11 ti53 xə̃n442 və442 fə13-22 pu13-22 kuə13 la53
LZ,Lanzhou,23,说了一遍，又说一遍。,说了一刬，可又说了一刬,,,fə13-11 lɔ53 i13-22 tʂˈɛ̃n13 kə442-53 iou442 fə13-11 lɔ53 i13-22 tʂˈɛ̃n13
LZ,Lanzhou,24,请你再说一遍。,嘉请你重说一刬。,,,tɕia21 tɕˈĩn442-53 ȵi442 tsˈũn53 fə13-22 i13-22 tʂˈɛ̃n13
LZ,Lanzhou,25,不早了，快去吧。,不早了，快些去唦。,,,pu13-11 tsɔ442 lɔ21 kˈuɛ13-11 ɕiə53 tɕˈi13-11 ʂa53
LZ,Lanzhou,26,现在还早着呢，等一会儿再去吧。,嘉现在还早着呢，等一下了再去唦,,,tɕia442 xɛ̃n53 tsɔ442 tʂə21 li21 tə̃n442 i21 xa21 lɔ21 tsɛ13-22 tɕˈi13-11 ʂa53
LZ,Lanzhou,27,吃了饭再去好吗?,吃罢饭了再去，中哩不?,,,tʂˈʅ13-22 pa13 fɛ̃n13-11 lɔ53 tsɛ13-22 tɕˈi13 pfə̃n31 li21 pu13
LZ,Lanzhou,28,慢慢儿吃啊，不要着急。,嘉慢些吃吵，不要急。,,,tɕia21 mɛ̃n13-11 ɕiə53 tʂˈʅ13-11 ʂa53 pu13-22 lɔ13-11 tɕi53
LZ,Lanzhou,29,坐着吃比站着吃好些。,坐下了吃比站着吃好些儿。,,,tsuə13-11 xa53 lɔ21 tʂˈʅ13 pi442 tʂɛ̃n13-11 tʂə53 tʂˈʅ13 xɔ442 ɕiə21 ɯ21
LZ,Lanzhou,30,他吃了饭了，你吃了饭没有呢?,他吃了饭了，你吃了没有,,,tˈa31 tʂˈʅ13-11 lɔ53 fɛ̃n13-11 lɔ53 ȵi442 tʂˈʅ13-11 lɔ53 m̩13-11 iou442
LZ,Lanzhou,31,他去过上海，我没有去过。,那走过上海，我没有去过,,,la53 tsou442 luə21 ʂɑ̃13-11 xɛ442 və442 m̩13-11 iou442 tɕˈi13-11 kuə53
LZ,Lanzhou,32,来闻闻这朵花香不香。,嘉你闻给下这个花儿香不香。,,,tɕia21 ȵi442 və̃n53 kɯ13 xa53 tʂʅ13-11 kə53 xua31 ɯ21 ɕiɑ̃31 pu21 ɕiɑ̃31
LZ,Lanzhou,33,给我一本书。,给我给一本书。,,,kɯ442-53 və442 kɯ442 i13-11 pə̃n442 fu31
LZ,Lanzhou,34,我真的没有那本书呀。,我实话没有书。,,,və442 ʂʅ53 xua13 m̩13-11 iou442 fu31
LZ,Lanzhou,35,你告诉他。,你给那说一下。,,,ȵi442 kɯ442 la53 fə13-11 i13 xa53
LZ,Lanzhou,36,好好地走，不要跑。,嘉好好地走，不要跑了唦。,,,tɕia21 xɔ442-53 xɔ442 ti21 tsou442 pu13-22 lɔ13-11 pˈɔ442 lɔ21 ʂa21
LZ,Lanzhou,37,小心跌下去爬不上来。,小心跌下去上不来,,,ɕiɔ442 ɕĩn31 tiə13-22 xa13-11 tɕˈi53 ʂɑ̃13-22 pu13-11 lɛ53
LZ,Lanzhou,38,医生叫你多睡睡。,医生叫你多睡一会儿哩。,,,i31 ʂə̃n21 tɕiɔ13-11 ȵi442 tuə31 fei13-22 i13-11 ɯ53 li21
LZ,Lanzhou,39,抽烟或者喝茶都不许。,抽烟喝茶都不准。,,,tʂˈou31-33 iɛ̃n31 xə13-11 tʂˈa tou31 pu13-11 pfə̃n442
LZ,Lanzhou,40,烟也好，茶也好，我都不喜欢。,烟也罢，茶也罢，我都不爱,,,iɛ̃n31 iə442 pa13 tʂˈa53 iə442 pa13 və442 tou31 pu13-22 ɛ13
LZ,Lanzhou,41,不管你去不去，反正我是要去的。,不管你去不去，反正我要去哩,,,pu13-11 kuɛ̃n442 ȵi442 tɕˈi13-11 pu13-22 tɕˈi13 fɛ̃n442 tʂə̃n13 və442 iɔ13-22 tɕˈi13-11 li53
LZ,Lanzhou,42,我非去不可。,怎么下了我都要去哩,,,tsə̃n442 mə21 xa21 lɔ21 və442 tou31 iɔ13-22 tɕˈi13-11 li53
LZ,Lanzhou,43,你是哪一年来的?,嘉你是哪一年来的唦?,,,tɕia21 ȵi442 ʂʅ13-11 la442 i13-11 ȵiɛ̃n13 lɛ53 ti13 ʂa53
LZ,Lanzhou,44,我是前年到的北京。,我是前年个到北京的。,,,və442 ʂʅ13-11 tɕˈiɛ̃n53 ȵiɛ̃n13kə53 tɔ13 pə13-11 tɕĩn31 ti21
LZ,Lanzhou,45,今天开会谁的主席?,今个天开会谁是主席唦?,,,tɕĩn31 kə21 tˈiɛ̃n31 kˈɛ31 xuei13 fei53 ʂʅ13-11 pfu442 ɕi53 ʂa13
LZ,Lanzhou,46,你得请我的客。,嘉你要把我请一下哩,,,tɕia21 ȵi442 iɔ13 pa442-53 və442 tɕˈĩn442 i21 xa21 li21
LZ,Lanzhou,47,一边走，一边讲。,一面走着哩，一面说着哩,,,i13-11 miɛ̃n13 tsou442 tʂə21 li21 i13-11 miɛ̃n13 fə13-11 tʂə13 li53
LZ,Lanzhou,48,越走越远，越说越多。,越走越远了，越说越多了,,,yə13-11 tsou442 yə13-11 yɛ̃n442 lɔ21 yə13-11 fə13 yə13-11 tuə31 lɔ21
LZ,Lanzhou,49,把那个东西拿给我。,嘉把那个东西给我取给一下唦,,,tɕia21 pa442 lɛ13-11 kə53 tũn31 ɕi21 kɯ442-53 və442 tɕˈy442 kɯ21 i21 xa21 ʂa21
LZ,Lanzhou,50,有些地方把太阳叫日头。,有些地方把太阳叫日头,,,iou442 ɕiə21 ti13-11 fɑ̃31 pa442 tˈɛ13-11 iɑ̃53 tɕiɔ13-11 ʐʅ13-11 tˈou13
LZ,Lanzhou,51,您贵姓?我姓王。,你姓啥?我姓王,,,ȵi442 ɕin13-22 sa13 və442 ɕĩn13-11 vɑ̃53
LZ,Lanzhou,52,你姓王我也姓王，咱们两个人都姓王。,你姓王我也姓王，我们两个人都姓王,,,ȵi442 ɕĩn13-11 vɑ̃53 və442-53 iə442 ɕĩn13-11 vɑ̃53 və442 mə̃n21 liɑ̃442 kə21 ʐə̃n53 tou31 ɕĩn13-11 vɑ̃53
LZ,Lanzhou,53,你先去吧，我们等一会儿再去。,你先去唦，我们等一下了再去。,,,ȵi442 ɕiɛ̃n31 tɕˈi13-11 ʂa53 və442 mə̃n21 tə̃n442 i21 xa21 lɔ21 tsɛ13-22 tɕˈi13
LZ,Lanzhou,54,你抽烟不抽?/你抽不抽烟?,烟你抽哩么不抽?,,,iɛ̃n31 ȵi442 tʂˈou31 li21 ma21 pu13-11 tʂˈou31
LZ,Lanzhou,55,你认得那个人不认得?,那个人你认得认不得,,,lɛ13-11 kə53 ʐə̃n53 ȵi442 ʐə̃n13-11 tə53 ʐə̃n13-22 pu13-11 tə53
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
