dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
LZ,Lanzhou,01,有一回,有一回,,,iou442 i13-11 xuei53
LZ,Lanzhou,02,北风跟太阳在那儿争论谁的本事大,北风连日头在那塔吵着说谁的本事大,,,pə13-11 fə̃n31 liɛ̃n53 ʐʅ13-11 tˈou13 tsɛ13-22 lɛ13-11 tˈa53 tʂˈɔ442 tʂə21 fə13-11 fei53 ti13 pə̃n442 ʂʅ21 ta13
LZ,Lanzhou,03,争来争去就是分不出高低来,争来争去就是分不出个高低来,,,tʂə̃n31 lɛ53 tʂə̃n31 tɕi13 tɕiou13-11 ʂʅ13 fə̃n31 pu13-22 pfˈu13-11 kə53 kɔ31-33 ti31 lɛ21
LZ,Lanzhou,04,这时候路上来了个走道儿的,这时节路上来了个走路的,,,tʂʅ13-11 ʂʅ53 tɕiə13 lu13-11 ʂɑ̃53 lɛ53 lɔ21 i13-11 kə53 tsou442 lu13-11 ti53
LZ,Lanzhou,05,他身上穿着件厚大衣,那身上穿了件厚大衣,,,la53 ʂə̃n31 ʂɑ̃21 pfˈɛ̃n31 lɔ21 tɕiɛ̃n13-22 xou13-22 ta13-11 i31
LZ,Lanzhou,06,他们俩就说好了,他们两个就说定了,,,tˈa31 mə̃n21 liɑ̃442 kə21 tɕiou13-22 fə13-22 tĩn13-11 lɔ53
LZ,Lanzhou,07,谁能先叫这个走道儿的脱下他的厚大衣,看谁能先叫这个走路的把他的厚大衣脱掉,,,kˈɛ̃n13-11 fei53 lə̃n53 ɕiɛ̃n31 tɕiɔ13-22 tʂʅ13-11 kə53 tsou442 lu13-11 ti53 pa442-53 tˈa31 ti21 xou13-22 ta13-11 i31 tˈuə13-11 tɔ13
LZ,Lanzhou,08,就算谁的本事大,就算谁的本事大,,,tɕiou13-22 suɛ̃n13-11 fei53 ti13 pə̃n442 ʂʅ21 ta13
LZ,Lanzhou,09,北风就使劲儿地刮起来了,北风就下碴地刮开了,,,pə13-11 fə̃n31 tɕiou13-22 ɕia13-11 tʂˈa53 ti13 kua13-11 kˈɛ31 lɔ21
LZ,Lanzhou,10,不过他越是刮得厉害,可是他刮的越凶,,,kˈə442 ʂʅ13 tˈa31 kua13-11 ti53 yə13-11 ɕỹn31
LZ,Lanzhou,11,那个走道儿的把大衣裹得越紧,那个走路的就把大衣裹的越紧,,,lɛ13-11 kə53 tsou442 lu13-11 ti53 tɕiou13-11 pa442 ta13-11 i31 kuə442 ti21 yə13-11 tɕĩn442
LZ,Lanzhou,12,后来北风没法儿了,后来北风没治了,,,xou13-11 lɛ53 pə13-11 fə̃n31 mə13-22 tʂʅ13-11 lɔ53
LZ,Lanzhou,13,只好就算了,只好罢掉了,,,tʂʅ442-53 xɔ442 pa13-11 tɔ53 lɔ21
LZ,Lanzhou,14,过了一会儿,过了一时儿,,,kuə13-11 lɔ53 i13-11 ʂʅ53 ɯ13
LZ,Lanzhou,15,太阳出来了,日头出来了,,,ʐʅ13-11 tˈou13 pfˈu13-11 lɛ13 lɔ53
LZ,Lanzhou,16,他火辣辣地一晒,滋辣辣地一晒,,,tsʅ53 la13 la53 ti21 i13-11 ʂɛ13
LZ,Lanzhou,17,那个走道儿的马上就把那件厚大衣脱下来了,那个走路的一下子就把他的厚大衣脱下来了,,,lɛ13-11 kə53 tsou442 lu13-11 ti53 i13-11 xa13 tsɿ53 tɕiou13-11 pa442-53 tˈa31 ti21 lɛ13-11 kə53 xou13-22 ta13-11 i31 tˈuə13-11 xa13 lɛ53 lɔ21
LZ,Lanzhou,18,这下北风只好承认,这一下北风只好认输,,,tʂʅ13-22 i13-11 xa13 pə13-11 fə̃n31 tʂʅ442-53 xɔ442 ʐə̃n13-11 fu31
LZ,Lanzhou,19,他们俩当中还是太阳的本事大,他们两个当中还是日头的本事大,,,tˈa31 mə̃n21 liɑ̃442 jə21 tɑ̃31-33 pfə̃n31 xɛ̃n53 ʂʅ 13-11 ʐʅ13-11 tˈou13 ti53 pə̃n442 ʂʅ21 ta13
