dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone
LZ,Lanzhou,001,太阳,日头,,,ʐʅ13-11 tˈou13
A,,002,月亮,月亮,,,yə13-22 liɑ̃13
A,,003,星星,星宿,,,ɕĩn31 ɕiou21
A,,004,打雷,打雷,,,ta442 luei53
A,,005,闪电,打闪,,,ta442-53 ʂɛ̃n442
A,,006,下雨,下雨,,,ɕia13-22 y442
A,,007,下雪,下雪,,,ɕia13-22 ɕyə13
A,,008,冰雹,蛋蛋子,,,tɛ̃n13-11 tɛ̃n53 tsɿ21
A,,009,结冰,冻冰,,,tũn13-11 pɪ̃n31
A,,010,刮风,刮风,,,kua13-11 fə̃n31
A,,011,虹,杠,,,kɑ̃13
A,,012,端午节,端阳,,,tuɛ̃n31 iɑ̃21
A,,013,中秋节,八月十五,,,pa13-22 yə13 ʂʅ13-11 vu442
A,,014,除夕,三十晚夕,,,sɛ̃n31 ʂʅ13-11 vɛ̃n442 ɕi21
A,,015,今年,今年,,,tɕĩn31 ȵiɛ̃n21
A,,016,明年,明年,,,mĩn53 ȵiɛ̃n13
A,,017,去年,年时,,,ȵiɛ̃n53 ʂʅ13
A,,018,明天,明个,,,mĩn53 kə13
A,,019,昨天,昨个 ,,,tsuə53 kə13
A,,020,今天,今个,,,tɕĩn31 kə21
A,,021,星期天,星期,,,ɕĩn31 tɕˈi21
A,,022,麦子,麦子,,,mə13-11 tsɿ13
A,,023,大米,大米,,,ta13-11 mi442
A,,024,蚕豆,大豆,,,ta13-11 tou13
A,,025,向日葵,向日葵,,,ɕiɑ̃13-22 ʐʅ13-11 kˈuei53
A,,026,菠菜,绿菠菜,,,lu13-11 pə31 tsˈɛ13
A,,027,卷心菜,莲花菜,,,liɛ̃n53 xua31 tsˈɛ13
A,,028,西红柿,洋柿子,,,iɑ̃53 ʂʅ13-11 tsɿ53
A,,029,茄子,茄子,,,tɕˈiə53 tsɿ13
A,,030,白薯,红苕,,,xũn53-11 ʂɔ53
A,,031,马铃薯,洋芋,,,iɑ̃53 y13
A,,032,南瓜,南瓜,,,lɛ̃n53 kua31
A,,033,猪,猪,,,pfu31
A,,034,公猪,牙猪,,,ia53 pfu13
A,,035,母猪,母猪,,,mu442 pfu21
A,,036,公鸡,公鸡,,,kũn31 tɕi21
A,,037,母鸡,母鸡,,,mu442 tɕi21
A,,038,麻雀,麻雀儿 ,,,ma53 tɕˈiɔ13 ɯ53
A,,039,老鼠,老鼠子 ,,,lɔ442 pfˈu21 tsɿ21
A,,040,臭虫,壁虱,,,pi13-22 ʂə13
A,,041,房子(整),房子,,,fɑ̃53 tsɿ13
A,,042,房子(单),房子,,,fɑ̃53 tsɿ13
A,,043,窗户,窗子,,,pfˈɑ̃31 tsɿ21
A,,044,门坎,门坎,,,mə̃n53 kˈɛ̃n442
A,,045,厕所,茅厕,,,mɔ53 sɿ13
A,,046,厨房,厨房,,,pfˈu53-11 fɑ̃53
A,,047,烟囱,烟筒,,,iɛ̃n31 tˈũn442
A,,048,桌子,桌子,,,pfə13-11 tsɿ13
A,,049,楼梯,楼户梯 ,,,lou53 xu13 tˈi53
A,,050,头,头,,,tˈou53
A,,051,额头,奔颅,,,pə̃n31 lu21
A,,052,脸,脸盘子,,,liɛ̃n442 pˈɛ̃n21 tsɿ21
A,,053,鼻子,鼻疙瘩,,,pi53 kə13 ta53
A,,054,脖子,脖子,,,pə53 tsɿ13
A,,055,左手,左手,,,tsuə442-53 ʂou442
A,,056,右手,右手,,,iou13-11 ʂou442
A,,057,拳头,棰头,,,pfˈei53 tˈou13
A,,058,手指头,指头子,,,tʂʅ53 tˈou13 tsɿ53
A,,059,指甲,指甲,,,tʂʅ13-11 tɕia53
A,,060,膝盖,波膝盖子,,,pə442 ɕi13-22 kɛ13-11 tsɿ53
A,,061,腿,腿,,,tˈuei442
A,,062,父亲,爹,,,tiə31
A,,063,母亲,妈,,,ma31
A,,064,祖父,爷爷,,,iə53 iə13
A,,065,祖母,奶奶,,,lɛ442 lɛ21
A,,066,伯父,太太,,,ta13-11 ta53
A,,067,伯母,嬷嬷,,,ma13-11 ma53
A,,068,叔父,爸爸,,,pa53 pa13
A,,069,叔母,婶婶,,,ʂə̃n442 ʂən21
A,,070,外祖父,外爷,,,vɛ13-11 iə53
A,,071,外祖母,外奶奶,,,vɛ13-11 lɛ442 lɛ21
A,,072,舅舅,阿舅,,,a31 tɕiou13
A,,073,舅母,舅母,,,tɕiou13-11 mu442
A,,074,丈夫,男人,,,lɛ̃n53 ʐə̃n13
A,,075,妻子,女人,,,ȵy442 ʐə̃n21
A,,076,儿子,儿子,,,ɯ53 tsɿ13
A,,077,女儿,姑娘,,,ku31 ȵiɑ̃21
A,,078,早饭,早饭,,,tsɔ442 fɛ̃n21
A,,079,午饭,晌午,,,ʂɑ̃442-53 vu442
A,,080,晚饭,黑饭,,,xə13-22 fɛ̃n13
A,,081,面条,面条子,,,miɛ̃n13-11 tˈiɔ53 tsɿ13
A,,082,馒头,馍馍,,,mə53 mə13
A,,083,包子,包子,,,pɔ31 tsɿ21
A,,084,馄饨,馄饨,,,xũn53 tˈũn13
A,,085,醋,醋,,,tsˈu13
A,,086,酱油,清酱,,,tɕˈĩn31 tɕiɑ̃13
A,,087,盐,盐,,,iɛ̃n53
A,,088,筷子,筷子,,,kˈuɛ13-11 tsɿ53
A,,089,勺儿,勺子,,,fə53 tsɿ13
A,,090,男人,男人,,,lɛn53 ʐə̃n13
A,,091,女人,女人,,,ȵy442 ʐə̃n21
A,,092,男孩子,儿娃子,,,ɯ53 va53 tsɿ13
A,,093,女孩子,女子,,,ȵy442 tsɿ21
A,,094,老头儿,老汉,,,lɔ442 xɛ̃n21
A,,095,医生,先生,,,ɕiɛ̃n31 ʂə̃n21
A,,096,厨师,厨子,,,pfˈu53 tsɿ13
A,,097,乞丐,要着吃的,,,iɔ13-11 tʂə53 tʂˈʅ21 ti21
A,,098,保姆,做活的,,,tsu13-11 xuə53 ti13
A,,099,病了,病下了,,,pĩn13-11 xa53 lɔ21
A,,100,伤风,凉着了,,,liɑ̃53 pfə13 lɔ53
A,,101,泻肚,跑肚着哩,,,pˈɔ442 tu13 tʂə53 li21
A,,102,瘸子,瘸子,,,tɕˈyə53 tsɿ13
A,,103,驼背,背锅子,,,pei31 kuə21 tsɿ21
A,,104,死了,死了,,,sɿ442 lɔ21
A,,105,看病,看病,,,kˈɛ̃n13-22 pĩn13
A,,106,我,我,,,və442
A,,107,你,你,,,ȵi442
A,,108,他,他,,,tˈa31
A,,109,我们,我们,,,və442 mə̃n21
A,,110,你们,你们,,,ȵi442 mə̃n21
A,,111,他们,他们,,,tˈa31 mə̃n21
A,,112,咱们,我们,,,və442 mə̃n21
A,,113,自己,个家,,,kə13-11 tɕia53
A,,114,谁,谁,,,fei53
A,,115,什么,啥,,,sa13
A,,116,这里,这塔塔,,,tʂʅ13-11 tˈa53 tˈa21
A,,117,那里,那塔塔,,,la13-11 tˈa53 tˈa21
A,,118,哪里,哪搭搭,,,la442 ta21 ta21
A,,119,这个,这一个,,,tʂʅ13-11 i53 kə21
A,,120,那个,那一个,,,lɛ13-11 i53 kə21
A,,121,哪一个,哪一个,,,la442 i21 kə21
A,,122,怎么样,怎么了,,,tsə̃n31 m̩21 lɔ21
A,,123,一位客人,一个客,,,
