dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
PY,Pingyao,01,谁啊?我是老三。,谁咧?我是老三,,,suei13 liʌʔ13 ŋiE53 sɿ35 lɔ53 sɑŋ13
PY,Pingyao,02,老四呢?她正跟一个朋友说着话呢。,老四咧?兀家正和块朋友捣歇咧。,,,lɔ53 sɿ35 liʌʔ13-53 uʌʔ13 tɕiɑ13 tʂʅ35 xu53 xuæ53 pˈəŋ13-35 iəu53-423 tɔ53 ɕiʌʔ13 liʌʔ13
PY,Pingyao,03,她还没说完吗?,兀家还没啦说完咧?,,,uʌʔ13 tɕiɑ13 xɑŋ13 mʌʔ53 lɑ13 suʌʔ13 uɑŋ13 liʌʔ13
PY,Pingyao,04,还没有。大概再有一会儿就说完了。,没啦咧。还得₂阵阵,,,mɑ53-423 liʌʔ13-35 xɑŋ13 tiʌʔ13 tʂəŋ35 tʂəŋ35-53
PY,Pingyao,05,他说马上就走，怎么这半天了还在家里?,兀家说凑住就走，咋底这应盏番还在居舍咧?,,,uʌʔ13 tɕiɑ13 suʌʔ13 tsˈəu35 tsɥ35-53 tɕiəu35 tsəu53 tsɑ53 ti53-35 tsʌʔ53 iŋ31 tsɑŋ53 xuɑŋ13 xɑŋ13 tsæ35 tɕyE13 ʂʅE35-13 liʌʔ13
PY,Pingyao,06,你到哪儿去?我到城里去。,你到哪儿的味?我到城合里的崃,,,n̩53 tɔ35 lɑ13 ʐʌʔ13 tiʌʔ13 læ13 ŋiE53 tɔ35 tʂˈəŋ13 xʌʔ53 lei53-423 tiʌʔ13 læ13
PY,Pingyao,07,在那儿，不在这儿。,在𠰻儿，不在哰儿。,,,tsæ35 uæ35-53 ʐʌʔ13 pʌʔ13 tsæ35 tsæ53 ʐʌʔ13
PY,Pingyao,08,不是那么做，要这么做。,不是兀底块做，要这底块做。,,,pʌʔ13-31 sɿ35 uʌʔ13-35 ti53 xuæ53 tsuʌʔ13 iɔ35 tsʌʔ53-31 ti53 xuæ53 tsuʌʔ13
PY,Pingyao,09,太多了，用不着那么多，只要这么多就够了。,太多了，用不着兀些些，这些些就行了,,,tˈæ35 tei13-31 lɑ31 yŋ35 pʌʔ13-53 tsuʌʔ13 uʌʔ13-53 ɕiE13-31 ɕiE13-35 tsʌʔ53 ɕiE13-31 ɕiE13-35 tɕiəu35-53 ɕiɑ13-35 liɑ53-423
PY,Pingyao,10,这个大，那个小，这两个哪一个好一点呢?,这块大，兀块小，这两块哪一块好些儿咧,,,tsʌʔ53 xuæ53 tei35 uʌʔ13-35 xuæ53-423 ɕiɔ53 tsʌʔ53 liɑŋ53 xuæ53 lɑ13 iʌʔ13-31 xuæ53 xɔ53 ɕiE13-31 ʐʌʔ13-35 liʌʔ13
PY,Pingyao,11,这个比那个好。,这块比兀块好,,,tsʌʔ53 xuæ53 pi53 uʌʔ13-35 xuæ53 xɔ53
PY,Pingyao,12,这些房子不如那些房子好。,这些儿房子不抵兀些房子好,,,tsʌʔ53 ɕiE13-31 ʐʌʔ13 xuə13 tsʌʔ13 pʌʔ13-35 ti53 uʌʔ13 ɕiE13-31 ʐʌʔ13-35 xuə13 tsʌʔ13 xɔ53
PY,Pingyao,13,这句话用成都话怎么说?,,,,
PY,Pingyao,14,他今年多大岁数了?,兀家今年多少年纪了,,,uʌʔ13 tɕiɑ13 tɕiŋ13-31 ȵiE13-35 tei13 ʂɔ53 ȵiE13-31 tɕi35 liɑ31
PY,Pingyao,15,大概三十来岁吧。,约摸有三十来岁哇,,,yʌʔ13-31 mʌʔ53 iəu53 sɑŋ13-31 ʂʌʔ53 læ13 suei35 uɑ31
PY,Pingyao,16,这个东西有多重呢?,这块东西有多来重咧?,,,tsʌʔ53 xuæ53 tuŋ13-31 sei13 iəu53 tei13 læ13-31 tsuŋ35 liʌʔ13
PY,Pingyao,17,有五十斤重呢。,有五十斤重咧,,,iəu53 uʌʔ53 ʂʌʔ53 tɕiŋ13-31 tsuŋ35 liʌʔ13
PY,Pingyao,18,拿得动吗?,荷动了,,,xei53 tuŋ35 lɔ53
PY,Pingyao,19,我拿得动，他拿不动。,我荷动了，兀家荷不动,,,ŋiE53 xei53 tuŋ35 lɔ53 uʌʔ13 tɕiɑ13xei53 pʌʔ13-31 tuŋ35
PY,Pingyao,20,真不轻，重得连我也拿不动。,不轻咧，连我也荷不动,,,pʌʔ13 tɕˈiŋ13 liʌʔ13 liE13 ŋiE53 iE53 xei53 pʌʔ13-31 tuŋ35
PY,Pingyao,21,你说得很好，你还会说点什么呢?,你说得不赖，你还会说些儿甚咧,,,n̩53 suʌʔ13-31 tiʌʔ13-35 pʌʔ13-31 læ35 n̩53 xɑŋ13-31 xuæ35 suʌʔ13-31 ɕiE13-31 ʐʌʔ13-35 ʂəŋ35 liʌʔ13
PY,Pingyao,22,我嘴笨，我说不过他。,我嘴笨，我说不过兀家的,,,ŋiE53 tsuei53 pəŋ35 ŋiE53 suʌʔ13-31 pʌʔ13-31 kuei35 uʌʔ13 tɕiɑ13-31 tiʌʔ13-35
PY,Pingyao,23,说了一遍，又说一遍。,说了一遍，又说一遍,,,suʌʔ13-53 lɔ53 iʌʔ13-31 piE35 iəu35 suʌʔ13-31 iʌʔ13-31 piE35
PY,Pingyao,24,请你再说一遍。,请你再说一遍,,,tɕˈiŋ53-35 n̩53 tsæ35 suʌʔ13-53 iʌʔ13-31 piE35
PY,Pingyao,25,不早了，快去吧。,不早了，快些儿去哇,,,pʌʔ13-31 tsɔ53 lɑ31 kˈuæ35 ɕiE13-53 ʐʌʔ13-31 tɕˈy35 uɑ53
PY,Pingyao,26,现在还早着呢，等一会儿再去吧。,这阵阵还早咧，等阵阵再去哇,,,tsʌʔ53 tʂəŋ35 tʂəŋ35-53 xɑŋ13 tsɔ53 liʌʔ13 təŋ53 tʂəŋ35 tʂəŋ35-53 tsæ35 tɕˈy35-53 uɑ31
PY,Pingyao,27,吃了饭再去好吗?,吃了饭再去行不行,,,tʂˈʌʔ13-31 lɔ53 xuɑŋ35 tsæ35 tɕˈy35-53 ɕiɑ13 pʌʔ13-31 ɕiɑ13-35
PY,Pingyao,28,慢慢儿吃啊，不要着急。,慢些儿吃，不用着急,,,mɑŋ35 ɕiE13-31 ʐʔ13 tʂˈʌʔ13 pʌʔ13-31 yŋ35 tʂɔ13 tɕiʌʔ13
PY,Pingyao,29,坐着吃比站着吃好些。,坐的吃比站的吃好些儿,,,tɕyE35 tiʌʔ13-31 tʂˈʌʔ13 pi53 tsɑŋ35 tiʌʔ13-31 tʂˈʌʔ13 xɔ53 ɕiE13-31 ʐʌʔ13
PY,Pingyao,30,他吃了饭了，你吃了饭没有呢?,兀家吃了饭了，你吃了饭了没啦,,,uʌʔ13 tɕiɑ13 tʂˈʌʔ13 lɔ53 xuɑŋ35 lɑ31 n̩53 tʂˈʌʔ13 lɔ53 xuɑŋ35 lɑ53 mʌʔ53 lɑ13
PY,Pingyao,31,他去过上海，我没有去过。,兀家去过上海，我没啦去过,,,uʌʔ13 tɕiɑ13 tɕˈy35 kuei35-53 ʂɑŋ35 xæ ŋiE53 mʌʔ53 lɑ13 tɕˈy35 kuei35-53
PY,Pingyao,32,来闻闻这朵花香不香。,你来闻闻这朵花香不香,,,n̩53 læ13 uŋ13-35 uŋ13-53 tsʌʔ53-35 tuei53 xuɑ13-31 ɕiɑŋ13-31 pʌʔ13 ɕiɑŋ13-31
PY,Pingyao,33,给我一本书。,给我一本书,,,tɕy53 ŋiE53 iʌʔ13-31 pəŋ53 sɥ13-31
PY,Pingyao,34,我真的没有那本书呀。,我真的没啦兀本书,,,ŋiE53 tʂəŋ13-31 tiʌʔ13-35 mʌʔ53 lɑ13 uʌʔ13-35 pəŋ53 sɥ13-31
PY,Pingyao,35,你告诉他。,你告给兀家,,,n̩53 kɔ35 tɕy53 uʌʔ13 tɕiɑ13
PY,Pingyao,36,好好地走，不要跑。,好好底走，不用跑,,,xɔ53 xɔ53-35 ti53 tsəu53 pʌʔ13-31 yŋ35 pˈɔ53
PY,Pingyao,37,小心跌下去爬不上来。,小心跌下去爬不上来。,,,ɕiɔ53 ɕiŋ13-31 tiʌʔ13-31 xɑ35 tiʌʔ13-31 pɑ13 pʌʔ13 suə35 læ31
