dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
PY,Pingyao,01,有一回,,,,iəu53 iʌʔ13 mʌʔ53
PY,Pingyao,02,北风跟太阳在那儿争论谁的本事大,,,,pʌʔ13-31 xuŋ13-35 xu53 ʐʌʔ53 təu13-53 iE13-31 tsæ35 uæ35 ʐʌʔ13-53 tsəŋ13-31 luŋ35 suei13 məŋ13 tiʌʔ13-31 pəŋ53 sɿ35 tei35
PY,Pingyao,03,争来争去就是分不出高低来,,,,tsəŋ13-31 læ13 tsəŋ13-31 tɕˈy35 tɕiəu35 sɿ35-31 xuŋ13-31 pʌʔ13 tsˈuʌʔ13 xuæ53 kɔ13-31 ti13-35 læ13
PY,Pingyao,04,这时候路上来了个走道儿的,,,,tsʌʔ53 tʂəŋ35-53 ləu35 ləu35-53 xɔ35-53 læ13 lɔ53 xuæ53 tsəu53 tɔ35 tɔ35-53 tiʌʔ13-31
PY,Pingyao,05,他身上穿着件厚大衣,,,,uʌʔ13 tɕiɑ13 ʂəŋ13-31 xɔ35 tsˈuə13-31 tiʌʔ13-31 tɕiE35 ɕy35 ŋɔ53 ʐʌʔ13
PY,Pingyao,06,他们俩就说好了,,,,uʌʔ13 tɕiɑ13 liɑŋ53 xuæ53 suʌʔ13-31 xɔ53 lɑ31
PY,Pingyao,07,谁能先叫这个走道儿的脱下他的厚大衣,,,,suei13-31 nəŋ13 ɕiE13-31 tɕiɔ35 uʌʔ13 xuæ53 tsəu53 tɔ35 tɔ35-53 tiʌʔ13-31 ɕy35 ŋɔ53 ʐʌʔ31 læ13
PY,Pingyao,08,就算谁的本事大,,,,tɕiəu35 suɑŋ35-53 suei13-31 tiʌʔ13-31 pəŋ53 sɿ35-31 tei35
PY,Pingyao,09,北风就使劲儿地刮起来了,,,,pʌʔ13-31 xuŋ13-35 tɕiəu35 sɿ53 tɕiŋ35 tɕiŋ35-53 ti53 kuʌʔ13
PY,Pingyao,10,不过他越是刮得厉害,,,,uʌʔ13 tɕiɑ13 yʌʔ13-31 sɿ35 kuʌʔ13-31 tiʌʔ13-31 li35 xæ35-31
PY,Pingyao,11,那个走道儿的把大衣裹得越紧,,,,uʌʔ13-35 xuæ53 tsəu53 tɔ35 tɔ35-53 tiʌʔ13-31 pɑ53 uæ35 ɕy35 ŋɔ53 ʐʌʔ13 kuei53 tiʌʔ13 yʌʔ13-35 tɕiŋ53
PY,Pingyao,12,后来北风没法儿了,,,,xəu35 ʂəu53 ʐʌʔ13 pʌʔ13-31 xuŋ13-35 mʌʔ53 pɑŋ35 xuʌʔ13-31
PY,Pingyao,13,只好就算了,,,,tsɿ13-31 xɔ53 tɕiəu35 suɑŋ35 liɑ31
PY,Pingyao,14,过了一会儿,,,,kuei35 lɔ53 iʌʔ13-31 tʂəŋ35 tʂəŋ35-53
PY,Pingyao,15,太阳出来了,,,,ʐʌʔ53 təu13-53 iE13-31 tsˈuʌʔ13-31 læ13-31 lɑ31
PY,Pingyao,16,他火辣辣地一晒,,,,uʌʔ13 tɕiɑ13 xuei53 ŋɔ35 ŋɔ35-53 ti53 iʌʔ13-31 sæ35
PY,Pingyao,17,那个走道儿的马上就把那件厚大衣脱下来了,,,,uʌʔ13-35 xuæ53 tsəu53 tɔ35 tɔ35-53 tiʌʔ13-31 tɕiŋ53 kɑŋ53-35 tɕiŋ53 tɕiəu35 pɑ53 uʌʔ13-35 tɕiE35 tɕiE35-53 ɕy35 ŋɔ53 ʐʌʔ13 tˈuʌʔ13-31 xɑ135-31 læ13-35 liɑ53
PY,Pingyao,18,这下北风只好承认,,,,tsʌʔ53 xɑ35 xɑ35-53 pʌʔ13-31 xuŋ13-35 tsɿ13-31 xɔ53 tʂˈəŋ13-31 ʐəŋ35
PY,Pingyao,19,他们俩当中还是太阳的本事大,,,,uʌʔ13 tɕiɑ13 liɑŋ53 xuæ53 tuə13-31 tsuŋ13-35 xɑŋ13-31 sɿ35 ʐʌʔ53 təu13-53 iE13-31 tiʌʔ13 pəŋ53 sɿ35 tei35
