dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone
PY,Pingyao,001,太阳,日头爷 ,,,ʐʌʔ53 təu13-53 iE13-31
PY,Pingyao,002,月亮,月明爷,,,yʌʔ53 mi13-53 iE13-31
PY,Pingyao,003,星星,星宿 ,,,sei13 ɕiəu35-13
PY,Pingyao,004,打雷,响雷 ,,,ɕiɑŋ53 luæ13
PY,Pingyao,005,闪电,打闪,,,tɑ53-35 ʂɑŋ53-423
PY,Pingyao,006,下雨,下雨,,,xɑ35 y53-423
PY,Pingyao,007,下雪,下雪 ,,,xɑ35-13 ɕyʌʔ13
PY,Pingyao,008,冰雹,冷弹子,,,ləŋ53 tɑŋ35-31 tsʌʔ13-35
PY,Pingyao,009,结冰,冻下冻凌了,,,tuŋ35 xɑ53 tuŋ35-31 li35 lɑ53
PY,Pingyao,010,刮风,刮风 ,,,kuʌʔ13 xuŋ13
PY,Pingyao,011,虹,虹,,,tɕyə35
PY,Pingyao,012,端午节,五月端午,,,u53 yʊʔ53 tuɑŋ13-31 u53
PY,Pingyao,013,中秋节,八月十五 ,,,pʌʔ13-31 yʌʔ53 ʂʌʔ53-35 u53
PY,Pingyao,014,除夕,年除下 ,,,ȵiE13 tsɥ13-31 xɑ35
PY,Pingyao,015,今年,今年 ,,,tɕiŋ13-31 ȵiE13
PY,Pingyao,016,明年,来年 ,,,læ13 ȵiE13
PY,Pingyao,017,去年,年时 ,,,ȵiE13 sɿ13
PY,Pingyao,018,明天,第明 ,,,ti35 mi13-53
PY,Pingyao,019,昨天,夜来 ,,,iE35 læ13-53
PY,Pingyao,020,今天,今日,,,tɕiŋ13-31 ʐʌʔ53
PY,Pingyao,021,星期天,礼拜日,,,li53 pæ35-31 ʐʌʔ53
PY,Pingyao,022,麦子,麦子 ,,,miʌʔ53 tsʌʔ13
PY,Pingyao,023,大米,大米 ,,,tɑ35 mi53
PY,Pingyao,024,蚕豆,大豆,,,tɑ35 təu35-53
PY,Pingyao,025,向日葵,朝阳花 ,,,tʂˈɔ13 iɑŋ13 xuɑ13
PY,Pingyao,026,菠菜,青菜 ,,,tsˈei13 tsˈæ35-13
PY,Pingyao,027,卷心菜,茴子白,,,xuæ13 tsʌʔ13 pæ13
PY,Pingyao,028,西红柿,洋柿子,,,iɑŋ13-31 sɿ35 tsʌʔ13-53
PY,Pingyao,029,茄子,茄子 ,,,tɕiE13 tsʌʔ13
PY,Pingyao,030,白薯,红薯 ,,,xuŋ13-35 sɥ53-423
PY,Pingyao,031,马铃薯,山药蛋 ,,,sɑŋ13-31 iʌʔ53 tɑŋ35
PY,Pingyao,032,南瓜,南瓜 ,,,nɑŋ13 kuɑ13
PY,Pingyao,033,猪,猪儿 ,,,tsɥ13-31 ʐʌʔ13-35
PY,Pingyao,034,公猪,牙猪 ,,,ȵiɑ13 ʐʌʔ13
PY,Pingyao,035,母猪,母猪 ,,,mu53 ʐʌʔ13
