dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
SH,Shanghai,01,谁啊?我是老三。,啥人?我是阿三,,,sa35-33 ȵiŋ13-44 ŋu13 zɿ13 aʔ5-3 se53-44
SH,Shanghai,02,老四呢?她正跟一个朋友说着话呢。,阿四呢?伊正辣海搭一个朋友讲闲话,,,sɿ35-44 ne13-21 i35 tsəŋ35 laʔ1-1 he35-23 taʔ5 iɪʔ5-3 ɦəʔ1-44 bɑ̃13-22 ɦiɤ13-44 kɑ̃35-44 ɦe13-22 ɦo13-44
SH,Shanghai,03,她还没说完吗?,伊还既没讲好啊,,,ɦi13 ɦɛ13 ɦm̩13-22 məʔ1-4 kɑ̃35-33 hɔ35-55 ɦa13-21
SH,Shanghai,04,还没有。大概再有一会儿就说完了。,还呒没。大概再讲一歇就讲好勒,,,ɦɛ13 ɦm̩13-22 məʔ1-4 da13-22 ke35-44 tse35 kɑ̃35-33 iɪʔ5-55 ɕiɪʔ5-21 ʑiɤ13 kɑ̃35-33 hɔ35-55 ləʔ1-21
SH,Shanghai,05,他说马上就走，怎么这半天了还在家里?,伊讲马上就走，哪能介许多辰光还辣辣屋里向,,,ɦi13-33 kɑ̃35 mo13-22 zɑ̃13-44 ʑiɤ13 tsɤ13 na13-22 nəŋ13-44 ka35-33 ɕy35-55 du13-21 zəŋ13-22 kuɑ̃53-44 ɦɛ13 laʔ1-1 laʔ1-23 o5-3 li13-55 ɕiã35-21
SH,Shanghai,06,你到哪儿去?我到城里去。,侬到啥地方去?我到上海去,,,noŋ13-22 tɔ35 sa35-33 di13-55 fɑ̃53-21 tɕˈi35 ŋo13-22 tɔ35 zɑ̃13-22 he35-44 tɕˈi35
SH,Shanghai,07,在那儿，不在这儿。,辣哀面，勿辣掰搭,,,laʔ1 ɛ53-55 mi13-21 vəʔ1-2 laʔ1-1 gəʔ1-1 taʔ5-23
SH,Shanghai,08,不是那么做，要这么做。,勿要哀能做，是要搿能介做,,,vəʔ1-1 iɔ35-23 ɛ53-33 nəŋ13-44 tsu35 zɿ13-22 iɔ35 gəʔ1-1 nəŋ13-22 ka35-23 tsu35
SH,Shanghai,09,太多了，用不着那么多，只要这么多就够了。,忒多勒，勿要介许多，只要搿点就够勒,,,tˈəʔ5-3 du13-55 ləʔ1-21 vəʔ1-1 iɔ35-23 ka35-33 ɕy35-55 du13-21 tsəʔ5-3 iɔ35-44 gəʔ1-1 ti35-23 ʑiɤ13-22 kɤ35-44 ləʔ1-21
SH,Shanghai,10,这个大，那个小，这两个哪一个好一点呢?,搿只大，哀只小，两只里向鞋里一只好一眼呢,,,gəʔ1-1 tsaʔ5-23 du13 e53-55 tsaʔ5-21 ɕiau35 liã13-22 tsaʔ5-44 li13-22 ɕiã35-44 ɦa13-22 li13-55 iɪʔ5-33 tsãʔ5-21 hɔ35-33 iɪʔ5-5 ŋe13-33 ne13-21
SH,Shanghai,11,这个比那个好。,迭个比哀个好。,,,diɪʔ1-1 ɦəʔ1-23 pi35 ɛ53-55 ɦəʔ1-21 hɔ53-35
SH,Shanghai,12,这些房子不如那些房子好。,迭眼房子比伊面一眼房子推板,,,diɪʔ1-1 ŋe13-23 vɑ̃13-22 tsɿ35-44 pi35 i53-55 mi13-21 iɪʔ5-3 ŋe13-4 vã13-22 tsɿ35-44 tˈe53-55 pe35-21
SH,Shanghai,13,这句话用成都话怎么说?,,,,
SH,Shanghai,14,他今年多大岁数了?,伊今年几岁勒,,,ɦi13 tɕiŋ53-55 ȵi13-21 tɕi35-33 sø35-55 ləʔ1-21
SH,Shanghai,15,大概三十来岁吧。,大约三十岁横里㘺,,,da13-22 iaʔ5-44 se53-55 səʔ5-23 sø35-21 ɦuã13-22 li13-55 vaʔ1-21
SH,Shanghai,16,这个东西有多重呢?,搿只物事有几化重,,,gəʔ1 tsaʔ5 ɦməʔ13-22 zɿ13-44 ɦiɤ13 tɕi35-33 ho35-33 zoŋ13
SH,Shanghai,17,有五十斤重呢。,有得五十斤重,,,ɦiɤ13-33 təʔ5 ŋ̩13-22 səʔ5-55 tɕiŋ53-21 zoŋ13
SH,Shanghai,18,拿得动吗?,拿得动吪,,,ne53-55 təʔ5-33 doŋ13-33 vaʔ1-21
SH,Shanghai,19,我拿得动，他拿不动。,我拿得动，伊拿勿动,,,ŋo13 ne53-55 təʔ5-33 doŋ13-21 ɦi13 ne53-55 vəʔ1-33 doŋ13-21
SH,Shanghai,20,真不轻，重得连我也拿不动。,真勿轻，重得来连我也拿勿动,,,tsəŋ53-44 vəʔ1-1 tɕˈiŋ53-23 zoŋ13-22 təʔ5-55 le13-21 li13-33 ŋo13 ɦɑ13 ne53-55 vəʔ1-33 doŋ13-21
SH,Shanghai,21,你说得很好，你还会说点什么呢?,侬讲得老好个，侬还会讲点啥呢,,,noŋ13 kɑ̃35-44 təʔ5 lɔ35-22 hɔ35-55 ɦə21 noŋ13 ɦɛ13-22 ɦue13-44 kɑ̃35-33 ti35-55 sa35-33 nə13-21
SH,Shanghai,22,我嘴笨，我说不过他。,我闲话讲勿大来，我讲勿过伊,,,ɦo13-44 kɑ̃35-33 vəʔ1-55 da13-33 le13-21 ŋo13 kɑ̃35-33 vəʔ1-55 ku35-33 ɦi13-21
SH,Shanghai,23,说了一遍，又说一遍。,讲勒一遍，又讲一遍,,,kɑ̃35-23 ləʔ1-55 iɪʔ5-33 pi35-21 ɦiɤ13 kã35-33 iɪʔ5-55 pi35-21
SH,Shanghai,24,请你再说一遍。,请侬再讲一遍,,,tɕˈiŋ35-33 noŋ13-44 tse35 kɑ̃35-33 iɪʔ5-55 pi35-21
SH,Shanghai,25,不早了，快去吧。,勿早勒，豪悛去吪,,,vəʔ1-1 tsɔ35-23 ləʔ1-21 ɦɔ13-22 sɔ35-44 tɕˈi35-33 vaʔ1-44
