dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
SH,Shanghai,01,有一回,,,,ɦiɤ13-22 tˈɑ̃35-55 tsɿ35-21
SH,Shanghai,02,北风跟太阳在那儿争论谁的本事大,,,,poʔ5-3 foŋ53-44 təʔ5-3 tˈa35-33 ɦiã13-44 tsəŋ35-33 hɔ35-44 ləʔ1-1 leʔ1-23 tsã53 sa35-33 ȵiŋ13-55 ɦəʔ1-21 pəŋ35-33 zɿ13-44 du13
SH,Shanghai,03,争来争去就是分不出高低来,,,,tsã53-55 le13-21 tsã53-33 tɕˈii35-21 tsã53-55 vəʔ1-3 tɕˈiŋ53-33 sɑ̃35-44 ɦəʔ1-21 zəŋ13-22 kuɑ̃55-44
SH,Shanghai,04,这时候路上来了个走道儿的,,,,lu13-22 lɑ̃13-55 ɕiã53-21 tsɤ35-33 ku35-55 le13-21 iɪʔ5-3 ɦəʔ1-44 ȵiŋ13
SH,Shanghai,05,他身上穿着件厚大衣,,,,səŋ53-55 lɑ̃13-21 tsaʔ5-3 ləʔ1-3 iɪʔ5-44 dʑi13-44 ɦɤ13-22 da13-55 i53-21
SH,Shanghai,06,他们俩就说好了,,,,ɦi13-22 la53-44 liã13-22 ka53-55 dɤ13-21 ʑiɤ13 ɦuã13-33 toŋ53-55 dɔ13-21 kɑ̃35-33 hɔ35-44
SH,Shanghai,07,谁能先叫这个走道儿的脱下他的厚大衣,,,,tɕˈia35-33 sɿ35-44 sa35-33 ȵiŋ13-44 nəŋ13-22 kɤ35-44 ɕi53-55 tɕiɔ35-21 diɪʔ1-1 ɦəʔ1-23 tsɤ35-33 lu13-55 ɦəʔ1-21 ȵiŋ13 tˈəʔ5-3 tˈəʔ5-44 ɦi13-22 ɦəʔ1-4 ɦɤ13-22 da13-55 i53-21
SH,Shanghai,08,就算谁的本事大,,,,ʑiɤ13-22 sø35-44 sa35-33 ȵiŋ13-55 ɦəʔ1-21 pəŋ35-33 zɿ13-44 du13
SH,Shanghai,09,北风就使劲儿地刮起来了,,,,poʔ5-3 foŋ53-44 dʑiɤ13 ɦioŋ13-22 tsoʔ5-5 tsɿ35-21 liɪʔ1-1 tɕˈi35-23 dʑioŋ13-22 tsˈɿ53-55 paʔ5-3 tsˈɿ53-33 ləʔ1-21
SH,Shanghai,10,不过他越是刮得厉害,,,,poʔ5-3 ku35-44 tɕiɔ35-44 sa35 ɦi13-33 ɦyɪʔ1 tsˈɿ53-55 təʔ5-21 tɕiɪʔ5-3 kuən35-55 məʔ1-21
SH,Shanghai,11,那个走道儿的把大衣裹得越紧,,,,diɪʔ1-1 ɦəʔ1-23 tsɤ35-33 lu13-55 ȵiŋ13-21 dʑiɤ13-33 ne53 da13-22 i53-44 ku35-33 təʔ5-4 ɦyɪʔ1-2 tɕiŋ35
SH,Shanghai,12,后来北风没法儿了,,,,ɦɤ13-22 sɤ35-55 le13-21 poʔ5-3 foŋ53-44 ɦm̩13-22 məʔ1-2 tɕiŋ35-2 ləʔ1-4
SH,Shanghai,13,只好就算了,,,,tsəʔ5-33 hɔ35-44 vəʔ1-2 tsˈɿ53-55 ləʔ1-21
SH,Shanghai,14,过了一会儿,,,,ne13-22 tsoŋ35-55 məʔ1-21
SH,Shanghai,15,太阳出来了,,,,tˈa35-33 ɦiã13-44 tsˈəʔ5-3 le13-55 ləʔ1-21
SH,Shanghai,16,他火辣辣地一晒,,,,ɦi13 laʔ1-1 huaʔ5-2 huaʔ5-2 ɦəʔ1-23 iɪʔ5-3 so35-55
SH,Shanghai,17,那个走道儿的马上就把那件厚大衣脱下来了,,,,diɪʔ1-1 ɦəʔ1-23 tsɤ35-33 lu13-55 ȵiŋ13-21 ma13-22 zɑ̃13-44 ʑiɤ13-33 ne53 i53-55 dʑi13-21 da13-22 i53-44 tˈəʔ5-3 ɦo13-55 le13-33 ləʔ1-21
SH,Shanghai,18,这下北风只好承认,,,,ne13-22 məʔ1-4 poʔ5-3 foŋ53-44 tsəʔ5-3 hɔ35-44 zəŋ13-22 ȵiŋ13-44
SH,Shanghai,19,他们俩当中还是太阳的本事大,,,,liã13-22 ka53-55 dɤ13-21 tɑ̃53-55 tsoŋ53-21 ɦe13-22 zɿ13-44 tˈa35-33 ɦiã13-55 ɦəʔ1-21 pəŋ35-33 zɿ13-44 du13
