dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone
SH,Shanghai,001,太阳,太阳,,,tˈa34-33 ɦiã13-44
SH,Shanghai,002,月亮,月亮,,,ɦyɪʔ1-11 liã13-23
SH,Shanghai,003,星星,星,,,ɕiŋ53
SH,Shanghai,004,打雷,雷响,,,le13-22 ɕiã34-44
SH,Shanghai,005,闪电,霍险,,,hoʔ5-3 ɕi35-44
SH,Shanghai,006,下雨,落雨,,,loʔ1-1 ɦy23
SH,Shanghai,007,下雪,落雪,,,loʔ1-1 ɕiɪʔ5-23
SH,Shanghai,008,冰雹,冰雹,,,piŋ53-55 bɔ3-21
SH,Shanghai,009,结冰,结冰 ,,,tɕiɪʔ5-4 piŋ53
SH,Shanghai,010,刮风,起风,,,tɕˈi35-33 foŋ53-44
SH,Shanghai,011,虹,鲎,,,hɤ35
SH,Shanghai,012,端午节,端午 ,,,tø53-55 ɦŋ̩13-21
SH,Shanghai,013,中秋节,中秋,,,tsoŋ53-55 tɕˈiɤ53-21
SH,Shanghai,014,除夕,大年夜,,,du13-22 ȵi13-55 ɦia13-21
SH,Shanghai,015,今年,今年,,,tɕiŋ53-55 ȵi13-21
SH,Shanghai,016,明年,开年,,,kˈe53-55 ȵi13-21
SH,Shanghai,017,去年,旧年,,,dʑiɤ13-22 ȵi13-44
SH,Shanghai,018,明天,明朝,,,miŋ13-22 tsɔ53-44
SH,Shanghai,019,昨天,昨日,,,zoʔ1-1 ȵiɪʔ1-23
SH,Shanghai,020,今天,今朝 ,,,tɕiŋ53-55 tsɔ53-21
SH,Shanghai,021,星期天,礼拜天,,,li13-22 pa35-44 tˈi53-21
SH,Shanghai,022,麦子,麦子,,,maʔ1-1 tsɿ35-23
SH,Shanghai,023,大米,大米 ,,,du13-22 mi13-44
SH,Shanghai,024,蚕豆,寒豆,,,ɦø13-22 dɤ13-44
SH,Shanghai,025,向日葵,向日葵 ,,,ɕiã35-33 zəʔ12-55 gue13-21
SH,Shanghai,026,菠菜,菠菜 ,,,pu53-55 tsˈe35-21
SH,Shanghai,027,卷心菜,卷心菜 ,,,tɕyø35-33 ɕiŋ53-55 tsˈe35-21
SH,Shanghai,028,西红柿,番茄 ,,,fe53-55 ga13-21
SH,Shanghai,029,茄子,落苏,,,loʔ1-1 su53-23
SH,Shanghai,030,白薯,山芋 ,,,se53-55 ɦy13-21
SH,Shanghai,031,马铃薯,洋山芋,,,ɦiã13-22 se53-55 ɦy13-21
SH,Shanghai,032,南瓜,饭瓜 ,,,ve13-22 ko53-44
SH,Shanghai,033,猪,猪猡 ,,,tsɿ53-55 lu13-21
SH,Shanghai,034,公猪,猪郎,,,tsɿ53-55 lɑ̃13-21
SH,Shanghai,035,母猪,老母猪,,,lɔ13-22 m̩55 tsɿ53-21
SH,Shanghai,036,公鸡,雄鸡,,,ɦioŋ13-22 tɕi53-44
SH,Shanghai,037,母鸡,雌鸡 ,,,tsˈɿ53-55 tɕi53-21
SH,Shanghai,038,麻雀,麻雀,,,mo13-22 tɕˈiaʔ5-4
SH,Shanghai,039,老鼠,老虫,,,lɔ13-22 zoŋ23-44
SH,Shanghai,040,臭虫,臭虫 ,,,tsˈɤ35-33 zoŋ23-44
SH,Shanghai,041,房子(整),房子,,,vɑ̃13-22 tsɿ35-44
SH,Shanghai,042,房子(单),房间 ,,,vɑ̃13-22 ke53-44
SH,Shanghai,043,窗户,窗门 ,,,tsˈɑ̃53-55 məŋ13-21
SH,Shanghai,044,门坎,门槛,,,məŋ13-22 kˈe35-44
SH,Shanghai,045,厕所,马桶间,,,mo13-22 doŋ13-55 ke53-21
SH,Shanghai,046,厨房,灶披间,,,tsɔ35-33 pˈi53-55 ke53-21
SH,Shanghai,047,烟囱,烟囱,,,i53-55 tsˈoŋ53-21
SH,Shanghai,048,桌子,台子 ,,,de13-22 tsɿ35-44
SH,Shanghai,049,楼梯,胡梯,,,ɦu13-22 tˈi53-44
SH,Shanghai,050,头,头,,,dɤ13
SH,Shanghai,051,额头,额角头 ,,,ŋaʔ13-11 koʔ5-2 dɤ13-23
SH,Shanghai,052,脸,面孔 ,,,mi13-22 kˈoŋ35-44
SH,Shanghai,053,鼻子,鼻头 ,,,biɪʔ1-1 dɤ13-23
SH,Shanghai,054,脖子,头颈,,,dɤ13-22 tɕiŋ35-44
SH,Shanghai,055,左手,左手 ,,,tsu35-33 sɤ35-44
SH,Shanghai,056,右手,右手,,,ɦiɤ13-22 sɤ35-44
SH,Shanghai,057,拳头,拳头 ,,,dʑyø13-22 dɤ13-44
SH,Shanghai,058,手指头,手节头,,,sɤ35-33 tɕiɪʔ5-5 dɤ13-21
SH,Shanghai,059,指甲,手节掐,,,sɤ35-33 tɕiɪʔ5-5 kˈaʔ5-21
SH,Shanghai,060,膝盖,脚馒头,,,tɕiaʔ5-3 mø13-55 dɤ13-21
SH,Shanghai,061,腿,脚膀 ,,,tɕiaʔ5-3 pˈɑ̃35-44
SH,Shanghai,062,父亲,爹爹,,,tia53-55 tia53-21
SH,Shanghai,063,母亲,姆妈,,,m̩53-55 ma13-21
SH,Shanghai,064,祖父,老爹,,,lɔ23-22 tia53-44
SH,Shanghai,065,祖母,□奶 ,,,n̩53-55 na13-21
