dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
A,,01,有一回,有一口,,,u35-31 tsek5-2 tsua31
,,2,北风跟太阳在那儿争论谁的本事大,,,,pak2-5 huaŋ33 kaʔ2 a33 zik5-2 tˈau55 to35-31 hɯ53-24 ko213 lo53-24 a213-55 tã213-55 ti31 tiaŋ55-31 kai55-31 kˈaŋ33 kˈue213 ŋẽ35
,,,争来争去就是分不出高低来,,,,a213-55 lai55-31 a213-55 kˈɯ213 tsiu35-31 si35-31 si35-31 a213-55 m35-31 tsˈuk2-5 su33 iã55
,,,这时候路上来了个走道儿的,,,,tsi53-24 e35-31 muẽʔ5 lou31 ko31 lai55-31 liau53-24 kai55-31 kue213-55 lou31 naŋ55
,,,他身上穿着件厚大衣,,,,i33 siŋ33 teŋ53 tsˈeŋ31 kai55-31 kau35-31 kau35 kai55-31 tua31 lau33
,,,他们俩就说好了,,,,i33 naŋ55-31 nõ35-31 naŋ55 tsiu35-31 tsˈo53-24 tsˈiaŋ213-55 ho53-24 tã213-55
,,,谁能先叫这个走道儿的脱下他的厚大衣,,,,ti31 tiaŋ55-31 u35-31 piaŋ213-55 sõi33 kio213-55 tsi53-24 kai55-31 kue213-55 lou31 naŋ55 tˈɯŋ213-55 tiau31 hɯ53-24 kai55-31 tua31 lau33
,,,就算谁的本事大,,,,tsiu53-31 sɯŋ213-55 tso213-55 ti31 tiaŋ55-31 kai55-31 kˈaŋ33 kˈue213 ŋẽ35
,,,北风就使劲儿地刮起来了,,,,tã213-55 tik5 pak2-5 huaŋ33 tsiu53-31 tsˈuk2-5 lak5 tsˈẽ33 tˈau213
,,,不过他越是刮得厉害,,,,tso213-55 tsai33 i33 tˈau213-55 zu53-24 tua31 lak5
,,,那个走道儿的把大衣裹得越紧,,,,hɯ53-24 kai55-31 kue213-55 lou31 naŋ55 tsu53-31 zu53-24 keŋ213-55 tui213-55 kai55-31 tua31 lau33 kaʔ2-5 i33 mãu33 bo55-31 piaŋ213 ou53-213
,,,后来北风没法儿了,,,,maŋ31 au35 pak2-5 huaŋ33 bo55-31 piaŋ213 ou53-213
,,,只好就算了,,,,tsi53-24 ho53-24 suaŋ213 ou53-213
,,,过了一会儿,,,,keʔ2-5 tsek5-2 kˈuŋ213-55 kiã53
,,,太阳出来了,,,,zik5-2 tˈau55 tsˈuk2 lai55-31 ou53-213
,,,他火辣辣地一晒,,,,i33 tsek5-2 e31 pˈak5 tˈoŋ33 kõi33 sio33 kue213-55 hue53
,,,那个走道儿的马上就把那件厚大衣脱下来了,,,,hɯ53-24 kai55-31 kue213-55 lou31 naŋ55 tsiak2-5 si55 tsiu35-31 tui213-55 kai55-31 tua31 lau33 kaʔ2-5 i33 tˈɯŋ213-55 tˈɯŋ213-55 tiau31
,,,这下北风只好承认,,,,tsi53 e35-31 pak2-5 huaŋ33 bo55-31 piaŋ213 tsiã213-55 seŋ55-31 ziŋ31 tã213-55
,,,他们俩当中还是太阳的本事大,,,,i33 naŋ55-31 nõ35-31 naŋ55 huã53-24 si35-31 a33 zik5-2 tˈau55 kai55-31 kˈaŋ33 kˈue213 ŋẽ35
