dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TB,Taibei,1,谁啊?我是老三。,甚物侬?我是老三,,siã bĩʔ laŋ gua si lau sã,siã5344 bĩʔ4432 laŋ24 gua5344 si3311 lau5344 sã44,siãbĩʔlaŋguasilausã,siã5344bĩʔ4432laŋ24gua5344si3311lau5344sã44
TB,Taibei,2,老四呢?她正跟一个朋友说着话呢。,老四呢?伊正在合一个朋友讲话,,lau si e le i tŋ̩ te kaʔ tsit le piŋ iu kɔŋ ue,lau5344 si11 e11 le11 i4433 tŋ̩4433 te33 kaʔ3244 tsit4432 le2411 piŋ2411 iu53 kɔŋ5355 ue33,lausieleitŋ̩tekaʔtsitlepiŋiukɔŋue,lau5344si11e11le11i4433tŋ̩4433te33kaʔ3244tsit4432le2411piŋ2411iu53kɔŋ5355ue33
TB,Taibei,3,她还没说完吗?,伊还未讲煞吗,,i ia bueʔ kɔŋ suaʔ hio,i4433 ia5355 bueʔ32 kɔŋ5355 suaʔ32 hio11,iiabueʔkɔŋsuaʔhio,i4433ia5355bueʔ32kɔŋ5355suaʔ32hio11
TB,Taibei,4,还没有。大概再有一会儿就说完了。,还未。大约再一点仔著讲煞,,ia bue tai iɔʔ tsit tiam a tioʔ kɔŋ suaʔ,ia5344 bue33 tai3311 iɔʔ3244 tsit4432 tiam5344 a53 tioʔ4432 kɔŋ5344 suaʔ32,iabuetaiiɔʔtsittiamatioʔkɔŋsuaʔ,ia5344bue33tai3311iɔʔ3244tsit4432tiam5344a53tioʔ4432kɔŋ5344suaʔ32
TB,Taibei,5,他说马上就走，怎么这半天了还在家里?,伊讲随要行，怎会几半工仔还待厝里,,i kɔŋ sui beʔ kiã nã e kui puã kaŋ a ia ti tsˈu lai,i4433 kɔŋ5344 sui2411 beʔ3244 kiã24 nã5344 e2411 kui4433 puã1153 kaŋ44 a ia5344 ti3311 tsˈu1153 lai33,ikɔŋsuibeʔkiãnãekuipuãkaŋaiatitsʰulai,i4433kɔŋ5344sui2411beʔ3244kiã24nã5344e2411kui4433puã1153kaŋ44aia5344ti3311tsʰu1153lai33
TB,Taibei,6,你到哪儿去?我到城里去。,汝去哪儿?我去城里,,li kˈi to ui gua kˈi siã lai,li5344 kˈi1153 to5344 ui33 gua5344 kˈi1153 siã2411 lai33,likʰitouiguakʰisiãlai,li5344kʰi1153to5344ui33gua5344kʰi1153siã2411lai33
TB,Taibei,7,在那儿，不在这儿。,待那，无待这,,ti hia bo ti tsia,ti3311 hia44 bo2411 ti3311 tsia44,tihiabotitsia,ti3311hia44bo2411ti3311tsia44
TB,Taibei,8,不是那么做，要这么做。,不是那样做，是著这样做,,m̩ si a nẽ tso si tioʔ a nĩ tso,m̩3311 si3311 a44 nẽ44 tso11 si3311 tioʔ4432 a44 nĩ44 tso11,m̩sianẽtsositioʔanĩtso,m̩3311si3311a44nẽ44tso11si3311tioʔ4432a44nĩ44tso11
TB,Taibei,9,太多了，用不着那么多，只要这么多就够了。,伤多矣，不免那么多。,,siũ tse a m̩ bian hia nĩ tse,siũ4433 tse33 a m̩3311 bian53 hia5344 nĩ3311 tse33,siũtseam̩bianhianĩtse,siũ4433tse33am̩3311bian53hia5344nĩ3311tse33
TB,Taibei,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪一个较好,,tsit le tua hit le se tsit lŋ̩ e to tsit le kˈaʔ ho,tsit3244 le24 tua33 hit3244 le24 se11 tsit3244 lŋ̩3311 e24 to5344 tsit4432 le24 kˈaʔ3244 ho53,tsitletuahitlesetsitlŋ̩etotsitlekʰaʔho,tsit3244le24tua33hit3244le24se11tsit3244lŋ̩3311e24to5344tsit4432le24kʰaʔ3244ho53
TB,Taibei,11,这个比那个好。,这个比那个较好,,tsit le pi hit le kˈaʔ ho,tsit3244 le24 pi5355 hit3244 le24 kˈaʔ3244 ho53,tsitlepihitlekʰaʔho,tsit3244le24pi5355hit3244le24kʰaʔ3244ho53
TB,Taibei,12,这些房子不如那些房子好。,这里的厝无那里的厝好,,tsia e tsˈu bo hia e tsˈu ho,tsia4453 e2411 tsˈu11 bo2433 hia44 e2411 tsˈu11 ho53,tsiaetsʰubohiaetsʰuho,tsia4453e2411tsʰu11bo2433hia44e2411tsʰu11ho53
TB,Taibei,13,这句话用成都话怎么说?,,,,,,
TB,Taibei,14,他今年多大岁数了?,伊今年有几岁了,,i kin lĩ u kui hue lo,i4433 kin4433 lĩ24 u3311 kui5344 hue11 lo11,ikinlĩukuihuelo,i4433kin4433lĩ24u3311kui5344hue11lo11
TB,Taibei,15,大概三十来岁吧。,大概有三十几岁仔,,ta kˈai u sã tsap kui hui a,ta3311 kˈai11 u3311 sã4433 tsap4432 kui5344 hui1144 a53,takʰaiusãtsapkuihuia,ta3311kʰai11u3311sã4433tsap4432kui5344hui1144a53
TB,Taibei,16,这个东西有多重呢?,这个物件有多重,,tsit le bĩʔ kin taŋ le,tsit3244 le2411 bĩʔ4432 kin4433 taŋ33 le11,tsitlebĩʔkintaŋle,tsit3244le2411bĩʔ4432kin4433taŋ33le11
TB,Taibei,17,有五十斤重呢。,有五十斤重呢,,u gɔ tsap kin taŋ le,u3311 gɔ3311 tsap4432 kin4433 taŋ33 le11,ugɔtsapkintaŋle,u3311gɔ3311tsap4432kin4433taŋ33le11
TB,Taibei,18,拿得动吗?,拿有法无,,tˈeʔ u huaʔ bo,tˈeʔ4432 u3311 huaʔ3244 bo11,tʰeʔuhuaʔbo,tʰeʔ4432u3311huaʔ3244bo11
TB,Taibei,19,我拿得动，他拿不动。,我拿有法，伊拿无法,,gua tˈeʔ u huaʔ i tˈeʔ bo huaʔ,gua5344 tˈeʔ4432 u3311 huaʔ32 i4433 tˈeʔ4432 bo2411 huaʔ32,guatʰeʔuhuaʔitʰeʔbohuaʔ,gua5344tʰeʔ4432u3311huaʔ32i4433tʰeʔ4432bo2411huaʔ32
TB,Taibei,20,真不轻，重得连我也拿不动。,实在无轻，重的连我也拿不阵动,,sit tsai bo kˈin taŋ ka lien gua bã tˈeʔ bue tin taŋ,sit4432 tsai3311 bo2411 kˈin44 taŋ3311 ka5344 lien2411 gua53 bã11 tˈeʔ4432 bue3311 tin5344 taŋ33,sittsaibokʰintaŋkalienguabãtʰeʔbuetintaŋ,sit4432tsai3311bo2411kʰin44taŋ3311ka5344lien2411gua53bã11tʰeʔ4432bue3311tin5344taŋ33
