dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TB,Taibei,1,有一回,有一摆,,u tsit pai,u3311 tsit4432 pai53,utsitpai,u3311tsit4432pai53
TB,Taibei,2,北风跟太阳在那儿争论谁的本事大,北风甲太阳在遐相争讲看啥人恰有本事,,pak hɔŋ kaʔ tˈai iɔŋ ti hia sio tsĩ kɔŋ kˈuã siã laŋ kˈaʔ u pun su,pak3244 hɔŋ44 kaʔ3244 tˈai1153 iɔŋ24 ti3311 hia44 sio4433 tsĩ44 kɔŋ5344 kˈuã1153 siã5344 laŋ24 kˈaʔ3244 u3311 pun5344 su33,pakhɔŋkaʔtʰaiiɔŋtihiasiotsĩkɔŋkʰuãsiãlaŋkʰaʔupunsu,pak3244hɔŋ44kaʔ3244tʰai1153iɔŋ24ti3311hia44sio4433tsĩ44kɔŋ5344kʰuã1153siã5344laŋ24kʰaʔ3244u3311pun5344su33
TB,Taibei,3,争来争去就是分不出高低来,争来争去也争无一个输赢,,tsĩ lai tsĩ kˈi ia tsĩ bo tsit le su iã,tsĩ4433 lai2411 tsĩ4433 kˈi11 ia3311 tsĩ4433 bo2433 tsit4432 le2411 su4433 iã24,tsĩlaitsĩkʰiiatsĩbotsitlesuiã,tsĩ4433lai2411tsĩ4433kʰi11ia3311tsĩ4433bo2433tsit4432le2411su4433iã24
TB,Taibei,4,这时候路上来了个走道儿的,这个时候路边仔有一个人行过来,,tsit le si tsun lɔ pĩ a u tsit le laŋ kiã kue lai,tsit4432 le2433 si2411 tsun33 lɔ3311 pĩ4433 a53 u3311 tsit4432 le2411 laŋ24 kiã2411 kue1153 lai24,tsitlesitsunlɔpĩautsitlelaŋkiãkuelai,tsit4432le2433si2411tsun33lɔ3311pĩ4433a53u3311tsit4432le2411laŋ24kiã2411kue1153lai24
TB,Taibei,5,他身上穿着件厚大衣,他身躯穿著一领厚大衣,,i sin kˈu tsˈiŋ tioʔ tsit liã kau tua i,i4433 sin4433 kˈu44 tsˈiŋ3311 tioʔ4432 tsit4432 liã5344 kau3311 tua3311 i44,isinkʰutsʰiŋtioʔtsitliãkautuai,i4433sin4433kʰu44tsʰiŋ3311tioʔ4432tsit4432liã5344kau3311tua3311i44
TB,Taibei,6,他们俩就说好了,他两个著讲好,,in lŋ e tioʔ kɔŋ ho,in4433 lŋ3311 e24 tioʔ4432 kɔŋ5344 ho53,inlŋetioʔkɔŋho,in4433lŋ3311e24tioʔ4432kɔŋ5344ho53
TB,Taibei,7,谁能先叫这个走道儿的脱下他的厚大衣,看啥人先有法度叫许个人褪去伊的大衣,,kˈuã siã laŋ siŋ u huat to kio hit le laŋ tˈŋ kˈi i e tua i,kˈuã1153 siã5344 laŋ24 siŋ4433 u3311 huat3244 to3311 kio1153 hit3244 le2411 laŋ24 tˈŋ1153 kˈi1153 i4433 e2411 tua3311 i44,kʰuãsiãlaŋsiŋuhuattokiohitlelaŋtʰŋkʰiietuai,kʰuã1153siã5344laŋ24siŋ4433u3311huat3244to3311kio1153hit3244le2411laŋ24tʰŋ1153kʰi1153i4433e2411tua3311i44
TB,Taibei,8,就算谁的本事大,著算讲啥人本事大,,tioʔ sŋ̩ kɔŋ siã laŋ pun su tua,tioʔ4432 sŋ̩1153 kɔŋ5344 siã5344 laŋ24 pun5344 su3311 tua33,tioʔsŋ̩kɔŋsiãlaŋpunsutua,tioʔ4432sŋ̩1153kɔŋ5344siã5344laŋ24pun5344su3311tua33
TB,Taibei,9,北风就使劲儿地刮起来了,北风著拍拼吹起来,,pak hɔŋ tioʔ pˈaʔ piã tsˈe kˈi lai,pak3244 hɔŋ44 tioʔ4432 pˈaʔ3244 piã11 tsˈe44 kˈi11 lai24,pakhɔŋtioʔpʰaʔpiãtsʰekʰilai,pak3244hɔŋ44tioʔ4432pʰaʔ3244piã11tsʰe44kʰi11lai24
TB,Taibei,10,不过他越是刮得厉害,□过伊愈吹,,m̩ ko i lu tsˈe,m̩3311 ko44 i4433 lu5344 tsˈe44,m̩koilutsʰe,m̩3311ko44i4433lu5344tsʰe44
