dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
TJ,Tianjin,01,谁啊?我是老三。,谁呀?我是老三,,,sei45 iɑ3 uo13 sɿ53 lɑu13 san21
TJ,Tianjin,02,老四呢?她正跟一个朋友说着话呢。,老四呢?她正跟一个朋友说着话呢,,,lɑu13 sɿ53 nə1 tˈɑ21 tʂəŋ53 kən21 i45 kə3 pˈəŋ45 iou3 ʂuo21 tʂə1 xuɑ53 nə1
TJ,Tianjin,03,她还没说完吗?,她还没说完吗?,,,tˈɑ21 xai45 mei53 ʂuo21 van45 mɑ3
TJ,Tianjin,04,还没有。大概再有一会儿就说完了。,还没有，大概再待会儿就说完了,,,xai45 mei45 iou13 tɑ53-21 kai53 tsai53-45 tai21 xuər13 tɕiou53-45 ʂuo21 van45 lə3
TJ,Tianjin,05,他说马上就走，怎么这半天了还在家里?,他说马上就走，怎么那么半天了还在家里,,,tˈɑ21-13 suo21 mɑ13 sɑŋ53 tɕiou53 tsou13 nən13 mə3 nən53 mə1 pan53-45 tˈian21 lə1 xai45 tai53-45 tɕiɑ21 li13
TJ,Tianjin,06,你到哪儿去?我到城里去。,你上哪合儿去?我上城里去,,,ni13 ʂɑŋ53 nɑ13 xər3 tɕˈy53 uo13 ʂaŋ53 tʂˈəŋ45 li13 tɕˈy53
TJ,Tianjin,07,在那儿，不在这儿。,在那合儿，不在这合儿,,,tai53 nɑ53 xər1 pu53-45 tai53 tɕie53 xər1
TJ,Tianjin,08,不是那么做，要这么做。,不是那么做，是这么做,,,pu45 sɿ53 nɑ53 mə tsuo53 sɿ53 tsən53 mə1 tsuo53
TJ,Tianjin,09,太多了，用不着那么多，只要这么多就够了。,太多了，用不了那么多，就要这么多就够了,,,tˈai53 tuo21 lə1 ʐuŋ53 pu1 liɑu13 nɑ53 mə3 tuo21 tɕiou53 iɑu53 tsən53 mə3 tuo21 tɕiou53 hou53 lə1
TJ,Tianjin,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这俩哪个好一点儿呢,,,tsei53 kə1 tɑ53 nei53 kə1 ɕiɑu13 tsei53 liɑ13 nei13 kə3 xɑu13 i3 tiar13 nə3
