dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone
TJ,Tianjin,01,有一回,有一回,,,iou13 i53 xuei45
TJ,Tianjin,02,北风跟太阳在那儿争论谁的本事大,北风跟太阳在那合儿争竞谁的本事大,,,pei13 fəŋ21 kən21 tˈai53 iɑŋ45 tsai53 nɑ53 xər3 tsəŋ21 tɕiŋ1 sei45 ti3 pən13 sɿ3 tɑ53
TJ,Tianjin,03,争来争去就是分不出高低来,争来争去还是分不出高低来,,,tʂəŋ21 lai4 tsəŋ21 tɕˈy53 xai45 sɿ53 fən21 pu3 tsˈu21 kɑu21-13 ti21 lai45
TJ,Tianjin,04,这时候路上来了个走道儿的,这功夫儿路上来了个走道儿的,,,tsei53 kuŋ21 fur1 lu53 ʂɑŋ1 lai45 lə3 kə1 tsou13 tɑur53 ti1
TJ,Tianjin,05,他身上穿着件厚大衣,他身上穿着件儿厚大衣,,,tˈɑ21-13 sən21 sɑŋ3 tsˈuan21 tʂə3 tɕiar53 xou53 tɑ53 i21
TJ,Tianjin,06,他们俩就说好了,他们俩就说好了,,,tˈɑ21 mən1 liɑ13 tɕiou53-45 suo21 xɑu13 lə3
TJ,Tianjin,07,谁能先叫这个走道儿的脱下他的厚大衣,谁能先叫这个走道儿的□下他的厚大衣,,,sei45 nəŋ45 tɕˈian21 tɕiɑu53 tsei53 kə1 tsou13 tɑur53 ti1 lie21 çiɑ53 tˈɑ21 tə3 xou53 tɑ53-45 i21 
TJ,Tianjin,08,就算谁的本事大,就算谁的本事大,,,tsou53 suan53 sei45 ti3 pən13 sɿ3 tɑ53
TJ,Tianjin,09,北风就使劲儿地刮起来了,北风就使劲儿地刮起来了,,,pei13 fəŋ21 tɕiou53 sɿ13 tɕiər53 ti1 kuɑ13 tɕˈi3 lai45 lə3
TJ,Tianjin,10,不过他越是刮得厉害,不过他越刮得厉害,,,pu45 kuo53 tˈɑ21 ye53 kuɑ13 ti3 lie53 xai1
TJ,Tianjin,11,那个走道儿的把大衣裹得越紧,那个走道儿的把大衣裹得越紧,,,nei53 kə1 tsou13 tɑur53 ti1 pɑ13 tɑ53-45 i21 kuo13 ti3 ye53 tɕin13
TJ,Tianjin,12,后来北风没法儿了,后尾儿北风没辙了,,,xou53 iər13 pei13 fəŋ21 mei45 tʂɤ45 lə3
TJ,Tianjin,13,只好就算了,也就算了,,,ie13 tɕiou53 suan53 lə1
TJ,Tianjin,14,过了一会儿,过了不会儿,,,kuo53 lə1 pu53 xuər13
TJ,Tianjin,15,太阳出来了,太阳出来了,,,tˈai53 iɑŋ45 tsˈu21 lai1 lə1
TJ,Tianjin,16,他火辣辣地一晒,他火烧火燎地一晒,,,tˈɑ21 xuo13 ʂɑu21 xuo13-45 liɑu13 ti3 i45 sai53
TJ,Tianjin,17,那个走道儿的马上就把那件厚大衣脱下来了, 那个走道儿的马上就把那件儿厚大衣□下来了,,,nei53 kə1 tsou13 tɑur53 ti1 mɑ13 ʂɑŋ53 tɕiou53 pɑ13 nei53 tɕiar53 xou53 tɑ53-45 i21 lie21 ɕiɑ1 lai45 lə1
TJ,Tianjin,18,这下北风只好承认,这下儿北风只好认了,,,tsei53 ɕiɑr53 pei13 fəŋ21 tsɿ13-45 xɑu13 in53 lə1
TJ,Tianjin,19,他们俩当中还是太阳的本事大,他们俩当中还是太阳的本事大,,,tˈɑ21 mən1 liɑ13 tɑŋ21-13 tsuŋ21 xai45 sɿ53 tˈai53 iɑŋ1 ti1 pən13 sɿ3 tɑ53
