dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WZ,Wenzhou,1,谁啊?我是老三。,何样侬啊?我是老三,,a ȵi naŋ a ŋ̩ zɿ lɜ sa,a33-21 ȵi42-31 naŋ31-21 a21 ŋ̩35 zɿ35-45 lɜ34-21 sa33,a33-21ɲi42-31naŋ31-21a21ŋ̩35zɹ̩35-45lɜ34-21sa33,aɲinaŋaŋ̩zɹ̩lɜsa
WZ,Wenzhou,2,老四呢?她正跟一个朋友说着话呢。,老四呢?渠正著埯伉一个朋友讲说话,,lɜ sɿ nei gi tseŋ zɿ ta tˈuɔ ji kai boŋ jau kuɔ ɕy ɦo,lɜ35-21 sɿ42 nei21 gi31 tseŋ42 zɿ35-21 ta213-21 tˈuɔ42 ji213-21 kai42-21 boŋ31-42 jau35 kuɔ35-21 ɕy213-42 ɦo22,lɜ35-21sɹ̩42nei21gi31tseŋ42zɹ̩35-21ta213-21tʰuɔ42ji213-21kai42-21boŋ31-42jau35kuɔ35-21ɕy213-42ɦo22,lɜsɹ̩neigitseŋzɹ̩tatʰuɔjikaiboŋjaukuɔɕyɦo
WZ,Wenzhou,3,她还没说完吗?,渠还未讲完啊,,gi va mei kuɔ jy a,gi31-21 va31-21 mei22-21 kuɔ35-21 jy31 a21,gi31-21va31-21mei22-21kuɔ35-21jy31a21,givameikuɔjya
WZ,Wenzhou,4,还没有。大概再有一会儿就说完了。,还未，大概再过一下儿就讲好罢,,va mei da ke tse ku ji o ŋ̩ jɤu kuɔ hɜ ba,va31-21 mei22 da22-42 ke42-21 tse42 ku42-21 ji213-21 o35 ŋ̩31-45 jɤu22-21 kuɔ35-21 hɜ35 ba35-45,va31-21mei22da22-42ke42-21tse42ku42-21ji213-21o35ŋ̩31-45jɤu22-21kuɔ35-21hɜ35ba35-45,vameidaketsekujioŋ̩jɤukuɔhɜba
WZ,Wenzhou,5,他说马上就走，怎么这半天了还在家里?,渠讲就走道吤，訾那半日罢还著屋里啊,,gi kuɔ jɤu tsau dɜ ke tsɿ na pø ne ba va zɿ vu lei a,gi31 kuɔ35-21 jɤu22-21 tsau35 dɜ35 ke42-45 tsɿ33-22 na31-12 pø42-35 ne213-13 ba35-12 va31-21 zɿ35-21 vu213 lei35-12 a12,gi31kuɔ35-21jɤu22-21tsau35dɜ35ke42-45tsɹ̩33-22na31-12pø42-35ne213-13ba35-12va31-21zɹ̩35-21vu213lei35-12a12,gikuɔjɤutsaudɜketsɹ̩napønebavazɹ̩vuleia
WZ,Wenzhou,6,你到哪儿去?我到城里去。,你走若屋宕去啊?我走城底去,,ȵi tsau ȵau duɔ kˈei a ŋ̩ tsau zeŋ tei kˈei,ȵi35 tsau35 ȵau213-21 duɔ35 kˈei42 a21 ŋ̩35 tsau35 zeŋ31-42 tei35 kˈei42,ɲi35tsau35ɲau213-21duɔ35kʰei42a21ŋ̩35tsau35zeŋ31-42tei35kʰei42,ɲitsauɲauduɔkʰeiaŋ̩tsauzeŋteikʰei
WZ,Wenzhou,7,在那儿，不在这儿。,著许屋宕，不著居屋,,zɿ hau duɔ fu zɿ kau duɔ,zɿ35-21 hau35 duɔ35-45 fu35 zɿ35-45 kau213-21 duɔ35,zɹ̩35-21hau35duɔ35-45fu35zɹ̩35-45kau213-21duɔ35,zɹ̩hauduɔfuzɹ̩kauduɔ
WZ,Wenzhou,8,不是那么做，要这么做。,不是许能妆，着吤能妆,,fu zɿ he naŋ tɕyɔ dʑa ke naŋ tɕyɔ,fu35 zɿ35-45 he35 naŋ213-45 tɕyɔ33 dʑa213-21 ke213-21 naŋ213-13 tɕyɔ33,fu35zɹ̩35-45he35naŋ213-45tɕyɔ33dʑa213-21ke213-21naŋ213-13tɕyɔ33,fuzɹ̩henaŋtɕyɔdʑakenaŋtɕyɔ
WZ,Wenzhou,9,太多了，用不着那么多，只要这么多就够了。,忒多罢，不用许能多，只用能多就了得罢,,tˈɤu tɤu ba fu jyɔ he naŋ tɤu tsɿ jyɔ naŋ tɤu jɤu liɛ tei ba,tˈɤu213-21 tɤu33 ba35-3 fu35 jyɔ22 he35 naŋ213-45 tɤu33 tsɿ213 jyɔ22 naŋ213 tɤu33 jɤu22-21 liɛ35 tei213-45 ba35-45,tʰɤu213-21tɤu33ba35-3fu35jyɔ22he35naŋ213-45tɤu33tsɹ̩213jyɔ22naŋ213tɤu33jɤu22-21liɛ35tei213-45ba35-45,tʰɤutɤubafujyɔhenaŋtɤutsɹ̩jyɔnaŋtɤujɤuliɛteiba
WZ,Wenzhou,10,这个大，那个小，这两个哪一个好一点呢?,居个大，许个细，居两个若屋个好来呢?,,ki kai dɤu he kai sai ki liɛ kai ȵau kai hɜ le nei,ki213-22 kai42-12 dɤu22 he35 kai42-45 sai35 ki213-21 liɛ35 kai42-21 ȵau213-22 kai42-12 hɜ35 le31-45 nei45 ,ki213-22kai42-12dɤu22he35kai42-45sai35ki213-21liɛ35kai42-21ɲau213-22kai42-12hɜ35le31-45nei45,kikaidɤuhekaisaikiliɛkaiɲaukaihɜlenei
WZ,Wenzhou,11,这个比那个好。,居个比许个好,,ki kai pei he kai hɜ,ki213-22 kai42-12 pei35-21 he35 kai42-45 hɜ35,ki213-22kai42-12pei35-21he35kai42-45hɜ35,kikaipeihekaihɜ
WZ,Wenzhou,12,这些房子不如那些房子好。,居俫屋宕有许俫屋宕能好,,ki le vu duɔ nau he le vu duɔ naŋ hɜ,ki213-22 le31-12 vu213-21 duɔ35 nau35 he35 le31-45 vu213-21 duɔ35 naŋ213-45 hɜ35,ki213-22le31-12vu213-21duɔ35nau35he35le31-45vu213-21duɔ35naŋ213-45hɜ35,kilevuduɔnauhelevuduɔnaŋhɜ
WZ,Wenzhou,13,这句话用成都话怎么说?,,,,,,
WZ,Wenzhou,14,他今年多大岁数了?,渠居年几俫岁啊,,gi ke ȵi ke le sɿ a,gi31 ke213-22 ȵi31-12 ke35 le31-45 sɿ42 a22,gi31ke213-22ɲi31-12ke35le31-45sɹ̩42a22,gikeɲikelesɹ̩a
WZ,Wenzhou,15,大概三十来岁吧。,大概三十下吧,,da ke sa zai o ba,da22-42 ke42-21 sa33 zai213-3 o42-3 ba35-3,da22-42ke42-21sa33zai213-3o42-3ba35-3,dakesazaioba
WZ,Wenzhou,16,这个东西有多重呢?,居个物事有几俫重啊,,ki kai mø zɿ jau ke le dʑyɔ a,ki213-22 kai42-12 mø42 zɿ22 jau35-21 ke35 le31-45 dʑyɔ35 a45,ki213-22kai42-12mø42zɹ̩22jau35-21ke35le31-45dʑyɔ35a45,kikaimøzɹ̩jaukeledʑyɔa
WZ,Wenzhou,17,有五十斤重呢。,有五十下斤重,,jau ŋ̩ zai o tɕaŋ dʑyɔ,jau35-21 ŋ̩35 zai213-45 o42-45 tɕaŋ33 dʑyɔ35,jau35-21ŋ̩35zai213-45o42-45tɕaŋ33dʑyɔ35,jauŋ̩zaiotɕaŋdʑyɔ
WZ,Wenzhou,18,拿得动吗?,掇动啊不,,tø doŋ a fu,tø213 doŋ35 a45 fu35-21,tø213doŋ35a45fu35-21,tødoŋafu
WZ,Wenzhou,19,我拿得动，他拿不动。,我掇动，渠掇不动,,ŋ̩ tø doŋ gi tø fu doŋ,ŋ̩35 tø213-21 doŋ35 gi31 tø213 fu35-12 doŋ35,ŋ̩35tø213-21doŋ35gi31tø213fu35-12doŋ35,ŋ̩tødoŋgitøfudoŋ
WZ,Wenzhou,20,真不轻，重得连我也拿不动。,重甚嗳，连我也掇不动,,dʑyɔ zaŋ e li ŋ̩ ɦa tø fu doŋ,dʑyɔ35 zaŋ35 e45 li31-21 ŋ̩35 ɦa213-45 tø213 fu35-12 doŋ35,dʑyɔ35zaŋ35e45li31-21ŋ̩35ɦa213-45tø213fu35-12doŋ35,dʑyɔzaŋeliŋ̩ɦatøfudoŋ
