dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WZ,Wenzhou,1,有一回,有一次,,jau ji tsˈɿ,jau35 ji213-45 tsˈɿ42,jau35ji213-45tsʰɹ̩42,jaujitsʰɹ̩
WZ,Wenzhou,2,北风跟太阳在那儿争论谁的本事大,北风伉太阳著𢱕争样侬个本事大俫,,pai hoŋ kˈuɔ tˈa ji zɿ ta dziɛ ȵi naŋ ke paŋ zɿ dɤu le,pai213-21 hoŋ33 kˈuɔ42-21 tˈa42-22 ji31-12 zɿ35-21 ta213-21 dziɛ22 ȵi42-31 naŋ31-21 ke42-21 paŋ35-42 zɿ22 dɤu22 le31-2,pai213-21hoŋ33kʰuɔ42-21tʰa42-22ji31-12zɹ̩35-21ta213-21dziɛ22ɲi42-31naŋ31-21ke42-21paŋ35-42zɹ̩22dɤu22le31-2,paihoŋkʰuɔtʰajizɹ̩tadziɛɲinaŋkepaŋzɹ̩dɤule
WZ,Wenzhou,3,争来争去就是分不出高低来,争来争去也讲不出大细来,,dziɛ le dziɛ kˈei a kuɔ fu tɕˈy dɤu sai lei,dziɛ22-21 le31 dziɛ22-21 kˈei42 a213-21 kuɔ35 fu35-45 tɕˈy213 dɤu22-42 sai35 lei31,dziɛ22-21le31dziɛ22-21kʰei42a213-21kuɔ35fu35-45tɕʰy213dɤu22-42sai35lei31,dziɛledziɛkʰeiakuɔfutɕʰydɤusailei
WZ,Wenzhou,4,这时候路上来了个走道儿的,个时节路上有个行路过侬,,kai zɿ tɕi løy ji jau kai ɦɛ løy ku naŋ,kai213-12 zɿ31-35 tɕi213-13 løy22 ji22-2 jau35 kai42-45 ɦɛ31-21 løy22-35 ku42-22 naŋ31-12,kai213-12zɹ̩31-35tɕi213-13løy22ji22-2jau35kai42-45ɦɛ31-21løy22-35ku42-22naŋ31-12,kaizɹ̩tɕiløyjijaukaiɦɛløykunaŋ
WZ,Wenzhou,5,他身上穿着件厚大衣,身上着件厚个大衣,,saŋ ji tɕa dʑi gau ke da ji,saŋ33 ji22-3 tɕa213 dʑi35-12 gau35 ke42-45 da22-42 ji33,saŋ33ji22-3tɕa213dʑi35-12gau35ke42-45da22-42ji33,saŋjitɕadʑigaukedaji
WZ,Wenzhou,6,他们俩就说好了,渠两个侬就讲,,gi liɛ kai nɐ jɤu kuɔ,gi31-21 liɛ35 kai42-45 nɐ31-21 jɤu22-21 kuɔ35,gi31-21liɛ35kai42-45nɐ31-21jɤu22-21kuɔ35,giliɛkainɐjɤukuɔ
WZ,Wenzhou,7,谁能先叫这个走道儿的脱下他的厚大衣,□何样侬能逮行路过侬个厚大衣脱爻先,,tsˈɿ aȵi naŋ naŋ deɦɛ løy ku naŋ ke gau da ji tˈai ɦuɔ ɕi,tsˈɿ42 a31-21ȵi42-31 naŋ31-21 naŋ31-21 de22-21ɦɛ31-21 løy22-35 ku42-22 naŋ31-12 ke42-12 gau35 da22-42 ji33 tˈai213 ɦuɔ31-12 ɕi33,tsʰɹ̩42a31-21ɲi42-31naŋ31-21naŋ31-21de22-21ɦɛ31-21løy22-35ku42-22naŋ31-12ke42-12gau35da22-42ji33tʰai213ɦuɔ31-12ɕi33,tsʰɹ̩aɲinaŋnaŋdeɦɛløykunaŋkegaudajitʰaiɦuɔɕi
WZ,Wenzhou,8,就算谁的本事大,就算何样侬本事大,,jɤu sø a ȵi naŋ paŋ zɿ dɤu,jɤu22-21 sø42-21 a31-21 ȵi42-31 naŋ31-21 paŋ35-42 zɿ22 dɤu22,jɤu22-21sø42-21a31-21ɲi42-31naŋ31-21paŋ35-42zɹ̩22dɤu22,jɤusøaɲinaŋpaŋzɹ̩dɤu
WZ,Wenzhou,9,北风就使劲儿地刮起来了,北风拼命吹,,pai hoŋ pˈeŋ meŋ tsˈɿ,pai213-21 hoŋ33 pˈeŋ42-21 meŋ22 tsˈɿ33,pai213-21hoŋ33pʰeŋ42-21meŋ22tsʰɹ̩33,paihoŋpʰeŋmeŋtsʰɹ̩
WZ,Wenzhou,10,不过他越是刮得厉害,若屋晓得北风越是吹急凶,,ȵau ɕa tei pai hoŋ jy zɿ tsˈɿ tɕai ɕyɔ,ȵau213 ɕa35 tei213-45 pai213-21 hoŋ33 jy213 zɿ35-12 tsˈɿ33 tɕai213-21 ɕyɔ33,ɲau213ɕa35tei213-45pai213-21hoŋ33jy213zɹ̩35-12tsʰɹ̩33tɕai213-21ɕyɔ33,ɲauɕateipaihoŋjyzɹ̩tsʰɹ̩tɕaiɕyɔ
