dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WH,Wuhan,1,有一回,有一回,,iəu i xui,iəu42 i213-21 xui213-21,iəu42 i213-21 xui213-21,iəu i xui
WH,Wuhan,2,北风跟太阳在那儿争论谁的本事大,北风跟太阳在那里争啥个的本事大,,pɤ foŋ kən tˈai iaŋ tsai na ni tsən sa kuo ti pən sɿ ta,pɤ213-21 foŋ55 kən55 tˈai35 iaŋ tsai35 na35 ni tsən55 sa42 kuo ti pən42 sɿ35 ta35,pɤ213-21 foŋ55 kən55 tˈai35 iaŋ tsai35 na35 ni tsən55 sa42 kuo ti pən42 sɹ̩35 ta35,pɤ foŋ kən tˈai iaŋ tsai na ni tsən sa kuo ti pən sɹ̩ ta
WH,Wuhan,3,争来争去就是分不出高低来,争来争去还是分不出个高低来,,tsən nai tsən kˈɯ xai sɿ fən pu tɕˈy kuo kau ti nai,tsən55 nai213-21 tsən55 kˈɯ35 xai213-21 sɿ35 fən55 pu tɕˈy213-21 kuo kau55 ti55 nai42,tsən55 nai213-21 tsən55 kˈɯ35 xai213-21 sɹ̩35 fən55 pu tɕˈy213-21 kuo kau55 ti55 nai42,tsən nai tsən kˈɯ xai sɹ̩ fən pu tɕˈy kuo kau ti nai
WH,Wuhan,4,这时候路上来了个走道儿的,这时候路上来了个走路的,,tsɤ sɿ xəu nəu saŋ nai niau kuo tsəu nəu ti,tsɤ35 sɿ213-21 xəu nəu35 saŋ nai213-21 niau kuo tsəu42 nəu35 ti,tsɤ35 sɹ̩213-21 xəu nəu35 saŋ nai213-21 niau kuo tsəu42 nəu35 ti,tsɤ sɹ̩ xəu nəu saŋ nai niau kuo tsəu nəu ti
WH,Wuhan,5,他身上穿着件厚大衣,他身上穿倒件厚大衣,,tˈa sən saŋ tsˈuan tau tɕiɛn xəu ta i,tˈa55 sən55 saŋ tsˈuan55 tau tɕiɛn35 xəu35 ta35 i55,tˈa55 sən55 saŋ tsˈuan55 tau tɕiɛn35 xəu35 ta35 i55,tˈa sən saŋ tsˈuan tau tɕiɛn xəu ta i
WH,Wuhan,6,他们俩就说好了,他们两个就说好了,,tˈa mən niaŋ kuo tsəu suo xau niau,tˈa55 mən niaŋ42 kuo tsəu35 suo213-21 xau42 niau,tˈa55 mən niaŋ42 kuo tsəu35 suo213-21 xau42 niau,tˈa mən niaŋ kuo tsəu suo xau niau
WH,Wuhan,7,谁能先叫这个走道儿的脱下他的厚大衣,哪个能先叫这个走路的脱下他的厚大衣,,na kuo nən ɕiɛn tɕiau tsɤ kuo tsəu nəu ti tˈip ɕia tˈa ti xəu ta i,na42 kuo nən213-21 ɕiɛn55 tɕiau3 tsɤ35 kuo tsəu42 nəu35 ti tˈip213-21 ɕia tˈa55 ti xəu35 ta35 i55,na42 kuo nən213-21 ɕiɛn55 tɕiau3 tsɤ35 kuo tsəu42 nəu35 ti tˈip213-21 ɕia tˈa55 ti xəu35 ta35 i55,na kuo nən ɕiɛn tɕiau tsɤ kuo tsəu nəu ti tˈip ɕia tˈa ti xəu ta i
WH,Wuhan,8,就算谁的本事大,就算哪个的本事大,,tsəu san na kuo ti pən sɿ ta,tsəu35 san35 na42 kuo ti pən42 sɿ35 ta35,tsəu35 san35 na42 kuo ti pən42 sɹ̩35 ta35,tsəu san na kuo ti pən sɹ̩ ta
WH,Wuhan,9,北风就使劲儿地刮起来了,于是北风就恶事地刮起来了,,y sɿ pɤ foŋ tsəu ŋuo sɿ ti kua tɕˈi nai niau,y213-21 sɿ35 pɤ213-21 foŋ55 tsəu35 ŋuo213-21 sɿ35 ti kua213-21 tɕˈi42 nai niau,y213-21 sɹ̩35 pɤ213-21 foŋ55 tsəu35 ŋuo213-21 sɹ̩35 ti kua213-21 tɕˈi42 nai niau,y sɹ̩ pɤ foŋ tsəu ŋuo sɹ̩ ti kua tɕˈi nai niau
WH,Wuhan,10,不过他越是刮得厉害,可是他越是刮得凶,,kˈuo sɿ tˈa ye sɿ kua tɤ ɕioŋ,kˈuo42 sɿ35 tˈa55 ye213-21 sɿ35 kua213-21 tɤ ɕioŋ55,kˈuo42 sɹ̩35 tˈa55 ye213-21 sɹ̩35 kua213-21 tɤ ɕioŋ55,kˈuo sɹ̩ tˈa ye sɹ̩ kua tɤ ɕioŋ
WH,Wuhan,11,那个走道儿的把大衣裹得越紧,那个走路的就把大衣裹得越紧,,na kuo tsəu nəu ti tsəu pa ta i kuo tɤ ye tɕin,na35 kuo tsəu42 nəu35 ti tsəu35 pa42 ta35 i55 kuo42 tɤ ye213-21 tɕin42,na35 kuo tsəu42 nəu35 ti tsəu35 pa42 ta35 i55 kuo42 tɤ ye213-21 tɕin42,na kuo tsəu nəu ti tsəu pa ta i kuo tɤ ye tɕin
WH,Wuhan,12,后来北风没法儿了,后来北风冇得法子,,xəu nai pɤ foŋ mau tɤ fa tsɿ,xəu35 nai pɤ213-21 foŋ55 mau35 tɤ fa213-21 tsɿ,xəu35 nai pɤ213-21 foŋ55 mau35 tɤ fa213-21 tsɹ̩,xəu nai pɤ foŋ mau tɤ fa tsɹ̩
WH,Wuhan,13,只好就算了,只好就算了,,tsɿ xau tsəu san niau,tsɿ42 xau42 tsəu35 san35 niau,tsɹ̩42 xau42 tsəu35 san35 niau,tsɹ̩ xau tsəu san niau
WH,Wuhan,14,过了一会儿,过了一下儿,,kuo niau i xar,kuo35 niau i213-21 xar,kuo35 niau i213-21 xar,kuo niau i xar
WH,Wuhan,15,太阳出来了,太阳出来了,,tˈai iaŋ tɕˈy nai niau,tˈai35 iaŋ tɕˈy213-21 nai niau,tˈai35 iaŋ tɕˈy213-21 nai niau,tˈai iaŋ tɕˈy nai niau
WH,Wuhan,16,他火辣辣地一晒,他火辣辣地一晒,,tˈa xuo na na ti i sai,tˈa55 xuo42 na213-21 na213-21 ti i213-21 sai35,tˈa55 xuo42 na213-21 na213-21 ti i213-21 sai35,tˈa xuo na na ti i sai
WH,Wuhan,17,那个走道儿的马上就把那件厚大衣脱下来了,那个走路的马上就把那件厚大衣脱下来了,,na kuo tsəu nəu ti ma saŋ tsəu pa na tɕiɛn xəu ta i tˈip ɕia nai niau,na35 kuo tsəu42 nəu35 ti ma42 saŋ tsəu35 pa42 na35 tɕiɛn35 xəu35 ta35 i55 tˈip213-21 ɕia nai niau,na35 kuo tsəu42 nəu35 ti ma42 saŋ tsəu35 pa42 na35 tɕiɛn35 xəu35 ta35 i55 tˈip213-21 ɕia nai niau,na kuo tsəu nəu ti ma saŋ tsəu pa na tɕiɛn xəu ta i tˈip ɕia nai niau
WH,Wuhan,18,这下北风只好承认,这下儿北风只好承认,,tsɤ xar pɤ foŋ tsɿ xau tsˈən nən,tsɤ35 xar pɤ213-21 foŋ55 tsɿ42 xau42 tsˈən213-21 nən35,tsɤ35 xar pɤ213-21 foŋ55 tsɹ̩42 xau42 tsˈən213-21 nən35,tsɤ xar pɤ foŋ tsɹ̩ xau tsˈən nən
WH,Wuhan,19,他们俩当中还是太阳的本事大,他们两个里头还是太阳的本事大,,tˈa məm niaŋ kuo ni tˈəu xai sɿ tˈai iaŋ ti pən sɿ ta,tˈa55 məm niaŋ42 kuo ni42 tˈəu xai213-21 sɿ35 tˈai35 iaŋ ti pən42 sɿ35 ta35,tˈa55 məm niaŋ42 kuo ni42 tˈəu xai213-21 sɹ̩35 tˈai35 iaŋ ti pən42 sɹ̩35 ta35,tˈa məm niaŋ kuo ni tˈəu xai sɹ̩ tˈai iaŋ ti pən sɹ̩ ta
