dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WH,Wuhan,1,太阳,太阳 ,,tˈai iaŋ,tˈai35 iaŋ,tʰai35iaŋ,tʰaiiaŋ
WH,Wuhan,2,月亮,月亮 ,,ye niaŋ,ye21321 niaŋ,ye21321niaŋ,yeniaŋ
WH,Wuhan,3,星星,星 ,,ɕin,ɕin55,ɕin55,ɕin
WH,Wuhan,4,打雷,打雷 ,,ta nei,ta42 nei213,ta42nei213,tanei
WH,Wuhan,5,闪电,扯霍 ,,tsˈɤ xuo,tsˈɤ42 xuo213,tsʰɤ42xuo213,tsʰɤxuo
WH,Wuhan,6,下雨,下雨 ,,ɕia y,ɕia35 y42,ɕia35y42,ɕiay
WH,Wuhan,7,下雪,下雪 ,,ɕia ɕie,ɕia24 ɕie213,ɕia24ɕie213,ɕiaɕie
WH,Wuhan,8,冰雹,冰雹 ,,pin pau,pin55 pau35,pin55pau35,pinpau
WH,Wuhan,9,结冰,结冰 ,,tɕie pin,tɕie21321 pin55,tɕie21321pin55,tɕiepin
WH,Wuhan,10,刮风,刮风 ,,kua foŋ,kua21321 foŋ55,kua21321foŋ55,kuafoŋ
WH,Wuhan,11,虹,虹,,kaŋ,kaŋ35,kaŋ35,kaŋ
WH,Wuhan,12,端午节,端午 ,,tan u,tan55 u,tan55u,tanu
WH,Wuhan,13,中秋节,中秋 ,,tsoŋ tɕˈiəu,tsoŋ55 tɕˈiəu55,tsoŋ55tɕʰiəu55,tsoŋtɕʰiəu
WH,Wuhan,14,除夕,除夕 ,,tɕˈy ɕi,tɕˈy21321 ɕi213,tɕʰy21321ɕi213,tɕʰyɕi
WH,Wuhan,15,今年,今年 ,,tɕin niɛn,tɕin55 niɛn,tɕin55niɛn,tɕinniɛn
WH,Wuhan,16,明年,明年 ,,min niɛn,min21321 niɛn,min21321niɛn,minniɛn
WH,Wuhan,17,去年,去年 ,,tɕˈy niɛn,tɕˈy35 niɛn,tɕʰy35niɛn,tɕʰyniɛn
WH,Wuhan,18,明天,明天,,min tˈiɛn,min21321 tˈiɛn,min21321tʰiɛn,mintʰiɛn
WH,Wuhan,19,昨天,昨日,,tsuo ɯ,tsuo21321 ɯ,tsuo21321ɯ,tsuoɯ
WH,Wuhan,20,今天,今日 ,,tɕin ɯ,tɕin21321 ɯ,tɕin21321ɯ,tɕinɯ
WH,Wuhan,21,星期天,星期天 ,,ɕin tɕˈi tˈiɛn,ɕin55 tɕˈi tˈiɛn55,ɕin55tɕʰitʰiɛn55,ɕintɕʰitʰiɛn
WH,Wuhan,22,麦子,麦子 ,,mɤ tsɿ,mɤ21321 tsɿ,mɤ21321tsɹ̩,mɤtsɹ̩
WH,Wuhan,23,大米,米,,mi,mi42,mi42,mi
