dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WM,Wulumuqi,1,谁啊?我是老三。,谁一个?我是老三一个,,sei i kɤ vɤ sɿ lɔ san i kɤ,sei51-44 i kɤ vɤ51 sɿ213 lɔ51 san44 i kɤ,sei51-44ikɤvɤ51sɹ̩213lɔ51san44ikɤ,seiikɤvɤsɹ̩lɔsanikɤ
WM,Wulumuqi,2,老四呢?她正跟一个朋友说着话呢。,老四哪?㑚正连一个朋友喧慌底呢,,lɔ sɿ na ȵia tʂɤŋ lian i kɤ pˈɤŋ iɤu ɕyan xuɑŋ ti ȵi,lɔ51-53 sɿ213-13 na ȵia51 tʂɤŋ213 lian51 i213-13 kɤ pˈɤŋ51-44 iɤu ɕyan44 xuɑŋ44 ti ȵi,lɔ51-53sɹ̩213-13naɲia51tʂɤŋ213lian51i213-13kɤpʰɤŋ51-44iɤuɕyan44xuɑŋ44tiɲi,lɔsɹ̩naɲiatʂɤŋlianikɤpʰɤŋiɤuɕyanxuɑŋtiɲi
WM,Wulumuqi,3,她还没说完吗?,她还莫谝完吗,,tˈa xan mɤ pˈian van ma,tˈa44 xan51 mɤ213 pˈian51 van51-44 ma,tʰa44xan51mɤ213pʰian51van51-44ma,tʰaxanmɤpʰianvanma
WM,Wulumuqi,4,还没有。大概再有一会儿就说完了。,莫有呢。哈巴再等一阵儿就说完咧,,mɤ iɤu ȵi xa pa tsai tɤŋ i tʂɤ̃r tɕiɤu fɤ van liɤ,mɤ213 iɤu51-13 ȵi xa213-13 pa tsai213 tɤŋ51-13 i tʂɤ̃r tɕiɤu213 fɤ213 van51-44 liɤ,mɤ213iɤu51-13ɲixa213-13patsai213tɤŋ51-13itʂɤ̃rtɕiɤu213fɤ213van51-44liɤ,mɤiɤuɲixapatsaitɤŋitʂɤ̃rtɕiɤufɤvanliɤ
WM,Wulumuqi,5,他说马上就走，怎么这半天了还在家里?,他说阿孜尔就走呢呣，咋半世天咧还在房子里头呢,,tˈa fɤ a tsɿr tɕiɤu tsɤu ȵi mu tsa pan ʂʅ tˈian liɤ xan tsai tɑŋ tsɿ li tˈɤu ȵi,tˈa44 fɤ213 a213-13 tsɿr51 tɕiɤu213 tsɤu51-13 ȵi mu tsa51 pan213-13 ʂʅ tˈian44 liɤ xan51 tsai213 tɑŋ51-44 tsɿ li51-13 tˈɤu ȵi,tʰa44fɤ213a213-13tsɹ̩r51tɕiɤu213tsɤu51-13ɲimutsa51pan213-13ʂɻ̩tʰian44liɤxan51tsai213tɑŋ51-44tsɹ̩li51-13tʰɤuɲi,tʰafɤatsɹ̩rtɕiɤutsɤuɲimutsapanʂɻ̩tʰianliɤxantsaitɑŋtsɹ̩litʰɤuɲi
WM,Wulumuqi,6,你到哪儿去?我到城里去。,你到哪达去呢?我到城上去呢,,ȵi tɔ na ta tɕˈi ȵi vɤ tɔ tʂˈɤŋ xɑŋ tɕˈi ȵi,ȵi51 tɔ213 na51-13 ta tɕˈi213-13 ȵi vɤ51 tɔ213 tʂˈɤŋ51-44 xɑŋ tɕˈi213-13 ȵi,ɲi51tɔ213na51-13tatɕʰi213-13ɲivɤ51tɔ213tʂʰɤŋ51-44xɑŋtɕʰi213-13ɲi,ɲitɔnatatɕʰiɲivɤtɔtʂʰɤŋxɑŋtɕʰiɲi
WM,Wulumuqi,7,在那儿，不在这儿。,在那达呢，不在这这,,tsai nei ta ȵi pu tsai tsa tsa,tsai213 nei44 ta ȵi pu213-13 tsai213 tsa51-13 tsa,tsai213nei44taɲipu213-13tsai213tsa51-13tsa,tsaineitaɲiputsaitsatsa
WM,Wulumuqi,8,不是那么做，要这么做。,不是那么价做，得这么价做,,pu sɿ nei mu tɕia tsu tei tsɿ mu tɕia tsu,pu213-13 sɿ213 nei44 mu tɕia tsu213 tei213 tsɿ213-13 mu tɕia tsu213,pu213-13sɹ̩213nei44mutɕiatsu213tei213tsɹ̩213-13mutɕiatsu213,pusɹ̩neimutɕiatsuteitsɹ̩mutɕiatsu
WM,Wulumuqi,9,太多了，用不着那么多，只要这么多就够了。,多咧，要不上那么多，只要这些就够咧,,tˈai tuɤ liɤ iɔ pu xɑŋ nɤ mu tuɤ tsɿ iɔ tsei ɕiɤ tɕiɤu kɤu  liɤ,tˈai213 tuɤ44 liɤ iɔ213-13 pu xɑŋ nɤ44 mu tuɤ tsɿ213-13 iɔ213 tsei44 ɕiɤ tɕiɤu213 kɤu 213-13 liɤ,tʰai213tuɤ44liɤiɔ213-13puxɑŋnɤ44mutuɤtsɹ̩213-13iɔ213tsei44ɕiɤtɕiɤu213kɤu213-13liɤ,tʰaituɤliɤiɔpuxɑŋnɤmutuɤtsɹ̩iɔtseiɕiɤtɕiɤukɤuliɤ
WM,Wulumuqi,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪个好些儿,,tsei kɤ ta nei kɤ ɕiɔ tsei liɑŋ kɤ na kɤ xɔ ɕiɤr,tsei44 kɤ ta213 nei44 kɤ ɕiɔ51 tsei44 liɑŋ51-13 kɤ na213-13 kɤ xɔ51-13 ɕiɤr,tsei44kɤta213nei44kɤɕiɔ51tsei44liɑŋ51-13kɤna213-13kɤxɔ51-13ɕiɤr,tseikɤtaneikɤɕiɔtseiliɑŋkɤnakɤxɔɕiɤr
