dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone,dialect,id
XA,Xian,1,有一回,有一回,,iou i xuei,iou53 i21 xuei24,iou53i21xuei24,iouixuei,Xian,XA
XA,Xian,2,北风跟太阳在那儿争论谁的本事大,北风跟日头在兀儿争谁的本事大,,pei fəŋ kẽ ər tˈou tsai uor tsəŋ sei ti pẽ sɿ ta,pei2124 fəŋ21 kẽ21 ər21 tˈou tsai21 uor53 tsəŋ21 sei24 ti pẽ53 sɿ ta44,pei2124fəŋ21kẽ21ər21tʰoutsai21uor53tsəŋ21sei24tipẽ53sɹ̩ta44,peifəŋkẽərtʰoutsaiuortsəŋseitipẽsɹ̩ta,Xian,XA
XA,Xian,3,争来争去就是分不出高低来,争过来争过去就是分不出个高低,,tsəŋ kuo lai tsəŋ kuo tɕˈi tsou sɿ fẽ pu pfˈu kɤ kau ti,tsəŋ21 kuo44 lai tsəŋ21 kuo44 tɕˈi tsou44 sɿ fẽ21 pu2124 pfˈu21 kɤ kau2124 ti21,tsəŋ21kuo44laitsəŋ21kuo44tɕʰitsou44sɹ̩fẽ21pu2124pfʰu21kɤkau2124ti21,tsəŋkuolaitsəŋkuotɕʰitsousɹ̩fẽpupfʰukɤkauti,Xian,XA
XA,Xian,4,这时候路上来了个走道儿的,这个时候路下过来咧一个人,,tʂɤ kɤ sɿ xou lu xa kuo lai liɛ i kɤ ʐẽ,tʂɤ53 kɤ sɿ24 xou lu44 xa kuo44 lai liɛ i21 kɤ44 ʐẽ24,tʂɤ53kɤsɹ̩24xoulu44xakuo44lailiɛi21kɤ44ʐẽ24,tʂɤkɤsɹ̩xouluxakuolailiɛikɤʐẽ,Xian,XA
XA,Xian,5,他身上穿着件厚大衣,身下穿咧件厚大氅,,ʂẽ xa pfˈã liɛ tɕiar xou ta tʂˈaŋ,ʂẽ21 xa pfˈã21 liɛ tɕiar4453 xou44 ta44 tʂˈaŋ53,ʂẽ21xapfʰã21liɛtɕiar4453xou44ta44tʂʰaŋ53,ʂẽxapfʰãliɛtɕiarxoutatʂʰaŋ,Xian,XA
XA,Xian,6,他们俩就说好了,,,,,,,Xian,XA
XA,Xian,7,谁能先叫这个走道儿的脱下他的厚大衣,,,,,,,Xian,XA
XA,Xian,8,就算谁的本事大,就算谁的本事大,,tsou suã sei ti pẽ sɿ ta,tsou44 suã44 sei24 ti pẽ53 sɿ ta44,tsou44suã44sei24tipẽ53sɹ̩ta44,tsousuãseitipẽsɹ̩ta,Xian,XA
XA,Xian,9,北风就使劲儿地刮起来了,北风就鼓劲儿地刮开咧,,pei fəŋ tsou ku tɕiər ti kua kˈai liɛ,pei2124 fəŋ21 tsou44 ku53 tɕiər4453 ti kua21 kˈai liɛ,pei2124fəŋ21tsou44ku53tɕiər4453tikua21kʰailiɛ,peifəŋtsoukutɕiərtikuakʰailiɛ,Xian,XA
XA,Xian,10,不过他越是刮得厉害,他越刮越大,,tˈa yɛ kua yɛ ta,tˈa21 yɛ2124 kua21 yɛ21 ta44,tʰa21yɛ2124kua21yɛ21ta44,tʰayɛkuayɛta,Xian,XA
XA,Xian,11,那个走道儿的把大衣裹得越紧,兀个走路的把大氅越裹越紧,,u kɤ tsou lu ti pa ta tʂˈaŋ yɛ kuo yɛ tɕiẽ,u44 kɤ tsou53 lu44 ti pa21 ta44 tʂˈaŋ53 yɛ21 kuo53 yɛ21 tɕiẽ53,u44kɤtsou53lu44tipa21ta44tʂʰaŋ53yɛ21kuo53yɛ21tɕiẽ53,ukɤtsoulutipatatʂʰaŋyɛkuoyɛtɕiẽ,Xian,XA
XA,Xian,12,后来北风没法儿了,北风没法咧,,pei fəŋ mo far liɛ,pei2124 fəŋ21 mo2124 far21 liɛ,pei2124fəŋ21mo2124far21liɛ,peifəŋmofarliɛ,Xian,XA
XA,Xian,13,只好就算了,只得算咧,,tsɿ tei suã liɛ,tsɿ2124 tei21 suã44 liɛ,tsɹ̩2124tei21suã44liɛ,tsɹ̩teisuãliɛ,Xian,XA
XA,Xian,14,过了一会儿,过咧一下,,kuo liɛ i xa,kuo44 liɛ i21 xa,kuo44liɛi21xa,kuoliɛixa,Xian,XA
XA,Xian,15,太阳出来了,日头出来咧,,ər tˈou pfˈu lai liɛ,ər21 tˈou pfˈu21 lai liɛ,ər21tʰoupfʰu21lailiɛ,ərtʰoupfʰulailiɛ,Xian,XA
XA,Xian,16,他火辣辣地一晒,他冷跟儿地晒,,tˈa ləŋ kər ti sai,tˈa21 ləŋ53 kər21 ti sai44,tʰa21ləŋ53kər21tisai44,tʰaləŋkərtisai,Xian,XA
XA,Xian,17,那个走道儿的马上就把那件厚大衣脱下来了,兀个走路的晒得受不了,,u kɤ tsou lu ti sai ti ʂou pu liau,u44 kɤ tsou53 lu44 ti sai44 ti ʂou44 pu liau53,u44kɤtsou53lu44tisai44tiʂou44puliau53,ukɤtsoulutisaitiʂoupuliau,Xian,XA
XA,Xian,18,这下北风只好承认,马上就把厚大氅脱下来咧,,ma ʂaŋ tsou pa xou ta tʂˈaŋ tˈuo xa lai liɛ,ma53 ʂaŋ tsou44 pa21 xou44 ta44 tʂˈaŋ53 tˈuo21 xa44 lai liɛ,ma53ʂaŋtsou44pa21xou44ta44tʂʰaŋ53tʰuo21xa44lailiɛ,maʂaŋtsoupaxoutatʂʰaŋtʰuoxalailiɛ,Xian,XA
XA,Xian,19,他们俩当中还是太阳的本事大,这一下北风只得人咧,,tʂei i xa pei fəŋ tsɿ tei ʐẽ liɛ,tʂei53 i21 xa pei2124 fəŋ21 tsɿ2124 tei21 ʐẽ44 liɛ,tʂei53i21xapei2124fəŋ21tsɹ̩2124tei21ʐẽ44liɛ,tʂeiixapeifəŋtsɹ̩teiʐẽliɛ,Xian,XA
XA,Xian,,,他俩当中里还是日头的本事大,,tˈa lia taŋ pfəŋ ni xai sɿ ər tˈou ti pẽ sɿ ta,tˈa21 lia21 taŋ2124 pfəŋ21 ni xai24 sɿ44 ər21 tˈou ti pẽ53 sɿ ta44,tʰa21lia21taŋ2124pfəŋ21nixai24sɹ̩44ər21tʰoutipẽ53sɹ̩ta44,tʰaliataŋpfəŋnixaisɹ̩ərtʰoutipẽsɹ̩ta,Xian,XA
