dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XG,Xianggang,1,太阳,日头 ,,jɐt tˈɐu,jɐt2 tˈɐu2135,jɐttʰɐu,jɐt2tʰɐu2135
XG,Xianggang,2,月亮,月亮 ,,jyt lœŋ,jyt2 lœŋ22,jytlœŋ,jyt2lœŋ22
XG,Xianggang,3,星星,星 ,,siŋ,siŋ55,siŋ,siŋ55
XG,Xianggang,4,打雷,行雷 ,,haŋ løy,haŋ21 løy21,haŋløy,haŋ21løy21
XG,Xianggang,5,闪电,闪电 ,,sim tin,sim35 tin22,simtin,sim35tin22
XG,Xianggang,6,下雨,落雨 ,,lɔk jy,lɔk2 jy13,lɔkjy,lɔk2jy13
XG,Xianggang,7,下雪,落雪 ,,lɔk syt,lɔk2 syt3,lɔksyt,lɔk2syt3
XG,Xianggang,8,冰雹,雹 ,,pɔk,pɔk2,pɔk,pɔk2
XG,Xianggang,9,结冰,结冰 ,,kit piŋ,kit3 piŋ55,kitpiŋ,kit3piŋ55
XG,Xianggang,10,刮风,翻风 ,,fan fuŋ,fan55 fuŋ55,fanfuŋ,fan55fuŋ55
XG,Xianggang,11,虹,彩虹 ,,tsˈɔi huŋ,tsˈɔi35 huŋ21,tsʰɔihuŋ,tsʰɔi35huŋ21
XG,Xianggang,12,端午节,端午 ,,tyn ŋ,tyn55 ŋ13,tynŋ,tyn55ŋ13
XG,Xianggang,13,中秋节,中秋 ,,tsuŋ tsˈɐu,tsuŋ55 tsˈɐu55,tsuŋtsʰɐu,tsuŋ55tsʰɐu55
XG,Xianggang,14,除夕,年卅晚,,ȵin sa man,ȵin21 sa55 man13,ɲinsaman,ɲin21sa55man13
XG,Xianggang,15,今年,今年,,kɐm ȵin,kɐm35 ȵin21,kɐmɲin,kɐm35ɲin21
XG,Xianggang,16,明年,出年,,tsˈøt ȵin,tsˈøt5 ȵin21,tsʰøtɲin,tsʰøt5ɲin21
XG,Xianggang,17,去年,旧年,,kɐu ȵin,kɐu22 ȵin21,kɐuɲin,kɐu22ɲin21
XG,Xianggang,18,明天,听日,,tˈiŋ jɐt,tˈiŋ55 jɐt2,tʰiŋjɐt,tʰiŋ55jɐt2
XG,Xianggang,19,昨天,琴日,,kˈɐm jɐt,kˈɐm21 jɐt2,kʰɐmjɐt,kʰɐm21jɐt2
XG,Xianggang,20,今天,今日,,kɐm jɐt,kɐm55 jɐt2,kɐmjɐt,kɐm55jɐt2
XG,Xianggang,21,星期天,星期日,,siŋ kˈei jɐt,siŋ55 kˈei21 jɐt2,siŋkʰeijɐt,siŋ55kʰei21jɐt2
XG,Xianggang,22,麦子,麦,,mɐk,mɐk2,mɐk,mɐk2
XG,Xianggang,23,大米,禾,,wɔ,wɔ21,wɔ,wɔ21
XG,Xianggang,24,蚕豆,蚕豆,,tsˈam tɐu,tsˈam21 tɐu2235,tsʰamtɐu,tsʰam21tɐu2235
XG,Xianggang,25,向日葵,向日葵,,hœŋ jɐt kˈwɐi,hœŋ33 jɐt2 kˈwɐi21,hœŋjɐtkʰwɐi,hœŋ33jɐt2kʰwɐi21
XG,Xianggang,26,菠菜,菠菜,,pɔ tsˈɔi,pɔ55 tsˈɔi33,pɔtsʰɔi,pɔ55tsʰɔi33
XG,Xianggang,27,卷心菜,椰菜,,jɛ tsˈɔi,jɛ21 tsˈɔi33,jɛtsʰɔi,jɛ21tsʰɔi33
XG,Xianggang,28,西红柿,番茄,,fan kˈɛ,fan55 kˈɛ35,fankʰɛ,fan55kʰɛ35
XG,Xianggang,29,茄子,矮瓜,,ɐi kwa,ɐi35 kwa55,ɐikwa,ɐi35kwa55
XG,Xianggang,30,白薯,番薯,,fan sy,fan55 sy2135,fansy,fan55sy2135
XG,Xianggang,31,马铃薯,薯仔,,sy tsɐi,sy21 tsɐi35,sytsɐi,sy21tsɐi35
XG,Xianggang,32,南瓜,南瓜,,nam kwa,nam21 kwa55,namkwa,nam21kwa55
XG,Xianggang,33,猪,猪,,tsy,tsy55,tsy,tsy55
XG,Xianggang,34,公猪,猪公,,tsy kuŋ,tsy55 kuŋ55,tsykuŋ,tsy55kuŋ55
