dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XT,Xiangtan,1,谁啊?我是老三。,哪个?我是老三,,nɒ ko ŋo ʂʅ naɯ san,nɒ42 ko55 ŋo42 ʂʅ21 naɯ42 san33,nɒ ko ŋo ʂɻ̩ naɯ san,nɒ42 ko55 ŋo42 ʂɻ̩21 naɯ42 san33
XT,Xiangtan,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正在和一隻朋友打太平讲,,naɯ sʅ nie tɒ tʂən dzai ɦo i tʂo pˈən iəɯ tɒ tˈai bian kɔn,naɯ42 sʅ55 nie55 tɒ33 tʂən55 dzai21 ɦo12 i24 tʂo24 pˈən12 iəɯ42 tɒ42 tˈai55 bian12 kɔn42,naɯ sɻ̩ nie tɒ tʂən dzai ɦo i tʂo pˈən iəɯ tɒ tˈai bian kɔn,naɯ42 sɻ̩55 nie55 tɒ33 tʂən55 dzai21 ɦo12 i24 tʂo24 pˈən12 iəɯ42 tɒ42 tˈai55 bian12 kɔn42
XT,Xiangtan,3,她还没说完吗?,她还冒讲完啵,,tɒ ɦai maɯ kɔn yẽ po,tɒ33 ɦai12 maɯ21 kɔn42 yẽ12 po55,tɒ ɦai maɯ kɔn yẽ po,tɒ33 ɦai12 maɯ21 kɔn42 yẽ12 po55
XT,Xiangtan,4,还没有。大概再有一会儿就说完了。,还冒。大概再讲一阵子就讲完哒,,ɦai maɯ dai kˈai tsai kɔn i tsən tsɿ dʑiəɯ kɔn yẽ tɒ,ɦai maɯ21 dai21 kˈai55 tsai55 kɔn42 i24 tsən21 tsɿ33 dʑiəɯ21 kɔn42 yẽ12 tɒ42,ɦai maɯ dai kˈai tsai kɔn i tsən tsɹ̩ dʑiəɯ kɔn yẽ tɒ,ɦai maɯ21 dai21 kˈai55 tsai55 kɔn42 i24 tsən21 tsɹ̩33 dʑiəɯ21 kɔn42 yẽ12 tɒ42
XT,Xiangtan,5,他说马上就走，怎么这半天了还在家里?,他讲随即就走，台的解咯么半天哒还在屋里,,tɒ kɔn səi tɕi dʑiəɯ tsəɯ i ti kai ko mo pɔn tˈiẽ tɒ ɦai dzai u ni,tɒ33 kɔn42 səi12 tɕi24 dʑiəɯ21 tsəɯ42 i12 ti33 kai42 ko24 mo42 pɔn55 tˈiẽ33 tɒ42 ɦai12 dzai21 u24 ni42,tɒ kɔn səi tɕi dʑiəɯ tsəɯ i ti kai ko mo pɔn tˈiẽ tɒ ɦai dzai u ni,tɒ33 kɔn42 səi12 tɕi24 dʑiəɯ21 tsəɯ42 i12 ti33 kai42 ko24 mo42 pɔn55 tˈiẽ33 tɒ42 ɦai12 dzai21 u24 ni42
XT,Xiangtan,6,你到哪儿去?我到城里去。,你到哪当去?我到城里去,,ȵi taɯ nɒ tɔn tɕˈie ŋo taɯ dʐən ni tɕˈie,ȵi42 taɯ55 nɒ42 tɔn55 tɕˈie55 ŋo42 taɯ55 dʐən12 ni42 tɕˈie55,ɲi taɯ nɒ tɔn tɕˈie ŋo taɯ dʐən ni tɕˈie,ɲi42 taɯ55 nɒ42 tɔn55 tɕˈie55 ŋo42 taɯ55 dʐən12 ni42 tɕˈie55
XT,Xiangtan,7,在那儿，不在这儿。,在那当，冒在咯当,,dzai nɒ tɔn maɯ dzai ko tɔn,dzai21 nɒ24 tɔn55 maɯ21 dzai21 ko24 tɔn55,dzai nɒ tɔn maɯ dzai ko tɔn,dzai21 nɒ24 tɔn55 maɯ21 dzai21 ko24 tɔn55
XT,Xiangtan,8,不是那么做，要这么做。,不是那么做，要这么做,,pu ʂʅ iaɯ nɒ ian tsəɯ ʂʅ iaɯ ko ian tsəɯ,pu24 ʂʅ21 iaɯ55 nɒ24 ian21 tsəɯ55 ʂʅ iaɯ55 ko24 ian21 tsəɯ55,pu ʂɻ̩ iaɯ nɒ ian tsəɯ ʂɻ̩ iaɯ ko ian tsəɯ,pu24 ʂɻ̩21 iaɯ55 nɒ24 ian21 tsəɯ55 ʂɻ̩ iaɯ55 ko24 ian21 tsəɯ55
XT,Xiangtan,9,太多了，用不着那么多，只要这么多就够了。,太多哒，要不了那样多，只要咯样多就有哒,,tˈai to tɒ iaɯ pu niaɯ nɒ ian to tʂʅ iaɯ ko ian to dziəɯ iəɯ tɒ,tˈai55 to33 tɒ42 iaɯ55 pu24 niaɯ42 nɒ24 ian21 to33 tʂʅ24 iaɯ55 ko24 ian21 to33 dziəɯ21 iəɯ42 tɒ42,tˈai to tɒ iaɯ pu niaɯ nɒ ian to tʂɻ̩ iaɯ ko ian to dziəɯ iəɯ tɒ,tˈai55 to33 tɒ42 iaɯ55 pu24 niaɯ42 nɒ24 ian21 to33 tʂɻ̩24 iaɯ55 ko24 ian21 to33 dziəɯ21 iəɯ42 tɒ42
XT,Xiangtan,10,这个大，那个小，这两个哪一个好一点呢?,咯隻大，那隻小，咯两隻哪一隻好一点,,ko tʂɒ dai nɒ tʂɒ siaɯ ko nian tʂo nɒ i tʂo haɯ i tiẽ,ko24 tʂɒ24 dai21 nɒ24 tʂɒ24 siaɯ42 ko24 nian42 tʂo24 nɒ42 i24 tʂo24 haɯ42 i24 tiẽ42,ko tʂɒ dai nɒ tʂɒ siaɯ ko nian tʂo nɒ i tʂo haɯ i tiẽ,ko24 tʂɒ24 dai21 nɒ24 tʂɒ24 siaɯ42 ko24 nian42 tʂo24 nɒ42 i24 tʂo24 haɯ42 i24 tiẽ42
XT,Xiangtan,11,这个比那个好。,咯隻比那隻好,,ko tʂo pi nɒ tʂo haɯ,ko24 tʂo24 pi42 nɒ24 tʂo24 haɯ42,ko tʂo pi nɒ tʂo haɯ,ko24 tʂo24 pi42 nɒ24 tʂo24 haɯ42
