dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XT,Xiangtan,1,太阳,太阳 ,,tˈai ian,tˈai55 ian12,tˈai ian,tˈai55 ian12
XT,Xiangtan,2,月亮,月亮 ,,yæ nian,yæ24 nian55,yæ nian,yæ24 nian55
XT,Xiangtan,3,星星,星子 ,,sian tsɿ,sian33 tsɿ33,sian tsɹ̩,sian33 tsɹ̩33
XT,Xiangtan,4,打雷,打雷 ,,tɒ nəi,tɒ42 nəi12,tɒ nəi,tɒ42 nəi12
XT,Xiangtan,5,闪电,扯发闪 ,,tʂˈɒ ɸɒ ɕyẽ,tʂˈɒ42 ɸɒ24 ɕyẽ42,tʂˈɒ ɸɒ ɕyẽ,tʂˈɒ42 ɸɒ24 ɕyẽ42
XT,Xiangtan,6,下雨,落雨 ,,no y,no24 y42,no y,no24 y42
XT,Xiangtan,7,下雪,落雪 ,,no sie,no24 sie24,no sie,no24 sie24
XT,Xiangtan,8,冰雹,雪籽子 ,,sie tsɿ tsɿ,sie24 tsɿ42 tsɿ33,sie tsɹ̩ tsɹ̩,sie24 tsɹ̩42 tsɹ̩33
XT,Xiangtan,9,结冰,结构 ,,tɕie kəɯ,tɕie24 kəɯ55,tɕie kəɯ,tɕie24 kəɯ55
XT,Xiangtan,10,刮风,起风 ,,tɕˈi ɸən,tɕˈi42 ɸən33,tɕˈi ɸən,tɕˈi42 ɸən33
XT,Xiangtan,11,虹,虹,,kɔn,kɔn55,kɔn,kɔn55
XT,Xiangtan,12,端午节,端午日 ,,tɔn u i,tɔn33 u42 i24,tɔn u i,tɔn33 u42 i24
XT,Xiangtan,13,中秋节,中秋日,,tʂən tsˈiəɯ i,tʂən33 tsˈiəɯ33 i24,tʂən tsˈiəɯ i,tʂən33 tsˈiəɯ33 i24
XT,Xiangtan,14,除夕,大年三十,,dai ȵiẽ san ʂʅ,dai21 ȵiẽ12 san33 ʂʅ55,dai ɲiẽ san ʂɻ̩,dai21 ɲiẽ12 san33 ʂɻ̩55
XT,Xiangtan,15,今年,今年子 ,,tɕin ȵiẽ tsɿ,tɕin33 ȵiẽ12 tsɿ33,tɕin ɲiẽ tsɹ̩,tɕin33 ɲiẽ12 tsɹ̩33
XT,Xiangtan,16,明年,明年子 ,,min ȵiẽ tsɿ,min12 ȵiẽ12 tsɿ33,min ɲiẽ tsɹ̩,min12 ɲiẽ12 tsɹ̩33
