dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XN,Xining,1,谁啊?我是老三。,谁啊?我是老三哪,,fɨ a nɔ sɿ lɔ sã na,fɨ2421 a53 nɔ53 sɿ213 lɔ53 sã44 na,fɨanɔsɹ̩lɔsãna,fɨ2421a53nɔ53sɹ̩213lɔ53sã44na
XN,Xining,2,老四呢?她正跟一个朋友说着话呢。,老四崃?家正代一个朋友唡喧者,,lɔ sɿ lɛ tɕia tʂə̃ j kɔ pˈə̃ iɯ lia ɕyã tʂɛ,lɔ53 sɿ21321 lɛ2453 tɕia24 tʂə̃213 j4421 kɔ213 pˈə̃2421 iɯ53 lia ɕyã44 tʂɛ53,lɔsɹ̩lɛtɕiatʂə̃jkɔpʰə̃iɯliaɕyãtʂɛ,lɔ53sɹ̩21321lɛ2453tɕia24tʂə̃213j4421kɔ213pʰə̃2421iɯ53liaɕyã44tʂɛ53
XN,Xining,3,她还没说完吗?,家还没说完么,,tɕia xɛ mɔ fɔ uã mɔ,tɕia24 xɛ mɔ24 fɔ44 uã2421 mɔ,tɕiaxɛmɔfɔuãmɔ,tɕia24xɛmɔ24fɔ44uã2421mɔ
XN,Xining,4,还没有。大概再有一会儿就说完了。,还没。大框模儿，再一挂挂儿嗬就说完了,,xɛ mɔ ta kˈuɔ̃ mv̩ ɛ tsɛ j kua kua ɛ xɔ tɕiɯ fɔ uã liɔ,xɛ24 mɔ24 ta213 kˈuɔ̃44 mv̩44 ɛ tsɛ213 j4421 kua213 kua ɛ xɔ tɕiɯ213 fɔ44 uã2421 liɔ53,xɛmɔtakʰuɔ̃mv̩ɛtsɛjkuakuaɛxɔtɕiɯfɔuãliɔ,xɛ24mɔ24ta213kʰuɔ̃44mv̩44ɛtsɛ213j4421kua213kuaɛxɔtɕiɯ213fɔ44uã2421liɔ53
XN,Xining,5,他说马上就走，怎么这半天了还在家里?,家说就走唡，阿蒙致蒙半天了着还呆家里唡,,tɕia fɔ tɕiɯ tsɯ lia a mə̃ tʂʅ mə̃ pã tˈiã liɔ tʂɔ xɛ tɛ tɕia l̩ lia,tɕia24 fɔ44 tɕiɯ213 tsɯ53 lia a4421 mə̃24 tʂʅ21321 mə̃24 pã213 tˈiã44 liɔ tʂɔ xɛ24 tɛ213 tɕia44 l̩53 lia,tɕiafɔtɕiɯtsɯliaamə̃tʂɻ̩mə̃pãtʰiãliɔtʂɔxɛtɛtɕial̩lia,tɕia24fɔ44tɕiɯ213tsɯ53liaa4421mə̃24tʂɻ̩21321mə̃24pã213tʰiã44liɔtʂɔxɛ24tɛ213tɕia44l̩53lia
XN,Xining,6,你到哪儿去?我到城里去。,你阿扎去唡?我城里去个唡,,ȵi a tʂa tɕˈj lia nɔ tʂˈə̃ l̩ tɕˈj kɔ lia,ȵi53 a4421 tʂa53 tɕˈj21321 lia53 nɔ53 tʂˈə̃2421 l̩53 tɕˈj21321 kɔ213 lia,ɲiatʂatɕʰjlianɔtʂʰə̃l̩tɕʰjkɔlia,ɲi53a4421tʂa53tɕʰj21321lia53nɔ53tʂʰə̃2421l̩53tɕʰj21321kɔ213lia
XN,Xining,7,在那儿，不在这儿。,呆奈扎唡，没呆致扎着,,tɛ nɛ tʂa lia mɔ tɛ tʂʅ tʂa tʂɔ,tɛ213 nɛ21321 tʂa53 lia mɔ24 tɛ213 tʂʅ21321 tʂa53 tʂɔ,tɛnɛtʂaliamɔtɛtʂɻ̩tʂatʂɔ,tɛ213nɛ21321tʂa53liamɔ24tɛ213tʂɻ̩21321tʂa53tʂɔ
XN,Xining,8,不是那么做，要这么做。,奈蒙价做嗬没对着，要致蒙价做唡,,nɛ mə̃ tɕia tɕy xɔ mɔ tuɨ tʂɔ iɔ tʂʅ mə̃ tɕia tɕy lia,nɛ213 mə̃24 tɕia tɕy21321 xɔ53 mɔ24 tuɨ21321 tʂɔ53 iɔ213 tʂʅ21321 mə̃24 tɕia tɕy21321 lia53,nɛmə̃tɕiatɕyxɔmɔtuɨtʂɔiɔtʂɻ̩mə̃tɕiatɕylia,nɛ213mə̃24tɕiatɕy21321xɔ53mɔ24tuɨ21321tʂɔ53iɔ213tʂɻ̩21321mə̃24tɕiatɕy21321lia53
XN,Xining,9,太多了，用不着那么多，只要这么多就够了。,太多了，奈蒙多嗬用不完哪，致蒙些嗬就够了,,tˈɛ tu liɔ nɛ mə̃ tu xɔ yə̃ pv̩ uã na tʂʅ mə̃ ɕi xɔ tɕiɯ kɯ liɔ,tˈɛ213 tu44 liɔ nɛ21321 mə̃24 tu44 xɔ yə̃213 pv̩213 uã2421 na53 tʂʅ21321 mə̃24 ɕi2421 xɔ53 tɕiɯ213 kɯ21321 liɔ53,tʰɛtuliɔnɛmə̃tuxɔyə̃pv̩uãnatʂɻ̩mə̃ɕixɔtɕiɯkɯliɔ,tʰɛ213tu44liɔnɛ21321mə̃24tu44xɔyə̃213pv̩213uã2421na53tʂɻ̩21321mə̃24ɕi2421xɔ53tɕiɯ213kɯ21321liɔ53
XN,Xining,10,这个大，那个小，这两个哪一个好一点呢?,致个大，奈个尕，致两个阿一个好儿些,,tʂʅ kɔ ta nɛ kɔ ka tʂʅ liɔ̃ kɔ a j kɔ xɔ ɛ ɕi,tʂʅ21321 kɔ213 ta213 nɛ21321 kɔ213 ka24 tʂʅ213 liɔ̃53 kɔ213 a4424 j kɔ213 xɔ53 ɛ ɕi,tʂɻ̩kɔtanɛkɔkatʂɻ̩liɔ̃kɔajkɔxɔɛɕi,tʂɻ̩21321kɔ213ta213nɛ21321kɔ213ka24tʂɻ̩213liɔ̃53kɔ213a4424jkɔ213xɔ53ɛɕi
XN,Xining,11,这个比那个好。,致个比奈个好,,tʂʅ kɔ pj nɛ kɔ xɔ,tʂʅ21321 kɔ213 pj53 nɛ21321 kɔ213 xɔ53,tʂɻ̩kɔpjnɛkɔxɔ,tʂɻ̩21321kɔ213pj53nɛ21321kɔ213xɔ53
XN,Xining,12,这些房子不如那些房子好。,致些房子没有奈些房子好,,tʂʅ ɕi fɔ̃ tsʅ mɔ iɯ nɛ ɕi fɔ̃ tsʅ xɔ,tʂʅ21321 ɕi53 fɔ̃2421 tsʅ53 mɔ2421 iɯ53 nɛ21321 ɕi53 fɔ̃2421 tsʅ53 xɔ53,tʂɻ̩ɕifɔ̃tsɻ̩mɔiɯnɛɕifɔ̃tsɻ̩xɔ,tʂɻ̩21321ɕi53fɔ̃2421tsɻ̩53mɔ2421iɯ53nɛ21321ɕi53fɔ̃2421tsɻ̩53xɔ53
XN,Xining,13,这句话用成都话怎么说?,,,,,,
XN,Xining,14,他今年多大岁数了?,家今年多大岁数了,,tɕia tɕiə̃ ȵiã tu ta suɨ fv̩ liɔ,tɕia24 tɕiə̃44 ȵiã2444 tu44 ta213 suɨ213 fv̩53 liɔ,tɕiatɕiə̃ɲiãtutasuɨfv̩liɔ,tɕia24tɕiə̃44ɲiã2444tu44ta213suɨ213fv̩53liɔ
XN,Xining,15,大概三十来岁吧。,大框模儿三十来岁有唡,,ta kˈuɔ̃ mv̩ ɛ sã ʂʅ lɛ suɨ iɯ lia,ta213 kˈuɔ̃44 mv̩4424 ɛ sã44 ʂʅ lɛ2421 suɨ213 iɯ53 lia,takʰuɔ̃mv̩ɛsãʂɻ̩lɛsuɨiɯlia,ta213kʰuɔ̃44mv̩4424ɛsã44ʂɻ̩lɛ2421suɨ213iɯ53lia
XN,Xining,16,这个东西有多重呢?,致个东西阿蒙重的个有唡?,,tʂʅ kɔ tuə̃ ɕj a mə̃ tʂuə̃ tsɿ kɔ iɯ lia,tʂʅ213 kɔ213 tuə̃44 ɕj a4421 mə̃ tʂuə̃213 tsɿ kɔ iɯ53 lia,tʂɻ̩kɔtuə̃ɕjamə̃tʂuə̃tsɹ̩kɔiɯlia,tʂɻ̩213kɔ213tuə̃44ɕja4421mə̃tʂuə̃213tsɹ̩kɔiɯ53lia
XN,Xining,17,有五十斤重呢。,五十斤有唡,,v̩ ʂʅ tɕiə̃ iɯ lia,v̩53 ʂʅ tɕiə̃ iɯ53 lia,v̩ʂɻ̩tɕiə̃iɯlia,v̩53ʂɻ̩tɕiə̃iɯ53lia
XN,Xining,18,拿得动吗?,拿动唡,,na tuə̃ lia,na24 tuə̃ lia53,natuə̃lia,na24tuə̃lia53
XN,Xining,19,我拿得动，他拿不动。,我拿动唡，家拿不动哪,,nɔ na tuə̃ lia tɕia na tuə̃ l̩ pɔ̃ xɔ,nɔ53 na24 tuə̃ lia tɕia24 na24 tuə̃ l̩53 pɔ̃44 xɔ,nɔnatuə̃liatɕianatuə̃l̩pɔ̃xɔ,nɔ53na24tuə̃liatɕia24na24tuə̃l̩53pɔ̃44xɔ
XN,Xining,20,真不轻，重得连我也拿不动。,实话不轻哪，重着连我啊拿不动哪,,ʂʅ xua pv̩ tɕˈiə̃ na tʂuə̃ tʂɔ liã nɔ a na pv̩ tuə̃ na,ʂʅ2421 xua213 pv̩213 tɕˈiə̃44 na tʂuə̃21321 tʂɔ53 liã24 nɔ53 a na24 pv̩ tuə̃21321 na53,ʂɻ̩xuapv̩tɕʰiə̃natʂuə̃tʂɔliãnɔanapv̩tuə̃na,ʂɻ̩2421xua213pv̩213tɕʰiə̃44natʂuə̃21321tʂɔ53liã24nɔ53ana24pv̩tuə̃21321na53
XN,Xining,21,你说得很好，你还会说点什么呢?,你说着胡嘟好，你还会说儿些啥唡,,ȵi fɔ tʂɔ xv̩ xɔ ȵi xɛ xuɨ fɔ ɛ ɕi sa lia,ȵi53 fɔ44 tʂɔ xv̩44 xɔ53 ȵi53 xɛ24 xuɨ213 fɔ44 ɛ ɕi sa21321 lia53,ɲifɔtʂɔxv̩xɔɲixɛxuɨfɔɛɕisalia,ɲi53fɔ44tʂɔxv̩44xɔ53ɲi53xɛ24xuɨ213fɔ44ɛɕisa21321lia53
