dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,dialect_id,ipa_converted_no_tone,ipa_converted_with_tone
Xining,1,有一回,有 一 回煞,,iɯ j xuɨ sa,iɯ53 j xuɨ2421 sa53,XN,iɯjxuɨsa,iɯ53jxuɨ2421sa53
Xining,2,北风跟太阳在那儿争论谁的本事大,北风带热头儿俩带一处争讲谁的本事大,,pɨ fə̃ tɛ ʐɛ tˈɯ ɛ lia tɛ j tʂˈv̩ ɛ tsə̃ tɕə̃ tɕiɔ̃ fɨ tsɿ pə̃ sɿ ta,pɨ44 fə̃44 tɛ213 ʐɛ4421 tˈɯ2421 ɛ2453 lia tɛ213 j4421 tʂˈv̩53 ɛ tsə̃44 tɕə̃44 tɕiɔ̃53 fɨ2421 tsɿ4453 pə̃53 sɿ ta213,XN,pɨfə̃tɛʐɛtʰɯɛliatɛjtʂʰv̩ɛtsə̃tɕə̃tɕiɔ̃fɨtsɹ̩pə̃sɹ̩ta,pɨ44fə̃44tɛ213ʐɛ4421tʰɯ2421ɛ2453liatɛ213j4421tʂʰv̩53ɛtsə̃44tɕə̃44tɕiɔ̃53fɨ2421tsɹ̩4453pə̃53sɹ̩ta213
Xining,3,争来争去就是分不出高低来,争来争去就是分不出高低来,,tɕə̃ lɛ tɕə̃ tɕˈj tɕiɯ sɿ fə̃ pv̩ tʂˈv̩ kɔ tsɿ lɛ,tɕə̃44 lɛ24 tɕə̃44 tɕˈj213 tɕiɯ213 sɿ213 fə̃44 pv̩ tʂˈv̩44 kɔ44 tsɿ44 lɛ,XN,tɕə̃lɛtɕə̃tɕʰjtɕiɯsɹ̩fə̃pv̩tʂʰv̩kɔtsɹ̩lɛ,tɕə̃44lɛ24tɕə̃44tɕʰj213tɕiɯ213sɹ̩213fə̃44pv̩tʂʰv̩44kɔ44tsɹ̩44lɛ
Xining,4,这时候路上来了个走道儿的,致个时候路上来了个走路的,,tʂʅ kɔ sɿ xɯ lv̩ʂɔ̃ lɛ liɔ j kɔ tsɯ lv̩ tsɿ,tʂʅ21321 kɔ213 sɿ2421 xɯ2453 lv̩21321ʂɔ̃21353 lɛ2421 liɔ53 j4421 kɔ213 tsɯ53 lv̩21321 tsɿ53,XN,tʂɻ̩kɔsɹ̩xɯlv̩ʂɔ̃lɛliɔjkɔtsɯlv̩tsɹ̩,tʂɻ̩21321kɔ213sɹ̩2421xɯ2453lv̩21321ʂɔ̃21353lɛ2421liɔ53j4421kɔ213tsɯ53lv̩21321tsɹ̩53
Xining,5,他身上穿着件厚大衣,家身上穿了一件厚大衣,,tɕia ʂə̃ ʂɔ̃ tʂˈuã liɔ j tɕiã xɯ ta j,tɕia24 ʂə̃44 ʂɔ̃ tʂˈuã44 liɔ j4421 tɕiã213 xɯ213 ta21321 j4453,XN,tɕiaʂə̃ʂɔ̃tʂʰuãliɔjtɕiãxɯtaj,tɕia24ʂə̃44ʂɔ̃tʂʰuã44liɔj4421tɕiã213xɯ213ta21321j4453
Xining,6,他们俩就说好了,家们俩就说好了,,tɕia mə̃ lia tɕiɯ fɔ xɔ liɔ,tɕia2421 mə̃ lia tɕiɯ213 fɔ4421 xɔ53 liɔ,XN,tɕiamə̃liatɕiɯfɔxɔliɔ,tɕia2421mə̃liatɕiɯ213fɔ4421xɔ53liɔ
Xining,7,谁能先叫这个走道儿的脱下他的厚大衣,谁能先叫致个走路的把厚大衣脱啊下来,,fɨ nə̃ ɕiã tɕiɔ tʂʅ kɔ tsɯ lv̩ tsɿ pa xɯ ta j tˈu ɔ̃ xa lɛ,fɨ24 nə̃24 ɕiã44 tɕiɔ213 tʂʅ21321 kɔ213 tsɯ53 lv̩ tsɿ4453 pa213 xɯ213 ta21321 j4453 tˈu44 ɔ̃ xa213 lɛ,XN,fɨnə̃ɕiãtɕiɔtʂɻ̩kɔtsɯlv̩tsɹ̩paxɯtajtʰuɔ̃xalɛ,fɨ24nə̃24ɕiã44tɕiɔ213tʂɻ̩21321kɔ213tsɯ53lv̩tsɹ̩4453pa213xɯ213ta21321j4453tʰu44ɔ̃xa213lɛ
Xining,8,就算谁的本事大,就算谁的本事大,,tɕiɯ suã fɨ tsɿ pə̃ sɿ ta,tɕiɯ213 suã213 fɨ2421 tsɿ4453 pə̃53 sɿ ta213,XN,tɕiɯsuãfɨtsɹ̩pə̃sɹ̩ta,tɕiɯ213suã213fɨ2421tsɹ̩4453pə̃53sɹ̩ta213
Xining,9,北风就使劲儿地刮起来了,北风就豁上老命着吹脱了,,pɨ fə̃ tɕiɯ xu ʂɔ̃ lɔ miə̃ tʂu tʂˈuɨ tˈu liɔ,pɨ44 fə̃44 tɕiɯ213 xu44 ʂɔ̃ lɔ53 miə̃213 tʂu tʂˈuɨ44 tˈu liɔ,XN,pɨfə̃tɕiɯxuʂɔ̃lɔmiə̃tʂutʂʰuɨtʰuliɔ,pɨ44fə̃44tɕiɯ213xu44ʂɔ̃lɔ53miə̃213tʂutʂʰuɨ44tʰuliɔ
Xining,10,不过他越是刮得厉害,谁知道家越吹着厉害,,fɨ tʂʅ tɔ tɕia yu tʂˈuɨ tʂu l̩ xɛ,fɨ2421 tʂʅ44 tɔ tɕia24 yu4421 tʂˈuɨ44 tʂu l̩21321 xɛ21353,XN,fɨtʂɻ̩tɔtɕiayutʂʰuɨtʂul̩xɛ,fɨ2421tʂɻ̩44tɔtɕia24yu4421tʂʰuɨ44tʂul̩21321xɛ21353
Xining,11,那个走道儿的把大衣裹得越紧,奈个走路的把大衣裹着越紧哪,,nɛ kɔ tsɯ lv̩ tsɿ pa ta j ku tʂu yu tɕiə̃ na,nɛ21321 kɔ213 tsɯ53 lv̩ tsɿ4453 pa213 ta21321 j44 ku53 tʂu yu4421 tɕiə̃ na,XN,nɛkɔtsɯlv̩tsɹ̩patajkutʂuyutɕiə̃na,nɛ21321kɔ213tsɯ53lv̩tsɹ̩4453pa213ta21321j44ku53tʂuyu4421tɕiə̃na
Xining,12,后来北风没法儿了,后来北风没办法了,,xɯ lɛ pɨ fə̃ mɔ pã fa liɔ,xɯ21321 lɛ2453 pɨ44 fə̃44 mɔ2421 pã21321 fa4453 liɔ,XN,xɯlɛpɨfə̃mɔpãfaliɔ,xɯ21321lɛ2453pɨ44fə̃44mɔ2421pã21321fa4453liɔ
Xining,13,只好就算了,只好算了,,tsɿ xɔ suã liɔ,tsɿ4421 xɔ53 suã21321 liɔ53,XN,tsɹ̩xɔsuãliɔ,tsɹ̩4421xɔ53suã21321liɔ53
Xining,14,过了一会儿,过了一挂挂儿,,ku liɔ j kua kua ɛ,ku21321 liɔ53 j4421 kua213 kua ɛ,XN,kuliɔjkuakuaɛ,ku21321liɔ53j4421kua213kuaɛ
Xining,15,太阳出来了,热头儿出来了,,ʐɛ tˈɯ ɛ tʂˈv̩ lɛ liɔ,ʐɛ4421 tˈɯ24 ɛ tʂˈv̩44 lɛ2444 liɔ,XN,ʐɛtʰɯɛtʂʰv̩lɛliɔ,ʐɛ4421tʰɯ24ɛtʂʰv̩44lɛ2444liɔ
Xining,16,他火辣辣地一晒,家烧烘斯辣地一晒,,tɕia ʂɔ xuə̃ sɿ la tsɿ j sɛ,tɕia24 ʂɔ44 xuə̃44 sɿ44 la44 tsɿ j4421 sɛ213,XN,tɕiaʂɔxuə̃sɹ̩latsɹ̩jsɛ,tɕia24ʂɔ44xuə̃44sɹ̩44la44tsɹ̩j4421sɛ213
Xining,17,那个走道儿的马上就把那件厚大衣脱下来了,奈个走路的紧着就把奈个厚大衣脱着下来了,,nɛ kɔ tsɯ lv̩ tsɿ tɕiə̃ tʂɔ tɕiɯ pa nɛ kɔ xɯ ta j tˈu tʂu xa lɛ liɔ,nɛ21321 kɔ213 tsɯ53 lv̩ tsɿ4453 tɕiə̃53 tʂɔ tɕiɯ213 pa21321 nɛ213 kɔ213 xɯ213 ta213 j44 tˈu44 tʂu xa213 lɛ liɔ,XN,nɛkɔtsɯlv̩tsɹ̩tɕiə̃tʂɔtɕiɯpanɛkɔxɯtajtʰutʂuxalɛliɔ,nɛ21321kɔ213tsɯ53lv̩tsɹ̩4453tɕiə̃53tʂɔtɕiɯ213pa21321nɛ213kɔ213xɯ213ta213j44tʰu44tʂuxa213lɛliɔ
Xining,18,这下北风只好承认,致一挂北风只好承认,,tʂʅ j kua pi fə̃ tsɿ xɔ tʂˈə̃ ʐə̃,tʂʅ21321 j kua213 pi44 fə̃44 tsɿ4421 xɔ53 tʂˈə̃2421 ʐə̃213,XN,tʂɻ̩jkuapifə̃tsɹ̩xɔtʂʰə̃ʐə̃,tʂɻ̩21321jkua213pi44fə̃44tsɹ̩4421xɔ53tʂʰə̃2421ʐə̃213
Xining,19,他们俩当中还是太阳的本事大,家们俩当中还是热头儿的本事大,,tɕia mə̃ lia tɔ̃ tʂuə̃ xɛ sɿ ʐɛ tˈɯ ɛ tsɿ pə̃ sɿ ta,tɕia2421 mə̃2453 lia tɔ̃44 tʂuə̃44 xɛ2421 sɿ213 ʐɛ4421 tˈɯ24 ɛ tsɿ pə̃53 sɿ ta213,XN,tɕiamə̃liatɔ̃tʂuə̃xɛsɹ̩ʐɛtʰɯɛtsɹ̩pə̃sɹ̩ta,tɕia2421mə̃2453liatɔ̃44tʂuə̃44xɛ2421sɹ̩213ʐɛ4421tʰɯ24ɛtsɹ̩pə̃53sɹ̩ta213
