beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
ʂeiauoʂɻ̩lausan,nakoŋosɹ̩nausan,lakoŋosɹ̩laosan,nɑkoʔŋozɹ̩lɔsɤ̃,ʂeiiauoʂɻ̩ɕiausar,xakəʊʂɻ̩lɔsæ̃,nAkəoʂɻ̩lɔsÃ,feiʂavəʂɻ̩lɔsɛ̃n,manŋinnaŋaiheasam,sueiliʌʔŋiɤsɹ̩lɔsɑŋ,saɲiŋŋuzɹ̩aʔse,titiaŋuakaiaalusã,siãbĩʔlaŋguasilausã,sueilɤɣɤsɹ̩lausæ̃,seiiɑuosɹ̩lɑusan,aɲinaŋaŋ̩zɹ̩lɜsa,nakuoŋuosɹ̩nausan,seiikɤvɤsɹ̩lɔsanikɤ,seiŋɤsɹ̩lausã,pinkɔaŋɔhɐiasam,nɒkoŋoʂɻ̩naɯsan,fɨanɔsɹ̩lɔsãna
lausɹ̩nətʰatʂəŋkənipʰəŋiouʂuotʂəxuarnə,nausɹ̩nantʰat͡sənt͡saikənikopʰoŋiəusoxuani,laosɹ̩lɛlat͡sent͡saixoikopʰoŋiəusot͡ɕʰixualɛlɛ,lɔsɹ̩nətʰɑdʑit͡ɕʰiɔdoŋʔiəʔkoʔboŋʔiølɑʔhɑsɥəʔɦuɑʔɥ,lausɹ̩nətʰatʂəŋkənikɤpʰəŋioulaukʰɤrnə,lɔsɻ̩t͡sɤlakət͡sətʰakəniəʔkəpʰəniɯt͡ɕiɑ̃tʂɻ̩xuat͡sɤ,lɔsɹ̩nætʰət͡sææikəpoŋiəut͡ɕiÃtʂəxuA,lɔʂɻ̩lɛtʰatʂə̃nliɛ̃nikəpə̃nioufəxuatʂəli,asiakit͡saŋtʰuŋitt͡sakpʰeniuhokkeeliau,lɔsɹ̩liʌʔuʌʔt͡ɕiɑtʂɻ̩xuxuæpʰəŋiəutɔɕiʌʔliʌʔ,sɹ̩neit͡səŋlaʔhetaʔiɪʔɦəʔbɑ̃ɦiɤkɑ̃ɦeɦo,alausinẽit͡siãkaʔkaipʰeŋiulotãue,lausieleitŋ̩tekaʔt͡sitlepiŋiukɔŋue,lausɹ̩lɤtʰat͡səŋkəŋiəʔkɤpʰəŋiəutauɕiəʔlɤ,lɑusɹ̩nətʰɑtʂəŋkənikəpʰəŋiouʂuotʂəxuɑnə,lɜsɹ̩neigit͡seŋzɹ̩tatʰuɔjikaiboŋjaukuɔɕyɦo,nausɹ̩nietʰataikənikuopʰoŋiəusuoxua,lɔsɹ̩naɲiatʂɤŋlianikɤpʰɤŋiɤuɕyanxuɑŋtiɲi,lausɹ̩niuotʂəŋkẽtʰaikɤxuot͡ɕʰipʰiãni,aseinɛkʰøyhɐitoutʰuŋkɔpʰɐŋjɐukʰiŋkɐnkɐilɛ,naɯsɻ̩nietɒtʂəndzaiɦoitʂopʰəniəɯtɒtʰaibiankɔn,lɔsɹ̩lɛt͡ɕiatʂə̃jkɔpʰə̃iɯliaɕyãtʂɛ
tʰaxaimeiʂuouanma,tʰaxaimeiiəusouana,laxaimeitɛsouana,tʰɑɦɑmiʔisɥəʔhɔʔɑ,tʰaxaimeilauuanna,tʰakʰəʂɻ̩xɤmet͡ɕiɑ̃ʊ̃,tʰəxæməuʂouÃkæ,tʰaxɛ̃nm̩ioufəpama,kim̩tʰienkoŋpʰeihem̩me,uʌʔt͡ɕiɑxɑŋmʌʔlɑsuʌʔuɑŋliʌʔ,ɦiɦɛɦm̩məʔkɑ̃hɔɦa,ihuãtãbueliaua,iiabueʔkɔŋsuaʔhio,tʰaxaiməʔtauɕiəʔvæ̃lɤ,tʰɑxaimeiʂuovanmɑ,givameikuɔjya,tʰaxaimausuouan,tʰaxanmɤpʰianvanma,tʰateisɹ̩xaimoʂɤuã,kʰøyt͡suŋmeikɔŋjynmɛ,tɒɦaimaɯkɔnyẽpo,t͡ɕiaxɛmɔfɔuãmɔ
xaimeinəkumətʂət͡saixuərt͡ɕiouʂuouanlə,xaimeiiəutayoxaiiəuixərt͡ɕiəusouanno,xaimeitɛtopanxaiiəuixaxatəusouanləu,ɦɑmilɤdɑkɤt͡sɤkuʔiəʔɕiəʔəldʑiøsɥəʔɦuõtə,xaimeiioutakait͡saitaiixuərt͡ɕioulauuanlə,xɤmetayeʔmɐʔt͡sɤiɯiəʔʂɐʔt͡ɕiɯtʂəŋlə,xæməutAkʰæt͡sæt͡ɕiÃiɕiɔxAt͡ɕiəuuÃlə,xɛ̃nm̩iouxapaxɛ̃ntəixueiɯt͡ɕioufəvɛ̃nlɔ,hanmaŋtʰientenithatʰiamkit͡sʰuvoikoŋpʰetle,mɑliʌʔxɑŋtiʌʔtʂəŋtʂəŋ,ɦɛɦm̩məʔdaket͡sekɑ̃iɪʔɕiɪʔʑiɤkɑ̃hɔləʔ,huãbuet͡sʰamtokeʔkekʰuŋkiãt͡siutãtik,iabuetaiiɔʔt͡sittiamatioʔkɔŋsuaʔ,xaiməʔlatakait͡saiiəuiəʔt͡səŋt͡səŋt͡ɕiəutauɕiəʔvæ̃lie,xaimeiioutɑkait͡saitaixuərt͡ɕiouʂuovanlə,vameidaket͡sekujioŋ̩jɤukuɔhɜba,xaimautakʰaixaiiəuixart͡ɕiəusuouanniau,mɤiɤuɲixapat͡saitɤŋitʂɤ̃rt͡ɕiɤufɤvanliɤ,xaimoioutamərxaiteiixuər,t͡suŋmeitaikʰɔit͡sɔikɔjɐtt͡sɐnt͡sɐukɔŋjynlak,ɦaimaɯdaikʰait͡saikɔnit͡sənt͡sɹ̩dʑiəɯkɔnyẽtɒ,xɛmɔtakʰuɔ̃mv̩ɛt͡sɛjkuakuaɛxɔt͡ɕiɯfɔuãliɔ
tʰaʂuolimart͡ɕiout͡sout͡səmsəmpantʰianləxait͡sait͡ɕiali,tʰat͡ɕiaŋmasaŋt͡ɕiəut͡səut͡sakot͡semənt͡ɕiəunoxait͡saiutʰəune,lasolɛlimatəut͡səut͡sakot͡sɹ̩iaŋtapantʰianaoxait͡saiutʰəulɛ,tʰɑsɥəʔtɑŋmɑŋdʑiøt͡søt͡ɕiəʔkəʔkəʔzɹ̩kuɑŋɦɑlɑʔhɑʔoʔli,tʰaʂuomaʂaŋt͡ɕiout͡sout͡satʂɤlaupantʰianləxait͡sait͡ɕianə,tʰat͡ɕiɑ̃maʂɑ̃t͡ɕiɯt͡sɯt͡ɕiɑ̃kɔtipʊ̃tʰiɪ̃xɤt͡ɕiazɹ̩tʰɯ,tʰəʂomAʂÃt͡səut͡sAkətʂɻ̩pÃtʰiɛ̃ləxæt͡sæt͡ɕiAʂəu,tʰafəmaʂɑ̃t͡ɕiout͡soulitʂɻ̩mə̃npɛ̃tʰiɛ̃nlɔt͡sə̃nməxɛ̃nt͡sɛvuliliʂa,kivaliklakt͡sʰiut͡seuŋioŋankiuvehant͡sʰoivukkʰa,uʌʔt͡ɕiɑsuʌʔt͡sʰəut͡sɥt͡ɕiəut͡səut͡sɑtit͡sʌʔiŋt͡sɑŋxuɑŋxɑŋt͡sæt͡ɕyɤʂɻ̩ɤliʌʔ,ɦikɑ̃mozɑ̃ʑiɤt͡sɤnanəŋkaɕyduzəŋkuɑ̃ɦɛlaʔlaʔoliɕiã,itãt͡siaksit͡siukiãt͡sonĩkaukuahuãtolai,ikɔŋsuibeʔkiãnãekuipuãkaŋaiatit͡sʰulai,tʰasuəʔliəʔmat͡ɕiəut͡saʔtit͡səʔpæ̃tʰieliexait͡sait͡ɕialɤ,tʰɑsuomɑsɑŋt͡ɕiout͡sounənmənənməpantʰianləxaitait͡ɕiɑli,gikuɔjɤut͡saudɜket͡sɹ̩napønebavazɹ̩vuleia,tʰasuot͡ɕiəutimoiaŋt͡sɤpantʰiɛnxaimaut͡səu,tʰafɤat͡sɹ̩rt͡ɕiɤut͡sɤuɲimut͡sapanʂɻ̩tʰianliɤxant͡saitɑŋt͡sɹ̩litʰɤuɲi,tʰaʂɤmaʂaŋt͡sout͡sout͡satautʂərxait͡saiuni,kʰøywat͡sikhakt͡sɐut͡sɐutimkaikɐmnɔit͡suŋhɐiukkʰeitou,tɒkɔnsəit͡ɕidʑiəɯt͡səɯitikaikomopɔntʰiẽtɒɦaidzaiuni,t͡ɕiafɔt͡ɕiɯt͡sɯliaamə̃tʂɻ̩mə̃pãtʰiãliɔtʂɔxɛtɛt͡ɕial̩lia
niʂɑŋnart͡ɕʰyuot͡ɕintʂʰəŋt͡ɕʰi,ɲit͡səunərt͡ɕʰieŋotaut͡sʰənxəutʰəut͡ɕʰie,lit͡səulataikʰieiŋot͡səut͡sʰentʰəukʰi,nitɔnɑlit͡ɕʰiŋotɔdzenlit͡ɕʰi,niʂaŋnart͡ɕʰyuoʂaŋkaili,litɔlakʰiɤt͡sʰɥʊtɔt͡ɕiɤʂɑ̃t͡sʰɥ,nikʰənAtiəokʰətʂʰə̃ʂəukʰə,ɲilalit͡ɕʰilivət͡ɕĩntʂʰə̃nt͡ɕʰili,n̩hinaiieŋaihit͡sʰutke,n̩tɔlɑʐʌʔtiʌʔlæŋiɤtɔtʂʰəŋxʌʔleitiʌʔlæ,noŋtɔsadifɑ̃t͡ɕʰiŋotɔzɑ̃het͡ɕʰi,lɯãikʰɯtikouaãilaikʰɯsiãlai,likʰitouiguakʰisiãlai,nit͡ɕʰynakəʔiaɣɤt͡ɕʰyt͡sʰəŋlikəʔia,niʂɑŋnɑxərt͡ɕʰyuoʂaŋtʂʰəŋlit͡ɕʰy,ɲit͡sauɲauduɔkʰeiaŋ̩t͡sauzeŋteikʰei,nitaunanikʰɯŋuotaut͡sʰənnikʰɯ,ɲitɔnatat͡ɕʰiɲivɤtɔtʂʰɤŋxɑŋt͡ɕʰiɲi,nitauatat͡ɕʰiiaŋɤt͡ɕiẽtʂʰəŋia,neihøypinŋɔjɐpsɛŋ,ɲitaɯnɒtɔnt͡ɕʰieŋotaɯdʐənnit͡ɕʰie,ɲiatʂat͡ɕʰjlianɔtʂʰə̃l̩t͡ɕʰjkɔlia
t͡sainarput͡saitʂər,t͡sainərput͡sait͡sər,t͡saiatiɛput͡sait͡sɹ̩tiɛ,lɑʔhɑnɑdeipəʔlɑʔhɑkəʔli,t͡saineikarput͡saitʂeikar,t͡sɤlaɔt͡səpəʔt͡sɤtiɔt͡sə,t͡sænətiəput͡sætʂɻ̩tiə,t͡sɛlɛtalim̩iout͡sɜtʂɻ̩ta,hoikeiem̩meeie,t͡sæuæʐʌʔpʌʔt͡sæt͡sæʐʌʔ,laʔɛmivəʔlaʔgəʔtaʔ,tohɯkobotot͡siko,tihiabotit͡sia,t͡saivart͡ɕiapəʔt͡sait͡sart͡ɕia,tainɑxərputait͡ɕiexər,zɹ̩hauduɔfuzɹ̩kauduɔ,tainaniputait͡sɤni,t͡saineitaɲiput͡sait͡sat͡sa,t͡saiuorput͡saitʂɤr,hɐikɔtoumhɐineitou,dzainɒtɔnmaɯdzaikotɔn,tɛnɛtʂaliamɔtɛtʂɻ̩tʂatʂɔ
punamtʂəteitʂəmtʂə,pusɹ̩naiaŋt͡sɹ̩t͡suiaut͡seiaŋt͡sɹ̩t͡su,pusɹ̩aiaŋt͡səusɹ̩iaoɕiaŋt͡sɹ̩iaŋt͡səulɛ,pəʔzɹ̩zəʔkɑtʰoɸt͡soʔiɔkɑt͡so,puʂɻ̩namɤt͡suoteitʂɤmɤt͡suo,pəʔʂɻ̩laiɑ̃kɔiɔtiiɑ̃kɔ,pufÃnətʂoŋtʂə̃iɔfÃtʂɻ̩tʂoŋtʂə̃,puʂɻ̩lɛmə̃ntikət͡sufatʂɻ̩mə̃nt͡sutʂəli,m̩mekeannet͡sooieŋioŋŋet͡so,pʌʔsɹ̩uʌʔtixuæt͡suʌʔiɔt͡sʌʔtixuæt͡suʌʔ,vəʔiɔɛnəŋt͡suzɹ̩iɔgəʔnəŋkat͡su,mmĩhĩhẽt͡sotioʔt͡sĩsẽt͡so,m̩sianẽt͡sositioʔanĩt͡so,pəʔsɹ̩vaitəʔt͡suəʔsɹ̩t͡saitəʔt͡suəʔ,pusɹ̩nɑmət͡suosɹ̩t͡sənmət͡suo,fuzɹ̩henaŋt͡ɕyɔdʑakenaŋt͡ɕyɔ,pusɹ̩naiaŋpansɹ̩t͡sɤiaŋpan,pusɹ̩neimut͡ɕiat͡suteit͡sɹ̩mut͡ɕiat͡su,pusɹ̩uiaŋrt͡sousɹ̩tʂɻ̩iaŋrt͡sou,mhɐikɐmt͡souhɐijiukɐmt͡soukɛ,puʂɻ̩iaɯnɒiant͡səɯʂɻ̩iaɯkoiant͡səɯ,nɛmə̃t͡ɕiat͡ɕyxɔmɔtuɨtʂɔiɔtʂɻ̩mə̃t͡ɕiat͡ɕylia
tʰeituoləyŋputʂaunamtuotʂɻ̩iautʂəmtuot͡ɕioukoulə,tʰaitonoyoŋputaunaməntot͡sɹ̩iaut͡seməntot͡ɕiəukəuno,tʰaitolaiaoputaoaiaŋtot͡sɹ̩iaot͡sɹ̩iaŋtotəukəula,tʰəʔkɑtotəɦioŋpəʔdzɑʔkɑsɥtot͡səʔɦiɔzəʔkɑtodʑiøkøtə,tʰaituoləyŋputʂaunalautuotʂɻ̩iautʂɤɕiɛt͡ɕioukoulə,tʰɤtʊtʂəiŋpəʔtʂuɐʔlaiɑ̃tʊtʂəʔiɔtiiəʔxɔt͡ɕiɯkɯtʂə,tʰætoləpuɕiɔnətotʂɻ̩iɔtʂɻ̩ɕiɛt͡ɕiəukəulə,tʰɛtuəlɔỹnpuʂɑ̃lɛmə̃nɕiət͡sɹ̩t͡sɻ̩mə̃nɕiət͡ɕioukoulɔ,tʰiettoem̩sɹ̩antooiantoet͡sʰiukeuve,tʰæteilɑyŋpʌʔt͡suʌʔuʌʔɕiɤɕiɤt͡sʌʔɕiɤɕiɤt͡ɕiəuɕiɑliɑ,tʰəʔduləʔvəʔiɔkaɕydut͡səʔiɔgəʔtiʑiɤkɤləʔ,kʰaʔt͡soioumiaŋhiõt͡soit͡siõt͡soit͡siulaou,siũt͡seam̩bianhianĩt͡se,tʰautɤlieyəŋpəʔlauvəʔlaitɤkuɒ̃t͡səʔɕiart͡ɕiəukəulie,tʰaituoləʐuŋpuliɑunɑmətuot͡ɕiouiɑut͡sənmətuot͡ɕiouhoulə,tʰɤutɤubafujyɔhenaŋtɤut͡sɹ̩jyɔnaŋtɤujɤuliɛteiba,tʰaituoniauioŋputaunaiaŋtuokuaŋiaut͡sɤmotuotçiəukəuniau,tʰaituɤliɤiɔpuxɑŋnɤmutuɤt͡sɹ̩iɔt͡seiɕiɤt͡ɕiɤukɤuliɤ,tʰaituoliɛt͡sɹ̩iautʂeiitiãrt͡soukouliɛ,tɔtɐkt͡sɐilamsɐikɐmtɔjiukɐmtɔt͡sɐukɐula,tʰaitotɒiaɯpuniaɯnɒiantotʂɻ̩iaɯkoiantodziəɯiəɯtɒ,tʰɛtuliɔnɛmə̃tuxɔyə̃pv̩uãnatʂɻ̩mə̃ɕixɔt͡ɕiɯkɯliɔ
tʂeikətaneikəɕiautʂeilianeikəxɑutiar,t͡sekotanakoɕiaut͡seniaŋkonaikoxauitiər,t͡sɹ̩kotaakoɕiaot͡sɹ̩liaŋkotaotilakoiaoxaoitɛlɛ,t͡ɕiəʔkoʔdonɑkoʔɕiɔkəʔliɑŋkoʔnɑkoʔhɔʔiəʔtiɤ̃əl,tʂeikɤtaneikɤɕiautʂɤliaŋkɤneikɤxautiarnə,tikətalakəɕiɔtiliɑ̃kəxakəxɔxɔt͡sə,tʂɻ̩kətAnəkəxiɔtʂɻ̩liÃkənAkəxɔtiə,tʂɻ̩kətalɛkəkatʂɻ̩liɑ̃kəlakəxɔɕiəʂa,et͡sakkuotʰaiket͡sakkuoseelioŋt͡saknaŋait͡sakkʰohau,t͡sʌʔxuæteiuʌʔxuæɕiɔt͡sʌʔliɑŋxuælɑiʌʔxuæxɔɕiɤʐʌʔliʌʔ,gəʔt͡saʔduet͡saʔɕiauliãt͡saʔliɕiãɦaliiɪʔt͡sãʔhɔiɪʔŋene,t͡sikaituahɯkaisoit͡sinõkaimuẽʔtikaioiiauhonẽ,t͡sitletuahitleset͡sitlŋ̩etot͡sitlekʰaʔho,t͡saitavaiɕiaut͡səʔliakɤnakɤxauɕiar,t͡seikətɑneikəɕiɑut͡seiliɑneikəxɑuitiarnə,kikaidɤuhekaisaikiliɛkaiɲaukaihɜlenei,t͡sɤkuotanakuoɕiaut͡sɤniaŋkuonakuoxauitier,t͡seikɤtaneikɤɕiɔt͡seiliɑŋkɤnakɤxɔɕiɤr,tʂɻ̩kɤtaukɤɕiautʂɻ̩liaaikɤxau,neikɔtaikɔkɔsɐineilœŋkɔpinkɔhoutinɛ,kotʂɒdainɒtʂɒsiaɯkoniantʂonɒitʂohaɯitiẽ,tʂɻ̩kɔtanɛkɔkatʂɻ̩liɔ̃kɔajkɔxɔɛɕi
