beijing_text.csv,chengdu_text.csv,guiyang_text.csv,hangzhou_text.csv,harbin_text.csv,hefei_text.csv,kunming_text.csv,lanzhou_text.csv,meixian_text.csv,pingyao_text.csv,shanghai_text.csv,shantou_text.csv,taibei_text.csv,taiyuan_text.csv,tianjin_text.csv,wenzhou_text.csv,wuhan_text.csv,wulumuqi_text.csv,xian_text.csv,xianggang_text.csv,xiangtan_text.csv,xining_text.csv
iouixuei,iəuxueit͡sɹ̩,iəuixuei,ʔiøʔiəʔmɔt͡sɹ̩,iouixuei,iɯxuet͡sə,iəuixuei,iouixuei,iuitpai,iəuiʌʔmʌʔ,ɦiɤtʰɑ̃t͡sɹ̩,ut͡sekt͡sua,ut͡sitpai,iəuiəʔt͡sʰɹ̩,iouixuei,jaujit͡sʰɹ̩,iəuixui,iɤuixuei,iouixuei,jɐujɐtt͡sʰi,iəɯdʐənt͡sɹ̩,iɯjxuɨsa
peifəŋkəntʰaiiɑŋainartʂəŋt͡ɕiŋʂeitənəŋnaita,pefoŋkəntʰaiiaŋt͡sainərt͡sənnaikonipənsɹ̩ta,pɛfoŋtʰoŋtʰaiiaŋt͡saiatɛt͡senlakolɛpensɹ̩ta,poʔfoŋtɑʔtʰɤɦiɑŋlɑʔhɑt͡sent͡senəl,peifəŋkəntʰaiiaŋt͡saineikarpaitʂʰɤʂeititʂaŋtʂʰəŋta,pɐʔfəŋkənʐəʔtʰɯt͡sɤlaɔt͡sət͡sənlənxakəpənsɹ̩ta,pəfoŋætʰæiÃt͡sænətiət͡sə̃luə̃nAkənəpə̃sɹ̩tA,pəfə̃nliɛ̃nʐɻ̩tʰout͡sɛlɛtʰatʂʰɔtʂəfəfeitipə̃nʂɻ̩ta,petfuŋtʰuŋŋittʰeuhoikeieaumanŋinkepunsɹ̩kuotʰai,pʌʔxuŋxuʐʌʔtəuiɤt͡sæuæʐʌʔt͡səŋluŋsueiməŋtiʌʔpəŋsɹ̩tei,poʔfoŋtəʔtʰaɦiãt͡səŋhɔləʔleʔt͡sãsaɲiŋɦəʔpəŋzɹ̩du,pakhuaŋkaʔaziktʰautohɯkoloatãtitiaŋkaikʰaŋkʰueŋẽ,pakhɔŋkaʔtʰaiiɔŋtihiasiot͡sĩkɔŋkʰuãsiãlaŋkʰaʔupunsu,peifəŋxuɤiɒ̃pʰɤt͡saivart͡ɕiat͡səŋsueitəʔpəŋsɹ̩ta,peifəŋkəntʰaiiɑŋt͡sainɑxərt͡səŋt͡ɕiŋseitipənsɹ̩tɑ,paihoŋkʰuɔtʰajizɹ̩tadziɛɲinaŋkepaŋzɹ̩dɤule,pɤfoŋkəntʰaiiaŋt͡sainanit͡sənsakuotipənsɹ̩ta,peifɤŋkɤŋtʰaiiaŋt͡saineitat͡sɤŋseitipɤŋsɹ̩ta,peifəŋkẽərtʰout͡saiuort͡səŋseitipẽsɹ̩ta,pɐkfuŋtʰuŋjɐttʰɐuhɐitouaupinkɔkɛpunsitai,pæɸəntɒtʰaiiantʂənhaɯdzait͡sənnɒkotipənsɹ̩dai,pɨfə̃tɛʐɛtʰɯɛliatɛjtʂʰv̩ɛt͡sə̃t͡ɕə̃t͡ɕiɔ̃fɨt͡sɹ̩pə̃sɹ̩ta
tʂəŋlaitʂəŋt͡ɕʰyt͡ɕiouʂɻ̩fənputʂʰukəkɑutilai,t͡sənkonait͡sənkot͡ɕʰiet͡ɕiəuqesɹ̩fənput͡sʰukauŋai,t͡senlait͡sent͡ɕʰɛtəusɹ̩fenput͡sʰukaotit͡sʰaŋtuanlai,pinɑkoʔtiəʔpenzɹ̩do,paitʂʰɤlaipaitʂʰɤt͡ɕʰyt͡ɕiousɻ̩paitʂʰɤputʂʰukɤkautilai,t͡sənlɤt͡sənt͡sʰɥt͡ɕiɯʂɻ̩pəʔfənkɔt͡sɹ̩,t͡sə̃læt͡sə̃kʰət͡ɕiəuʂɻ̩fə̃putʂʰukəkɔtilæ,tʂə̃nlɛtʂə̃nt͡ɕit͡ɕiouʂɻ̩fə̃npupfʰukəkɔtilɛ,auloiauhimomakkekiatkuo,t͡səŋlæt͡səŋt͡ɕʰyt͡ɕiəusɹ̩xuŋpʌʔt͡sʰuʌʔxuækɔtilæ,t͡sãlet͡sãt͡ɕʰiit͡sãvəʔt͡ɕʰiŋsɑ̃ɦəʔzəŋkuɑ̃,alaiakʰɯt͡siusisiamt͡sʰuksuiã,t͡sĩlait͡sĩkʰiiat͡sĩbot͡sitlesuiã,t͡səŋlait͡səŋt͡ɕʰyt͡ɕiəusɹ̩fəŋpəʔt͡sʰuəʔkɤkautilai,tʂəŋlait͡səŋt͡ɕʰyxaisɹ̩fənput͡sʰukɑutilai,dziɛledziɛkʰeiakuɔfut͡ɕʰydɤusailei,t͡sənnait͡sənkʰɯxaisɹ̩fənput͡ɕʰykuokautinai,t͡sɤŋkuɤlait͡sɤŋkuɤt͡ɕʰitiɲiŋsɹ̩fɤŋputʂʰukɤkɔtiʂɑŋɕia,t͡səŋkuolait͡səŋkuot͡ɕʰit͡sousɹ̩fẽpupfʰukɤkauti,aulɐiauhøyt͡sɐuhɐifɐnmt͡sʰøtkoutɐi,t͡sənnait͡sənt͡ɕʰiedziəɯʂɻ̩ɸənput͡sʰinkaɯti,t͡ɕə̃lɛt͡ɕə̃t͡ɕʰjt͡ɕiɯsɹ̩fə̃pv̩tʂʰv̩kɔt͡sɹ̩lɛ
tʂeixyərlailəkət͡soutaurtə,ixərnusaŋnainoikokannuni,t͡sent͡sait͡sɹ̩kosɹ̩xəulusaŋlailakot͡səululɛ,kəʔkoʔzɹ̩kuɑŋlukɔdeiʔiøkoʔzent͡seikulɤtə,tʂɤʂɻ̩xourtaurʂaŋlailəkɤt͡soutaurti,tikəʂɻ̩xɯlɤtʂəiəʔkət͡sɯlutiəʔ,tʂɻ̩xAt͡sɹ̩luʂÃlæləkəkolunə,tʂɻ̩ʂɻ̩t͡ɕiəluʂɑ̃lɛlɔikət͡souluti,koŋhaukesɹ̩heuloiitt͡sakkuolukeŋin,t͡sʌʔtʂəŋləuləuxɔlælɔxuæt͡səutɔtɔtiʌʔ,lulɑ̃ɕiãt͡sɤkuleiɪʔɦəʔɲiŋ,t͡siemuẽʔloukolailiaukaikuelounaŋ,t͡sitlesit͡sunlɔpĩaut͡sitlelaŋkiãkuelai,t͡saisɹ̩xəuləusɒ̃lailaukɤt͡səuləutəʔ,t͡seikuŋfurluʂɑŋlailəkət͡soutɑurti,kaizɹ̩t͡ɕiløyjijaukaiɦɛløykunaŋ,t͡sɤsɹ̩xəunəusaŋnainiaukuot͡səunəuti,t͡seikɤsɹ̩t͡ɕiɤkɤlusɑŋkuɤlailiɤkɤkanluti,tʂɤkɤsɹ̩xouluxakuolailiɛikɤʐẽ,neit͡sɐnsitʰiuloulɐit͡sɔkɔhaŋloukɛjɐn,koʂɻ̩ʂɻ̩nəɯʂɔnnaitɒtʂɒt͡səɯnəɯtiin,tʂɻ̩kɔsɹ̩xɯlv̩ʂɔ̃lɛliɔjkɔt͡sɯlv̩t͡sɹ̩
tʰaʂənʂɑŋtʂʰuanlət͡ɕiarxoutai,tʰasənsaŋt͡sʰuantauit͡ɕianxəutai,lasensaŋt͡sʰuant͡ɕʰit͡ɕianxəutai,tʰɑsenkɔdeit͡sʰɥõtəʔieʔdʑiɤ̃ɦeitʰɑʔi,tʰaʂənʂaŋtʂʰuantʂət͡ɕianxoutai,tʰaʂənʂɑ̃tʂʰʊ̃t͡ɕiɪ̃xɯtatʂʰɑ̃,tʰəʂə̃ʂÃtʂʰuÃtət͡ɕiɛxəuxəunətAi,laʂə̃nʂɑ̃pfʰɛ̃nlɔt͡ɕiɛ̃nxoutai,kisənhoŋt͡sokeitkʰianpʰunmienau,uʌʔt͡ɕiɑʂəŋxɔt͡sʰuətiʌʔt͡ɕiɤɕyŋɔʐʌʔ,səŋlɑ̃t͡saʔləʔiɪʔdʑiɦɤdai,isiŋteŋt͡sʰeŋkaikaukaukaitualau,isinkʰut͡sʰiŋtioʔt͡sitliãkautuai,tʰasəŋsɒ̃t͡sʰuæ̃laut͡ɕiexəutat͡sʰɒ̃,tʰɑsənsɑŋt͡sʰuantʂət͡ɕiarxoutɑi,saŋjit͡ɕadʑigaukedaji,tʰasənsaŋt͡sʰuantaut͡ɕiɛnxəutai,ʂɤŋxɑŋtʂʰuantiit͡ɕiant͡sɹ̩xɤutai,ʂẽxapfʰãliɛt͡ɕiarxoutatʂʰaŋ,kʰøyt͡sœkt͡sykinhɐutailɐu,tʰɒʂənʂɔnt͡ɕʰyẽtɒidʑiẽɦəɯiɸu,t͡ɕiaʂə̃ʂɔ̃tʂʰuãliɔjt͡ɕiãxɯtaj
tamliat͡ɕiouʂuoxɑulə,tʰamənniaŋkoɕiant͡ɕiaŋxauno,lamenliaŋkotəusoxao,poʔfoŋtɑʔtʰɤɦiɑŋdʑiøsɥəʔhɔtə,tʰamənliat͡ɕiouʂuoxaulə,tʰamənt͡ɕiɯt͡ɕiɑ̃xɔtʂə,tʰəmə̃liÃkət͡ɕʰiɛ̃t͡ɕiəupÃxɔtə,tʰamə̃nliɑ̃kət͡ɕioufətĩnlɔ,kilioŋkeŋint͡sʰiukoŋhauve,uʌʔt͡ɕiɑliɑŋxuæsuʌʔxɔlɑ,ɦilaliãkadɤʑiɤɦuãtoŋdɔkɑ̃hɔ,inaŋnõnaŋt͡siut͡sʰot͡sʰiaŋhotã,inlŋetioʔkɔŋho,tʰaməʔliat͡ɕiəusuaʔxaulie,tʰɑmənliɑt͡ɕiousuoxɑulə,giliɛkainɐjɤukuɔ,tʰamənniaŋkuot͡səusuoxauniau,ɲiamɤŋliɑŋkɤfɤtʰuɤliɤ,,kʰøyteilœŋkɔt͡sɐukɔŋtiŋt͡sɔ,tʰɒinit͡ɕʰidziəɯkɔnhaɯtɒ,t͡ɕiamə̃liat͡ɕiɯfɔxɔliɔ
ʂeinəŋɕiant͡ɕiɑutʂeikət͡soutɑurtəpaitʰatəxoutaitʰuoɕialai,kʰannakonənkəuɕiant͡ɕiaut͡sekokannunitʰoɕiatʰanixəutai,lakoɕiaŋt͡ɕiaot͡sɹ̩kot͡səululɛtʰoɕialalɛxəutailai,nɑkoʔnent͡ɕiɔt͡ɕiəʔkoʔt͡seilukəʔlɔkuõpəʔɦeidɑʔitʰoʔloʔlɤ,ʂeinəŋɕiant͡ɕiautʂeikɤt͡soutaurtitʰuoɕiatʰatixoutai,xakələnt͡ɕiɔtikət͡sɯlutiəʔtʰuɐʔtiɔxɯtatʂʰɑ̃,nAkət͡ɕʰiɛ̃xÃtʂɻ̩kəkolunətʰoɕiAtʰənəxəutAi,kʰɛ̃nfeilə̃nɕiɛ̃nt͡ɕiɔtʂɻ̩kət͡soulutipatʰatixoutaitʰuətɔ,manŋinhenenkeusienhamket͡sakkuolukeŋintʰothakisənhoŋkepʰunmienau,sueinəŋɕiɤt͡ɕiɔuʌʔxuæt͡səutɔtɔtiʌʔɕyŋɔʐʌʔlæ,t͡ɕʰiasɹ̩saɲiŋnəŋkɤɕit͡ɕiɔdiɪʔɦəʔt͡sɤluɦəʔɲiŋtʰəʔtʰəʔɦiɦəʔɦɤdai,titiaŋupiaŋsõikiot͡sikaikuelounaŋtʰɯŋtiauhɯkaitualau,kʰuãsiãlaŋsiŋuhuattokiohitlelaŋtʰŋkʰiietuai,sueinəŋɕiet͡ɕiauvait͡səuləutəʔtʰuaʔxalaitʰatəʔxəutat͡sʰɒ̃,seinəŋt͡ɕʰiant͡ɕiɑut͡seikət͡soutɑurtilieçiɑtʰɑtəxoutɑi,t͡sʰɹ̩aɲinaŋnaŋdeɦɛløykunaŋkegaudajitʰaiɦuɔɕi,nakuonənɕiɛnt͡ɕiaut͡sɤkuot͡səunəutitʰipɕiatʰatixəutai,nakɤʐɤŋtanɕiant͡ɕiɔt͡seikɤkanlutitʰuɤtiɔtʰatixɤutai,,pinkɔnɐŋkɐusɐitɐkneikɔhaŋloukɛjɐnt͡sʰøytɐikʰøykinhautailɐu,nɒkonənsiẽt͡ɕuaɯkotʂɒt͡səɯnəɯtiintʰokɒtʰɒtiɦəɯiɸu,fɨnə̃ɕiãt͡ɕiɔtʂɻ̩kɔt͡sɯlv̩t͡sɹ̩paxɯtajtʰuɔ̃xalɛ
t͡ɕiousuanʂeitənəŋnaita,t͡ɕiəusuannakonipənsɹ̩ta,t͡ɕiusuanlakolɛpensɹ̩ta,dʑiøsɥõnɑkoʔtipenzɹ̩do,t͡ɕiousuanʂeititʂaŋtʂʰəŋta,t͡ɕiɯsʊ̃xakətiəʔpənsɹ̩ta,t͡ɕiəusuÃnAkənəpə̃sɹ̩tA,t͡ɕiousuɛ̃nfeitipə̃nʂɻ̩ta,t͡sʰiusonmanŋinkuoiupunsɹ̩,t͡ɕiəusuɑŋsueitiʌʔpəŋsɹ̩tei,ʑiɤsøsaɲiŋɦəʔpəŋzɹ̩du,t͡siusɯŋt͡sotitiaŋkaikʰaŋkʰueŋẽ,tioʔsŋ̩kɔŋsiãlaŋpunsutua,t͡ɕiəusuæ̃sueitəʔpəŋsɹ̩ta,t͡sousuanseitipənsɹ̩tɑ,jɤusøaɲinaŋpaŋzɹ̩dɤu,t͡səusannakuotipənsɹ̩ta,t͡ɕiɤusuannakɤʐɤŋtitʂɑŋtʂʰɤŋta,t͡sousuãseitipẽsɹ̩ta,t͡sɐusynpinkɔkɛpunsitai,dziəɯsɔnnɒkotipənsɹ̩dai,t͡ɕiɯsuãfɨt͡sɹ̩pə̃sɹ̩ta
peifəŋt͡ɕiouikət͡ɕiərtəkualət͡ɕʰilai,pefoŋt͡ɕiəut͡sant͡ɕinnit͡sʰueit͡ɕʰinai,pɛfoŋtəut͡sant͡ɕint͡sant͡ɕinlɛt͡sʰueit͡ɕʰilai,poʔfoŋdʑiøɦioŋdʑinkuɑʔt͡ɕʰilɤ,peifəŋt͡ɕiouʂɻ̩t͡ɕiərtikuat͡ɕʰilailə,pɐʔfəŋt͡ɕiɯtʂʰuəʔt͡ɕintʂʰuet͡ɕiɑ̃t͡sʰɹ̩lɤ,pəfoŋt͡ɕiəuʂɻ̩linəkuAt͡ɕʰilæ,pəfə̃nt͡ɕiouɕiatʂʰatikuakʰɛlɔ,petfuŋt͡sʰiut͡sʰinkuathiloi,pʌʔxuŋt͡ɕiəusɹ̩t͡ɕiŋt͡ɕiŋtikuʌʔ,poʔfoŋdʑiɤɦioŋt͡soʔt͡sɹ̩liɪʔt͡ɕʰidʑioŋt͡sʰɹ̩paʔt͡sʰɹ̩ləʔ,tãtikpakhuaŋt͡siut͡sʰuklakt͡sʰẽtʰau,pakhɔŋtioʔpʰaʔpiãt͡sʰekʰilai,peifəŋt͡ɕiəusɹ̩t͡ɕiəŋrtəʔkuaʔkʰailie,peifəŋt͡ɕiousɹ̩t͡ɕiərtikuɑt͡ɕʰilailə,paihoŋpʰeŋmeŋt͡sʰɹ̩,ysɹ̩pɤfoŋt͡səuŋuosɹ̩tikuat͡ɕʰinainiau,peifɤŋt͡ɕiɤufɑŋtʂanliɤsɹ̩t͡ɕiŋkuatʰuɤliɤ,peifəŋt͡soukut͡ɕiərtikuakʰailiɛ,pɐkfuŋt͡sɐut͡sʰøtlikkɐmkwatheisœŋlɐilak,pæɸənniəɯʂɻ̩t͡sant͡ɕinɸɒt͡ɕʰiɸənnai,pɨfə̃t͡ɕiɯxuʂɔ̃lɔmiə̃tʂutʂʰuɨtʰuliɔ
pukuopeifəŋyɛʂɻ̩kuatəlixai,ɕiauteputʰat͡sʰueiteyeɕyoŋ,tanpukosɹ̩lat͡sʰueitɛiɛɕioŋ,nɑɕiɔtəʔtʰɑɦyəʔzɹ̩kuɑʔtəʔɲiɦɤ,pukuotʰayɛʂɻ̩kuatilixai,xaɕiɔtəntʰatʂʰuetiəʔyɐʔɕiŋ,pukotʰəiɛfAkuAnəlixæ,kʰəʂɻ̩tʰakuatiyəɕỹn,putkuokiiatkuat,uʌʔt͡ɕiɑyʌʔsɹ̩kuʌʔtiʌʔlixæ,poʔkut͡ɕiɔsaɦiɦyɪʔt͡sʰɹ̩təʔt͡ɕiɪʔkuənməʔ,t͡sot͡saiitʰauzutualak,m̩koilut͡sʰe,pəʔkuɤtʰakuaʔtiəʔyəʔlixai,pukuotʰɑyekuɑtiliexai,ɲauɕateipaihoŋjyzɹ̩t͡sʰɹ̩t͡ɕaiɕyɔ,kʰuosɹ̩tʰayesɹ̩kuatɤɕioŋ,tantʰakuatiyɤsɹ̩t͡ɕiŋta,tʰayɛkuayɛta,pɐtkwɔkʰøyjythɐikwattɐksɐilei,tʂɻ̩ʂɻ̩tʰɒyæt͡sant͡ɕint͡ɕʰyei,fɨtʂɻ̩tɔt͡ɕiayutʂʰuɨtʂul̩xɛ
