beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
tʰaiiɑŋ,t‘aiiaŋ,tʰaiiaŋ,tʰɤɦiɑŋ,tʰaiiaŋ,tʰɤiɑ̃,tʰæiÃ,ʐɻ̩tʰou,ŋittʰeu,ʐʌʔtəuiɤ,tʰaɦiã,ziktʰau,tʰaiiɔŋ,taiiɒ̃,tʰaiiɑŋ,tʰaji,tʰaiiaŋ,tʰaiiɑŋ,ərtʰou,jɐttʰɐu,tʰaiian,ʐɛtʰɯɛ
yɛliɑŋ,yeniaŋ,iɛliaŋ,ɦyəʔliɑŋ,yɛliaŋ,yɐʔliɑ̃,iɛliÃ,yəliɑ̃,ŋiatkuoŋ,yʌʔmiiɤ,ɦyɪʔliã,gueʔ,geʔliũ,yəʔliɒ̃,yeliɑŋ,ɲykuɔ,yeniaŋ,yɤliɑŋ,yɛliaŋ,jytlœŋ,yænian,yuliɔ̃
ɕiŋɕiŋ,ɕinɕiər,ɕinɕiəu,ɕin,ɕiŋɕiŋ,ɕin,ɕĩɕiəu,ɕĩnɕiou,senne,seiɕiəu,ɕiŋ,t͡sʰẽ,tʰĩt͡sʰĩ,ɕiɕiəu,ɕiŋɕiŋ,seŋ,ɕin,ɕiŋɕiɤu,ɕiŋɕiŋ,siŋ,siant͡sɹ̩,ɕiə̃ɕiə̃
talei,tanuei,taluei,tɑlei,talei,tale,ʂə̃luei,taluei,hioŋluikuŋ,ɕiɑŋluæ,leɕiã,hiaŋlui,tanlui,xiɒ̃xuəʔluei,tɑlei,tiɛlai,tanei,taluei,ɕiaŋluei,haŋløy,tɒnəi,luɨɕiɔ̃tʂɛ
ʂantian,xosan,xosan,huoʔsɥõ,taʂan,taʂən,tʂʰəʂÃ,taʂɛ̃n,ŋiapfosa,tɑʂɑŋ,hoʔɕi,akoŋnĩʔmak,siamtian,tasæ̃,tɑsan,ɕadi,t͡sʰɤxuo,ʂantian,ʂãtiã,simtin,tʂʰɒɸɒɕyẽ,ʂãtiãtʂɛ
ɕiay,noy,ɕiai,loʔʔɥ,ɕiay,ɕiazɥ,ɕiAi,ɕiay,loki,xɑy,loʔɦy,loʔhou,lɔʔhɔ,xay,ɕiɑy,lovu,ɕiay,xay,ɕiay,lɔkjy,noy,ɕiay
ɕiaɕyɛ,noɕye,ɕiaɕiɛ,loʔçiəʔ,ɕiaɕyɛ,ɕiaɕyɐʔ,ɕiAɕiɛ,ɕiaɕyə,loksiet,xɑɕyʌʔ,loʔɕiɪʔ,loʔsoʔ,lɔʔseʔ,xaɕyəʔ,ɕiɑɕye,loɕy,ɕiaɕie,xaɕyɤ,ɕiaɕyɛ,lɔksyt,nosie,ɕiaɕyu
pɑut͡sɹ̩,pinpaut͡sɹ̩,pinpao,pinbɔ,paut͡sɹ̩,iɪ̃tɯt͡sə,pĩpɔ,tɛ̃ntɛ̃nt͡sɹ̩,pʰok,ləŋtɑŋt͡sʌʔ,piŋbɔ,pʰak,piŋpʰauʔ,ləŋtæ̃t͡səʔ,pɑut͡sə,liɛbu,pinpau,piŋpɔ,ləŋt͡sɹ̩,pɔk,siet͡sɹ̩t͡sɹ̩,pɔt͡sɹ̩
t͡ɕiɛpiŋ,t͡ɕiepin,t͡ɕiɛpin,t͡ɕiəʔpin,tuŋpiŋ,t͡ɕiɐʔpin,t͡ɕiɛpĩ,tũnpɪ̃n,kiatpen,tuŋxɑtuŋlilɑ,t͡ɕiɪʔpiŋ,kakpiã,kietpiŋ,tuəŋpiəŋ,ʂɑŋtuŋ,t͡ɕipeŋ,t͡ɕiepin,t͡ɕiɤpiŋ,tuŋpiŋ,kitpiŋ,t͡ɕiekəɯ,piə̃tuə̃xaliɔ
kuafəŋ,kuafoŋ,t͡sʰueifoŋ,t͡ɕʰifoŋ,kuafəŋ,t͡sʰɹ̩fəŋ,kuAfoŋ,kuafə̃n,hifuŋ,kuʌʔxuŋ,t͡ɕʰifoŋ,tʰauhuaŋ,kihɔŋ,kuaʔfəŋ,kuɑfəŋ,tiɛhoŋ,kuafoŋ,kuafɤŋ,kuafəŋ,fanfuŋ,t͡ɕʰiɸən,kuafə̃
xuŋ,xoŋ,kaŋ,hei,kaŋ,t͡ɕiɑ,kÃ,kɑ̃,tʰienkiuŋ,t͡ɕyə,hɤ,kʰeŋ,hɔŋ,t͡ɕiɒ̃,t͡ɕiɑŋ,hau,kaŋ,kɑŋ,t͡ɕiaŋ,t͡sʰɔihuŋ,kɔn,kɔ̃
uyɛt͡ɕiɛ,tuaniaŋ,tuanu,tuõʔu,uyɛt͡ɕiɛ,tʊ̃ut͡ɕiɐʔ,uiɛtuÃu,tuɛ̃niɑ̃,n̩ŋiatt͡siet,uyʊʔtuɑŋu,tøɦŋ̩,ŋõugueʔt͡soiʔ,gɔlitt͡sieʔ,vuyəʔtuæ̃vu,uyet͡ɕie,dʑyɔŋ̩,tanu,tuanvu,uyɛt͡ɕiɛ,tynŋ,tɔnui,tɔ̃v̩
payɛt͡ɕiɛ,t͡soŋt͡ɕʰieut͡ɕie,paiɛsɹ̩u,pɑʔɦyəʔpuõ,payɛt͡ɕiɛ,tʂəŋt͡ɕʰiɯt͡ɕiɐʔ,tʂoŋt͡ɕʰiəut͡ɕiɛ,payəʂɻ̩vu,t͡suŋt͡sʰiut͡siet,pʌʔyʌʔʂʌʔu,t͡soŋt͡ɕʰiɤ,toŋt͡sʰiu,tiɔŋt͡sʰiut͡sieʔ,paʔyəʔsəʔvu,pɑyet͡ɕie,poɲyzaiŋ,t͡soŋt͡ɕʰiəu,tʂuŋt͡ɕʰiɤu,payɛt͡ɕiɛ,t͡suŋt͡sʰɐu,tʂənt͡sʰiəɯi,payuʂɻ̩v̩
sanʂər,sansɹ̩uansaŋ,sansɹ̩iɛ,ɲiɤ̃sɤ̃zəʔvɤ̃zɑŋ,sanʂəruanʂaŋ,liɪ̃sæ̃ʂəʔ,sÃʂɻ̩uÃʂə̃,sɛ̃nʂɻ̩vɛ̃nɕi,ŋiansamsəpŋit,ɲiɤt͡sɥxɑ,duɲiɦia,ziʔkaumẽ,likauam,niesæ̃səʔ,sanʃərvanʂɑŋ,sazaiɲaiɦaɕy,t͡ɕʰyɕi,ɲiansanʂɻ̩,sãʂərxeiliɛ,ɲinsaman,daiɲiẽsanʂɻ̩,sãʂɻ̩uãɕj
t͡ɕinnian,t͡ɕinɲian,t͡ɕinlian,kenɲiɤ̃,t͡ɕinnian,t͡ɕinliɪ̃,t͡ɕĩniɛ̃,t͡ɕĩnɲiɛ̃n,kinŋian,t͡ɕiŋɲiɤ,t͡ɕiŋɲi,kimnĩ,kinlĩ,t͡ɕiəŋnie,t͡ɕinnian,keɲi,t͡ɕinniɛn,t͡ɕiŋɲian,t͡ɕiẽniã,kɐmɲin,t͡ɕinɲiẽt͡sɹ̩,t͡ɕiə̃ɲiã
miŋnian,minɲian,minlian,menɲiɤ̃,lainian,minliɪ̃,mĩəniɛ̃,mĩnɲiɛ̃n,kuoeŋian,læɲiɤ,kʰeɲi,mẽnĩ,buãlĩ,miəŋnie,lainian,maŋɲi,minniɛn,miŋɲian,miŋniã,t͡sʰøtɲin,minɲiẽt͡sɹ̩,miə̃ɲiã
t͡ɕʰynian,t͡ɕʰyɲian,t͡ɕʰilian,dʑiøɲiɤ̃t͡sɹ̩,t͡ɕʰynian,t͡sʰɥliɪ̃,t͡ɕʰiniɛ̃,ɲiɛ̃nʂɻ̩,kʰiuŋianne,ɲiɤsɹ̩,dʑiɤɲi,kunĩ,kulĩ,niesɹ̩,t͡ɕʰynian,dʑauɲi,t͡ɕʰyniɛn,ɲiansɹ̩kɤ,niãsɹ̩kɤ,kɐuɲin,t͡ɕʰyɲiẽt͡sɹ̩,ɲiãsɹ̩
miə̃r,mintʰian,mintʰian,ment͡sɔ,miŋtʰian,makə,mĩəʐɻ̩,mĩnkə,sənt͡sauŋit,timi,miŋt͡sɔ,mãzik,bĩat͡sai,t͡saut͡ɕʰi,mierkə,maŋt͡ɕiɛ,mintʰiɛn,miŋtʰian,miər,tʰiŋjɐt,maiit͡sɹ̩,miə̃tʰiã
t͡suor,t͡sotʰian,t͡sotʰian,zɑŋŋɑʔt͡sɹ̩,t͡suotʰian,t͡sʊkə,t͡soʐɻ̩,t͡suəkə,t͡sʰiupuŋit,iɤlæ,zoʔɲiɪʔ,t͡sazik,t͡sahŋ,ietʰie,t͡suorkə,zoji,t͡suoɯ,t͡suɤtʰian,iɛkɤ,kʰɐmjɐt,dzoit͡sɹ̩,iɛlɛ
t͡ɕiər,t͡ɕintʰian,t͡ɕintʰian,kent͡sɔ,t͡ɕintʰian,t͡ɕiɤkə,t͡ɕĩəʐɻ̩,t͡ɕĩnkə,kimŋit,t͡ɕiŋʐʌʔ,t͡ɕiŋt͡sɔ,kimzik,kinlãlit,t͡ɕiəŋzəɹ̩,t͡ɕiərkə,kene,t͡ɕinɯ,t͡ɕiŋtʰian,t͡ɕiər,kɐmjɐt,t͡ɕinit͡sɹ̩,t͡ɕiə̃ɛ
lipaitʰian,ɕint͡ɕʰitʰian,ɕint͡ɕʰitʰian,lipɤtʰiɤ̃,lipaitʰian,ɕint͡sʰɹ̩tʰiɪ̃,ɕĩt͡ɕʰi,ɕĩnt͡ɕʰi,senkʰiŋit,lipæʐʌʔ,lipatʰi,t͡sʰẽkʰizik,lepailit,lipai,lipai,leipane,ɕint͡ɕʰitʰiɛn,ɕiŋt͡ɕʰitʰian,ɕiŋt͡ɕʰi,siŋkʰeijɐt,sindʑii,ɕiə̃t͡ɕʰjʐɻ̩
mait͡sɹ̩,met͡sɹ̩,mɛt͡sɹ̩,mɑʔt͡sɹ̩,mait͡sɹ̩,mɐʔt͡sə,mət͡sɹ̩,mət͡sɹ̩,make,miʌʔt͡sʌʔ,maʔt͡sɹ̩,beʔ,beʔa,mieʔt͡səʔ,mait͡sɹ̩,ma,mɤt͡sɹ̩,meit͡sɹ̩,mei,mɐk,mait͡sɹ̩,mɨt͡sɹ̩
tami,mi,tami,mɤ̃mi,tami,mɹ̩,mi,tami,mi,tɑmi,dumi,tiu,bi,tʰaut͡səʔ,tɑmi,mei,mi,tami,tami,wɔ,daimi,tamj
t͡sʰantou,futəu,futəu,dzɤ̃deiəl,t͡sʰantou,t͡sʰæ̃tɯ,t͡sʰÃtəu,tatou,futʰeu,tɑtəu,ɦødɤ,piaŋtau,t͡sʰantau,tatəu,t͡sʰantou,vadɤu,t͡sʰantəu,tatɤu,t͡sʰãtou,t͡sʰamtɐu,uandəɯ,tatɯ
ɕiaŋʐɻ̩kʰuei,ɕiaŋzɹ̩kʰuei,kʰueixua,guihuɑ,takʰueixua,kʰuexua,tʂʰɔiÃpĩ,ɕiɑ̃ʐɻ̩kʰuei,hioŋŋitkʰui,tʂʰɔiɑŋxuɑ,ɕiãzəʔgue,hiaŋzikkʰui,hiɔŋiɔŋhue,kʰueixua,tʂuanlian,tʰajivaiho,kʰueixua,kʰueixua,ɕiaŋrkʰuei,hœŋjɐtkʰwɐi,t͡ɕyẽiniẽ,ɕiɔ̃ʐɻ̩kʰuɨ
pot͡sʰai,pot͡sʰai,pot͡sʰai,pot͡sʰɤ,pɤt͡sʰai,pʊt͡sʰɤ,pot͡sʰæ,lupət͡sʰɛ,kokt͡sʰoiie,t͡sʰeit͡sʰæ,put͡sʰe,pueleŋ,polinat͡sʰai,t͡ɕʰit͡sʰai,pot͡sʰai,palaŋt͡sʰe,pot͡sʰai,pɤt͡sʰai,pot͡sʰai,pɔt͡sʰɔi,pot͡sʰai,pɔt͡sʰɛ
