dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HF,Hefei,1,谁啊?我是老三。,哈个?我是老三,,xa kə ʊ ʂʅ lɔ sæ̃,xa24 kə ʊ24 ʂʅ53 lɔ24 sæ̃21,xa24 kə ʊ24 ʂɻ̩53 lɔ24 sæ̃21,xa kə ʊ ʂɻ̩ lɔ sæ̃
HF,Hefei,2,老四呢?她正跟一个朋友说着话呢。,老四在哪格子?她跟一个朋友讲着话在,,lɔ sʅ tsE la kə tsə tˈa kən iəʔ kə pˈən iɯ tɕiɑ̃ tʂʅ xua tsE,lɔ24 sʅ53 tsE53 la24 kə tsə tˈa21-24 kən21 iəʔ5 kə pˈən55 iɯ tɕiɑ̃24 tʂʅ xua53 tsE,lɔ24 sɻ̩53 tsɤ53 la24 kə tsə tˈa21-24 kən21 iəʔ5 kə pˈən55 iɯ tɕiɑ̃24 tʂɻ̩ xua53 tsɤ,lɔ sɻ̩ tsɤ la kə tsə tˈa kən iəʔ kə pˈən iɯ tɕiɑ̃ tʂɻ̩ xua tsɤ
HF,Hefei,3,她还没说完吗?,她可是还没讲完,,tˈa kˈə ʂʅ xE me tɕiɑ̃ ʊ̃,tˈa21 kˈə24 ʂʅ53 xE55 me53 tɕiɑ̃24 ʊ̃55,tˈa21 kˈə24 ʂɻ̩53 xɤ55 me53 tɕiɑ̃24 ʊ̃55,tˈa kˈə ʂɻ̩ xɤ me tɕiɑ̃ ʊ̃
HF,Hefei,4,还没有。大概再有一会儿就说完了。,还没。大约摸再有一霎就中了,,xE me ta yeʔ mɐʔ tsE iɯ iəʔ ʂɐʔ tɕiɯ tʂəŋ lə,xE55 me53 ta53 yeʔ5-2 mɐʔ5 tsE53 iɯ24 iəʔ5-2 ʂɐʔ5 tɕiɯ53 tʂəŋ21 lə,xɤ55 me53 ta53 yeʔ5-2 mɐʔ5 tsɤ53 iɯ24 iəʔ5-2 ʂɐʔ5 tɕiɯ53 tʂəŋ21 lə,xɤ me ta yeʔ mɐʔ tsɤ iɯ iəʔ ʂɐʔ tɕiɯ tʂəŋ lə
HF,Hefei,5,他说马上就走，怎么这半天了还在家里?,他讲马上就走，奖搞第半天还在家里头,,tˈa tɕiɑ̃ ma ʂɑ̃ tɕiɯ tsɯ tɕiɑ̃ kɔ ti pʊ̃ tˈiɪ̃ xE tɕia zɿ tˈɯ,tˈa21 tɕiɑ̃24 ma24 ʂɑ̃53 tɕiɯ53 tsɯ24 tɕiɑ̃24 kɔ24 ti53 pʊ̃53 tˈiɪ̃21 xE55 tɕia21 zɿ24 tˈɯ,tˈa21 tɕiɑ̃24 ma24 ʂɑ̃53 tɕiɯ53 tsɯ24 tɕiɑ̃24 kɔ24 ti53 pʊ̃53 tˈiɪ̃21 xɤ55 tɕia21 zɹ̩24 tˈɯ,tˈa tɕiɑ̃ ma ʂɑ̃ tɕiɯ tsɯ tɕiɑ̃ kɔ ti pʊ̃ tˈiɪ̃ xɤ tɕia zɹ̩ tˈɯ
HF,Hefei,6,你到哪儿去?我到城里去。,你到哪块去?我到街上去,,li tɔ la kˈiE tsˈɥ ʊ tɔ tɕiE ʂɑ̃ tsˈɥ,li24 tɔ53 la24 kˈiE53 tsˈɥ53 ʊ24 tɔ53 tɕiE21 ʂɑ̃ tsˈɥ53,li24 tɔ53 la24 kˈuɤ53 tsˈɥ53 ʊ24 tɔ53 tɕiɤ21 ʂɑ̃ tsˈɥ53,li tɔ la kˈiɤ tsˈɥ ʊ tɔ tɕiɤ ʂɑ̃ tsˈɥ
HF,Hefei,7,在那儿，不在这儿。,在那奥子，不在第奥子,,tsE la ɔ tsə pəʔ tsE ti ɔ tsə,tsE53 la53 ɔ tsə pəʔ5 tsE53 ti53 ɔ tsə,tsɤ53 la53 ɔ tsə pəʔ5 tsɤ53 ti53 ɔ tsə,tsɤ la ɔ tsə pəʔ tsɤ ti ɔ tsə
HF,Hefei,8,不是那么做，要这么做。,不是那样搞，要第样搞,,pəʔ ʂʅ la iɑ̃ kɔ iɔ ti iɑ̃ kɔ,pəʔ5 ʂʅ53 la53 iɑ̃53 kɔ24 iɔ53 ti53 iɑ̃53 kɔ24,pəʔ5 ʂɻ̩53 la53 iɑ̃53 kɔ24 iɔ53 ti53 iɑ̃53 kɔ24,pəʔ ʂɻ̩ la iɑ̃ kɔ iɔ ti iɑ̃ kɔ
HF,Hefei,9,太多了，用不着那么多，只要这么多就够了。,太多之，用不着那样多，只要第一毫就够之,,tˈE tʊ tʂə iŋ pəʔ tʂuɐʔ la iɑ̃ tʊ tʂəʔ iɔ ti iəʔ xɔ tɕiɯ kɯ tʂə,tˈE53 tʊ21 tʂə iŋ53 pəʔ5-2 tʂuɐʔ5 la53 iɑ̃53 tʊ21 tʂəʔ5 iɔ53 ti53 iəʔ5-2 xɔ55 tɕiɯ53 kɯ53 tʂə,tˈɤ53 tʊ21 tʂə iŋ53 pəʔ5-2 tʂuɐʔ5 la53 iɑ̃53 tʊ21 tʂəʔ5 iɔ53 ti53 iəʔ5-2 xɔ55 tɕiɯ53 kɯ53 tʂə,tˈɤ tʊ tʂə iŋ pəʔ tʂuɐʔ la iɑ̃ tʊ tʂəʔ iɔ ti iəʔ xɔ tɕiɯ kɯ tʂə
HF,Hefei,10,这个大，那个小，这两个哪一个好一点呢?,第个大，那个小，第两个哈个好毫子,,ti kə ta la kə ɕiɔ ti liɑ̃ kə xa kə xɔ xɔ tsə,ti53 kə ta53 la53 kə ɕiɔ24 ti53 liɑ̃24 kə xa24 kə xɔ24 xɔ55 tsə,ti53 kə ta53 la53 kə ɕiɔ24 ti53 liɑ̃24 kə xa24 kə xɔ24 xɔ55 tsə,ti kə ta la kə ɕiɔ ti liɑ̃ kə xa kə xɔ xɔ tsə
