dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HF,Hefei,1,太阳,太阳,,tˈE iɑ̃,tˈE53 iɑ̃,tˈɤ53 iɑ̃,tˈɤ iɑ̃
HF,Hefei,2,月亮,月亮 ,,yɐʔ liɑ̃,yɐʔ5 liɑ̃53,yɐʔ5 liɑ̃53,yɐʔ liɑ̃
HF,Hefei,3,星星,星 ,,ɕin,ɕin21,ɕin21,ɕin
HF,Hefei,4,打雷,打雷 ,,ta le,ta24 le55,ta24 le55,ta le
HF,Hefei,5,闪电,打闪 ,,ta ʂən,ta24 ʂən24,ta24 ʂən24,ta ʂən
HF,Hefei,6,下雨,下雨 ,,ɕia zɥ,ɕia53 zɥ24,ɕia53 zɥ24,ɕia zɥ
HF,Hefei,7,下雪,下雪 ,,ɕia ɕyɐʔ,ɕia53 ɕyɐʔ5,ɕia53 ɕyɐʔ5,ɕia ɕyɐʔ
HF,Hefei,8,冰雹,盐豆子 ,,iɪ̃ tɯ tsə,iɪ̃55 tɯ53 tsə,iɪ̃55 tɯ53 tsə,iɪ̃ tɯ tsə
HF,Hefei,9,结冰,结冰 ,,tɕiɐʔ pin,tɕiɐʔ5 pin21,tɕiɐʔ5 pin21,tɕiɐʔ pin
HF,Hefei,10,刮风,起风 ,,tsˈɿ fəŋ,tsˈɿ24 fəŋ21,tsˈɹ̩24 fəŋ21,tsˈɹ̩ fəŋ
HF,Hefei,11,虹,虹 ,,tɕiɑ,tɕiɑ53,tɕiɑ53,tɕiɑ
HF,Hefei,12,端午节,端午节 ,,tʊ̃ u tɕiɐʔ,tʊ̃21 u24 tɕiɐʔ5,tʊ̃21 u24 tɕiɐʔ5,tʊ̃ u tɕiɐʔ
HF,Hefei,13,中秋节,中秋节 ,,tʂəŋ tɕˈiɯ tɕiɐʔ,tʂəŋ21-24 tɕˈiɯ21 tɕiɐʔ5,tʂəŋ21-24 tɕˈiɯ21 tɕiɐʔ5,tʂəŋ tɕˈiɯ tɕiɐʔ
HF,Hefei,14,除夕,年三十,,liɪ̃ sæ̃ ʂəʔ,liɪ̃55 sæ̃21 ʂəʔ5,liɪ̃55 sæ̃21 ʂəʔ5,liɪ̃ sæ̃ ʂəʔ
HF,Hefei,15,今年,今年 ,,tɕin liɪ̃,tɕin21 liɪ̃55,tɕin21 liɪ̃55,tɕin liɪ̃
HF,Hefei,16,明年,明年 ,,min liɪ̃,min55 liɪ̃55,min55 liɪ̃55,min liɪ̃
HF,Hefei,17,去年,去年 ,,tsˈɥ liɪ̃,tsˈɥ53 liɪ̃55,tsˈɥ53 liɪ̃55,tsˈɥ liɪ̃
HF,Hefei,18,明天,麻个 ,,ma kə,ma55 kə,ma55 kə,ma kə
HF,Hefei,19,昨天,昨个,,tsʊ kə,tsʊ55 kə,tsʊ55 kə,tsʊ kə
HF,Hefei,20,今天,皆个 ,,tɕiE kə,tɕiE21 kə,tɕiɤ21 kə,tɕiɤ kə
HF,Hefei,21,星期天,星期天 ,,ɕin tsˈɿ tˈiɪ̃,ɕin21 tsˈɿ55 tˈiɪ̃21,ɕin21 tsˈɹ̩55 tˈiɪ̃21,ɕin tsˈɹ̩ tˈiɪ̃
HF,Hefei,22,麦子,麦子 ,,mɐʔ tsə,mɐʔ5 tsə,mɐʔ5 tsə,mɐʔ tsə
HF,Hefei,23,大米,米 ,,mɿ,mɿ24,mɹ̩24,mɹ̩
HF,Hefei,24,蚕豆,蚕豆 ,,tsˈæ̃ tɯ,tsˈæ̃55 tɯ53,tsˈæ̃55 tɯ53,tsˈæ̃ tɯ
HF,Hefei,25,向日葵,葵花 ,,kˈue xua,kˈue55 xua21,kˈue55 xua21,kˈue xua
HF,Hefei,26,菠菜,菠菜 ,,pʊ tsˈE,pʊ21-24 tsˈE53,pʊ21-24 tsˈɤ53,pʊ tsˈɤ
HF,Hefei,27,卷心菜,包头菜 ,,pɔ tˈɯ tsˈE,pɔ21 tˈɯ55 tsˈE53,pɔ21 tˈɯ55 tsˈɤ53,pɔ tˈɯ tsˈɤ
HF,Hefei,28,西红柿,洋柿子 ,,iɑ̃ sɿ tsə,iɑ̃55 sɿ53 tsə,iɑ̃55 sɹ̩53 tsə,iɑ̃ sɹ̩ tsə
HF,Hefei,29,茄子,茄子 ,,tɕˈye tsə,tɕˈye55 tsə,tɕˈye55 tsə,tɕˈye tsə
HF,Hefei,30,白薯,芋头 ,,zɥ tˈɯ,zɥ53 tˈɯ,zɥ53 tˈɯ,zɥ tˈɯ
HF,Hefei,31,马铃薯,马铃薯 ,,ma lin tʂˈu,ma24 lin55 tʂˈu24,ma24 lin55 tʂˈu24,ma lin tʂˈu
HF,Hefei,32,南瓜,南瓜 ,,læ̃ kua,læ̃55 kua21,læ̃55 kua21,læ̃ kua
HF,Hefei,33,猪,猪 ,,tʂu,tʂu21,tʂu21,tʂu
HF,Hefei,34,公猪,公猪 ,,kəŋ tʂu,kəŋ21-24 tʂu21,kəŋ21-24 tʂu21,kəŋ tʂu
HF,Hefei,35,母猪,母猪 ,,məŋ tʂu,məŋ24 tʂu21,məŋ24 tʂu21,məŋ tʂu
HF,Hefei,36,公鸡,公鸡 ,,kəŋ tsɿ,kəŋ21-24 tsɿ21,kəŋ21-24 tsɹ̩21,kəŋ tsɹ̩
HF,Hefei,37,母鸡,母鸡 ,,məŋ tsɿ,məŋ24 tsɿ21,məŋ24 tsɹ̩21,məŋ tsɹ̩
HF,Hefei,38,麻雀,麻啾,,ma tɕˈiɯ,ma55 tɕˈiɯ21,ma55 tɕˈiɯ21,ma tɕˈiɯ
HF,Hefei,39,老鼠,老鼠,,lɔ tʂˈuə,lɔ24 tʂˈuə,lɔ24 tʂˈuə,lɔ tʂˈuə
HF,Hefei,40,臭虫,臭虫,,tʂˈɯ tʂˈəŋ,tʂˈɯ53 tʂˈəŋ,tʂˈɯ53 tʂˈəŋ,tʂˈɯ tʂˈəŋ
HF,Hefei,41,房子(整),宅子,,tsɐʔ tsə,tsɐʔ5 tsə,tsɐʔ5 tsə,tsɐʔ tsə
HF,Hefei,42,房子(单),房间 ,,fɑ̃ tɕɪ̃,fɑ̃55 tɕɪ̃21,fɑ̃55 tɕɪ̃21,fɑ̃ tɕɪ̃
HF,Hefei,43,窗户,窗子 ,,tʂˈuɑ̃ tsə,tʂˈuɑ̃21 tsə,tʂˈuɑ̃21 tsə,tʂˈuɑ̃ tsə
HF,Hefei,44,门坎,门坎 ,,mən kˈæ̃,mən55 kˈæ̃24,mən55 kˈæ̃24,mən kˈæ̃
