sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin
1,ʂei35 a2 uo214 ʂɻ̩51 lau214-21 san55,na53 ko13 ŋo53 sɹ̩13 nau53 san55,la42 ko213 ŋo42 sɹ̩213 lao42 san55,lɑ213 ko45 o04 ŋo213 sɹ̩21 lɑu213 san42 lo02,siã53-44 bĩʔ44-32 laŋ24 gua53-44 si33-11 lau53-44 sã44,suei11 lɤ ɣɤ53 sɹ̩45 lau53 sæ̃11,pin55 kɔ33 a33 ŋɔ13 hɐi22 a33 sam55,nɒ42 ko55 ŋo42 ʂɻ̩21 naɯ42 san33,fɨ24-21 a53 nɔ53 sɹ̩213 lɔ53 sã44 na,xa24 kə ʊ24 ʂɻ̩53 lɔ24 sæ̃21,man53-55 ŋin11 na ŋai11 he53 a44 sam44,nɑ53 koʔ5 ŋo53 zɹ̩13 lɔ13 sɤ̃33,na42 kuo ŋuo sɹ̩35 nau42 san55,ʂei24 ia uo213 ʂɻ̩ ɕiau213-21 sar44
2,lau214-21 sɹ̩51 nə1 tˈa55 tʂəŋ51 kən55 i35 pˈəŋ35 iou3 ʂuo55 tʂə2 xuar51 nə1,nau53 sɹ̩13 nan55 tˈa55 tsən13 tsai13 kən55 i31 ko13 pˈoŋ31 iəu53 so31 xua13 ni55,lao42 sɹ̩213 lɛ55 la55 tsen213 tsai213 xo21 i21 ko213 pˈoŋ21 iəu42 so21 tɕˈi42 xua213 lɛ55 lɛ21,lɑu213 sɹ̩45 li04 tɕie213 tsɨn45 tsˈai21 kiɛn42 iʔ5 kɔ45 pˈuŋ24 iu04 tˈan24 tˈo24,lau53-44 si11 e11 le11 i44-33 tŋ̩44-33 te33 kaʔ32-44 tsit44-32 le24-11 piŋ24-11 iu53 kɔŋ53-55 ue33,lau53 sɹ̩45 lɤ tˈa11 tsəŋ45 kəŋ11 iəʔ2 kɤ45 pˈəŋ11 iəu11 tau53 ɕiəʔ2 lɤ,a33 sei33 nɛ55 kˈøy13 hɐi35 tou22 tˈuŋ21 kɔ33 pˈɐŋ21 jɐu13 kˈiŋ35 kɐn35 kɐi lɛ21,naɯ42 sɻ̩55 nie55 tɒ33 tʂən55 dzai21 ɦo12 i24 tʂo24 pˈən12 iəɯ42 tɒ42 tˈai55 bian12 kɔn42,lɔ53 sɹ̩213-21 lɛ24-53 tɕia24 tʂə̃213 j44-21 kɔ213 pˈə̃24-21 iɯ53 lia ɕyã44 tʂɛ53,lɔ24 sɻ̩53 tsɤ53 la24 kə tsə tˈa21-24 kən21 iəʔ5 kə pˈən55 iɯ tɕiɑ̃24 tʂɻ̩ xua53 tsɤ,a44-35 si53-55 a ki11 tsaŋ53 tˈuŋ11 it1 tsak1 pˈen11 iu44 hok1 ke53-55 e liau53,lɔ53 sɹ̩445 nə tˈɑ33 dʑi213-21 tɕˈiɔ53 doŋ213-21 ʔiəʔ5 koʔ5 boŋ213-21 ʔiø53 lɑʔ2 hɑ33 sɥəʔ5 ɦuɑ13 ʔɥ53,nau42 sɹ̩35 nie tˈa55 tai35 kən55 i213-21 kuo pˈoŋ213-21 iəu42 suo213-21 xua35,lau213-21 sɹ̩53 nə tˈa44 tʂəŋ53 kən44 i44-24 kɤ pˈəŋ24 iou lau53 kˈɤr44 nə
3,tˈa55 xai35 mei35 ʂuo55 uan35 ma3,tˈa55 xai31 mei13 iəu53-55 so31 uan31 a53 ,la55 xai21 mei55 tɛ21 so21 uan21 a21,tɕie213 haʔ5 mɑu21 tˈan24 uɵn45 nɑ04,i44-33 ia53-55 bueʔ32 kɔŋ53-55 suaʔ32 hio11,tˈa11 xai11 məʔ tau53 ɕiəʔ2 væ̃53 lɤ,kˈøy13 tsuŋ mei22 kɔŋ35 jyn21 mɛ55,tɒ33 ɦai12 maɯ21 kɔn42 yẽ12 po55,tɕia24 xɛ mɔ24 fɔ44 uã24-21 mɔ,tˈa21 kˈə24 ʂɻ̩53 xɤ55 me53 tɕiɑ̃24 ʊ̃55,ki11 m̩11 tˈien11 koŋ31 pˈei1 he53-55 m̩11 me53,tˈɑ33 ɦɑ213 mi13 ʔi53 sɥəʔ5 hɔ53 ʔɑ,tˈa55 xai213-21 mau35 suo213-21 uan213,tˈa44 xai53 mei53 lau53 uan24 na
4,xai35 mei35 nə3 ku55 mə2 tʂə2 tsai51 xuər214 tɕiou51 ʂuo55 uan35 lə3,xai31 mei13 iəu53-55 ta13 yo31 xai31 iəu53 i31 xər55 tɕiəu13 so31 uan31no53,xai21 mei55 tɛ21 to55 pan213 xai21 iəu42 i21 xa213 xa213 təu213 so21 uan21 ləu42,haʔ5 mɑu21 tsˈɑ42 pɨʔ5 to42 tsai45 iu213 tɛʔ04 iʔ5 hɑ21 tsɹ̩02 tɕiu21 tˈan24 uɵn45 liɛu04,ia53-44 bue33 tai33-11 iɔʔ32-44 tsit44-32 tiam53-44 a53 tioʔ44-32 kɔŋ53-44 suaʔ32,xai11 məʔ la11 ta45 kai45 tsai45 iəu53 iəʔ2 tsəŋ45 tsəŋ45-53 tɕiəu45 tau53 ɕiəʔ2 væ̃53 lie11,tsuŋ22 mei22 tai22 kˈɔi33-35 tsɔi33 kɔ33 jɐt5 tsɐn22-35 tsɐu22 kɔŋ35 jyn21 lak3,ɦai maɯ21 dai21 kˈai55 tsai55 kɔn42 i24 tsən21 tsɹ̩33 dʑiəɯ21 kɔn42 yẽ12 tɒ42,xɛ24 mɔ24 ta213 kˈuɔ̃44 mv̩44 ɛ tsɛ213 j44-21 kua213 kua ɛ xɔ tɕiɯ213 fɔ44 uã24-21 liɔ53,xɤ55 me53 ta53 yeʔ5-2 mɐʔ5 tsɤ53 iɯ24 iəʔ5-2 ʂɐʔ5 tɕiɯ53 tʂəŋ21 lə,han11 maŋ11 tˈien11 ten31 it1 ha53 tˈiam44-35 ki11 tsˈu53-55 voi53-55 koŋ31 pˈet11 le,ɦɑ213-21 mi13 lɤ dɑ13 kɤ53 tsɤ445 ku445 ʔiəʔ5 ɕiəʔ5 əl31 dʑiø13 sɥəʔ5 ɦuõ213 tə,xai213-21 mau35 ta35 kˈai35 xai213-21 iəu42 i213-21 xar tɕiəu35 suo213-21 uan213-21 niau,xai53 mei24 iou ta53 kai53 tsai53 tai44 i44-53 xuər213 tɕiou53 lau53 uan24 lə
5,tˈa55 ʂuo55 li51 mar214 tɕiou51 tsou214 tsəm214 səm51 pan51 tˈian55 lə2 xai35 tsai214-21 tɕia55 li2,tˈa55 tɕiaŋ53 ma53 saŋ13 tɕiəu13 tsəu53 tsa31 ko13 tse13 mən31-55 tɕiəu53 no53 xai31 tsai13 u31 tˈəu31-55 ne55,la55 so21 lɛ55 li21 ma42 təu213 tsəu42 tsa21 ko213 tsɹ̩55 iaŋ213 ta213 pan213 tˈian55 ao213 xai21 tsai213 u21 tˈəu55 lɛ21,tɕie213 uɑ21 mɑ213 sɔŋ04 tɕˈiu21 tsɛu213 lɔŋ42 lo213 pɵn45 ɲiʔ5 liɛu02 haʔ tsˈai21 uɨʔ5 li02 mɑ02,i44-33 kɔŋ53-44 sui24-11 beʔ32-44 kiã24 nã53-44 e24-11 kui44-33 puã11-53 kaŋ44 a ia53-44 ti33-11 tsˈu11-53 lai33,tˈa11 suəʔ2 liəʔ2-45 ma53 tɕiəu53 tsaʔ2 ti45 tsəʔ2 pæ̃45 tˈie11 lie11 xai11 tsai45 tɕia11 lɤ,kˈøy13 wa22 tsik5 hak5 tsɐu22 tsɐu35 tim35 kai35 kɐm33 nɔi22 tsuŋ22 hɐi35 uk5 kˈei35 tou22,tɒ33 kɔn42 səi12 tɕi24 dʑiəɯ21 tsəɯ42 i12 ti33 kai42 ko24 mo42 pɔn55 tˈiẽ33 tɒ42 ɦai12 dzai21 u24 ni42,tɕia24 fɔ44 tɕiɯ213 tsɯ53 lia a44-21 mə̃24 tʂɻ̩213-21 mə̃24 pã213 tˈiã44 liɔ tʂɔ xɛ24 tɛ213 tɕia44 l̩53 lia,tˈa21 tɕiɑ̃24 ma24 ʂɑ̃53 tɕiɯ53 tsɯ24 tɕiɑ̃24 kɔ24 ti53 pʊ̃53 tˈiɪ̃21 xɤ55 tɕia21 zɹ̩24 tˈɯ,ki11 va53 lik5 lak5 tsˈiu53-55 tseu31 ŋioŋ53-55 an31 kiu31 ve han11 tsˈoi44-35 vuk1 kˈa44,tˈɑ33 sɥəʔ5 tɑŋ33 mɑŋ33 dʑiø13 tsø53 tɕiəʔ5 kəʔ5 kəʔ5 zɹ̩213-12 kuɑŋ33 ɦɑ213-21 lɑʔ2 hɑ33 ʔoʔ5 li,tˈa55 suo213-21 tɕiəu42 ti mo42 iaŋ tsɤ35 pan35 tˈiɛn55 xai213-21 mau35 tsəu42,tˈa44 ʂuo44 ma213-21 ʂaŋ53 tɕiou53 tsou213 tsa213 tʂɤ53 lau213 pan53 tˈian44 lə xai53 tsai213 tɕia44 nə
6,ni214 ʂɑŋ51 nar214 tɕˈy51 uo214 tɕin51 tʂˈəŋ35 tɕˈi3,ɲi53 tsəu53 nər53 tɕˈie13 ŋo53 tau13 tsˈən31 xəu13-53 tˈəu31 tɕˈie,li42 tsəu42 la42 tai42 kˈi213 ei55 ŋo42 tsəu42 tsˈen21 tˈəu55 kˈi213,n̩213 tɑu45 lɑ213 li04 tɕˈie213 ɑ04 ŋo213 tɕin45 sɑŋ45 tɕˈie213,li53-44 kˈi11-53 to53-44 ui33 gua53-44 kˈi11-53 siã24-11 lai33,ni53 tɕˈy45 na53 kəʔ ia45 ɣɤ53 tɕˈy45 tsˈəŋ11 li53 kəʔ ia45,nei13 høy33 pin55 ŋɔ13 jɐp2 sɛŋ21-35,ɲi42 taɯ55 nɒ42 tɔn55 tɕˈie55 ŋo42 taɯ55 dʐən12 ni42 tɕˈie55,ɲi53 a44-21 tʂa53 tɕˈj213-21 lia53 nɔ53 tʂˈə̃24-21 l̩53 tɕˈj213-21 kɔ213 lia,li24 tɔ53 la24 kˈuɤ53 tsˈɥ53 ʊ24 tɔ53 tɕiɤ21 ʂɑ̃ tsˈɥ53,n̩11 hi53-55 nai53-55 ie ŋai11 hi53-55 tsˈut1 ke44,ni53 tɔ445 nɑ53 li53-31 tɕˈi445 ŋo53 tɔ445 dzen213-21 li53 tɕˈi445-31,ni42 tau35 na42 ni kˈɯ ŋuo42 tau35 tsˈən213-21 ni kˈɯ35,ni213 ʂaŋ53 nar213 tɕˈy uo213 ʂaŋ53 kai44 li213
7,tsai214 nar51 pu51-35 tsai214 tʂər51,tsai13 nər55 pu31 tsai13 tsər55,tsai213 a213 tiɛ42 pu21 tsai213 tsɹ̩55 tiɛ42,tsˈai21 he213 li04 pɨʔ5 tsˈai21 ko213 li04,ti33-11 hia44 bo24-11 ti33-11 tsia44,tsai45 var53 tɕia11 pəʔ2 tsai45 tsar53 tɕia11,hɐi35 kɔ35 tou22 m21 hɐi35 nei55 tou22,dzai21 nɒ24 tɔn55 maɯ21 dzai21 ko24 tɔn55,tɛ213 nɛ213-21 tʂa53 lia mɔ24 tɛ213 tʂɻ̩213-21 tʂa53 tʂɔ,tsɤ53 la53 ɔ tsə pəʔ5 tsɤ53 ti53 ɔ tsə,hoi44-35 ke53-55 ie m̩11 me53-55 e31 ie,lɑʔ2 hɑ33 nɑ13 dei pəʔ5 lɑʔ2 hɑ33 kəʔ5 li,tai35 na35 ni pu35 tai35 tsɤ35 ni,tsai213-21 nei53 kar44 pu53 tsai213-21 tʂei53 kar44
8,pu51-35 nam51 tʂə1 tei214 tʂəm51 tʂə1,pu31 sɹ̩13 na13 iaŋ13 tsɹ̩53 tsu13 iau13 tse13 iaŋ13 tsɹ̩53 tsu13,pu21 sɹ̩213 a213 iaŋ213 tsəu213 sɹ̩213 iao213 ɕiaŋ213 tsɹ̩55 iaŋ213 tsəu213 lɛ55,pɨʔ5 sɹ̩21 hɛn213 tsu45 ko04 iɛu45 kɔŋ213 tsu45,m̩33-11 si33-11 a44 nẽ44 tso11 si33-11 tioʔ44-32 a44 nĩ44 tso11,pəʔ2 sɹ̩45 vai53 təʔ tsuəʔ2 sɹ̩45 tsai53 təʔ tsuəʔ2,m21 hɐi22 kɐm35 tsou22 hɐi22 jiu33 kɐm35 tsou22 kɛ33,pu24 ʂɻ̩21 iaɯ55 nɒ24 ian21 tsəɯ55 ʂɻ̩ iaɯ55 ko24 ian21 tsəɯ55,nɛ213 mə̃24 tɕia tɕy213-21 xɔ53 mɔ24 tuɨ213-21 tʂɔ53 iɔ213 tʂɻ̩213-21 mə̃24 tɕia tɕy213-21 lia53,pəʔ5 ʂɻ̩53 la53 iɑ̃53 kɔ24 iɔ53 ti53 iɑ̃53 kɔ24,m̩11 me53-55 ke53-55 an31 ne tso53 oi53-55 e31 ŋioŋ53-55 ŋe tso53,pəʔ5 zɹ̩13 zəʔ2 kɑ445 tˈoɸ53-31 tso445 ʔiɔ445 kɑ445 tso445,pu213-21 sɹ̩35 na35 iaŋ pan35 sɹ̩35 tsɤ35 iaŋ pan35,pu53-24 ʂɻ̩53 na53 mɤ tsuo53 tei213 tʂɤ53 mɤ tsuo53
9,tˈei55 tuo55 lə2 yŋ51 pu2 tʂau35 nam51 tuo55 tʂɻ̩214 iau51 tʂəm51 tuo55 tɕiou51 kou51 lə1,tˈai13 to55 no53 yoŋ13 pu31 tau53 na13 mən31-55 to55 tsɹ̩53 iau13 tse13 mən31-55 to55 tɕiəu13 kəu13 no53,tˈai213 to55 la42 iao213 pu21 tao42 a213 iaŋ213 to55 tsɹ̩42 iao213 tsɹ̩55 iaŋ213 to55 təu213 kəu213 la42,tˈai213 to42 sɔŋ42 liɛu02 pɨʔ5 iɛu45 he213 to42 tsɨʔ5 iɛu45 ko213 to42 tsɹ̩02 tɕˈiu21 kiɛu45 liɛu04,siũ44-33 tse33 a m̩33-11 bian53 hia53-44 nĩ33-11 tse33,tˈau45 tɤ11 lie53 yəŋ45 pəʔ2 lau53 vəʔ2-45 lai53 tɤ11 kuɒ̃53 tsəʔ2-54 ɕiar11 tɕiəu45 kəu45 lie53,tɔ55 tɐk5 tsɐi22 la33 m21 sɐi35 kɐm33 tɔ55 jiu33 kɐm33 tɔ55 tsɐu22 kɐu33 la33,tˈai55 to33 tɒ42 iaɯ55 pu24 niaɯ42 nɒ24 ian21 to33 tʂɻ̩24 iaɯ55 ko24 ian21 to33 dziəɯ21 iəɯ42 tɒ42,tˈɛ213 tu44 liɔ nɛ213-21 mə̃24 tu44 xɔ yə̃213 pv̩213 uã24-21 na53 tʂɻ̩213-21 mə̃24 ɕi24-21 xɔ53 tɕiɯ213 kɯ213-21 liɔ53,tˈɤ53 tʊ21 tʂə iŋ53 pəʔ5-2 tʂuɐʔ5 la53 iɑ̃53 tʊ21 tʂəʔ5 iɔ53 ti53 iəʔ5-2 xɔ55 tɕiɯ53 kɯ53 tʂə,tˈiet1 to44-35 e m̩11 sɹ̩31 an31 to44 oi53-55 an31 to44-35 e tsˈiu53 keu53 ve,tˈəʔ5 kɑ445 to33 tə ɦioŋ13 pəʔ5 dzɑʔ2 kɑ445 sɥ53 to33 tsəʔ5 ɦiɔ13 zəʔ2 kɑ445 to33 dʑiø13 kø445 tə,tˈai35 tuo55 niau ioŋ35 pu tau na35 iaŋ tuo55 kuaŋ55 iau35 tsɤ35 mo tuo55 tçiəu35 kəu35 niau,tˈai53 tuo44 lə yŋ53 pu tʂau24 na53 lau213 tuo44 tʂɻ̩213-21 iau53 tʂɤ53 ɕiɛ44 tɕiou53 kou53 lə
10,tʂei51 kə1 ta51 nei51 kə1 ɕiau214 tʂei51 lia214 nei214 kə4 xɑu214-35 tiar214,tse13 ko13-55 ta13 na13 ko13-55 ɕiau53 tse13 niaŋ53 ko13 na53 i31 ko13 xau53 i31 tiər53,tsɹ̩55 ko213 ta213 a213 ko213 ɕiao42 tsɹ̩55 liaŋ42 ko213 tao213 ti42 la42 ko213 iao213 xao42 i21 tɛ42 lɛ55,kei213 tsɑʔ5 tˈai21 he213 tsɑʔ5 ɕiɛu213 ko213-24 liɔŋ213 tsɑʔ5 lɑ213 tsɑʔ5 hɑu213 tiɑʔ04 tsɹ̩04 le04,tsit32-44 le24 tua33 hit32-44 le24 se11 tsit32-44 lŋ̩33-11 e24 to53-44 tsit44-32 le24 kˈaʔ32-44 ho53,tsai53 ta45 vai53 ɕiau53 tsəʔ2 lia53 kɤ  na53 kɤ xau53 ɕiar11,nei55 kɔ33 tai33 kɔ35 kɔ33 sɐi33 nei55 lœŋ13 kɔ33 pin55 kɔ33 hou35 ti55 nɛ55,ko24 tʂɒ24 dai21 nɒ24 tʂɒ24 siaɯ42 ko24 nian42 tʂo24 nɒ42 i24 tʂo24 haɯ42 i24 tiẽ42,tʂɻ̩213-21 kɔ213 ta213 nɛ213-21 kɔ213 ka24 tʂɻ̩213 liɔ̃53 kɔ213 a44-24 j kɔ213 xɔ53 ɛ ɕi,ti53 kə ta53 la53 kə ɕiɔ24 ti53 liɑ̃24 kə xa24 kə xɔ24 xɔ55 tsə,e31 tsak1 kuo53-55 tˈai53 ke53-55 tsak1 kuo53-55 se53 e31 lioŋ31 tsak1 na44 ŋai53-55 tsak1 kˈo53-55 hau31,tɕiəʔ5 koʔ5 do13 nɑ13 koʔ5 ɕiɔ53 kəʔ5 liɑŋ53 koʔ5 nɑ53 koʔ5 hɔ53 ʔiəʔ5 tiɤ̃53 əl213-31,tsɤ35 kuo ta35 na35 kuo ɕiau42 tsɤ35 niaŋ42 kuo na42 kuo xau42 i213-21 tier,tʂei53 kɤ ta53 nei53 kɤ ɕiau213 tʂɤ53 liaŋ213-21 kɤ nei213 kɤ53 xau213 tiar213 nə
