sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Kunming,Pingyao,Shanghai,Lanzhou,Shantou,Tianjin
1,ʂeiauoʂɻ̩lausan,nakoŋosɹ̩nausan,lakoŋosɹ̩laosan,lɑkooŋosɹ̩lɑusanlo,siãbĩʔlaŋguasilausã,sueilɤɣɤsɹ̩lausæ̃,pinkɔaŋɔhɐiasam,nɒkoŋoʂɻ̩naɯsan,fɨanɔsɹ̩lɔsãna,xakəʊʂɻ̩lɔsæ̃,manŋinnaŋaiheasam,nɑkoʔŋozɹ̩lɔsɤ̃,nakuoŋuosɹ̩nausan,ʂeiiauoʂɻ̩ɕiausar,seiŋɤsɹ̩lausã,seiikɤvɤsɹ̩lɔsanikɤ,aɲinaŋaŋ̩zɹ̩lɜsa,nɐkəoʂɻ̩lɔsɐ̃,sueiliʌʔŋiɤsɹ̩lɔsɑŋ,saɲiŋŋuzɹ̩aʔse,feiʂavəʂɻ̩lɔsɛ̃n,titiaŋuakaiaalusã,seiiɑuosɹ̩lɑusan
2,lausɹ̩nətʰatʂəŋkənipʰəŋiouʂuotʂəxuarnə,nausɹ̩nantʰatsəntsaikənikopʰoŋiəusoxuani,laosɹ̩lɛlatsentsaixoikopʰoŋiəusotɕʰixualɛlɛ,lɑusɹ̩litɕietsɨntsʰaikiɛniʔkɔpʰuŋiutʰantʰo,lausieleitŋ̩tekaʔtsitlepiŋiukɔŋue,lausɹ̩lɤtʰatsəŋkəŋiəʔkɤpʰəŋiəutauɕiəʔlɤ,aseinɛkʰøyhɐitoutʰuŋkɔpʰɐŋjɐukʰiŋkɐnkɐilɛ,naɯsɻ̩nietɒtʂəndzaiɦoitʂopʰəniəɯtɒtʰaibiankɔn,lɔsɹ̩lɛtɕiatʂə̃jkɔpʰə̃iɯliaɕyãtʂɛ,lɔsɻ̩tsɤlakətsətʰakəniəʔkəpʰəniɯtɕiɑ̃tʂɻ̩xuatsɤ,asiakitsaŋtʰuŋittsakpʰeniuhokkeeliau,lɔsɹ̩nətʰɑdʑitɕʰiɔdoŋʔiəʔkoʔboŋʔiølɑʔhɑsɥəʔɦuɑʔɥ,nausɹ̩nietʰataikənikuopʰoŋiəusuoxua,lausɹ̩nətʰatʂəŋkənikɤpʰəŋioulaukʰɤrnə,lausɹ̩niuotʂəŋkẽtʰaikɤxuotɕʰipʰiãni,lɔsɹ̩naɲiatʂɤŋlianikɤpʰɤŋiɤuɕyanxuɑŋtiɲi,lɜsɹ̩neigitseŋzɹ̩tatʰuɔjikaiboŋjaukuɔɕyɦo,lɔsɹ̩nætʰətsææikəpoŋiəutɕiɐ̃tʂəxuɐ,lɔsɹ̩liʌʔuʌʔtɕiɑtʂɻ̩xuxuæpʰəŋiəutɔɕiʌʔliʌʔ,sɹ̩neitsəŋlaʔhetaʔiɪʔɦəʔbɑ̃ɦiɤkɑ̃ɦeɦo,lɔʂɻ̩lɛtʰatʂə̃nliɛ̃nikəpə̃nioufəxuatʂəli,alausinẽitsiãkaʔkaipʰeŋiulotãue,lɑusɹ̩nətʰɑtʂəŋkənikəpʰəŋiouʂuotʂəxuɑnə
3,tʰaxaimeiʂuouanma,tʰaxaimeiiəusouana,laxaimeitɛsouana,tɕiehaʔmɑutʰanuɵnnɑ,iiabueʔkɔŋsuaʔhio,tʰaxaiməʔtauɕiəʔvæ̃lɤ,kʰøytsuŋmeikɔŋjynmɛ,tɒɦaimaɯkɔnyẽpo,tɕiaxɛmɔfɔuãmɔ,tʰakʰəʂɻ̩xɤmetɕiɑ̃ʊ̃,kim̩tʰienkoŋpʰeihem̩me,tʰɑɦɑmiʔisɥəʔhɔʔɑ,tʰaxaimausuouan,tʰaxaimeilauuanna,tʰateisɹ̩xaimoʂɤuã,tʰaxanmɤpʰianvanma,givameikuɔjya,tʰəxæməuʂouɐ̃kæ,uʌʔtɕiɑxɑŋmʌʔlɑsuʌʔuɑŋliʌʔ,ɦiɦɛɦm̩məʔkɑ̃hɔɦa,tʰaxɛ̃nm̩ioufəpama,ihuãtãbueliaua,tʰɑxaimeiʂuovanmɑ
4,xaimeinəkumətʂətsaixuərtɕiouʂuouanlə,xaimeiiəutayoxaiiəuixərtɕiəusouanno,xaimeitɛtopanxaiiəuixaxatəusouanləu,haʔmɑutsʰɑpɨʔtotsaiiutɛʔiʔhɑtsɹ̩tɕiutʰanuɵnliɛu,iabuetaiiɔʔtsittiamatioʔkɔŋsuaʔ,xaiməʔlatakaitsaiiəuiəʔtsəŋtsəŋtɕiəutauɕiəʔvæ̃lie,tsuŋmeitaikʰɔitsɔikɔjɐttsɐntsɐukɔŋjynlak,ɦaimaɯdaikʰaitsaikɔnitsəntsɹ̩dʑiəɯkɔnyẽtɒ,xɛmɔtakʰuɔ̃mv̩ɛtsɛjkuakuaɛxɔtɕiɯfɔuãliɔ,xɤmetayeʔmɐʔtsɤiɯiəʔʂɐʔtɕiɯtʂəŋlə,hanmaŋtʰientenithatʰiamkitsʰuvoikoŋpʰetle,ɦɑmilɤdɑkɤtsɤkuʔiəʔɕiəʔəldʑiøsɥəʔɦuõtə,xaimautakʰaixaiiəuixartɕiəusuouanniau,xaimeiioutakaitsaitaiixuərtɕioulauuanlə,xaimoioutamərxaiteiixuər,mɤiɤuɲixapatsaitɤŋitʂɤ̃rtɕiɤufɤvanliɤ,vameidaketsekujioŋ̩jɤukuɔhɜba,xæməutɐkʰætsætɕiɐ̃iɕiɔxɐtɕiəuuɐ̃lə,mɑliʌʔxɑŋtiʌʔtʂəŋtʂəŋ,ɦɛɦm̩məʔdaketsekɑ̃iɪʔɕiɪʔʑiɤkɑ̃hɔləʔ,xɛ̃nm̩iouxapaxɛ̃ntəixueiɯtɕioufəvɛ̃nlɔ,huãbuetsʰamtokeʔkekʰuŋkiãtsiutãtik,xaimeiioutɑkaitsaitaixuərtɕiouʂuovanlə
5,tʰaʂuolimartɕioutsoutsəmsəmpantʰianləxaitsaitɕiali,tʰatɕiaŋmasaŋtɕiəutsəutsakotseməntɕiəunoxaitsaiutʰəune,lasolɛlimatəutsəutsakotsɹ̩iaŋtapantʰianaoxaitsaiutʰəulɛ,tɕieuɑmɑsɔŋtɕʰiutsɛulɔŋlopɵnɲiʔliɛuhaʔtsʰaiuɨʔlimɑ,ikɔŋsuibeʔkiãnãekuipuãkaŋaiatitsʰulai,tʰasuəʔliəʔmatɕiəutsaʔtitsəʔpæ̃tʰieliexaitsaitɕialɤ,kʰøywatsikhaktsɐutsɐutimkaikɐmnɔitsuŋhɐiukkʰeitou,tɒkɔnsəitɕidʑiəɯtsəɯitikaikomopɔntʰiẽtɒɦaidzaiuni,tɕiafɔtɕiɯtsɯliaamə̃tʂɻ̩mə̃pãtʰiãliɔtʂɔxɛtɛtɕial̩lia,tʰatɕiɑ̃maʂɑ̃tɕiɯtsɯtɕiɑ̃kɔtipʊ̃tʰiɪ̃xɤtɕiazɹ̩tʰɯ,kivaliklaktsʰiutseuŋioŋankiuvehantsʰoivukkʰa,tʰɑsɥəʔtɑŋmɑŋdʑiøtsøtɕiəʔkəʔkəʔzɹ̩kuɑŋɦɑlɑʔhɑʔoʔli,tʰasuotɕiəutimoiaŋtsɤpantʰiɛnxaimautsəu,tʰaʂuomaʂaŋtɕioutsoutsatʂɤlaupantʰianləxaitsaitɕianə,tʰaʂɤmaʂaŋtsoutsoutsatautʂərxaitsaiuni,tʰafɤatsɹ̩rtɕiɤutsɤuɲimutsapanʂɻ̩tʰianliɤxantsaitɑŋtsɹ̩litʰɤuɲi,gikuɔjɤutsaudɜketsɹ̩napønebavazɹ̩vuleia,tʰəʂomɐʂɐ̃tsəutsɐkətʂɻ̩pɐ̃tʰiɛ̃ləxætsætɕiɐʂəu,uʌʔtɕiɑsuʌʔtsʰəutsɥtɕiəutsəutsɑtitsʌʔiŋtsɑŋxuɑŋxɑŋtsætɕyɤʂɻ̩ɤliʌʔ,ɦikɑ̃mozɑ̃ʑiɤtsɤnanəŋkaɕyduzəŋkuɑ̃ɦɛlaʔlaʔoliɕiã,tʰafəmaʂɑ̃tɕioutsoulitʂɻ̩mə̃npɛ̃tʰiɛ̃nlɔtsə̃nməxɛ̃ntsɛvuliliʂa,itãtsiaksitsiukiãtsonĩkaukuahuãtolai,tʰɑsuomɑsɑŋtɕioutsounənmənənməpantʰianləxaitaitɕiɑli
6,niʂɑŋnartɕʰyuotɕintʂʰəŋtɕʰi,ɲitsəunərtɕʰieŋotautsʰənxəutʰəutɕʰie,litsəulataikʰieiŋotsəutsʰentʰəukʰi,n̩tɑulɑlitɕʰieɑŋotɕinsɑŋtɕʰie,likʰitouiguakʰisiãlai,nitɕʰynakəʔiaɣɤtɕʰytsʰəŋlikəʔia,neihøypinŋɔjɐpsɛŋ,ɲitaɯnɒtɔntɕʰieŋotaɯdʐənnitɕʰie,ɲiatʂatɕʰjlianɔtʂʰə̃l̩tɕʰjkɔlia,litɔlakʰiɤtsʰɥʊtɔtɕiɤʂɑ̃tsʰɥ,n̩hinaiieŋaihitsʰutke,nitɔnɑlitɕʰiŋotɔdzenlitɕʰi,nitaunanikʰɯŋuotautsʰənnikʰɯ,niʂaŋnartɕʰyuoʂaŋkaili,nitauatatɕʰiiaŋɤtɕiẽtʂʰəŋia,ɲitɔnatatɕʰiɲivɤtɔtʂʰɤŋxɑŋtɕʰiɲi,ɲitsauɲauduɔkʰeiaŋ̩tsauzeŋteikʰei,nikʰənɐtiəokʰətʂʰə̃ʂəukʰə,n̩tɔlɑʐʌʔtiʌʔlæŋiɤtɔtʂʰəŋxʌʔleitiʌʔlæ,noŋtɔsadifɑ̃tɕʰiŋotɔzɑ̃hetɕʰi,ɲilalitɕʰilivətɕĩntʂʰə̃ntɕʰili,lɯãikʰɯtikouaãilaikʰɯsiãlai,niʂɑŋnɑxərtɕʰyuoʂaŋtʂʰəŋlitɕʰy
7,tsainarputsaitʂər,tsainərputsaitsər,tsaiatiɛputsaitsɹ̩tiɛ,tsʰaihelipɨʔtsʰaikoli,tihiabotitsia,tsaivartɕiapəʔtsaitsartɕia,hɐikɔtoumhɐineitou,dzainɒtɔnmaɯdzaikotɔn,tɛnɛtʂaliamɔtɛtʂɻ̩tʂatʂɔ,tsɤlaɔtsəpəʔtsɤtiɔtsə,hoikeiem̩meeie,lɑʔhɑnɑdeipəʔlɑʔhɑkəʔli,tainaniputaitsɤni,tsaineikarputsaitʂeikar,tsaiuorputsaitʂɤr,tsaineitaɲiputsaitsatsa,zɹ̩hauduɔfuzɹ̩kauduɔ,tsænətiəputsætʂɻ̩tiə,tsæuæʐʌʔpʌʔtsætsæʐʌʔ,laʔɛmivəʔlaʔgəʔtaʔ,tsɛlɛtalim̩ioutsɜtʂɻ̩ta,tohɯkobototsiko,tainɑxərputaitɕiexər
8,punamtʂəteitʂəmtʂə,pusɹ̩naiaŋtsɹ̩tsuiautseiaŋtsɹ̩tsu,pusɹ̩aiaŋtsəusɹ̩iaoɕiaŋtsɹ̩iaŋtsəulɛ,pɨʔsɹ̩hɛntsukoiɛukɔŋtsu,m̩sianẽtsositioʔanĩtso,pəʔsɹ̩vaitəʔtsuəʔsɹ̩tsaitəʔtsuəʔ,mhɐikɐmtsouhɐijiukɐmtsoukɛ,puʂɻ̩iaɯnɒiantsəɯʂɻ̩iaɯkoiantsəɯ,nɛmə̃tɕiatɕyxɔmɔtuɨtʂɔiɔtʂɻ̩mə̃tɕiatɕylia,pəʔʂɻ̩laiɑ̃kɔiɔtiiɑ̃kɔ,m̩mekeannetsooieŋioŋŋetso,pəʔzɹ̩zəʔkɑtʰoɸtsoʔiɔkɑtso,pusɹ̩naiaŋpansɹ̩tsɤiaŋpan,puʂɻ̩namɤtsuoteitʂɤmɤtsuo,pusɹ̩uiaŋrtsousɹ̩tʂɻ̩iaŋrtsou,pusɹ̩neimutɕiatsuteitsɹ̩mutɕiatsu,fuzɹ̩henaŋtɕyɔdʑakenaŋtɕyɔ,pufɐ̃nətʂoŋtʂə̃iɔfɐ̃tʂɻ̩tʂoŋtʂə̃,pʌʔsɹ̩uʌʔtixuætsuʌʔiɔtsʌʔtixuætsuʌʔ,vəʔiɔɛnəŋtsuzɹ̩iɔgəʔnəŋkatsu,puʂɻ̩lɛmə̃ntikətsufatʂɻ̩mə̃ntsutʂəli,mmĩhĩhẽtsotioʔtsĩsẽtso,pusɹ̩nɑmətsuosɹ̩tsənmətsuo
9,tʰeituoləyŋputʂaunamtuotʂɻ̩iautʂəmtuotɕioukoulə,tʰaitonoyoŋputaunaməntotsɹ̩iautseməntotɕiəukəuno,tʰaitolaiaoputaoaiaŋtotsɹ̩iaotsɹ̩iaŋtotəukəula,tʰaitosɔŋliɛupɨʔiɛuhetotsɨʔiɛukototsɹ̩tɕʰiukiɛuliɛu,siũtseam̩bianhianĩtse,tʰautɤlieyəŋpəʔlauvəʔlaitɤkuɒ̃tsəʔɕiartɕiəukəulie,tɔtɐktsɐilamsɐikɐmtɔjiukɐmtɔtsɐukɐula,tʰaitotɒiaɯpuniaɯnɒiantotʂɻ̩iaɯkoiantodziəɯiəɯtɒ,tʰɛtuliɔnɛmə̃tuxɔyə̃pv̩uãnatʂɻ̩mə̃ɕixɔtɕiɯkɯliɔ,tʰɤtʊtʂəiŋpəʔtʂuɐʔlaiɑ̃tʊtʂəʔiɔtiiəʔxɔtɕiɯkɯtʂə,tʰiettoem̩sɹ̩antooiantoetsʰiukeuve,tʰəʔkɑtotəɦioŋpəʔdzɑʔkɑsɥtotsəʔɦiɔzəʔkɑtodʑiøkøtə,tʰaituoniauioŋputaunaiaŋtuokuaŋiautsɤmotuotçiəukəuniau,tʰaituoləyŋputʂaunalautuotʂɻ̩iautʂɤɕiɛtɕioukoulə,tʰaituoliɛtsɹ̩iautʂeiitiãrtsoukouliɛ,tʰaituɤliɤiɔpuxɑŋnɤmutuɤtsɹ̩iɔtseiɕiɤtɕiɤukɤuliɤ,tʰɤutɤubafujyɔhenaŋtɤutsɹ̩jyɔnaŋtɤujɤuliɛteiba,tʰætoləpuɕiɔnətotʂɻ̩iɔtʂɻ̩ɕiɛtɕiəukəulə,tʰæteilɑyŋpʌʔtsuʌʔuʌʔɕiɤɕiɤtsʌʔɕiɤɕiɤtɕiəuɕiɑliɑ,tʰəʔduləʔvəʔiɔkaɕydutsəʔiɔgəʔtiʑiɤkɤləʔ,tʰɛtuəlɔỹnpuʂɑ̃lɛmə̃nɕiətsɹ̩tsɻ̩mə̃nɕiətɕioukoulɔ,kʰaʔtsoioumiaŋhiõtsoitsiõtsoitsiulaou,tʰaituoləʐuŋpuliɑunɑmətuotɕiouiɑutsənmətuotɕiouhoulə
10,tʂeikətaneikəɕiautʂeilianeikəxɑutiar,tsekotanakoɕiautseniaŋkonaikoxauitiər,tsɹ̩kotaakoɕiaotsɹ̩liaŋkotaotilakoiaoxaoitɛlɛ,keitsɑʔtʰaihetsɑʔɕiɛukoliɔŋtsɑʔlɑtsɑʔhɑutiɑʔtsɹ̩le,tsitletuahitlesetsitlŋ̩etotsitlekʰaʔho,tsaitavaiɕiautsəʔliakɤnakɤxauɕiar,neikɔtaikɔkɔsɐineilœŋkɔpinkɔhoutinɛ,kotʂɒdainɒtʂɒsiaɯkoniantʂonɒitʂohaɯitiẽ,tʂɻ̩kɔtanɛkɔkatʂɻ̩liɔ̃kɔajkɔxɔɛɕi,tikətalakəɕiɔtiliɑ̃kəxakəxɔxɔtsə,etsakkuotʰaiketsakkuoseelioŋtsaknaŋaitsakkʰohau,tɕiəʔkoʔdonɑkoʔɕiɔkəʔliɑŋkoʔnɑkoʔhɔʔiəʔtiɤ̃əl,tsɤkuotanakuoɕiautsɤniaŋkuonakuoxauitier,tʂeikɤtaneikɤɕiautʂɤliaŋkɤneikɤxautiarnə,tʂɻ̩kɤtaukɤɕiautʂɻ̩liaaikɤxau,tseikɤtaneikɤɕiɔtseiliɑŋkɤnakɤxɔɕiɤr,kikaidɤuhekaisaikiliɛkaiɲaukaihɜlenei,tʂɻ̩kətɐnəkəxiɔtʂɻ̩liɐ̃kənɐkəxɔtiə,tsʌʔxuæteiuʌʔxuæɕiɔtsʌʔliɑŋxuælɑiʌʔxuæxɔɕiɤʐʌʔliʌʔ,gəʔtsaʔduetsaʔɕiauliãtsaʔliɕiãɦaliiɪʔtsãʔhɔiɪʔŋene,tʂɻ̩kətalɛkəkatʂɻ̩liɑ̃kəlakəxɔɕiəʂa,tsikaituahɯkaisoitsinõkaimuẽʔtikaioiiauhonẽ,tseikətɑneikəɕiɑutseiliɑneikəxɑuitiarnə
