sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou
1,iou214-21 i55-51 xuei35,iəu53 xuei31 tsɹ̩53,iəu42 i21 xuei21,iu213 fɨi45 tsɹ̩04,u33-11 tsit44-32 pai53,iəu53 iəʔ2 tsˈɹ̩45,jɐu13 jɐt5 tsˈi33,iəɯ42 dʐən21 tsɹ̩33,iɯ53 j xuɨ24-21 sa53,iɯ24 xue55 tsə,iu44-35 it1 pai31,ʔiø53 ʔiəʔ5 mɔ213-31 tsɹ̩
2,pei214-21 fəŋ55 kən55 tˈai51 iɑŋ1 ai55 nar51 tʂəŋ55 tɕiŋ2 ʂei35 tə3 nəŋ35 nai33 ta51,pe31 foŋ55 kən55 tˈai13 iaŋ31 tsai13 nər55 tsən55 na53 i31 ko13 ni55 pən53 sɹ̩13 ta13,pɛ21 foŋ55 tˈoŋ21 tˈai213 iaŋ21 tsai213 a213 tɛ42 tsen55 la42 ko213 lɛ55 pen42 sɹ̩213 ta213,pɛʔ5 fuŋ42 tˈuŋ24 tɑu04 ɲiʔ5 tˈɛu02 kˈu24 tɛʔ04 he213 li04 tsɑŋ42 lɑ213 ko45 ko04 pɨn213 sɹ̩04 tˈai21,pak32-44 hɔŋ44 kaʔ32-44 tˈai11-53 iɔŋ24 ti33-11 hia44 sio44-33 tsĩ44 kɔŋ53-44 kˈuã11-53 siã53-44 laŋ24 kˈaʔ32-44 u33-11 pun53-44 su33,pei53 fəŋ11 xuɤ11 iɒ̃11 pˈɤ11 tsai45 var53 tɕia11 tsəŋ11 suei11 təʔ pəŋ53 sɹ̩45 ta45,pɐk5 fuŋ55 tˈuŋ21 jɐt2 tˈɐu21-35 hɐi35 tou22 au33 pin55 kɔ33 kɛ33 pun35 si22 tai22,pæ24 ɸən33 tɒ24 tˈai55 ian12 tʂən55 haɯ42 dzai21 tsən33 nɒ42 ko55 ti33 pən42 sɹ̩21 dai21,pɨ44 fə̃44 tɛ213 ʐɛ44-21 tˈɯ24-21 ɛ24-53 lia tɛ213 j44-21 tʂˈv̩53 ɛ tsə̃44 tɕə̃44 tɕiɔ̃53 fɨ24-21 tsɹ̩44-53 pə̃53 sɹ̩ ta213,pɐʔ5 fəŋ21 kən21 ʐəʔ5 tˈɯ tsɤ53 la53 ɔ tsə tsən21-24 lən53 xa24 kə pən24 sɹ̩ ta53,pet1 fuŋ44-35 tˈuŋ11 ŋit1 tˈeu11 hoi44-35 ke53-55 ie au53 man53-55 ŋin11 ke53 pun31 sɹ̩53 kuo53-55 tˈai53,poʔ5 foŋ33-31 tɑʔ5 tˈɤ445 ɦiɑŋ213-31 lɑʔ2 hɑ33 tsen33 tsen33 əl213-33
3,tʂəŋ55 lai35 tʂəŋ55 tɕˈy51 tɕiou51 ʂɻ̩1 fən55 pu2 tʂˈu55 kə2 kɑu55 ti55 lai2,tsən55 ko13 nai31 tsən55 ko13 tɕˈie13 tɕiəuqe sɹ̩13 fən55 pu31 tsˈu31 kau55 ŋai53,tsen55 lai21 tsen55 tɕˈɛ213 təu213 sɹ̩213 fen55 pu21 tsˈu21 kao55 ti55 tsˈaŋ21 tuan42 lai21,tsɑŋ42 lai45 tsɑŋ42 tɕˈie213 tɕˈiu21 sɹ̩21 fɨn42 pɨʔ02 tsˈɨʔ5 ɕy42 iɑŋ45 lai04,tsĩ44-33 lai24-11 tsĩ44-33 kˈi11 ia33-11 tsĩ44-33 bo24-33 tsit44-32 le24-11 su44-33 iã24,tsəŋ11 lai11 tsəŋ11 tɕˈy45 tɕiəu45 sɹ̩53 fəŋ11 pəʔ2 tsˈuəʔ2 kɤ kau11 ti11 lai11,au33 lɐi21 au33 høy33 tsɐu22 hɐi22 fɐn35 m21 tsˈøt5 kou55 tɐi55,tsən33 nai12 tsən33 tɕˈie55 dziəɯ21 ʂɻ̩21 ɸən33 pu24 tsˈin33 kaɯ33 ti33,tɕə̃44 lɛ24 tɕə̃44 tɕˈj213 tɕiɯ213 sɹ̩213 fə̃44 pv̩ tʂˈv̩44 kɔ44 tsɹ̩44 lɛ,tsən21 lɤ55 tsən21-24 tsˈɥ53 tɕiɯ53 ʂɻ̩53 pəʔ5 fən21 kɔ21-24 tsɹ̩21,au53-55 loi11 au53-55 hi53 mo11 mak1 ke53 kiat1 kuo31,pi53 nɑ53 koʔ5 tiəʔ pen53 zɹ̩13-31do13
4,tʂei51 xyər214 lai35 lə3 kə2 tsou214 taur51 tə1,i31 xər55 nu13 saŋ13 nai31 no53 i31 ko13 kan53 nu13 ni55,tsen213 tsai213 tsɹ̩55 ko213 sɹ̩21 xəu55 lu213 saŋ213 lai21 la42 ko213 tsəu42 lu213 lɛ55,ko213 tsˈɔŋ04 tsuŋ04 lai45 liɛu04 iʔ5 ko45 kuo45 lu21 ko02,tsit44-32 le24-33 si24-11 tsun33 lɔ33-11 pĩ44-33 a53 u33-11 tsit44-32 le24-11 laŋ24 kiã24-11 kue11-53 lai24,tsai53 sɹ̩11 xəu45 ləu45 sɒ̃53 lai11 lau11 kɤ tsəu45 ləu45 təʔ,nei55 tsɐn22 si21-35 tˈiu21 lou22 lɐi21 tsɔ35 kɔ33 haŋ21 lou22 kɛ33 jɐn21,ko24 ʂɻ̩12 ʂɻ̩55 nəɯ21 ʂɔn21 nai12 tɒ42 tʂɒ24 tsəɯ42 nəɯ21 ti33 in12,tʂɻ̩213-21 kɔ213 sɹ̩24-21 xɯ24-53 lv̩213-21ʂɔ̃213-53 lɛ24-21 liɔ53 j44-21 kɔ213 tsɯ53 lv̩213-21 tsɹ̩53,ti53 kə ʂɻ̩55 xɯ53 lɤ55 tʂə iəʔ kə tsɯ24 lu53 tiəʔ,koŋ44-35 hau31 ke53-55 sɹ̩11 heu53-55 loi11 it1 tsak1 kuo53-55 lu53-55 ke53-55 ŋin11,kəʔ5 koʔ5 zɹ̩213-21 kuɑŋ33 lu13 kɔ33 dei ʔiø53 koʔ5 zen213 tsei53 ku445-31 lɤ213-21 tə
5,tˈa55 ʂən55 ʂɑŋ2 tʂˈuan55 lə2 tɕiar51 xou51 ta51 i55,tˈa55 sən55 saŋ13 tsˈuan55 tau53 i31 tɕian13 xəu13 ta13 i55,la55 sen55 saŋ213 tsˈuan55 tɕˈi42 tɕian213 xəu213 ta213 i55,tɕie213 sɨn42 sɔŋ02 tsˈɵn42 tau02 tɕˈiɛn21 hɛu21 tˈai21 i42,i44-33 sin44-33 kˈu44 tsˈiŋ33-11 tioʔ44-32 tsit44-32 liã53-44 kau33-11 tua33-11 i44,tˈa11 səŋ11 sɒ̃45 tsˈuæ̃11 lau53 tɕie45 xəu45 ta45 tsˈɒ̃53,kˈøy13 tsœk3 tsy22 kin22 hɐu13 tai22 lɐu55,tˈɒ33 ʂən33 ʂɔn21 tɕˈyẽ33 tɒ42 i24 dʑiẽ21 ɦəɯ21 i33 ɸu24,tɕia24 ʂə̃44 ʂɔ̃ tʂˈuã44 liɔ j44-21 tɕiã213 xɯ213 ta213-21 j44-53,tˈa21-24 ʂən21 ʂɑ̃ tʂˈʊ̃21-24 tɕiɪ̃21 xɯ53 ta53 tʂˈɑ̃24,ki11 sən44-35 hoŋ53-55 tsok1 e it1 kˈian53 pˈun44-35 mien11 au31,tˈɑ33 sen33 kɔ33 dei tsˈɥõ33 tə ʔieʔ5 dʑiɤ̃13 ɦei13 tˈɑ33 ʔi33
6,tam55 lia214 tɕiou51 ʂuo55 xɑu214 lə4,tˈa55 mən31-55 niaŋ53 ko13 ɕian55 tɕiaŋ53 xau53 no53,la55 men55 liaŋ42 ko213 təu213 so21 xao42,tɕie213 mɨn04 liɔŋ213 ko04 tɕˈiu21 ɲi21 tsɑŋ45 liɛu04,in44-33 lŋ33-11 e24 tioʔ44-32 kɔŋ53-44 ho53,tˈa11 məʔ lia53 tɕiəu45 suaʔ2 xau53 lie11,kˈøy13 tei22 lœŋ13 kɔ33 tsɐu22 kɔŋ35 tiŋ22 tsɔ35,tˈɒ33 in12 i24 tɕˈi42 dziəɯ21 kɔn42 haɯ42 tɒ42,tɕia24-21 mə̃ lia tɕiɯ213 fɔ44-21 xɔ53 liɔ,tˈa21 mən tɕiɯ53 tɕiɑ̃24 xɔ24 tʂə,ki11 lioŋ31 ke53-55 ŋin11 tsˈiu53-55 koŋ31 hau31 ve,poʔ5 foŋ33-31 tɑʔ5 tˈɤ445 ɦiɑŋ213-31 dʑiø13 sɥəʔ5 hɔ53 tə
7,ʂei35 nəŋ35 ɕian55 tɕiɑu51 tʂei51 kə1 tsou214 tɑur51 tə1 pai214 tˈa55 tə2 xou51 ta51 i55 tˈuo55 ɕia2 lai1, kˈan13 na53 ko13 nən31 kəu13 ɕian55 tɕiau13 tse13 ko13 kan53 nu13 ni55 tˈo31 ɕia13 tˈa55 ni55 xəu13 ta13 i55,la42 ko213 ɕiaŋ55 tɕiao213 tsɹ̩55 ko213 tsəu42 lu213 lɛ55 tˈo21 ɕia213 la55 lɛ55 xəu213 ta213 i55 lai21,uɑ21 ko02 lɑ213 ko04 iɛu45 sɹ̩21 ɕiɛn42 u213 tɛʔ04 ko213 tsɑʔ5 kuo45 lu21 ko02 tˈɵʔ5 pɨʔ02 tɕie213 ko04 tˈai21 i42 tɕˈie02,kˈuã11-53 siã53-44 laŋ24 siŋ44-33 u33-11 huat32-44 to33-11 kio11-53 hit32-44 le24-11 laŋ24 tˈŋ11-53 kˈi11-53 i44-33 e24-11 tua33-11 i44,suei11 nəŋ11 ɕie11 tɕiau45 vai53 tsəu53 ləu45 təʔ tˈuaʔ2 xa45 lai53 tˈa11 təʔ xəu45 ta45 tsˈɒ̃53,pin55 kɔ33 nɐŋ21 kɐu33 sɐi35 tɐk5 nei55 kɔ33 haŋ21 lou21 kɛ33 jɐn21 tsˈøy21 tɐi55 kˈøy13 kin22 hau13 tai22 lɐu55,nɒ42 ko55 nən12 siẽ33 tɕuaɯ55 ko24 tʂɒ24 tsəɯ42 nəɯ21 ti33 in12 tˈo24 kɒ55 tˈɒ33 ti33 ɦəɯ21 i33 ɸu24,fɨ24 nə̃24 ɕiã44 tɕiɔ213 tʂɻ̩213-21 kɔ213 tsɯ53 lv̩ tsɹ̩44-53 pa213 xɯ213 ta213-21 j44-53 tˈu44 ɔ̃ xa213 lɛ,xa24 kə lən55 tɕiɔ53 ti53 kə tsɯ24 lu53 tiəʔ tˈuɐʔ5 tiɔ53 xɯ53 ta53 tʂˈɑ̃24,man53-55 ŋin11 he53-55 nen11 keu53 sien44-35 ham53-55 ke53-55 tsak1 kuo53-55 lu53-55 ke53-55 ŋin11 tˈot1 ha44-35 ki11 sən44-35 hoŋ53-55 ke53-55 pˈun44-35 mien11 au31,nɑ53 koʔ5 nen213-21 tɕiɔ445 tɕiəʔ5 koʔ5 tsei53 lu13 kəʔ5 lɔ53 kuõ33-31 pəʔ5 ɦei13 dɑ13 ʔi33 tˈoʔ5 loʔ2-5 lɤ
8,tɕiou51 suan51 ʂei35 tə3 nəŋ35 nai3 ta51,tɕiəu13 suan13 na53 ko13 ni55 pən53 sɹ̩13 ta13,tɕiu213 suan213 la42 ko213 lɛ55 pen42 sɹ̩213 ta213,tɕˈiu21 sɵn45 tɕie213 ko04 pɨn213 sɹ̩04 tˈai21,tioʔ44-32 sŋ̩11-53 kɔŋ53-44 siã53-44 laŋ24 pun53-44 su33-11 tua33,tɕiəu45 suæ̃45 suei11 təʔ pəŋ11 sɹ̩45 ta45,tsɐu22 syn33 pin55 kɔ33 kɛ33 pun35 si22 tai22,dziəɯ21 sɔn55 nɒ42 ko55 ti33 pən42 sɹ̩21 dai21,tɕiɯ213 suã213 fɨ24-21 tsɹ̩44-53 pə̃53 sɹ̩ ta213,tɕiɯ53 sʊ̃53 xa24 kə tiəʔ pən24 sɹ̩ ta53,tsˈiu53-55 son53-55 man53-55 ŋin11 kuo53 iu44-35 pun31 sɹ̩53,dʑiø13 sɥõ445-53 nɑ53 koʔ5 ti pen53 zɹ̩13-31 do13
9,pei214-21 fəŋ55 tɕiou51 i55-35 kə3 tɕiər51 tə1 kua55 lə2 tɕˈi214-21 lai4,pe31 foŋ55 tɕiəu13 tsan53 tɕin13 ni55 tsˈuei55 tɕˈi53 nai31,pɛ21 foŋ55 təu213 tsan42 tɕin213 tsan42 tɕin213 lɛ55 tsˈuei55 tɕˈi42 lai21,pɛʔ5 fuŋ42 tɕˈiu21 tsan213 tɕin45 tsˈui42,pak32-44 hɔŋ44 tioʔ44-32 pˈaʔ32-44 piã11 tsˈe44 kˈi11 lai24,pei53 fəŋ11 tɕiəu45 sɹ̩53 tɕiəŋr45 təʔ kuaʔ2 kˈai11 lie11,pɐk5 fuŋ55 tsɐu22 tsˈøt5 lik2 kɐm35 kwat3 hei35 sœŋ35 lɐi21 lak3,pæ24 ɸən33 niəɯ12 ʂɻ̩21 tsan42 tɕin55 ɸɒ24 tɕˈi42 ɸən33 nai12,pɨ44 fə̃44 tɕiɯ213 xu44 ʂɔ̃ lɔ53 miə̃213 tʂu tʂˈuɨ44 tˈu liɔ,pɐʔ5 fəŋ21 tɕiɯ53 tʂˈuəʔ5 tɕin53 tʂˈue21 tɕiɑ̃ tsˈɹ̩24 lɤ,pet1 fuŋ44-35 tsˈiu53 tsˈin53-55 kuat1 hi31 loi11,poʔ5 foŋ33-31 dʑiø13 ɦioŋ13 dʑin13 kuɑʔ5 tɕˈi53 lɤ213-31
10,pu35 kuo51 pei214-21 fəŋ55 yɛ51 ʂɻ̩1 kua55 tə2 li51 xai1,ɕiau53 te31 pu31 tˈa55 tsˈuei55 te31 ye31 ɕyoŋ55,tan213 pu21 ko213 sɹ̩213 la55 tsˈuei55 tɛ21 iɛ21 ɕioŋ55,lɑ213-24 ɕiɛu213 tɛʔ04 tɕie213 yɵʔ5 sɹ̩21 ŋɑ213 miɑŋ21 li02 tsˈui42,m̩33-11 ko44 i44-33 lu53-44 tsˈe44,pəʔ2 kuɤ45 tˈa11 kuaʔ2 tiəʔ yəʔ2 li45 xai53,pɐt5 kwɔ33 kˈøy13 jyt2 hɐi22 kwat3 tɐk5 sɐi35 lei22,tʂɻ̩24 ʂɻ̩21 tˈɒ33 yæ24 tsan42 tɕin55 tɕˈyei,fɨ24-21 tʂɻ̩44 tɔ tɕia24 yu44-21 tʂˈuɨ44 tʂu l̩213-21 xɛ213-53,xa24 ɕiɔ24 tən tˈa21-24 tʂˈue21 tiəʔ yɐʔ5 ɕiŋ21,put1 kuo53-55 ki11 iat5 kuat1,nɑ53 ɕiɔ53 təʔ5 tˈɑ33 ɦyəʔ2 zɹ̩13 kuɑʔ5 təʔ5 ɲi13 ɦɤ13-53
