sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Kunming,Shanghai,Pingyao,Shantou,Tianjin,Lanzhou
1,iouixuei,iəuxueitsɹ̩,iəuixuei,iufɨitsɹ̩,utsitpai,iəuiəʔtsʰɹ̩,jɐujɐttsʰi,iəɯdʐəntsɹ̩,iɯjxuɨsa,iɯxuetsə,iuitpai,ʔiøʔiəʔmɔtsɹ̩,iəuixui,iouixuei,iouixuei,iɤuixuei,jaujitsʰɹ̩,iəuixuei,ɦiɤtʰɑ̃tsɹ̩,iəuiʌʔmʌʔ,utsektsua,iouixuei,iouixuei
2,peifəŋkəntʰaiiɑŋainartʂəŋtɕiŋʂeitənəŋnaita,pefoŋkəntʰaiiaŋtsainərtsənnaikonipənsɹ̩ta,pɛfoŋtʰoŋtʰaiiaŋtsaiatɛtsenlakolɛpensɹ̩ta,pɛʔfuŋtʰuŋtɑuɲiʔtʰɛukʰutɛʔhelitsɑŋlɑkokopɨnsɹ̩tʰai,pakhɔŋkaʔtʰaiiɔŋtihiasiotsĩkɔŋkʰuãsiãlaŋkʰaʔupunsu,peifəŋxuɤiɒ̃pʰɤtsaivartɕiatsəŋsueitəʔpəŋsɹ̩ta,pɐkfuŋtʰuŋjɐttʰɐuhɐitouaupinkɔkɛpunsitai,pæɸəntɒtʰaiiantʂənhaɯdzaitsənnɒkotipənsɹ̩dai,pɨfə̃tɛʐɛtʰɯɛliatɛjtʂʰv̩ɛtsə̃tɕə̃tɕiɔ̃fɨtsɹ̩pə̃sɹ̩ta,pɐʔfəŋkənʐəʔtʰɯtsɤlaɔtsətsənlənxakəpənsɹ̩ta,petfuŋtʰuŋŋittʰeuhoikeieaumanŋinkepunsɹ̩kuotʰai,poʔfoŋtɑʔtʰɤɦiɑŋlɑʔhɑtsentsenəl,pɤfoŋkəntʰaiiaŋtsainanitsənsakuotipənsɹ̩ta,peifəŋkəntʰaiiaŋtsaineikarpaitʂʰɤʂeititʂaŋtʂʰəŋta,peifəŋkẽərtʰoutsaiuortsəŋseitipẽsɹ̩ta,peifɤŋkɤŋtʰaiiaŋtsaineitatsɤŋseitipɤŋsɹ̩ta,paihoŋkʰuɔtʰajizɹ̩tadziɛɲinaŋkepaŋzɹ̩dɤule,pəfoŋætʰæiɐ̃tsænətiətsə̃luə̃nɐkənəpə̃sɹ̩tɐ,poʔfoŋtəʔtʰaɦiãtsəŋhɔləʔleʔtsãsaɲiŋɦəʔpəŋzɹ̩du,pʌʔxuŋxuʐʌʔtəuiɤtsæuæʐʌʔtsəŋluŋsueiməŋtiʌʔpəŋsɹ̩tei,pakhuaŋkaʔaziktʰautohɯkoloatãtitiaŋkaikʰaŋkʰueŋẽ,peifəŋkəntʰaiiɑŋtsainɑxərtsəŋtɕiŋseitipənsɹ̩tɑ,pəfə̃nliɛ̃nʐɻ̩tʰoutsɛlɛtʰatʂʰɔtʂəfəfeitipə̃nʂɻ̩ta
3,tʂəŋlaitʂəŋtɕʰytɕiouʂɻ̩fənputʂʰukəkɑutilai,tsənkonaitsənkotɕʰietɕiəuqesɹ̩fənputsʰukauŋai,tsenlaitsentɕʰɛtəusɹ̩fenputsʰukaotitsʰaŋtuanlai,tsɑŋlaitsɑŋtɕʰietɕʰiusɹ̩fɨnpɨʔtsʰɨʔɕyiɑŋlai,tsĩlaitsĩkʰiiatsĩbotsitlesuiã,tsəŋlaitsəŋtɕʰytɕiəusɹ̩fəŋpəʔtsʰuəʔkɤkautilai,aulɐiauhøytsɐuhɐifɐnmtsʰøtkoutɐi,tsənnaitsəntɕʰiedziəɯʂɻ̩ɸənputsʰinkaɯti,tɕə̃lɛtɕə̃tɕʰjtɕiɯsɹ̩fə̃pv̩tʂʰv̩kɔtsɹ̩lɛ,tsənlɤtsəntsʰɥtɕiɯʂɻ̩pəʔfənkɔtsɹ̩,auloiauhimomakkekiatkuo,pinɑkoʔtiəʔpenzɹ̩do,tsənnaitsənkʰɯxaisɹ̩fənputɕʰykuokautinai,paitʂʰɤlaipaitʂʰɤtɕʰytɕiousɻ̩paitʂʰɤputʂʰukɤkautilai,tsəŋkuolaitsəŋkuotɕʰitsousɹ̩fẽpupfʰukɤkauti,tsɤŋkuɤlaitsɤŋkuɤtɕʰitiɲiŋsɹ̩fɤŋputʂʰukɤkɔtiʂɑŋɕia,dziɛledziɛkʰeiakuɔfutɕʰydɤusailei,tsə̃lætsə̃kʰətɕiəuʂɻ̩fə̃putʂʰukəkɔtilæ,tsãletsãtɕʰiitsãvəʔtɕʰiŋsɑ̃ɦəʔzəŋkuɑ̃,tsəŋlætsəŋtɕʰytɕiəusɹ̩xuŋpʌʔtsʰuʌʔxuækɔtilæ,alaiakʰɯtsiusisiamtsʰuksuiã,tʂəŋlaitsəŋtɕʰyxaisɹ̩fənputsʰukɑutilai,tʂə̃nlɛtʂə̃ntɕitɕiouʂɻ̩fə̃npupfʰukəkɔtilɛ
4,tʂeixyərlailəkətsoutaurtə,ixərnusaŋnainoikokannuni,tsentsaitsɹ̩kosɹ̩xəulusaŋlailakotsəululɛ,kotsʰɔŋtsuŋlailiɛuiʔkokuoluko,tsitlesitsunlɔpĩautsitlelaŋkiãkuelai,tsaisɹ̩xəuləusɒ̃lailaukɤtsəuləutəʔ,neitsɐnsitʰiuloulɐitsɔkɔhaŋloukɛjɐn,koʂɻ̩ʂɻ̩nəɯʂɔnnaitɒtʂɒtsəɯnəɯtiin,tʂɻ̩kɔsɹ̩xɯlv̩ʂɔ̃lɛliɔjkɔtsɯlv̩tsɹ̩,tikəʂɻ̩xɯlɤtʂəiəʔkətsɯlutiəʔ,koŋhaukesɹ̩heuloiittsakkuolukeŋin,kəʔkoʔzɹ̩kuɑŋlukɔdeiʔiøkoʔzentseikulɤtə,tsɤsɹ̩xəunəusaŋnainiaukuotsəunəuti,tʂɤʂɻ̩xourtaurʂaŋlailəkɤtsoutaurti,tʂɤkɤsɹ̩xouluxakuolailiɛikɤʐẽ,tseikɤsɹ̩tɕiɤkɤlusɑŋkuɤlailiɤkɤkanluti,kaizɹ̩tɕiløyjijaukaiɦɛløykunaŋ,tʂɻ̩xɐtsɹ̩luʂɐ̃læləkəkolunə,lulɑ̃ɕiãtsɤkuleiɪʔɦəʔɲiŋ,tsʌʔtʂəŋləuləuxɔlælɔxuætsəutɔtɔtiʌʔ,tsiemuẽʔloukolailiaukaikuelounaŋ,tseikuŋfurluʂɑŋlailəkətsoutɑurti,tʂɻ̩ʂɻ̩tɕiəluʂɑ̃lɛlɔikətsouluti
5,tʰaʂənʂɑŋtʂʰuanlətɕiarxoutai,tʰasənsaŋtsʰuantauitɕianxəutai,lasensaŋtsʰuantɕʰitɕianxəutai,tɕiesɨnsɔŋtsʰɵntautɕʰiɛnhɛutʰaii,isinkʰutsʰiŋtioʔtsitliãkautuai,tʰasəŋsɒ̃tsʰuæ̃lautɕiexəutatsʰɒ̃,kʰøytsœktsykinhɐutailɐu,tʰɒʂənʂɔntɕʰyẽtɒidʑiẽɦəɯiɸu,tɕiaʂə̃ʂɔ̃tʂʰuãliɔjtɕiãxɯtaj,tʰaʂənʂɑ̃tʂʰʊ̃tɕiɪ̃xɯtatʂʰɑ̃,kisənhoŋtsokeitkʰianpʰunmienau,tʰɑsenkɔdeitsʰɥõtəʔieʔdʑiɤ̃ɦeitʰɑʔi,tʰasənsaŋtsʰuantautɕiɛnxəutai,tʰaʂənʂaŋtʂʰuantʂətɕianxoutai,ʂẽxapfʰãliɛtɕiarxoutatʂʰaŋ,ʂɤŋxɑŋtʂʰuantiitɕiantsɹ̩xɤutai,saŋjitɕadʑigaukedaji,tʰəʂə̃ʂɐ̃tʂʰuɐ̃tətɕiɛxəuxəunətɐi,səŋlɑ̃tsaʔləʔiɪʔdʑiɦɤdai,uʌʔtɕiɑʂəŋxɔtsʰuətiʌʔtɕiɤɕyŋɔʐʌʔ,isiŋteŋtsʰeŋkaikaukaukaitualau,tʰɑsənsɑŋtsʰuantʂətɕiarxoutɑi,laʂə̃nʂɑ̃pfʰɛ̃nlɔtɕiɛ̃nxoutai
6,tamliatɕiouʂuoxɑulə,tʰamənniaŋkoɕiantɕiaŋxauno,lamenliaŋkotəusoxao,tɕiemɨnliɔŋkotɕʰiuɲitsɑŋliɛu,inlŋetioʔkɔŋho,tʰaməʔliatɕiəusuaʔxaulie,kʰøyteilœŋkɔtsɐukɔŋtiŋtsɔ,tʰɒinitɕʰidziəɯkɔnhaɯtɒ,tɕiamə̃liatɕiɯfɔxɔliɔ,tʰaməntɕiɯtɕiɑ̃xɔtʂə,kilioŋkeŋintsʰiukoŋhauve,poʔfoŋtɑʔtʰɤɦiɑŋdʑiøsɥəʔhɔtə,tʰamənniaŋkuotsəusuoxauniau,tʰamənliatɕiouʂuoxaulə,,ɲiamɤŋliɑŋkɤfɤtʰuɤliɤ,giliɛkainɐjɤukuɔ,tʰəmə̃liɐ̃kətɕʰiɛ̃tɕiəupɐ̃xɔtə,ɦilaliãkadɤʑiɤɦuãtoŋdɔkɑ̃hɔ,uʌʔtɕiɑliɑŋxuæsuʌʔxɔlɑ,inaŋnõnaŋtsiutsʰotsʰiaŋhotã,tʰɑmənliɑtɕiousuoxɑulə,tʰamə̃nliɑ̃kətɕioufətĩnlɔ
7,ʂeinəŋɕiantɕiɑutʂeikətsoutɑurtəpaitʰatəxoutaitʰuoɕialai,kʰannakonənkəuɕiantɕiautsekokannunitʰoɕiatʰanixəutai,lakoɕiaŋtɕiaotsɹ̩kotsəululɛtʰoɕialalɛxəutailai,uɑkolɑkoiɛusɹ̩ɕiɛnutɛʔkotsɑʔkuolukotʰɵʔpɨʔtɕiekotʰaiitɕʰie,kʰuãsiãlaŋsiŋuhuattokiohitlelaŋtʰŋkʰiietuai,sueinəŋɕietɕiauvaitsəuləutəʔtʰuaʔxalaitʰatəʔxəutatsʰɒ̃,pinkɔnɐŋkɐusɐitɐkneikɔhaŋloukɛjɐntsʰøytɐikʰøykinhautailɐu,nɒkonənsiẽtɕuaɯkotʂɒtsəɯnəɯtiintʰokɒtʰɒtiɦəɯiɸu,fɨnə̃ɕiãtɕiɔtʂɻ̩kɔtsɯlv̩tsɹ̩paxɯtajtʰuɔ̃xalɛ,xakələntɕiɔtikətsɯlutiəʔtʰuɐʔtiɔxɯtatʂʰɑ̃,manŋinhenenkeusienhamketsakkuolukeŋintʰothakisənhoŋkepʰunmienau,nɑkoʔnentɕiɔtɕiəʔkoʔtseilukəʔlɔkuõpəʔɦeidɑʔitʰoʔloʔlɤ,nakuonənɕiɛntɕiautsɤkuotsəunəutitʰipɕiatʰatixəutai,ʂeinəŋɕiantɕiautʂeikɤtsoutaurtitʰuoɕiatʰatixoutai,,nakɤʐɤŋtanɕiantɕiɔtseikɤkanlutitʰuɤtiɔtʰatixɤutai,tsʰɹ̩aɲinaŋnaŋdeɦɛløykunaŋkegaudajitʰaiɦuɔɕi,nɐkətɕʰiɛ̃xɐ̃tʂɻ̩kəkolunətʰoɕiɐtʰənəxəutɐi,tɕʰiasɹ̩saɲiŋnəŋkɤɕitɕiɔdiɪʔɦəʔtsɤluɦəʔɲiŋtʰəʔtʰəʔɦiɦəʔɦɤdai,sueinəŋɕiɤtɕiɔuʌʔxuætsəutɔtɔtiʌʔɕyŋɔʐʌʔlæ,titiaŋupiaŋsõikiotsikaikuelounaŋtʰɯŋtiauhɯkaitualau,seinəŋtɕʰiantɕiɑutseikətsoutɑurtilieçiɑtʰɑtəxoutɑi,kʰɛ̃nfeilə̃nɕiɛ̃ntɕiɔtʂɻ̩kətsoulutipatʰatixoutaitʰuətɔ
8,tɕiousuanʂeitənəŋnaita,tɕiəusuannakonipənsɹ̩ta,tɕiusuanlakolɛpensɹ̩ta,tɕʰiusɵntɕiekopɨnsɹ̩tʰai,tioʔsŋ̩kɔŋsiãlaŋpunsutua,tɕiəusuæ̃sueitəʔpəŋsɹ̩ta,tsɐusynpinkɔkɛpunsitai,dziəɯsɔnnɒkotipənsɹ̩dai,tɕiɯsuãfɨtsɹ̩pə̃sɹ̩ta,tɕiɯsʊ̃xakətiəʔpənsɹ̩ta,tsʰiusonmanŋinkuoiupunsɹ̩,dʑiøsɥõnɑkoʔtipenzɹ̩do,tsəusannakuotipənsɹ̩ta,tɕiousuanʂeititʂaŋtʂʰəŋta,tsousuãseitipẽsɹ̩ta,tɕiɤusuannakɤʐɤŋtitʂɑŋtʂʰɤŋta,jɤusøaɲinaŋpaŋzɹ̩dɤu,tɕiəusuɐ̃nɐkənəpə̃sɹ̩tɐ,ʑiɤsøsaɲiŋɦəʔpəŋzɹ̩du,tɕiəusuɑŋsueitiʌʔpəŋsɹ̩tei,tsiusɯŋtsotitiaŋkaikʰaŋkʰueŋẽ,tsousuanseitipənsɹ̩tɑ,tɕiousuɛ̃nfeitipə̃nʂɻ̩ta
9,peifəŋtɕiouikətɕiərtəkualətɕʰilai,pefoŋtɕiəutsantɕinnitsʰueitɕʰinai,pɛfoŋtəutsantɕintsantɕinlɛtsʰueitɕʰilai,pɛʔfuŋtɕʰiutsantɕintsʰui,pakhɔŋtioʔpʰaʔpiãtsʰekʰilai,peifəŋtɕiəusɹ̩tɕiəŋrtəʔkuaʔkʰailie,pɐkfuŋtsɐutsʰøtlikkɐmkwatheisœŋlɐilak,pæɸənniəɯʂɻ̩tsantɕinɸɒtɕʰiɸənnai,pɨfə̃tɕiɯxuʂɔ̃lɔmiə̃tʂutʂʰuɨtʰuliɔ,pɐʔfəŋtɕiɯtʂʰuəʔtɕintʂʰuetɕiɑ̃tsʰɹ̩lɤ,petfuŋtsʰiutsʰinkuathiloi,poʔfoŋdʑiøɦioŋdʑinkuɑʔtɕʰilɤ,ysɹ̩pɤfoŋtsəuŋuosɹ̩tikuatɕʰinainiau,peifəŋtɕiouʂɻ̩tɕiərtikuatɕʰilailə,peifəŋtsoukutɕiərtikuakʰailiɛ,peifɤŋtɕiɤufɑŋtʂanliɤsɹ̩tɕiŋkuatʰuɤliɤ,paihoŋpʰeŋmeŋtsʰɹ̩,pəfoŋtɕiəuʂɻ̩linəkuɐtɕʰilæ,poʔfoŋdʑiɤɦioŋtsoʔtsɹ̩liɪʔtɕʰidʑioŋtsʰɹ̩paʔtsʰɹ̩ləʔ,pʌʔxuŋtɕiəusɹ̩tɕiŋtɕiŋtikuʌʔ,tãtikpakhuaŋtsiutsʰuklaktsʰẽtʰau,peifəŋtɕiousɹ̩tɕiərtikuɑtɕʰilailə,pəfə̃ntɕiouɕiatʂʰatikuakʰɛlɔ
10,pukuopeifəŋyɛʂɻ̩kuatəlixai,ɕiauteputʰatsʰueiteyeɕyoŋ,tanpukosɹ̩latsʰueitɛiɛɕioŋ,lɑɕiɛutɛʔtɕieyɵʔsɹ̩ŋɑmiɑŋlitsʰui,m̩koilutsʰe,pəʔkuɤtʰakuaʔtiəʔyəʔlixai,pɐtkwɔkʰøyjythɐikwattɐksɐilei,tʂɻ̩ʂɻ̩tʰɒyætsantɕintɕʰyei,fɨtʂɻ̩tɔtɕiayutʂʰuɨtʂul̩xɛ,xaɕiɔtəntʰatʂʰuetiəʔyɐʔɕiŋ,putkuokiiatkuat,nɑɕiɔtəʔtʰɑɦyəʔzɹ̩kuɑʔtəʔɲiɦɤ,kʰuosɹ̩tʰayesɹ̩kuatɤɕioŋ,pukuotʰayɛʂɻ̩kuatilixai,tʰayɛkuayɛta,tantʰakuatiyɤsɹ̩tɕiŋta,ɲauɕateipaihoŋjyzɹ̩tsʰɹ̩tɕaiɕyɔ,pukotʰəiɛfɐkuɐnəlixæ,poʔkutɕiɔsaɦiɦyɪʔtsʰɹ̩təʔtɕiɪʔkuənməʔ,uʌʔtɕiɑyʌʔsɹ̩kuʌʔtiʌʔlixæ,tsotsaiitʰauzutualak,pukuotʰɑyekuɑtiliexai,kʰəʂɻ̩tʰakuatiyəɕỹn
