sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou
1,tˈai51 iɑŋ1,t‘ai13 iaŋ31,tˈai213 iaŋ21,tˈai213 iɔŋ04,tˈai11-53 iɔŋ24,tai45 iɒ̃11-53,jɐt2 tˈɐu21-35,tˈai55 ian12,ʐɛ44-21 tˈɯ24-21 ɛ24-53,tˈɤ53 iɑ̃,ŋit1 tˈeu11,tˈɤ445 ɦiɑŋ213-31
2,yɛ51 liɑŋ1,ye31 niaŋ13,iɛ21 liaŋ213,ɲyɵʔ2 kuɔŋ42,geʔ44-32 liũ24,yəʔ2 liɒ̃45,jyt2 lœŋ22,yæ24 nian55,yu44 liɔ̃53,yɐʔ5 liɑ̃53,ŋiat5 kuoŋ44,ɦyəʔ2 liɑŋ13
3,ɕiŋ55 ɕiŋ2,ɕin55 ɕiər55,ɕin55 ɕiəu213,siɑŋ42 tsɹ̩02,tˈĩ44-33 tsˈĩ44,ɕi11 ɕiəu45,siŋ55,sian33 tsɹ̩33,ɕiə̃44 ɕiə̃44,ɕin21,sen44-35 ne,ɕin33
4,ta214-21 lei35,ta53 nuei31,ta42 luei21,tɑ213 lui45,tan24-11 lui24,xiɒ̃53 xuəʔ2-54 luei11,haŋ21 løy21,tɒ42 nəi12,luɨ24-21 ɕiɔ̃53 tʂɛ,ta24 le55,hioŋ31 lui11 kuŋ44,tɑ53 lei213
5,ʂan214-21 tian51,xo53 san53 ,xo42 san42,tɑ213 fɔʔ5 sɛn02,siam53-55 tian33,ta53-11 sæ̃53,sim35 tin22,tʂˈɒ42 ɸɒ24 ɕyẽ42,ʂã53 tiã213-21 tʂɛ53,ta24 ʂən24,ŋiap1 fo31 sa11,huoʔ5 sɥõ53
6,ɕia51 y214,no31 y53,ɕia213 i42,lɔʔ2 y213,lɔʔ44-32 hɔ33,xa45 y53,lɔk2 jy13,no24 y42,ɕia213 y53,ɕia53 zɥ24,lok5 i31,loʔ2 ʔɥ53
7,ɕia51 ɕyɛ214,no31 ɕye31,ɕia213 ɕiɛ21,lɔʔ2 ɕyɵʔ5,lɔʔ44-32 seʔ32,xa45 ɕyəʔ2,lɔk2 syt3,no24 sie24,ɕia213 ɕyu44,ɕia53 ɕyɐʔ5,lok5 siet1,loʔ2 çiəʔ5
8,pɑu35 tsɹ̩3, pin55 pau13 tsɹ̩53,pin55 pao213,pˈɔʔ2 tsɹ̩02,piŋ44-33 pˈauʔ44,ləŋ53 tæ̃45 tsəʔ,pɔk2,sie24 tsɹ̩42 tsɹ̩33,pɔ44 tsɹ̩,iɪ̃55 tɯ53 tsə,pˈok5,pin33 bɔ213-33
9,tɕiɛ55 piŋ55,tɕie31 pin55,tɕiɛ21 pin55,tɕiɛʔ5 pin42,kiet32-44 piŋ44,tuəŋ45 piəŋ11,kit3 piŋ55,tɕie24 kəɯ55,piə̃44 tuə̃213-21 xa213-53 liɔ,tɕiɐʔ5 pin21,kiat1 pen44,tɕiəʔ5 pin33
10,kua55 fəŋ55,kua31 foŋ55,tsˈuei55 foŋ55,tɕˈi213 fuŋ42,ki53-44 hɔŋ44,kuaʔ2-45 fəŋ11,fan55 fuŋ55,tɕˈi42 ɸən33,kua44 fə̃44,tsˈɹ̩24 fəŋ21,hi31 fuŋ44,tɕˈi53 foŋ33
11,xuŋ35,xoŋ31,kaŋ213,kɔŋ45,hɔŋ24,tɕiɒ̃45,tsˈɔi35 huŋ21,kɔn55,kɔ̃213,tɕiɑ53,tˈien44 kiuŋ44,hei445
