sentence_id,Beijing,Chengdu,Guiyang,Nanchang,Taibei,Taiyuan,Xianggang,Xiangtan,Xining,Hefei,Meixian,Hangzhou,Wuhan,Harbin,Xian,Wulumuqi,Wenzhou,Tianjin,Pingyao,Kunming,Shanghai,Lanzhou,Shantou
1,tʰaiiɑŋ,tʰaiiaŋ,tʰaiiaŋ,tʰaiiɔŋ,tʰaiiɔŋ,taiiɒ̃,jɐttʰɐu,tʰaiian,ʐɛtʰɯɛ,tʰɤiɑ̃,ŋittʰeu,tʰɤɦiɑŋ,tʰaiiaŋ,tʰaiiaŋ,ərtʰou,tʰaiiɑŋ,tʰaji,tʰaiiɑŋ,ʐʌʔtəuiɤ,tʰæiɐ̃,tʰaɦiã,ʐɻ̩tʰou,ziktʰau
2,yɛliɑŋ,yeniaŋ,iɛliaŋ,ɲyɵʔkuɔŋ,geʔliũ,yəʔliɒ̃,jytlœŋ,yænian,yuliɔ̃,yɐʔliɑ̃,ŋiatkuoŋ,ɦyəʔliɑŋ,yeniaŋ,yɛliaŋ,yɛliaŋ,yɤliɑŋ,ɲykuɔ,yeliɑŋ,yʌʔmiiɤ,iɛliɐ̃,ɦyɪʔliã,yəliɑ̃,gueʔ
3,ɕiŋɕiŋ,ɕinɕiər,ɕinɕiəu,siɑŋtsɹ̩,tʰĩtsʰĩ,ɕiɕiəu,siŋ,siantsɹ̩,ɕiə̃ɕiə̃,ɕin,senne,ɕin,ɕin,ɕiŋɕiŋ,ɕiŋɕiŋ,ɕiŋɕiɤu,seŋ,ɕiŋɕiŋ,seiɕiəu,ɕĩɕiəu,ɕiŋ,ɕĩnɕiou,tsʰẽ
4,talei,tanuei,taluei,tɑlui,tanlui,xiɒ̃xuəʔluei,haŋløy,tɒnəi,luɨɕiɔ̃tʂɛ,tale,hioŋluikuŋ,tɑlei,tanei,talei,ɕiaŋluei,taluei,tiɛlai,tɑlei,ɕiɑŋluæ,ʂə̃luei,leɕiã,taluei,hiaŋlui
5,ʂantian,xosan,xosan,tɑfɔʔsɛn,siamtian,tasæ̃,simtin,tʂʰɒɸɒɕyẽ,ʂãtiãtʂɛ,taʂən,ŋiapfosa,huoʔsɥõ,tsʰɤxuo,taʂan,ʂãtiã,ʂantian,ɕadi,tɑsan,tɑʂɑŋ,tʂʰəʂɐ̃,hoʔɕi,taʂɛ̃n,akoŋnĩʔmak
6,ɕiay,noy,ɕiai,lɔʔy,lɔʔhɔ,xay,lɔkjy,noy,ɕiay,ɕiazɥ,loki,loʔʔɥ,ɕiay,ɕiay,ɕiay,xay,lovu,ɕiɑy,xɑy,ɕiɐi,loʔɦy,ɕiay,loʔhou
7,ɕiaɕyɛ,noɕye,ɕiaɕiɛ,lɔʔɕyɵʔ,lɔʔseʔ,xaɕyəʔ,lɔksyt,nosie,ɕiaɕyu,ɕiaɕyɐʔ,loksiet,loʔçiəʔ,ɕiaɕie,ɕiaɕyɛ,ɕiaɕyɛ,xaɕyɤ,loɕy,ɕiɑɕye,xɑɕyʌʔ,ɕiɐɕiɛ,loʔɕiɪʔ,ɕiaɕyə,loʔsoʔ
8,pɑutsɹ̩,pinpautsɹ̩,pinpao,pʰɔʔtsɹ̩,piŋpʰauʔ,ləŋtæ̃tsəʔ,pɔk,sietsɹ̩tsɹ̩,pɔtsɹ̩,iɪ̃tɯtsə,pʰok,pinbɔ,pinpau,pautsɹ̩,ləŋtsɹ̩,piŋpɔ,liɛbu,pɑutsə,ləŋtɑŋtsʌʔ,pĩpɔ,piŋbɔ,tɛ̃ntɛ̃ntsɹ̩,pʰak
9,tɕiɛpiŋ,tɕiepin,tɕiɛpin,tɕiɛʔpin,kietpiŋ,tuəŋpiəŋ,kitpiŋ,tɕiekəɯ,piə̃tuə̃xaliɔ,tɕiɐʔpin,kiatpen,tɕiəʔpin,tɕiepin,tuŋpiŋ,tuŋpiŋ,tɕiɤpiŋ,tɕipeŋ,ʂɑŋtuŋ,tuŋxɑtuŋlilɑ,tɕiɛpĩ,tɕiɪʔpiŋ,tũnpɪ̃n,kakpiã
10,kuafəŋ,kuafoŋ,tsʰueifoŋ,tɕʰifuŋ,kihɔŋ,kuaʔfəŋ,fanfuŋ,tɕʰiɸən,kuafə̃,tsʰɹ̩fəŋ,hifuŋ,tɕʰifoŋ,kuafoŋ,kuafəŋ,kuafəŋ,kuafɤŋ,tiɛhoŋ,kuɑfəŋ,kuʌʔxuŋ,kuɐfoŋ,tɕʰifoŋ,kuafə̃n,tʰauhuaŋ
