dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
BJ,Beijing,1,谁啊?我是老三。,谁呀?我是老三,,ʂei a uo ʂʅ lau san,ʂei35 a2 uo214 ʂʅ51 lau21421 san55,ʂei a uo ʂɻ̩ lau san,ʂei35 a2 uo214 ʂɻ̩51 lau21421 san55
BJ,Beijing,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正跟一朋友说着话儿呢,,lau sɿ nə tˈa tʂəŋ kən i pˈəŋ iou ʂuo tʂə xuar nə,lau21421 sɿ51 nə1 tˈa55 tʂəŋ51 kən55 i35 pˈəŋ35 iou3 ʂuo55 tʂə2 xuar51 nə1,lau sɹ̩ nə tʰa tʂəŋ kən i pʰəŋ iou ʂuo tʂə xuar nə,lau21421 sɹ̩51 nə1 tʰa55 tʂəŋ51 kən55 i35 pʰəŋ35 iou3 ʂuo55 tʂə2 xuar51 nə1
BJ,Beijing,3,她还没说完吗?,她还没说完吗,,tˈa xai mei ʂuo uan ma,tˈa55 xai35 mei35 ʂuo55 uan35 ma3,tʰa xai mei ʂuo uan ma,tʰa55 xai35 mei35 ʂuo55 uan35 ma3
BJ,Beijing,4,还没有。大概再有一会儿就说完了。,还没呢。估摸着再待会儿就说完了,,xai mei nə ku mə tʂə tsai xuər tɕiou ʂuo uan lə,xai35 mei35 nə3 ku55 mə2 tʂə2 tsai51 xuər214 tɕiou51 ʂuo55 uan35 lə3,xai mei nə ku mə tʂə t͡sai xuər t͡ɕiou ʂuo uan lə,xai35 mei35 nə3 ku55 mə2 tʂə2 t͡sai51 xuər214 t͡ɕiou51 ʂuo55 uan35 lə3
BJ,Beijing,5,他说马上就走，怎么这半天了还在家里?,他说立马儿就走，怎么这么半天了还在家·里,,tˈa ʂuo li mar tɕiou tsou tsəm səm pan tˈian lə xai tsai tɕia li,tˈa55 ʂuo55 li51 mar214 tɕiou51 tsou214 tsəm214 səm51 pan51 tˈian55 lə2 xai35 tsai21421 tɕia55 li2,tʰa ʂuo li mar t͡ɕiou t͡sou t͡səm səm pan tʰian lə xai t͡sai t͡ɕia li,tʰa55 ʂuo55 li51 mar214 t͡ɕiou51 t͡sou214 t͡səm214 səm51 pan51 tʰian55 lə2 xai35 t͡sai21421 t͡ɕia55 li2
BJ,Beijing,6,你到哪儿去?我到城里去。,你上哪儿去?我进城去,,ni ʂɑŋ nar tɕˈy uo tɕin tʂˈəŋ tɕˈi,ni214 ʂɑŋ51 nar214 tɕˈy51 uo214 tɕin51 tʂˈəŋ35 tɕˈi3,ni ʂɑŋ nar t͡ɕʰy uo t͡ɕin tʂʰəŋ t͡ɕʰi,ni214 ʂɑŋ51 nar214 t͡ɕʰy51 uo214 t͡ɕin51 tʂʰəŋ35 t͡ɕʰi3
BJ,Beijing,7,在那儿，不在这儿。,在那儿，不在这儿,,tsai nar pu tsai tʂər,tsai214 nar51 pu5135 tsai214 tʂər51,t͡sai nar pu t͡sai tʂər,t͡sai214 nar51 pu5135 t͡sai214 tʂər51
BJ,Beijing,8,不是那么做，要这么做。,不那么着，得这么着,,pu nam tʂə tei tʂəm tʂə,pu5135 nam51 tʂə1 tei214 tʂəm51 tʂə1,pu nam tʂə tei tʂəm tʂə,pu5135 nam51 tʂə1 tei214 tʂəm51 tʂə1
BJ,Beijing,9,太多了，用不着那么多，只要这么多就够了。,忒多了，用不着那么多，只要这么多就够了,,tˈei tuo lə yŋ pu tʂau nam tuo tʂʅ iau tʂəm tuo tɕiou kou lə,tˈei55 tuo55 lə2 yŋ51 pu2 tʂau35 nam51 tuo55 tʂʅ214 iau51 tʂəm51 tuo55 tɕiou51 kou51 lə1,tʰei tuo lə yŋ pu tʂau nam tuo tʂɻ̩ iau tʂəm tuo t͡ɕiou kou lə,tʰei55 tuo55 lə2 yŋ51 pu2 tʂau35 nam51 tuo55 tʂɻ̩214 iau51 tʂəm51 tuo55 t͡ɕiou51 kou51 lə1
BJ,Beijing,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这俩哪个好点儿,,tʂei kə ta nei kə ɕiau tʂei lia nei kə xɑu tiar,tʂei51 kə1 ta51 nei51 kə1 ɕiau214 tʂei51 lia214 nei214 kə4 xɑu21435 tiar214,tʂei kə ta nei kə ɕiau tʂei lia nei kə xɑu tiar,tʂei51 kə1 ta51 nei51 kə1 ɕiau214 tʂei51 lia214 nei214 kə4 xɑu21435 tiar214
BJ,Beijing,11,这个比那个好。,这个比那个好,,tʂei kə pi nei kə xau,tʂei51 kə1 pi21421 nei51 kə1 xau214,tʂei kə pi nei kə xau,tʂei51 kə1 pi21421 nei51 kə1 xau214
