dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,1,谁啊?我是老三。,哪个?我是老三。,,na ko ŋo sɿ nau san,na53 ko13 ŋo53 sɿ13 nau53 san55,na ko ŋo sɹ̩ nau san,na53 ko13 ŋo53 sɹ̩13 nau53 san55
CD,Chengdu,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正在跟一个朋友说倒话的。,,nau sɿ nan tˈa tsən tsai kən i ko pˈoŋ iəu so xua ni,nau53 sɿ13 nan55 tˈa55 tsən13 tsai13 kən55 i31 ko13 pˈoŋ31 iəu53 so31 xua13 ni55,nau sɹ̩ nan tʰa t͡sən t͡sai kən i ko pʰoŋ iəu so xua ni,nau53 sɹ̩13 nan55 tʰa55 t͡sən13 t͡sai13 kən55 i31 ko13 pʰoŋ31 iəu53 so31 xua13 ni55
CD,Chengdu,3,她还没说完吗?,她还没有说完呵?,,tˈa xai mei iəu so uan a,tˈa55 xai31 mei13 iəu5355 so31 uan31 a53,tʰa xai mei iəu so uan a,tʰa55 xai31 mei13 iəu5355 so31 uan31 a53
CD,Chengdu,4,还没有。大概再有一会儿就说完了。,还没有。大约还有一下儿就说完了。,,xai mei iəu ta yo xai iəu i xər tɕiəu so uanno,xai31 mei13 iəu5355 ta13 yo31 xai31 iəu53 i31 xər55 tɕiəu13 so31 uan31no53,xai mei iəu ta yo xai iəu i xər t͡ɕiəu so uanno,xai31 mei13 iəu5355 ta13 yo31 xai31 iəu53 i31 xər55 t͡ɕiəu13 so31 uan31no53
CD,Chengdu,5,他说马上就走，怎么这半天了还在家里?,他讲马上就走，咋个这门久了还在屋头呢?,,tˈa tɕiaŋ ma saŋ tɕiəu tsəu tsa ko tse mən tɕiəu no xai tsai u tˈəu ne,tˈa55 tɕiaŋ53 ma53 saŋ13 tɕiəu13 tsəu53 tsa31 ko13 tse13 mən3155 tɕiəu53 no53 xai31 tsai13 u31 tˈəu3155 ne55,tʰa t͡ɕiaŋ ma saŋ t͡ɕiəu t͡səu t͡sa ko t͡se mən t͡ɕiəu no xai t͡sai u tʰəu ne,tʰa55 t͡ɕiaŋ53 ma53 saŋ13 t͡ɕiəu13 t͡səu53 t͡sa31 ko13 t͡se13 mən3155 t͡ɕiəu53 no53 xai31 t͡sai13 u31 tʰəu3155 ne55
CD,Chengdu,6,你到哪儿去?我到城里去。,你走哪儿去?我到城后头去。,,ȵi tsəu nər tɕˈie ŋo tau tsˈən xəu tˈəu tɕˈie,ȵi53 tsəu53 nər53 tɕˈie13 ŋo53 tau13 tsˈən31 xəu1353 tˈəu31 tɕˈie,ɲi t͡səu nər t͡ɕʰie ŋo tau t͡sʰən xəu tʰəu t͡ɕʰie,ɲi53 t͡səu53 nər53 t͡ɕʰie13 ŋo53 tau13 t͡sʰən31 xəu1353 tʰəu31 t͡ɕʰie
CD,Chengdu,7,在那儿，不在这儿。,在那儿，不在这儿。,,tsai nər pu tsai tsər,tsai13 nər55 pu31 tsai13 tsər55,t͡sai nər pu t͡sai t͡sər,t͡sai13 nər55 pu31 t͡sai13 t͡sər55
CD,Chengdu,8,不是那么做，要这么做。,不是那样子做，要这样子做。,,pu sɿ na iaŋ tsɿ tsu iau tse iaŋ tsɿ tsu,pu31 sɿ13 na13 iaŋ13 tsɿ53 tsu13 iau13 tse13 iaŋ13 tsɿ53 tsu13,pu sɹ̩ na iaŋ t͡sɹ̩ t͡su iau t͡se iaŋ t͡sɹ̩ t͡su,pu31 sɹ̩13 na13 iaŋ13 t͡sɹ̩53 t͡su13 iau13 t͡se13 iaŋ13 t͡sɹ̩53 t͡su13
CD,Chengdu,9,太多了，用不着那么多，只要这么多就够了。,太多了，用不倒那门多，只要这门多就够了。,,tˈai to no yoŋ pu tau na mən to tsɿ iau tse mən to tɕiəu kəu no,tˈai13 to55 no53 yoŋ13 pu31 tau53 na13 mən3155 to55 tsɿ53 iau13 tse13 mən3155 to55 tɕiəu13 kəu13 no53,tʰai to no yoŋ pu tau na mən to t͡sɹ̩ iau t͡se mən to t͡ɕiəu kəu no,tʰai13 to55 no53 yoŋ13 pu31 tau53 na13 mən3155 to55 t͡sɹ̩53 iau13 t͡se13 mən3155 to55 t͡ɕiəu13 kəu13 no53
CD,Chengdu,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪一个好(一)点儿?,,tse ko ta na ko ɕiau tse niaŋ ko na i ko xau i tiər,tse13 ko1355 ta13 na13 ko1355 ɕiau53 tse13 niaŋ53 ko13 na53 i31 ko13 xau53 i31 tiər53,t͡se ko ta na ko ɕiau t͡se niaŋ ko na i ko xau i tiər,t͡se13 ko1355 ta13 na13 ko1355 ɕiau53 t͡se13 niaŋ53 ko13 na53 i31 ko13 xau53 i31 tiər53
