dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,1,有一回,有回子,,iəu xuei tsɿ,iəu53 xuei31 tsɿ53,iəuxueit͡sɹ̩,iəu53xuei31t͡sɹ̩53
CD,Chengdu,2,北风跟太阳在那儿争论谁的本事大,北风跟太阳在那儿争哪一个的本事大,,pe foŋ kən tˈai iaŋ tsai nər tsən na i ko ni pən sɿ ta,pe31 foŋ55 kən55 tˈai13 iaŋ31 tsai13 nər55 tsən55 na53 i31 ko13 ni55 pən53 sɿ13 ta13,pefoŋkəntʰaiiaŋt͡sainərt͡sənnaikonipənsɹ̩ta,pe31foŋ55kən55tʰai13iaŋ31t͡sai13nər55t͡sən55na53i31ko13ni55pən53sɹ̩13ta13
CD,Chengdu,3,争来争去就是分不出高低来,争过来争过去就是分不出高矮,,tsən ko nai tsən ko tɕˈie tɕiəuqe sɿ fən pu tsˈu kau ŋai,tsən55 ko13 nai31 tsən55 ko13 tɕˈie13 tɕiəuqe sɿ13 fən55 pu31 tsˈu31 kau55 ŋai53,t͡sənkonait͡sənkot͡ɕʰiet͡ɕiəuqesɹ̩fənput͡sʰukauŋai,t͡sən55ko13nai31t͡sən55ko13t͡ɕʰie13t͡ɕiəuqesɹ̩13fən55pu31t͡sʰu31kau55ŋai53
CD,Chengdu,4,这时候路上来了个走道儿的,一下儿路上来了一个赶路的,,i xər nu saŋ nai no i ko kan nu ni,i31 xər55 nu13 saŋ13 nai31 no53 i31 ko13 kan53 nu13 ni55,ixərnusaŋnainoikokannuni,i31xər55nu13saŋ13nai31no53i31ko13kan53nu13ni55
CD,Chengdu,5,他身上穿着件厚大衣,他身上穿倒一件厚大衣,,tˈa sən saŋ tsˈuan tau i tɕian xəu ta i,tˈa55 sən55 saŋ13 tsˈuan55 tau53 i31 tɕian13 xəu13 ta13 i55,tʰasənsaŋt͡sʰuantauit͡ɕianxəutai,tʰa55sən55saŋ13t͡sʰuan55tau53i31t͡ɕian13xəu13ta13i55
CD,Chengdu,6,他们俩就说好了,他们两个先讲好了,,tˈa mən niaŋ ko ɕian tɕiaŋ xau no,tˈa55 mən3155 niaŋ53 ko13 ɕian55 tɕiaŋ53 xau53 no53,tʰamənniaŋkoɕiant͡ɕiaŋxauno,tʰa55mən3155niaŋ53ko13ɕian55t͡ɕiaŋ53xau53no53
CD,Chengdu,7,谁能先叫这个走道儿的脱下他的厚大衣,看哪个能够先叫这个赶路的脱下他的厚大衣,,kˈan na ko nən kəu ɕian tɕiau tse ko kan nu ni tˈo ɕia tˈa ni xəu ta i,kˈan13 na53 ko13 nən31 kəu13 ɕian55 tɕiau13 tse13 ko13 kan53 nu13 ni55 tˈo31 ɕia13 tˈa55 ni55 xəu13 ta13 i55,kʰannakonənkəuɕiant͡ɕiaut͡sekokannunitʰoɕiatʰanixəutai,kʰan13na53ko13nən31kəu13ɕian55t͡ɕiau13t͡se13ko13kan53nu13ni55tʰo31ɕia13tʰa55ni55xəu13ta13i55
CD,Chengdu,8,就算谁的本事大,就算哪个的本事大,,tɕiəu suan na ko ni pən sɿ ta,tɕiəu13 suan13 na53 ko13 ni55 pən53 sɿ13 ta13,t͡ɕiəusuannakonipənsɹ̩ta,t͡ɕiəu13suan13na53ko13ni55pən53sɹ̩13ta13
CD,Chengdu,9,北风就使劲儿地刮起来了,北风就展劲的吹起来,,pe foŋ tɕiəu tsan tɕin ni tsˈuei tɕˈi nai,pe31 foŋ55 tɕiəu13 tsan53 tɕin13 ni55 tsˈuei55 tɕˈi53 nai31,pefoŋt͡ɕiəut͡sant͡ɕinnit͡sʰueit͡ɕʰinai,pe31foŋ55t͡ɕiəu13t͡san53t͡ɕin13ni55t͡sʰuei55t͡ɕʰi53nai31
CD,Chengdu,10,不过他越是刮得厉害,"晓得不, 他吹得越凶",,ɕiau te pu tˈa tsˈuei te ye ɕyoŋ,ɕiau53 te31 pu31 tˈa55 tsˈuei55 te31 ye31 ɕyoŋ55,ɕiauteputʰat͡sʰueiteyeɕyoŋ,ɕiau53te31pu31tʰa55t͡sʰuei55te31ye31ɕyoŋ55
CD,Chengdu,11,那个走道儿的把大衣裹得越紧,那个赶路的把大衣裹得越紧,,na ko kan nu ni pa ta i ko te ye tɕin,na13 ko13 kan53 nu13 ni55 pa53 ta13 i55 ko53 te31 ye31 tɕin53,nakokannunipataikoteyet͡ɕin,na13ko13kan53nu13ni55pa53ta13i55ko53te31ye31t͡ɕin53
CD,Chengdu,12,后来北风没法儿了,"后来呢, 北风莫得法了",,xəu nai ne pe foŋ mo te fa no,xəu13 nai31 ne55 pe31 foŋ55 mo31 te3155 fa31 no53,xəunainepefoŋmotefano,xəu13nai31ne55pe31foŋ55mo31te3155fa31no53
CD,Chengdu,13,只好就算了,就只好算了,,tɕiəu tsɿ xau suan no,tɕiəu13 tsɿ53 xau53 suan13 no53,t͡ɕiəut͡sɹ̩xausuanno,t͡ɕiəu13t͡sɹ̩53xau53suan13no53
CD,Chengdu,14,过了一会儿,过了一阵,,ko no i tsən,ko13 no53 i31 tsən13,konoit͡sən,ko13no53i31t͡sən13
CD,Chengdu,15,太阳出来了,太阳拱出来了,,tˈai iaŋ koŋ tsˈu nai no,tˈai13 iaŋ31 koŋ13 tsˈu31 nai31 no53,tʰaiiaŋkoŋt͡sʰunaino,tʰai13iaŋ31koŋ13t͡sʰu31nai31no53
CD,Chengdu,16,他火辣辣地一晒,他火熛熛的一晒,,tˈa xo pˈiau pˈiau ni i sai,tˈa55 xo53 pˈiau53 pˈiau53 ni55 i31 sai13,tʰaxopʰiaupʰiauniisai,tʰa55xo53pʰiau53pʰiau53ni55i31sai13
CD,Chengdu,17,那个走道儿的马上就把那件厚大衣脱下来了,那个赶路的马上就把那件厚大衣脱了,,na ko kan nu ni ma saŋ tɕiəu pa na tɕian xəu ta i tˈo no,na13 ko13 kan53 nu13 ni55 ma53 saŋ13 tɕiəu13 pa53 na13 tɕian13 xəu13 ta13 i55 tˈo31 no53,nakokannunimasaŋt͡ɕiəupanat͡ɕianxəutaitʰono,na13ko13kan53nu13ni55ma53saŋ13t͡ɕiəu13pa53na13t͡ɕian13xəu13ta13i55tʰo31no53
CD,Chengdu,18,这下北风只好承认,这阵子北风只得认输,,tse tsən tsɿ pe foŋ tsɿ te zən su,tse13 tsən13 tsɿ53 pe31 foŋ55 tsɿ53 te31 zən13 su55,t͡set͡sənt͡sɹ̩pefoŋt͡sɹ̩tezənsu,t͡se13t͡sən13t͡sɹ̩53pe31foŋ55t͡sɹ̩53te31zən13su55
CD,Chengdu,19,他们俩当中还是太阳的本事大,他们两个中间还是太阳的本事大,,tˈa mən niaŋ ko tsoŋ tɕian xai sɿ tˈai iaŋ ni pən sɿ ta,tˈa55 mən55 niaŋ53 ko13 tsoŋ55 tɕian55 xai31 sɿ13 tˈai13 iaŋ31 ni55 pən53 sɿ13 ta13,tʰamənniaŋkot͡soŋt͡ɕianxaisɹ̩tʰaiiaŋnipənsɹ̩ta,tʰa55mən55niaŋ53ko13t͡soŋ55t͡ɕian55xai31sɹ̩13tʰai13iaŋ31ni55pən53sɹ̩13ta13
