dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,1,太阳,太阳,,t‘ai iaŋ,t‘ai13 iaŋ31,t‘ai iaŋ,t‘ai13 iaŋ31
CD,Chengdu,2,月亮,月亮 ,,ye niaŋ,ye31 niaŋ13,ye niaŋ,ye31 niaŋ13
CD,Chengdu,3,星星,星星儿 ,,ɕin ɕiər,ɕin55 ɕiər55,ɕin ɕiər,ɕin55 ɕiər55
CD,Chengdu,4,打雷,打雷,,ta nuei,ta53 nuei31,ta nuei,ta53 nuei31
CD,Chengdu,5,闪电,火闪 ,,xo san,xo53 san53,xo san,xo53 san53
CD,Chengdu,6,下雨,落雨 ,,no y,no31 y53,no y,no31 y53
CD,Chengdu,7,下雪,落雪 ,,no ɕye,no31 ɕye31,no ɕye,no31 ɕye31
CD,Chengdu,8,冰雹,冰雹子 ,,pin pau tsɿ,pin55 pau13 tsɿ53,pin pau t͡sɹ̩,pin55 pau13 t͡sɹ̩53
CD,Chengdu,9,结冰,结冰 ,,tɕie pin,tɕie31 pin55,t͡ɕie pin,t͡ɕie31 pin55
CD,Chengdu,10,刮风,刮风 ,,kua foŋ,kua31 foŋ55,kua foŋ,kua31 foŋ55
CD,Chengdu,11,虹,虹,,xoŋ,xoŋ31,xoŋ,xoŋ31
CD,Chengdu,12,端午节,端阳,,tuan iaŋ,tuan55 iaŋ31,tuan iaŋ,tuan55 iaŋ31
CD,Chengdu,13,中秋节,中秋节,,tsoŋ tɕˈieu tɕie,tsoŋ55 tɕˈieu55 tɕie31,t͡soŋ t͡ɕʰieu t͡ɕie,t͡soŋ55 t͡ɕʰieu55 t͡ɕie31
CD,Chengdu,14,除夕,三十晚上,,san sɿ uan saŋ,san55 sɿ31 uan53 saŋ13,san sɹ̩ uan saŋ,san55 sɹ̩31 uan53 saŋ13
CD,Chengdu,15,今年,今年 ,,tɕin ȵian,tɕin55 ȵian31,t͡ɕin ɲian,t͡ɕin55 ɲian31
CD,Chengdu,16,明年,明年 ,,min ȵian,min31 ȵian31,min ɲian,min31 ɲian31
CD,Chengdu,17,去年,去年 ,,tɕˈy ȵian,tɕˈy13 ȵian31,t͡ɕʰy ɲian,t͡ɕʰy13 ɲian31
CD,Chengdu,18,明天,明天,,min tˈian,min31 tˈian55,min tʰian,min31 tʰian55
CD,Chengdu,19,昨天,昨天,,tso tˈian,tso31 tˈian55,t͡so tʰian,t͡so31 tʰian55
CD,Chengdu,20,今天,今天,,tɕin tˈian,tɕin55 tˈian55,t͡ɕin tʰian,t͡ɕin55 tʰian55
CD,Chengdu,21,星期天,星期天,,ɕin tɕˈi tˈian,ɕin55 tɕˈi55 tˈian55,ɕin t͡ɕʰi tʰian,ɕin55 t͡ɕʰi55 tʰian55
CD,Chengdu,22,麦子,麦子,,me tsɿ,me31 tsɿ53,me t͡sɹ̩,me31 t͡sɹ̩53
CD,Chengdu,23,大米,米,,mi,mi53,mi,mi53
CD,Chengdu,24,蚕豆,胡豆,,fu təu,fu31 təu13,fu təu,fu31 təu13
CD,Chengdu,25,向日葵,向日葵,,ɕiaŋ zɿ kˈuei,ɕiaŋ13 zɿ31 kˈuei31,ɕiaŋ zɹ̩ kʰuei,ɕiaŋ13 zɹ̩31 kʰuei31
CD,Chengdu,26,菠菜,菠菜,,po tsˈai,po55 tsˈai13,po t͡sʰai,po55 t͡sʰai13
CD,Chengdu,27,卷心菜,卷心白,,tɕyan ɕin pe,tɕyan53 ɕin55 pe31,t͡ɕyan ɕin pe,t͡ɕyan53 ɕin55 pe31
CD,Chengdu,28,西红柿,番茄,,fan tɕˈie,fan55 tɕˈie31,fan t͡ɕʰie,fan55 t͡ɕʰie31
CD,Chengdu,29,茄子,茄子,,tɕˈie tsɿ,tɕˈie31 tsɿ53,t͡ɕʰie t͡sɹ̩,t͡ɕʰie31 t͡sɹ̩53
CD,Chengdu,30,白薯,红苕,,xoŋ sau,xoŋ31 sau31,xoŋ sau,xoŋ31 sau31
CD,Chengdu,31,马铃薯,洋芋,,iaŋ y,iaŋ31 y13,iaŋ y,iaŋ31 y13
CD,Chengdu,32,南瓜,南瓜,,nan kua,nan31 kua55,nan kua,nan31 kua55
CD,Chengdu,33,猪,猪,,tsu,tsu55,t͡su,t͡su55
CD,Chengdu,34,公猪,脚猪,,tɕyo tsu,tɕyo31 tsu55,t͡ɕyo t͡su,t͡ɕyo31 t͡su55
CD,Chengdu,35,母猪,母猪,,mu tsu,mu53 tsu55,mu t͡su,mu53 t͡su55
CD,Chengdu,36,公鸡,鸡公,,tɕi koŋ,tɕi55 koŋ55,t͡ɕi koŋ,t͡ɕi55 koŋ55
CD,Chengdu,37,母鸡,鸡婆,,tɕi pˈo,tɕi55 pˈo31,t͡ɕi pʰo,t͡ɕi55 pʰo31
CD,Chengdu,38,麻雀,麻雀儿,,ma tɕˈyər,ma31 tɕˈyər3155,ma t͡ɕʰyər,ma31 t͡ɕʰyər3155
CD,Chengdu,39,老鼠,耗子,,xau tsɿ,xau13 tsɿ53,xau t͡sɹ̩,xau13 t͡sɹ̩53
CD,Chengdu,40,臭虫,臭虫,,tsˈəu tsoŋ,tsˈəu13 tsoŋ31,t͡sʰəu t͡soŋ,t͡sʰəu13 t͡soŋ31
CD,Chengdu,41,房子(整),房子,,faŋ tsɿ,faŋ31 tsɿ53,faŋ t͡sɹ̩,faŋ31 t͡sɹ̩53
CD,Chengdu,42,房子(单),屋子,,u tsɿ,u31 tsɿ53,u t͡sɹ̩,u31 t͡sɹ̩53
CD,Chengdu,43,窗户,窗子,,tsˈuaŋ tsɿ,tsˈuaŋ55 tsɿ53,t͡sʰuaŋ t͡sɹ̩,t͡sʰuaŋ55 t͡sɹ̩53
CD,Chengdu,44,门坎,门槛 ,,mən kˈan,mən31 kˈan53,mən kʰan,mən31 kʰan53
CD,Chengdu,45,厕所,茅房 ,,mau faŋ,mau31 faŋ31,mau faŋ,mau31 faŋ31
CD,Chengdu,46,厨房,厨房 ,,tsˈu faŋ,tsˈu31 faŋ31,t͡sʰu faŋ,t͡sʰu31 faŋ31
CD,Chengdu,47,烟囱,烟囱 ,,ian tsˈoŋ,ian55 tsˈoŋ55,ian t͡sʰoŋ,ian55 t͡sʰoŋ55
CD,Chengdu,48,桌子,桌子 ,,tso tsɿ,tso31 tsɿ53,t͡so t͡sɹ̩,t͡so31 t͡sɹ̩53
CD,Chengdu,49,楼梯,楼梯,,nəu tˈi,nəu31 tˈi55,nəu tʰi,nəu31 tʰi55
CD,Chengdu,50,头,头,,tˈəu,tˈəu31,tʰəu,tʰəu31
CD,Chengdu,51,额头,额颅,,ŋe nəu,ŋe31 nəu3155,ŋe nəu,ŋe31 nəu3155
CD,Chengdu,52,脸,脸 ,,nian,nian53,nian,nian53
CD,Chengdu,53,鼻子,鼻子 ,,pi tsɿ,pi31 tsɿ53,pi t͡sɹ̩,pi31 t͡sɹ̩53
CD,Chengdu,54,脖子,颈子,,tɕin tsɿ,tɕin53 tsɿ53,t͡ɕin t͡sɹ̩,t͡ɕin53 t͡sɹ̩53
CD,Chengdu,55,左手,左手 ,,tso səu,tso53 səu53,t͡so səu,t͡so53 səu53
CD,Chengdu,56,右手,右手 ,,iəu səu,iəu13 səu53,iəu səu,iəu13 səu53
CD,Chengdu,57,拳头,掟子 ,,tin tsɿ,tin13 tsɿ53,tin t͡sɹ̩,tin13 t͡sɹ̩53
CD,Chengdu,58,手指头,手指拇儿 ,,səu tsɿ mər,səu53 tsɿ53 mər53,səu t͡sɹ̩ mər,səu53 t͡sɹ̩53 mər53
CD,Chengdu,59,指甲,指甲,,tsɿ tɕia,tsɿ53 tɕia31,t͡sɹ̩ t͡ɕia,t͡sɹ̩53 t͡ɕia31
CD,Chengdu,60,膝盖,磕膝头儿,,kˈe ɕi tˈər,kˈe31 ɕi3155 tˈər31,kʰe ɕi tʰər,kʰe31 ɕi3155 tʰər31
CD,Chengdu,61,腿,腿杆,,tˈuei kan,tˈuei53 kan53,tʰuei kan,tʰuei53 kan53
CD,Chengdu,62,父亲,爸,,pa,pa31,pa,pa31
CD,Chengdu,63,母亲,妈,,ma,ma55,ma,ma55
CD,Chengdu,64,祖父,爷爷,,ie ie,ie31 ie31,ie ie,ie31 ie31
CD,Chengdu,65,祖母,婆婆,,pˈo pˈo,pˈo31 pˈo31,pʰo pʰo,pʰo31 pʰo31
CD,Chengdu,66,伯父,伯伯,,pe pe,pe31 pe3155,pe pe,pe31 pe3155
CD,Chengdu,67,伯母,伯娘,,pe ȵiaŋ,pe31 ȵiaŋ31,pe ɲiaŋ,pe31 ɲiaŋ31
CD,Chengdu,68,叔父,伯儿,,pər,pər31,pər,pər31
