dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
GY,Guiyang,1,太阳,太阳 ,,tˈai iaŋ,tˈai213 iaŋ21,tʰaiiaŋ,tʰai213iaŋ21
GY,Guiyang,2,月亮,月亮 ,,iɛ liaŋ,iɛ21 liaŋ213,iɛliaŋ,iɛ21liaŋ213
GY,Guiyang,3,星星,星宿 ,,ɕin ɕiəu,ɕin55 ɕiəu213,ɕinɕiəu,ɕin55ɕiəu213
GY,Guiyang,4,打雷,打雷 ,,ta luei,ta42 luei21,taluei,ta42luei21
GY,Guiyang,5,闪电,火闪 ,,xo san,xo42 san42,xosan,xo42san42
GY,Guiyang,6,下雨,下雨 ,,ɕia i,ɕia213 i42,ɕiai,ɕia213i42
GY,Guiyang,7,下雪,下雪 ,,ɕia ɕiɛ,ɕia213 ɕiɛ21,ɕiaɕiɛ,ɕia213ɕiɛ21
GY,Guiyang,8,冰雹,冰雹,,pin pao,pin55 pao213,pinpao,pin55pao213
GY,Guiyang,9,结冰,结冰 ,,tɕiɛ pin,tɕiɛ21 pin55,t͡ɕiɛpin,t͡ɕiɛ21pin55
GY,Guiyang,10,刮风,吹风,,tsˈuei foŋ,tsˈuei55 foŋ55,t͡sʰueifoŋ,t͡sʰuei55foŋ55
GY,Guiyang,11,虹,虹 ,,kaŋ,kaŋ213,kaŋ,kaŋ213
GY,Guiyang,12,端午节,端午 ,,tuan u,tuan55 u42,tuanu,tuan55u42
GY,Guiyang,13,中秋节,八月十五 ,,pa iɛ sɿ u,pa21 iɛ21 sɿ21 u42,paiɛsɹ̩u,pa21iɛ21sɹ̩21u42
GY,Guiyang,14,除夕,三十夜 ,,san sɿ iɛ,san55 sɿ21 iɛ213,sansɹ̩iɛ,san55sɹ̩21iɛ213
GY,Guiyang,15,今年,今年,,tɕin lian,tɕin55 lian21,t͡ɕinlian,t͡ɕin55lian21
GY,Guiyang,16,明年,明年,,min lian,min21 lian21,minlian,min21lian21
GY,Guiyang,17,去年,去年,,tɕˈi lian,tɕˈi213 lian21,t͡ɕʰilian,t͡ɕʰi213lian21
GY,Guiyang,18,明天,明天 ,,min tˈian,min21 tˈian55,mintʰian,min21tʰian55
