dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HZ,Hangzhou,1,谁啊?我是老三。,哪个?我是老三,,nɑ koʔ ŋo zɿ lɔ sẼ,nɑ53 koʔ5 ŋo53 zɿ13 lɔ13 sẼ33,nɑ53 koʔ5 ŋo53 zɹ̩13 lɔ13 sɤ̃33,nɑ koʔ ŋo zɹ̩ lɔ sɤ̃
HZ,Hangzhou,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她齐巧同一个朋友勒哈说话语,,lɔ sɿ nə tˈɑ dʑi tɕˈiɔ doŋ ʔiəʔ koʔ boŋ ʔiø lɑʔ hɑ sɥəʔ ɦuɑ ʔɥ,lɔ53 sɿ445 nə tˈɑ33 dʑi21321 tɕˈiɔ53 doŋ21321 ʔiəʔ5 koʔ5 boŋ21321 ʔiø53 lɑʔ2 hɑ33 sɥəʔ5 ɦuɑ13 ʔɥ53,lɔ53 sɹ̩445 nə tʰɑ33 dʑi21321 t͡ɕʰiɔ53 doŋ21321 ʔiəʔ5 koʔ5 boŋ21321 ʔiø53 lɑʔ2 hɑ33 sɥəʔ5 ɦuɑ13 ʔɥ53,lɔ sɹ̩ nə tʰɑ dʑi t͡ɕʰiɔ doŋ ʔiəʔ koʔ boŋ ʔiø lɑʔ hɑ sɥəʔ ɦuɑ ʔɥ
HZ,Hangzhou,3,她还没说完吗?,她还没有说好啊,,tˈɑ ɦɑ mi ʔi sɥəʔ hɔ ʔɑ,tˈɑ33 ɦɑ213 mi13 ʔi53 sɥəʔ5 hɔ53 ʔɑ,tʰɑ33 ɦɑ213 mi13 ʔi53 sɥəʔ5 hɔ53 ʔɑ,tʰɑ ɦɑ mi ʔi sɥəʔ hɔ ʔɑ
HZ,Hangzhou,4,还没有。大概再有一会儿就说完了。,还□崃，大概再过一歇儿就说完得,,ɦɑ mi lE dɑ kE tsE ku ʔiəʔ ɕiəʔ əl dʑiø sɥəʔ ɦuõ tə,ɦɑ21321 mi13 lE dɑ13 kE53 tsE445 ku445 ʔiəʔ5 ɕiəʔ5 əl31 dʑiø13 sɥəʔ5 ɦuõ213 tə,ɦɑ21321 mi13 lɤ dɑ13 kɤ53 t͡sɤ445 ku445 ʔiəʔ5 ɕiəʔ5 əl31 dʑiø13 sɥəʔ5 ɦuõ213 tə,ɦɑ mi lɤ dɑ kɤ t͡sɤ ku ʔiəʔ ɕiəʔ əl dʑiø sɥəʔ ɦuõ tə
HZ,Hangzhou,5,他说马上就走，怎么这半天了还在家里?,他说当忙就走，接葛格时光还勒哈屋里,,tˈɑ sɥəʔ tɑŋ mɑŋ dʑiø tsø tɕiəʔ kəʔ kəʔ zɿ kuɑŋ ɦɑ lɑʔ hɑ ʔoʔ li,tˈɑ33 sɥəʔ5 tɑŋ33 mɑŋ33 dʑiø13 tsø53 tɕiəʔ5 kəʔ5 kəʔ5 zɿ21312 kuɑŋ33 ɦɑ21321 lɑʔ2 hɑ33 ʔoʔ5 li,tʰɑ33 sɥəʔ5 tɑŋ33 mɑŋ33 dʑiø13 t͡sø53 t͡ɕiəʔ5 kəʔ5 kəʔ5 zɹ̩21312 kuɑŋ33 ɦɑ21321 lɑʔ2 hɑ33 ʔoʔ5 li,tʰɑ sɥəʔ tɑŋ mɑŋ dʑiø t͡sø t͡ɕiəʔ kəʔ kəʔ zɹ̩ kuɑŋ ɦɑ lɑʔ hɑ ʔoʔ li
HZ,Hangzhou,6,你到哪儿去?我到城里去。,你到哪里去?我到城里去,,ni tɔ nɑ li tɕˈi ŋo tɔ dzen li tɕˈi,ni53 tɔ445 nɑ53 li5331 tɕˈi445 ŋo53 tɔ445 dzen21321 li53 tɕˈi44531,ni53 tɔ445 nɑ53 li5331 t͡ɕʰi445 ŋo53 tɔ445 dzen21321 li53 t͡ɕʰi44531,ni tɔ nɑ li t͡ɕʰi ŋo tɔ dzen li t͡ɕʰi
HZ,Hangzhou,7,在那儿，不在这儿。,勒哈那头，不勒哈格里,,lɑʔ hɑ nɑ dei pəʔ lɑʔ hɑ kəʔ li,lɑʔ2 hɑ33 nɑ13 dei pəʔ5 lɑʔ2 hɑ33 kəʔ5 li,lɑʔ2 hɑ33 nɑ13 dei pəʔ5 lɑʔ2 hɑ33 kəʔ5 li,lɑʔ hɑ nɑ dei pəʔ lɑʔ hɑ kəʔ li
HZ,Hangzhou,8,不是那么做，要这么做。,不是实价套做，要价做,,pəʔ zɿ zəʔ kɑ tˈoɸ tso ʔiɔ kɑ tso,pəʔ5 zɿ13 zəʔ2 kɑ445 tˈoɸ5331 tso445 ʔiɔ445 kɑ445 tso445,pəʔ5 zɹ̩13 zəʔ2 kɑ445 tʰoɸ5331 t͡so445 ʔiɔ445 kɑ445 t͡so445,pəʔ zɹ̩ zəʔ kɑ tʰoɸ t͡so ʔiɔ kɑ t͡so
HZ,Hangzhou,9,太多了，用不着那么多，只要这么多就够了。,忒价多得，用不着价许多，只要实价多就够得,,tˈəʔ kɑ to tə ɦioŋ pəʔ dzɑʔ kɑ sɥ to tsəʔ ɦiɔ zəʔ kɑ to dʑiø kø tə,tˈəʔ5 kɑ445 to33 tə ɦioŋ13 pəʔ5 dzɑʔ2 kɑ445 sɥ53 to33 tsəʔ5 ɦiɔ13 zəʔ2 kɑ445 to33 dʑiø13 kø445 tə,tʰəʔ5 kɑ445 to33 tə ɦioŋ13 pəʔ5 dzɑʔ2 kɑ445 sɥ53 to33 t͡səʔ5 ɦiɔ13 zəʔ2 kɑ445 to33 dʑiø13 kø445 tə,tʰəʔ kɑ to tə ɦioŋ pəʔ dzɑʔ kɑ sɥ to t͡səʔ ɦiɔ zəʔ kɑ to dʑiø kø tə
HZ,Hangzhou,10,这个大，那个小，这两个哪一个好一点呢?,接个大，那个小，格两个哪个好一点儿,,tɕiəʔ koʔ do nɑ koʔ ɕiɔ kəʔ liɑŋ koʔ nɑ koʔ hɔ ʔiəʔ tiẼ əl,tɕiəʔ5 koʔ5 do13 nɑ13 koʔ5 ɕiɔ53 kəʔ5 liɑŋ53 koʔ5 nɑ53 koʔ5 hɔ53 ʔiəʔ5 tiẼ53 əl21331,t͡ɕiəʔ5 koʔ5 do13 nɑ13 koʔ5 ɕiɔ53 kəʔ5 liɑŋ53 koʔ5 nɑ53 koʔ5 hɔ53 ʔiəʔ5 tiɤ̃53 əl21331,t͡ɕiəʔ koʔ do nɑ koʔ ɕiɔ kəʔ liɑŋ koʔ nɑ koʔ hɔ ʔiəʔ tiɤ̃ əl
