dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HZ,Hangzhou,1,太阳,太阳,,tˈE ɦiɑŋ,tˈE445 ɦiɑŋ21331,tʰɤ445 ɦiɑŋ21331,tʰɤ ɦiɑŋ
HZ,Hangzhou,2,月亮,月亮,,ɦyəʔ liɑŋ,ɦyəʔ2 liɑŋ13,ɦyəʔ2 liɑŋ13,ɦyəʔ liɑŋ
HZ,Hangzhou,3,星星,星,,ɕin,ɕin33,ɕin33,ɕin
HZ,Hangzhou,4,打雷,打雷,,tɑ lei,tɑ53 lei213,tɑ53 lei213,tɑ lei
HZ,Hangzhou,5,闪电,霍闪,,huoʔ sɥõ,huoʔ5 sɥõ53,huoʔ5 sɥõ53,huoʔ sɥõ
HZ,Hangzhou,6,下雨,落雨,,loʔ ʔɥ,loʔ2 ʔɥ53,loʔ2 ʔɥ53,loʔ ʔɥ
HZ,Hangzhou,7,下雪,落雪,,loʔ çiəʔ,loʔ2 çiəʔ5,loʔ2 çiəʔ5,loʔ çiəʔ
HZ,Hangzhou,8,冰雹,冰雹,,pin bɔ,pin33 bɔ21333,pin33 bɔ21333,pin bɔ
HZ,Hangzhou,9,结冰,结冰,,tɕiəʔ pin,tɕiəʔ5 pin33,t͡ɕiəʔ5 pin33,t͡ɕiəʔ pin
HZ,Hangzhou,10,刮风,起风,,tɕˈi foŋ,tɕˈi53 foŋ33,t͡ɕʰi53 foŋ33,t͡ɕʰi foŋ
HZ,Hangzhou,11,虹,鲎,,hei,hei445,hei445,hei
HZ,Hangzhou,12,端午节,端午,,tuõ ʔu,tuõ33 ʔu5333,tuõ33 ʔu5333,tuõ ʔu
HZ,Hangzhou,13,中秋节,八月半,,pɑʔ ɦyəʔ puõ,pɑʔ5 ɦyəʔ25 puõ44533,pɑʔ5 ɦyəʔ25 puõ44533,pɑʔ ɦyəʔ puõ
HZ,Hangzhou,14,除夕,年三十晚上,,ȵiẼ sẼ zəʔ vẼ zɑŋ,ȵiẼ21321 sẼ33 zəʔ25 vẼ53 zɑŋ1331,ɲiɤ̃21321 sɤ̃33 zəʔ25 vɤ̃53 zɑŋ1331,ɲiɤ̃ sɤ̃ zəʔ vɤ̃ zɑŋ
HZ,Hangzhou,15,今年,根年,,ken ȵiẼ,ken33 ȵiẼ21333,ken33 ɲiɤ̃21333,ken ɲiɤ̃
HZ,Hangzhou,16,明年,门年,,men ȵiẼ,men21321 ȵiẼ21313,men21321 ɲiɤ̃21313,men ɲiɤ̃
HZ,Hangzhou,17,去年,旧年子,,dʑiø ȵiẼ tsɿ,dʑiø13 ȵiẼ21353 tsɿ5331,dʑiø13 ɲiɤ̃21353 t͡sɹ̩5331,dʑiø ɲiɤ̃ t͡sɹ̩
HZ,Hangzhou,18,明天,门朝,,men tsɔ,men21321 tsɔ33,men21321 t͡sɔ33,men t͡sɔ
HZ,Hangzhou,19,昨天,上额子,,zɑŋ ŋɑʔ tsɿ,zɑŋ13 ŋɑʔ25 tsɿ53,zɑŋ13 ŋɑʔ25 t͡sɹ̩53,zɑŋ ŋɑʔ t͡sɹ̩
HZ,Hangzhou,20,今天,根朝,,ken tsɔ,ken33 tsɔ33,ken33 t͡sɔ33,ken t͡sɔ
HZ,Hangzhou,21,星期天,礼拜天,,li pE tˈiẼ,li53 pE44531 tˈiẼ3331,li53 pɤ44531 tʰiɤ̃3331,li pɤ tʰiɤ̃
HZ,Hangzhou,22,麦子,麦子,,mɑʔ tsɿ,mɑʔ2 tsɿ53,mɑʔ2 t͡sɹ̩53,mɑʔ t͡sɹ̩
HZ,Hangzhou,23,大米,晚米,,mẼ mi,mẼ53 mi5331,mɤ̃53 mi5331,mɤ̃ mi
