dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HB,Harbin,1,谁啊?我是老三。,谁啊?我，我是小三儿,,ʂei ia uo ʂʅ ɕiau sar,ʂei24 ia uo213 ʂʅ ɕiau21321 sar44,ʂei24iauo213ʂɻ̩ɕiau21321sar44,ʂeiiauoʂɻ̩ɕiausar
HB,Harbin,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正跟一个朋友唠嗑儿呢,,lau sɿ nə tˈa tʂəŋ kən i kɤ pˈəŋ iou lau kˈɤr nə,lau21321 sɿ53 nə tˈa44 tʂəŋ53 kən44 i4424 kɤ pˈəŋ24 iou lau53 kˈɤr44 nə,lau21321sɹ̩53nətʰa44tʂəŋ53kən44i4424kɤpʰəŋ24ioulau53kʰɤr44nə,lausɹ̩nətʰatʂəŋkənikɤpʰəŋioulaukʰɤrnə
HB,Harbin,3,她还没说完吗?,她还没唠完哪,,tˈa xai mei lau uan na,tˈa44 xai53 mei53 lau53 uan24 na,tʰa44xai53mei53lau53uan24na,tʰaxaimeilauuanna
HB,Harbin,4,还没有。大概再有一会儿就说完了。,还没有。大概再呆一会儿就唠完了,,xai mei iou ta kai tsai tai i xuər tɕiou lau uan lə,xai53 mei24 iou ta53 kai53 tsai53 tai44 i4453 xuər213 tɕiou53 lau53 uan24 lə,xai53mei24iouta53kai53t͡sai53tai44i4453xuər213t͡ɕiou53lau53uan24lə,xaimeiioutakait͡saitaiixuərt͡ɕioulauuanlə
HB,Harbin,5,他说马上就走，怎么这半天了还在家里?,他说马上就走，咋这老半天了还在家呢,,tˈa ʂuo ma ʂaŋ tɕiou tsou tsa tʂɤ lau pan tˈian lə xai tsai tɕia nə,tˈa44 ʂuo44 ma21321 ʂaŋ53 tɕiou53 tsou213 tsa213 tʂɤ53 lau213 pan53 tˈian44 lə xai53 tsai213 tɕia44 nə,tʰa44ʂuo44ma21321ʂaŋ53t͡ɕiou53t͡sou213t͡sa213tʂɤ53lau213pan53tʰian44ləxai53t͡sai213t͡ɕia44nə,tʰaʂuomaʂaŋt͡ɕiout͡sout͡satʂɤlaupantʰianləxait͡sait͡ɕianə
HB,Harbin,6,你到哪儿去?我到城里去。,你上哪儿去?我上街里,,ni ʂaŋ nar tɕˈy uo ʂaŋ kai li,ni213 ʂaŋ53 nar213 tɕˈy uo213 ʂaŋ53 kai44 li213,ni213ʂaŋ53nar213t͡ɕʰyuo213ʂaŋ53kai44li213,niʂaŋnart͡ɕʰyuoʂaŋkaili
HB,Harbin,7,在那儿，不在这儿。,在那疙儿，不在这疙儿,,tsai nei kar pu tsai tʂei kar,tsai21321 nei53 kar44 pu53 tsai21321 tʂei53 kar44,t͡sai21321nei53kar44pu53t͡sai21321tʂei53kar44,t͡saineikarput͡saitʂeikar
HB,Harbin,8,不是那么做，要这么做。,不是那么做，得这么做,,pu ʂʅ na mɤ tsuo tei tʂɤ mɤ tsuo,pu5324 ʂʅ53 na53 mɤ tsuo53 tei213 tʂɤ53 mɤ tsuo53,pu5324ʂɻ̩53na53mɤt͡suo53tei213tʂɤ53mɤt͡suo53,puʂɻ̩namɤt͡suoteitʂɤmɤt͡suo
HB,Harbin,9,太多了，用不着那么多，只要这么多就够了。,太多了，用不着那老多，只要这些就够了,,tˈai tuo lə yŋ pu tʂau na lau tuo tʂʅ iau tʂɤ ɕiɛ tɕiou kou lə,tˈai53 tuo44 lə yŋ53 pu tʂau24 na53 lau213 tuo44 tʂʅ21321 iau53 tʂɤ53 ɕiɛ44 tɕiou53 kou53 lə,tʰai53tuo44ləyŋ53putʂau24na53lau213tuo44tʂɻ̩21321iau53tʂɤ53ɕiɛ44t͡ɕiou53kou53lə,tʰaituoləyŋputʂaunalautuotʂɻ̩iautʂɤɕiɛt͡ɕioukoulə
HB,Harbin,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪个好点儿呢,,tʂei kɤ ta nei kɤ ɕiau tʂɤ liaŋ kɤ nei kɤ xau tiar nə,tʂei53 kɤ ta53 nei53 kɤ ɕiau213 tʂɤ53 liaŋ21321 kɤ nei213 kɤ53 xau213 tiar213 nə,tʂei53kɤta53nei53kɤɕiau213tʂɤ53liaŋ21321kɤnei213kɤ53xau213tiar213nə,tʂeikɤtaneikɤɕiautʂɤliaŋkɤneikɤxautiarnə
HB,Harbin,11,这个比那个好。,这个比那个好,,tʂei kɤ pˈi nei kɤ xau,tʂei53 kɤ pˈi213 nei53 kɤ xau213,tʂei53kɤpʰi213nei53kɤxau213,tʂeikɤpʰineikɤxau
HB,Harbin,12,这些房子不如那些房子好。,这些房子不如那些房子好,,tʂei ɕiɛ faŋ tsɿ pu lu nei ɕiɛ faŋ tsɿ xau,tʂei53 ɕiɛ44 faŋ24 tsɿ pu53 lu24 nei53 ɕiɛ44 faŋ24 tsɿ xau213,tʂei53ɕiɛ44faŋ24t͡sɹ̩pu53lu24nei53ɕiɛ44faŋ24t͡sɹ̩xau213,tʂeiɕiɛfaŋt͡sɹ̩puluneiɕiɛfaŋt͡sɹ̩xau
HB,Harbin,13,他今年多大岁数了?,他今年多大岁数了,,tˈa tɕin nian tuo ta suei ʂu lə,tˈa44 tɕin44 nian24 tuo24 ta53 suei53 ʂu lə,tʰa44t͡ɕin44nian24tuo24ta53suei53ʂulə,tʰat͡ɕinniantuotasueiʂulə
HB,Harbin,14,大概三十来岁吧。,大概三十来岁吧,,ta kai san ʂʅ lai suei pa,ta53 kai53 san44 ʂʅ lai suei53 pa,ta53kai53san44ʂɻ̩laisuei53pa,takaisanʂɻ̩laisueipa
HB,Harbin,15,这个东西有多重呢?,这个东西有多沉呢,,tʂei kɤ tuŋ ɕi iou tuo tʂˈən nə,tʂei53 kɤ tuŋ44 ɕi iou213 tuo24 tʂˈən24 nə,tʂei53kɤtuŋ44ɕiiou213tuo24tʂʰən24nə,tʂeikɤtuŋɕiioutuotʂʰənnə
HB,Harbin,16,有五十斤重呢。,有五十斤沉,,iou u ʂʅ tɕin tʂˈən,iou213 u21321 ʂʅ tɕin44 tʂˈən24,iou213u21321ʂɻ̩t͡ɕin44tʂʰən24,iouuʂɻ̩t͡ɕintʂʰən
HB,Harbin,17,拿得动吗?,能拿动吗,,nəŋ na tuŋ ma,nəŋ24 na24 tuŋ53 ma,nəŋ24na24tuŋ53ma,nəŋnatuŋma
HB,Harbin,18,我拿得动，他拿不动。,我能拿动，他拿不动,,uo nəŋ na tuŋ tˈa na pu tuŋ,uo213 nəŋ24 na24 tuŋ53 tˈa44 na24 pu tuŋ53,uo213nəŋ24na24tuŋ53tʰa44na24putuŋ53,uonəŋnatuŋtʰanaputuŋ
