dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HB,Harbin,1,太阳,太阳,,tˈai iaŋ,tˈai53 iaŋ,tʰai53 iaŋ,tʰai iaŋ
HB,Harbin,2,月亮,月亮,,yɛ liaŋ,yɛ53 liaŋ,yɛ53 liaŋ,yɛ liaŋ
HB,Harbin,3,星星,星星 ,,ɕiŋ ɕiŋ,ɕiŋ44 ɕiŋ,ɕiŋ44 ɕiŋ,ɕiŋ ɕiŋ
HB,Harbin,4,打雷,打雷,,ta lei,ta21321 lei24,ta21321 lei24,ta lei
HB,Harbin,5,闪电,打闪 ,,ta ʂan,ta21324 ʂan213,ta21324 ʂan213,ta ʂan
HB,Harbin,6,下雨,下雨 ,,ɕia y,ɕia53 y213,ɕia53 y213,ɕia y
HB,Harbin,7,下雪,下雪 ,,ɕia ɕyɛ,ɕia53 ɕyɛ213,ɕia53 ɕyɛ213,ɕia ɕyɛ
HB,Harbin,8,冰雹,雹子 ,,pau tsɿ,pau24 tsɿ,pau24 t͡sɹ̩,pau t͡sɹ̩
HB,Harbin,9,结冰,冻冰,,tuŋ piŋ,tuŋ53 piŋ44,tuŋ53 piŋ44,tuŋ piŋ
HB,Harbin,10,刮风,刮风 ,,kua fəŋ,kua21321 fəŋ44,kua21321 fəŋ44,kua fəŋ
HB,Harbin,11,虹,虹,,kaŋ,kaŋ53,kaŋ53,kaŋ
HB,Harbin,12,端午节,五月节 ,,u yɛ tɕiɛ,u21321 yɛ53 tɕiɛ213,u21321 yɛ53 t͡ɕiɛ213,u yɛ t͡ɕiɛ
HB,Harbin,13,中秋节,八月节 ,,pa yɛ tɕiɛ,pa4424 yɛ53 tɕiɛ213,pa4424 yɛ53 t͡ɕiɛ213,pa yɛ t͡ɕiɛ
HB,Harbin,14,除夕,三十儿晚上,,san ʂər uan ʂaŋ,san44 ʂər24 uan21321 ʂaŋ,san44 ʂər24 uan21321 ʂaŋ,san ʂər uan ʂaŋ
HB,Harbin,15,今年,今年 ,,tɕin nian,tɕin44 nian24,t͡ɕin44 nian24,t͡ɕin nian
HB,Harbin,16,明年,来年 ,,lai nian,lai24 nian24,lai24 nian24,lai nian
