dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HF,Hefei,1,太阳,太阳,,tˈE iɑ̃,tˈE53 iɑ̃,tʰɤ53 iɑ̃,tʰɤ iɑ̃
HF,Hefei,2,月亮,月亮 ,,yɐʔ liɑ̃,yɐʔ5 liɑ̃53,yɐʔ5 liɑ̃53,yɐʔ liɑ̃
HF,Hefei,3,星星,星 ,,ɕin,ɕin21,ɕin21,ɕin
HF,Hefei,4,打雷,打雷 ,,ta le,ta24 le55,ta24 le55,ta le
HF,Hefei,5,闪电,打闪 ,,ta ʂən,ta24 ʂən24,ta24 ʂən24,ta ʂən
HF,Hefei,6,下雨,下雨 ,,ɕia zɥ,ɕia53 zɥ24,ɕia53 zɥ24,ɕia zɥ
HF,Hefei,7,下雪,下雪 ,,ɕia ɕyɐʔ,ɕia53 ɕyɐʔ5,ɕia53 ɕyɐʔ5,ɕia ɕyɐʔ
HF,Hefei,8,冰雹,盐豆子 ,,iɪ̃ tɯ tsə,iɪ̃55 tɯ53 tsə,iɪ̃55 tɯ53 t͡sə,iɪ̃ tɯ t͡sə
HF,Hefei,9,结冰,结冰 ,,tɕiɐʔ pin,tɕiɐʔ5 pin21,t͡ɕiɐʔ5 pin21,t͡ɕiɐʔ pin
HF,Hefei,10,刮风,起风 ,,tsˈɿ fəŋ,tsˈɿ24 fəŋ21,t͡sʰɹ̩24 fəŋ21,t͡sʰɹ̩ fəŋ
HF,Hefei,11,虹,虹 ,,tɕiɑ,tɕiɑ53,t͡ɕiɑ53,t͡ɕiɑ
HF,Hefei,12,端午节,端午节 ,,tʊ̃ u tɕiɐʔ,tʊ̃21 u24 tɕiɐʔ5,tʊ̃21 u24 t͡ɕiɐʔ5,tʊ̃ u t͡ɕiɐʔ
HF,Hefei,13,中秋节,中秋节 ,,tʂəŋ tɕˈiɯ tɕiɐʔ,tʂəŋ2124 tɕˈiɯ21 tɕiɐʔ5,tʂəŋ2124 t͡ɕʰiɯ21 t͡ɕiɐʔ5,tʂəŋ t͡ɕʰiɯ t͡ɕiɐʔ
HF,Hefei,14,除夕,年三十,,liɪ̃ sæ̃ ʂəʔ,liɪ̃55 sæ̃21 ʂəʔ5,liɪ̃55 sæ̃21 ʂəʔ5,liɪ̃ sæ̃ ʂəʔ
HF,Hefei,15,今年,今年 ,,tɕin liɪ̃,tɕin21 liɪ̃55,t͡ɕin21 liɪ̃55,t͡ɕin liɪ̃
HF,Hefei,16,明年,明年 ,,min liɪ̃,min55 liɪ̃55,min55 liɪ̃55,min liɪ̃
HF,Hefei,17,去年,去年 ,,tsˈɥ liɪ̃,tsˈɥ53 liɪ̃55,t͡sʰɥ53 liɪ̃55,t͡sʰɥ liɪ̃
HF,Hefei,18,明天,麻个 ,,ma kə,ma55 kə,ma55 kə,ma kə
HF,Hefei,19,昨天,昨个,,tsʊ kə,tsʊ55 kə,t͡sʊ55 kə,t͡sʊ kə
HF,Hefei,20,今天,皆个 ,,tɕiE kə,tɕiE21 kə,t͡ɕiɤ21 kə,t͡ɕiɤ kə
HF,Hefei,21,星期天,星期天 ,,ɕin tsˈɿ tˈiɪ̃,ɕin21 tsˈɿ55 tˈiɪ̃21,ɕin21 t͡sʰɹ̩55 tʰiɪ̃21,ɕin t͡sʰɹ̩ tʰiɪ̃
HF,Hefei,22,麦子,麦子 ,,mɐʔ tsə,mɐʔ5 tsə,mɐʔ5 t͡sə,mɐʔ t͡sə
HF,Hefei,23,大米,米 ,,mɿ,mɿ24,mɹ̩24,mɹ̩
HF,Hefei,24,蚕豆,蚕豆 ,,tsˈæ̃ tɯ,tsˈæ̃55 tɯ53,t͡sʰæ̃55 tɯ53,t͡sʰæ̃ tɯ
HF,Hefei,25,向日葵,葵花 ,,kˈue xua,kˈue55 xua21,kʰue55 xua21,kʰue xua
HF,Hefei,26,菠菜,菠菜 ,,pʊ tsˈE,pʊ2124 tsˈE53,pʊ2124 t͡sʰɤ53,pʊ t͡sʰɤ
HF,Hefei,27,卷心菜,包头菜 ,,pɔ tˈɯ tsˈE,pɔ21 tˈɯ55 tsˈE53,pɔ21 tʰɯ55 t͡sʰɤ53,pɔ tʰɯ t͡sʰɤ
HF,Hefei,28,西红柿,洋柿子 ,,iɑ̃ sɿ tsə,iɑ̃55 sɿ53 tsə,iɑ̃55 sɹ̩53 t͡sə,iɑ̃ sɹ̩ t͡sə
HF,Hefei,29,茄子,茄子 ,,tɕˈye tsə,tɕˈye55 tsə,t͡ɕʰye55 t͡sə,t͡ɕʰye t͡sə
HF,Hefei,30,白薯,芋头 ,,zɥ tˈɯ,zɥ53 tˈɯ,zɥ53 tʰɯ,zɥ tʰɯ
HF,Hefei,31,马铃薯,马铃薯 ,,ma lin tʂˈu,ma24 lin55 tʂˈu24,ma24 lin55 tʂʰu24,ma lin tʂʰu
HF,Hefei,32,南瓜,南瓜 ,,læ̃ kua,læ̃55 kua21,læ̃55 kua21,læ̃ kua
HF,Hefei,33,猪,猪 ,,tʂu,tʂu21,tʂu21,tʂu
HF,Hefei,34,公猪,公猪 ,,kəŋ tʂu,kəŋ2124 tʂu21,kəŋ2124 tʂu21,kəŋ tʂu
HF,Hefei,35,母猪,母猪 ,,məŋ tʂu,məŋ24 tʂu21,məŋ24 tʂu21,məŋ tʂu
HF,Hefei,36,公鸡,公鸡 ,,kəŋ tsɿ,kəŋ2124 tsɿ21,kəŋ2124 t͡sɹ̩21,kəŋ t͡sɹ̩
HF,Hefei,37,母鸡,母鸡 ,,məŋ tsɿ,məŋ24 tsɿ21,məŋ24 t͡sɹ̩21,məŋ t͡sɹ̩
HF,Hefei,38,麻雀,麻啾,,ma tɕˈiɯ,ma55 tɕˈiɯ21,ma55 t͡ɕʰiɯ21,ma t͡ɕʰiɯ
HF,Hefei,39,老鼠,老鼠,,lɔ tʂˈuə,lɔ24 tʂˈuə,lɔ24 tʂʰuə,lɔ tʂʰuə
HF,Hefei,40,臭虫,臭虫,,tʂˈɯ tʂˈəŋ,tʂˈɯ53 tʂˈəŋ,tʂʰɯ53 tʂʰəŋ,tʂʰɯ tʂʰəŋ
HF,Hefei,41,房子(整),宅子,,tsɐʔ tsə,tsɐʔ5 tsə,t͡sɐʔ5 t͡sə,t͡sɐʔ t͡sə
HF,Hefei,42,房子(单),房间 ,,fɑ̃ tɕɪ̃,fɑ̃55 tɕɪ̃21,fɑ̃55 t͡ɕɪ̃21,fɑ̃ t͡ɕɪ̃
HF,Hefei,43,窗户,窗子 ,,tʂˈuɑ̃ tsə,tʂˈuɑ̃21 tsə,tʂʰuɑ̃21 t͡sə,tʂʰuɑ̃ t͡sə
HF,Hefei,44,门坎,门坎 ,,mən kˈæ̃,mən55 kˈæ̃24,mən55 kʰæ̃24,mən kʰæ̃
HF,Hefei,45,厕所,茅厕 ,,mɔ tsˈɿ,mɔ55 tsˈɿ21,mɔ55 t͡sʰɹ̩21,mɔ t͡sʰɹ̩
HF,Hefei,46,厨房,锅间 ,,kʊ tɕiɪ̃,kʊ2124 tɕiɪ̃21,kʊ2124 t͡ɕiɪ̃21,kʊ t͡ɕiɪ̃
HF,Hefei,47,烟囱,烟龙 ,,iɪ̃ ləŋ,iɪ̃21 ləŋ,iɪ̃21 ləŋ,iɪ̃ ləŋ
HF,Hefei,48,桌子,桌子 ,,tʂuɐʔ tsə,tʂuɐʔ5 tsə,tʂuɐʔ5 t͡sə,tʂuɐʔ t͡sə
HF,Hefei,49,楼梯,楼梯 ,,lɯ tsˈɿ,lɯ55 tsˈɿ21,lɯ55 t͡sʰɹ̩21,lɯ t͡sʰɹ̩
HF,Hefei,50,头,头,,tˈɯ,tˈɯ55,tʰɯ55,tʰɯ
HF,Hefei,51,额头,额脑头 ,,ʐɐʔ lɔ tˈɯ,ʐɐʔ52 lɔ24 tˈɯ55,ʐɐʔ52 lɔ24 tʰɯ55,ʐɐʔ lɔ tʰɯ
HF,Hefei,52,脸,脸 ,,liɪ̃,liɪ̃24,liɪ̃24,liɪ̃
HF,Hefei,53,鼻子,鼻子,,piəʔ tsə,piəʔ5 tsə,piəʔ5 t͡sə,piəʔ t͡sə
HF,Hefei,54,脖子,脑颈把 ,,lɔ tɕin pa,lɔ24 tɕin24 pa53,lɔ24 t͡ɕin24 pa53,lɔ t͡ɕin pa
HF,Hefei,55,左手,左手 ,,tsʊ ʂɯ,tsʊ24 ʂɯ24,t͡sʊ24 ʂɯ24,t͡sʊ ʂɯ
HF,Hefei,56,右手,右手 ,,iɯ ʂɯ,iɯ53 ʂɯ24,iɯ53 ʂɯ24,iɯ ʂɯ
HF,Hefei,57,拳头,拳头 ,,tɕˈyɪ̃ tˈɯ,tɕˈyɪ̃55 tˈɯ,t͡ɕʰyɪ̃55 tʰɯ,t͡ɕʰyɪ̃ tʰɯ
HF,Hefei,58,手指头,拇爪头 ,,mu tʂɔ tˈɯ,mu24 tʂɔ24 tˈɯ55,mu24 tʂɔ24 tʰɯ55,mu tʂɔ tʰɯ
HF,Hefei,59,指甲,指甲盖,,tʂəʔ tɕiɐʔ kE,tʂəʔ52 tɕiɐʔ5 kE53,tʂəʔ52 t͡ɕiɐʔ5 kɤ53,tʂəʔ t͡ɕiɐʔ kɤ
