dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
KM,Kunmijng,1,谁啊?我是老三。,哪个?我是老三,,nA kə o ʂʅ lɔ sÃ,nA53 kə212 o53 ʂʅ212 lɔ53 sÃ44,nA53kə212o53ʂɻ̩212lɔ53sÃ44,nAkəoʂɻ̩lɔsÃ
KM,Kunmijng,2,老四呢?她正跟一个朋友说着话呢。,老四嘹?她在挨一个朋友讲着话,,lɔ sɿ næ tˈə tsæ æ i kə poŋ iəu tɕiÃ tʂə xuA,lɔ53 sɿ212 næ212 tˈə44 tsæ212 æ44 i31 kə212 poŋ31 iəu53 tɕiÃ53 tʂə44 xuA212,lɔ53sɹ̩212næ212tʰə44t͡sæ212æ44i31kə212poŋ31iəu53t͡ɕiÃ53tʂə44xuA212,lɔsɹ̩nætʰət͡sææikəpoŋiəut͡ɕiÃtʂəxuA
KM,Kunmijng,3,她还没说完吗?,她还冇说完□?,,tˈə xæ məu ʂo uÃ kæ,tˈə44 xæ31 məu53 ʂo31 uÃ31 kæ53,tʰə44xæ31məu53ʂo31uÃ31kæ53,tʰəxæməuʂouÃkæ
KM,Kunmijng,4,还没有。大概再有一会儿就说完了。,还冇。大概再讲一小下就完了,,xæ məu tA kˈæ tsæ tɕiÃ i ɕiɔ xA tɕiəu uÃ lə,xæ31 məu53 tA212 kˈæ212 tsæ212 tɕiÃ53 i31 ɕiɔ53 xA212 tɕiəu212 uÃ31 lə53,xæ31məu53tA212kʰæ212t͡sæ212t͡ɕiÃ53i31ɕiɔ53xA212t͡ɕiəu212uÃ31lə53,xæməutAkʰæt͡sæt͡ɕiÃiɕiɔxAt͡ɕiəuuÃlə
KM,Kunmijng,5,他说马上就走，怎么这半天了还在家里?,他说马上就走，咋个这半天了还在家首,,tˈə ʂo mA ʂÃ tsəu tsA kə tʂʅ pÃ tˈiɛ̃ lə xæ tsæ tɕiA ʂəu,tˈə44 ʂo31 mA53 ʂÃ212 tsəu53 tsA31 kə212 tʂʅ212 pÃ212 tˈiɛ̃44 lə53 xæ31 tsæ212 tɕiA44 ʂəu53,tʰə44ʂo31mA53ʂÃ212t͡səu53t͡sA31kə212tʂɻ̩212pÃ212tʰiɛ̃44lə53xæ31t͡sæ212t͡ɕiA44ʂəu53,tʰəʂomAʂÃt͡səut͡sAkətʂɻ̩pÃtʰiɛ̃ləxæt͡sæt͡ɕiAʂəu
KM,Kunmijng,6,你到哪儿去?我到城里去。,你去哪点儿?我去城首去,,ni kˈə nA tiə o kˈə tʂˈə̃ ʂəu kˈə,ni53 kˈə212 nA53 tiə31 o53 kˈə212 tʂˈə̃53 ʂəu44 kˈə212,ni53kʰə212nA53tiə31o53kʰə212tʂʰə̃53ʂəu44kʰə212,nikʰənAtiəokʰətʂʰə̃ʂəukʰə
KM,Kunmijng,7,在那儿，不在这儿。,在那点儿，不在这点儿,,tsæ nə tiə pu tsæ tʂʅ tiə,tsæ212 nə212 tiə31 pu31 tsæ212 tʂʅ212 tiə31,t͡sæ212nə212tiə31pu31t͡sæ212tʂɻ̩212tiə31,t͡sænətiəput͡sætʂɻ̩tiə
KM,Kunmijng,8,不是那么做，要这么做。,不仿那种整，要仿这种整,,pu fÃ nə tʂoŋ tʂə̃ iɔ fÃ tʂʅ tʂoŋ tʂə̃,pu31 fÃ53 nə212 tʂoŋ53 tʂə̃53 iɔ212 fÃ53 tʂʅ212 tʂoŋ53 tʂə̃53,pu31fÃ53nə212tʂoŋ53tʂə̃53iɔ212fÃ53tʂɻ̩212tʂoŋ53tʂə̃53,pufÃnətʂoŋtʂə̃iɔfÃtʂɻ̩tʂoŋtʂə̃
KM,Kunmijng,9,太多了，用不着那么多，只要这么多就够了。,太多了，不消那多，只要这些就够了,,tˈæ to lə  pu ɕiɔ nə to tʂʅ iɔ tʂʅ ɕiɛ tɕiəu kəu lə,tˈæ212 to44 lə53  pu31 ɕiɔ44 nə212 to44 tʂʅ53 iɔ212 tʂʅ212 ɕiɛ44 tɕiəu212 kəu212 lə53,tʰæ212to44lə53pu31ɕiɔ44nə212to44tʂɻ̩53iɔ212tʂɻ̩212ɕiɛ44t͡ɕiəu212kəu212lə53,tʰætoləpuɕiɔnətotʂɻ̩iɔtʂɻ̩ɕiɛt͡ɕiəukəulə
KM,Kunmijng,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪个好点儿,,tʂʅ kə tA nə kə xiɔ tʂʅ liÃ kə nA kə xɔ tiə,tʂʅ44 kə212 tA212 nə44 kə212 xiɔ53 tʂʅ212 liÃ53 kə212 nA53 kə212 xɔ53 tiə53,tʂɻ̩44kə212tA212nə44kə212xiɔ53tʂɻ̩212liÃ53kə212nA53kə212xɔ53tiə53,tʂɻ̩kətAnəkəxiɔtʂɻ̩liÃkənAkəxɔtiə
