dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
KM,Kunming,1,有一回,有一回,,iəu i xuei,iəu53 i31 xuei31,iəu53i31xuei31,iəuixuei
KM,Kunming,2,北风跟太阳在那儿争论谁的本事大,北风挨太阳在那点儿争论哪个呢本事大,,pə foŋ æ tˈæ iÃ tsæ nə tiə tsə̃ luə̃ nA kə nə pə̃ sɿ tA,pə31 foŋ44 æ44 tˈæ212 iÃ31 tsæ212 nə212 tiə31 tsə̃44 luə̃212 nA53 kə212 nə44 pə̃53 sɿ212 tA212,pə31foŋ44æ44tʰæ212iÃ31t͡sæ212nə212tiə31t͡sə̃44luə̃212nA53kə212nə44pə̃53sɹ̩212tA212,pəfoŋætʰæiÃt͡sænətiət͡sə̃luə̃nAkənəpə̃sɹ̩tA
KM,Kunming,3,争来争去就是分不出高低来,争来争去就是分不出个高低来,,tsə̃ læ tsə̃ kˈə tɕiəu ʂʅ fə̃ pu tʂˈu kə kɔ ti læ,tsə̃44 læ31 tsə̃44 kˈə212 tɕiəu212 ʂʅ212 fə̃44 pu31 tʂˈu31 kə212 kɔ44 ti44 læ31,t͡sə̃44læ31t͡sə̃44kʰə212t͡ɕiəu212ʂɻ̩212fə̃44pu31tʂʰu31kə212kɔ44ti44læ31,t͡sə̃læt͡sə̃kʰət͡ɕiəuʂɻ̩fə̃putʂʰukəkɔtilæ
KM,Kunming,4,这时候路上来了个走道儿的,这下子路上来了个过路呢,,tʂʅ xA tsɿ lu ʂÃ læ lə kə ko lu nə,tʂʅ44 xA212 tsɿ31 lu212 ʂÃ212 læ31 lə53 kə212 ko212 lu212 nə44,tʂɻ̩44xA212t͡sɹ̩31lu212ʂÃ212læ31lə53kə212ko212lu212nə44,tʂɻ̩xAt͡sɹ̩luʂÃlæləkəkolunə
KM,Kunming,5,他身上穿着件厚大衣,他身上穿嘚件厚厚呢大衣,,tˈə ʂə̃ ʂÃ tʂˈuÃ tə tɕiɛ xəu xəu nə tA i,tˈə44 ʂə̃44 ʂÃ212 tʂˈuÃ44 tə44 tɕiɛ212 xəu212 xəu212 nə44 tA212 i44,tʰə44ʂə̃44ʂÃ212tʂʰuÃ44tə44t͡ɕiɛ212xəu212xəu212nə44tA212i44,tʰəʂə̃ʂÃtʂʰuÃtət͡ɕiɛxəuxəunətAi
KM,Kunming,6,他们俩就说好了,他们两个就扳好嘚,,tˈə mə̃ liÃ kə tɕˈiɛ̃ tɕiəu pÃ xɔ tə,tˈə44 mə̃44 liÃ53 kə212 tɕˈiɛ̃31-44 tɕiəu212 pÃ53 xɔ53 tə212,tʰə44mə̃44liÃ53kə212t͡ɕʰiɛ̃31-44t͡ɕiəu212pÃ53xɔ53tə212,tʰəmə̃liÃkət͡ɕʰiɛ̃t͡ɕiəupÃxɔtə
KM,Kunming,7,谁能先叫这个走道儿的脱下他的厚大衣,哪个前喊这个过路呢脱下他呢厚大衣,,nA kə tɕˈiɛ̃ xÃ tʂʅ kə ko lu nə tˈo ɕiA tˈə nə xəu tA i,nA53 kə212 tɕˈiɛ̃31-44 xÃ53 tʂʅ44 kə212 ko212 lu212 nə44 tˈo31 ɕiA212 tˈə44 nə44 xəu212 tA212 i44,nA53kə212t͡ɕʰiɛ̃31-44xÃ53tʂɻ̩44kə212ko212lu212nə44tʰo31ɕiA212tʰə44nə44xəu212tA212i44,nAkət͡ɕʰiɛ̃xÃtʂɻ̩kəkolunətʰoɕiAtʰənəxəutAi
KM,Kunming,8,就算谁的本事大,就算哪个呢本事大,,tɕiəu suÃ nA kə nə pə̃ sɿ tA,tɕiəu212 suÃ212 nA53 kə212 nə44 pə̃53 sɿ212 tA212,t͡ɕiəu212suÃ212nA53kə212nə44pə̃53sɹ̩212tA212,t͡ɕiəusuÃnAkənəpə̃sɹ̩tA
KM,Kunming,9,北风就使劲儿地刮起来了,北风就使力呢刮起来,,pə foŋ tɕiəu ʂʅ li nə kuA tɕˈi læ,pə31 foŋ44 tɕiəu212 ʂʅ53 li31 nə44 kuA31 tɕˈi53 læ31,pə31foŋ44t͡ɕiəu212ʂɻ̩53li31nə44kuA31t͡ɕʰi53læ31,pəfoŋt͡ɕiəuʂɻ̩linəkuAt͡ɕʰilæ
KM,Kunming,10,不过他越是刮得厉害,不过他越发刮呢厉害,,pu ko tˈə iɛ fA kuA nə li xæ,pu31 ko212 tˈə44 iɛ31 fA31-44 kuA nə44 li212 xæ212,pu31ko212tʰə44iɛ31fA31-44kuAnə44li212xæ212,pukotʰəiɛfAkuAnəlixæ
KM,Kunming,11,那个走道儿的把大衣裹得越紧,那个过路呢挨大衣裹呢越发紧,,nə kə ko lu nə æ tA i ko nə iɛ fA tɕĩ,nə212 kə212 ko212 lu212 nə44 æ44 tA212 i44 ko53 nə44 iɛ31 fA44 tɕĩ53,nə212kə212ko212lu212nə44æ44tA212i44ko53nə44iɛ31fA44t͡ɕĩ53,nəkəkolunəætAikonəiɛfAt͡ɕĩ
KM,Kunming,12,后来北风没法儿了,后首北风冇得办法,,xəu ʂəu pə foŋ məu tə pÃ fA,xəu212 ʂəu53 pə31 foŋ44 məu53 tə31 pÃ212 fA31,xəu212ʂəu53pə31foŋ44məu53tə31pÃ212fA31,xəuʂəupəfoŋməutəpÃfA
KM,Kunming,13,只好就算了,只好算了,,tʂʅ xɔ suÃ lə,tʂʅ53 xɔ53 suÃ212 lə212,tʂɻ̩53xɔ53suÃ212lə212,tʂɻ̩xɔsuÃlə
KM,Kunming,14,过了一会儿,过了一小下,,ko lə i ɕiɔ xA,ko212 lə53 i31 ɕiɔ53 xA212,ko212lə53i31ɕiɔ53xA212,koləiɕiɔxA
KM,Kunming,15,太阳出来了,太阳出来了,,tˈæ iÃ tʂˈu læ lə,tˈæ212 iÃ31 tʂˈu31 læ31 lə53,tʰæ212iÃ31tʂʰu31læ31lə53,tʰæiÃtʂʰulælə
KM,Kunming,16,他火辣辣地一晒,他火辣辣呢晒了一下,,tˈə xo lA lA nə ʂæ lə i xA,tˈə44 xo53 lA31 lA31 nə44 ʂæ212 lə53 i31 xA212,tʰə44xo53lA31lA31nə44ʂæ212lə53i31xA212,tʰəxolAlAnəʂæləixA
KM,Kunming,17,那个走道儿的马上就把那件厚大衣脱下来了,那个过路呢马上就挨那件厚大衣脱下来了,,nə kə ko lu nə mA ʂÃ tɕiəu æ nə tɕiɛ̃ xəu tA i tˈo ɕiA læ lə,nə44 kə212 ko212 lu212 nə44 mA53 ʂÃ212 tɕiəu212 æ44 nə212 tɕiɛ̃212 xəu212 tA212 i44 tˈo31 ɕiA212 læ31 lə53,nə44kə212ko212lu212nə44mA53ʂÃ212t͡ɕiəu212æ44nə212t͡ɕiɛ̃212xəu212tA212i44tʰo31ɕiA212læ31lə53,nəkəkolunəmAʂÃt͡ɕiəuænət͡ɕiɛ̃xəutAitʰoɕiAlælə
KM,Kunming,18,这下北风只好承认,这下子北风只得承认,,tʂʅ xA tsɿ pə foŋ tʂʅ tə tʂˈə̃ ʐə̃,tʂʅ44 xA212 tsɿ53 pə31 foŋ44 tʂʅ53 tə31 tʂˈə̃31 ʐə̃212,tʂɻ̩44xA212t͡sɹ̩53pə31foŋ44tʂɻ̩53tə31tʂʰə̃31ʐə̃212,tʂɻ̩xAt͡sɹ̩pəfoŋtʂɻ̩tətʂʰə̃ʐə̃
KM,Kunming,19,他们俩当中还是太阳的本事大,他们两个当中还是太阳呢本事大,,tˈə mə̃ liÃ kə tÃ tʂoŋ xæ ʂʅ tˈæ iÃ nə pə̃ sɿ tA,tˈə44 mə̃44 liÃ53 kə212 tÃ44 tʂoŋ44 xæ31 ʂʅ212 tˈæ212 iÃ31 nə44 pə̃53 sɿ212 tA212,tʰə44mə̃44liÃ53kə212tÃ44tʂoŋ44xæ31ʂɻ̩212tʰæ212iÃ31nə44pə̃53sɹ̩212tA212,tʰəmə̃liÃkətÃtʂoŋxæʂɻ̩tʰæiÃnəpə̃sɹ̩tA
