dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
KM,Kunming,1,太阳,太阳,,tˈæ iÃ,tˈæ212 iÃ31,tʰæ212iÃ31,tʰæiÃ
KM,Kunming,2,月亮,月亮,,iɛ liÃ,iɛ31 liÃ212,iɛ31liÃ212,iɛliÃ
KM,Kunming,3,星星,星宿,,ɕĩ ɕiəu,ɕĩ44 ɕiəu212,ɕĩ44ɕiəu212,ɕĩɕiəu
KM,Kunming,4,打雷,升雷,,ʂə̃ luei,ʂə̃44 luei31,ʂə̃44luei31,ʂə̃luei
KM,Kunming,5,闪电,扯闪,,tʂˈə ʂÃ,tʂˈə53 ʂÃ53,tʂʰə53ʂÃ53,tʂʰəʂÃ
KM,Kunming,6,下雨,下雨,,ɕiA i,ɕiA212 i53,ɕiA212i53,ɕiAi
KM,Kunming,7,下雪,下雪,,ɕiA ɕiɛ,ɕiA212 ɕiɛ31,ɕiA212ɕiɛ31,ɕiAɕiɛ
KM,Kunming,8,冰雹,冰雹,,pĩ pɔ,pĩ44 pɔ212,pĩ44pɔ212,pĩpɔ
KM,Kunming,9,结冰,结冰,,tɕiɛ pĩ,tɕiɛ31 pĩ44,t͡ɕiɛ31pĩ44,t͡ɕiɛpĩ
KM,Kunming,10,刮风,刮风,,kuA foŋ,kuA31 foŋ44,kuA31foŋ44,kuAfoŋ
KM,Kunming,11,虹,虹,,kÃ,kÃ,kÃ,kÃ
KM,Kunming,12,端午节,五月端午,,u iɛ tuÃ u,u53 iɛ31-44 tuÃ44 u53,u53iɛ31-44tuÃ44u53,uiɛtuÃu
KM,Kunming,13,中秋节,中秋节,,tʂoŋ tɕˈiəu tɕiɛ,tʂoŋ44 tɕˈiəu44 tɕiɛ31,tʂoŋ44t͡ɕʰiəu44t͡ɕiɛ31,tʂoŋt͡ɕʰiəut͡ɕiɛ
KM,Kunming,14,除夕,三十晚辰,,sÃ ʂʅ uÃ ʂə̃,sÃ44 ʂʅ31 uÃ53 ʂə̃31-44,sÃ44ʂɻ̩31uÃ53ʂə̃31-44,sÃʂɻ̩uÃʂə̃
KM,Kunming,15,今年,今年,,tɕĩ niɛ̃,tɕĩ44 niɛ̃31-44,t͡ɕĩ44niɛ̃31-44,t͡ɕĩniɛ̃
KM,Kunming,16,明年,明儿年 ,,mĩ ə niɛ̃,mĩ31 ə31 niɛ̃31,mĩ31ə31niɛ̃31,mĩəniɛ̃
KM,Kunming,17,去年,去年,,tɕˈi niɛ̃,tɕˈi212 niɛ̃31-44,t͡ɕʰi212niɛ̃31-44,t͡ɕʰiniɛ̃
KM,Kunming,18,明天,明儿日,,mĩ ə ʐʅ,mĩ31 ə31 ʐʅ31-44,mĩ31ə31ʐɻ̩31-44,mĩəʐɻ̩
KM,Kunming,19,昨天,昨日,,tso ʐʅ,tso31 ʐʅ31-44,t͡so31ʐɻ̩31-44,t͡soʐɻ̩
KM,Kunming,20,今天,今儿日,,tɕĩ ə ʐʅ,tɕĩ44 ə31 ʐʅ31,t͡ɕĩ44ə31ʐɻ̩31,t͡ɕĩəʐɻ̩
KM,Kunming,21,星期天,星期,,ɕĩ tɕˈi,ɕĩ44 tɕˈi44,ɕĩ44t͡ɕʰi44,ɕĩt͡ɕʰi
KM,Kunming,22,麦子,麦子,,mə tsɿ,mə31 tsɿ53,mə31t͡sɹ̩53,mət͡sɹ̩
KM,Kunming,23,大米,米,,mi,mi53,mi53,mi
KM,Kunming,24,蚕豆,蚕豆,,tsˈÃ təu,tsˈÃ31 təu212,t͡sʰÃ31təu212,t͡sʰÃtəu
KM,Kunming,25,向日葵,朝阳饼,,tʂˈɔ iÃ pĩ,tʂˈɔ31 iÃ31 pĩ53,tʂʰɔ31iÃ31pĩ53,tʂʰɔiÃpĩ
KM,Kunming,26,菠菜,菠菜,,po tsˈæ,po44 tsˈæ212,po44t͡sʰæ212,pot͡sʰæ
KM,Kunming,27,卷心菜,莲花白,,liɛ̃ xuA pə,liɛ̃31 xuA44 pə31,liɛ̃31xuA44pə31,liɛ̃xuApə
