dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
LZ,Lanzhou,1,谁啊?我是老三。,谁吵?我是老三,,fei ʂa və ʂʅ lɔ sɛ̃n,fei53 ʂa21 və442 ʂʅ13 lɔ442 sɛ̃n31,fei ʂa və ʂɻ̩ lɔ sɛ̃n,fei53 ʂa21 və442 ʂɻ̩13 lɔ442 sɛ̃n31
LZ,Lanzhou,2,老四呢?她正跟一个朋友说着话呢。,老四崃?她正连一个朋友说话着哩,,lɔ ʂʅ lɛ tˈa tʂə̃n liɛ̃n i kə pə̃n iou fə xua tʂə li,lɔ442 ʂʅ13-11 lɛ53 tˈa31 tʂə̃n13 liɛ̃n53 i13-22 kə13 pə̃n53 iou13 fə13-22 xua13-11 tʂə53 li21,lɔ ʂɻ̩ lɛ tʰa tʂə̃n liɛ̃n i kə pə̃n iou fə xua tʂə li,lɔ442 ʂɻ̩13-11 lɛ53 tʰa31 tʂə̃n13 liɛ̃n53 i13-22 kə13 pə̃n53 iou13 fə13-22 xua13-11 tʂə53 li21
LZ,Lanzhou,3,她还没说完吗?,她还没说罢吗,,tˈa xɛ̃n m̩ iou fə pa ma,tˈa31 xɛ̃n53 m̩13-11 iou442 fə13-22 pa13-11 ma53,tʰa xɛ̃n m̩ iou fə pa ma,tʰa31 xɛ̃n53 m̩13-11 iou442 fə13-22 pa13-11 ma53
LZ,Lanzhou,4,还没有。大概再有一会儿就说完了。,还没有。哈巴还得一会儿就说完了,,xɛ̃n m̩ iou xa pa xɛ̃n tə i xuei ɯ tɕiou fə vɛ̃n lɔ,xɛ̃n53 m̩13-11 iou442 xa21 pa21 xɛ̃n53 tə13 i13-22 xuei13-11 ɯ21 tɕiou13 fə13-11 vɛ̃n53 lɔ21,xɛ̃n m̩ iou xa pa xɛ̃n tə i xuei ɯ t͡ɕiou fə vɛ̃n lɔ,xɛ̃n53 m̩13-11 iou442 xa21 pa21 xɛ̃n53 tə13 i13-22 xuei13-11 ɯ21 t͡ɕiou13 fə13-11 vɛ̃n53 lɔ21
LZ,Lanzhou,5,他说马上就走，怎么这半天了还在家里?,他说马上就走呢，这么半天了怎么还在屋里哩唦?,,tˈa fə ma ʂɑ̃ tɕiou tsou li tʂʅ mə̃n pɛ̃ tˈiɛ̃n lɔ tsə̃n mə xɛ̃n tsɛ vu li li ʂa,tˈa442 fə13 ma442 ʂɑ̃21 tɕiou13-11 tsou442 li21 tʂʅ13-11 mə̃n53 pɛ̃13-11 tˈiɛ̃n31 lɔ21 tsə̃n442 mə21 xɛ̃n53 tsɛ13 vu13-11 li13 li53 ʂa21,tʰa fə ma ʂɑ̃ t͡ɕiou t͡sou li tʂɻ̩ mə̃n pɛ̃ tʰiɛ̃n lɔ t͡sə̃n mə xɛ̃n t͡sɛ vu li li ʂa,tʰa442 fə13 ma442 ʂɑ̃21 t͡ɕiou13-11 t͡sou442 li21 tʂɻ̩13-11 mə̃n53 pɛ̃13-11 tʰiɛ̃n31 lɔ21 t͡sə̃n442 mə21 xɛ̃n53 t͡sɛ13 vu13-11 li13 li53 ʂa21
LZ,Lanzhou,6,你到哪儿去?我到城里去。,你哪里去哩?我进城去哩,,ȵi la li tɕˈi li və tɕĩn tʂˈə̃n tɕˈi li,ȵi442 la42 li21 tɕˈi13-11 li53 və442 tɕĩn13-11 tʂˈə̃n53 tɕˈi13-11 li53,ɲi la li t͡ɕʰi li və t͡ɕĩn tʂʰə̃n t͡ɕʰi li,ɲi442 la42 li21 t͡ɕʰi13-11 li53 və442 t͡ɕĩn13-11 tʂʰə̃n53 t͡ɕʰi13-11 li53
LZ,Lanzhou,7,在那儿，不在这儿。,在那搭呢，没有在这搭。,,tsɛ lɛ ta li m̩ iou tsɜ tʂʅ ta,tsɛ13 lɛ13-11 ta53 li21 m̩13-11 iou442 tsɜ13 tʂʅ13-11 ta53,t͡sɛ lɛ ta li m̩ iou t͡sɜ tʂɻ̩ ta,t͡sɛ13 lɛ13-11 ta53 li21 m̩13-11 iou442 t͡sɜ13 tʂɻ̩13-11 ta53
LZ,Lanzhou,8,不是那么做，要这么做。,不是那么的个做法，这么做着哩,,pu ʂʅ lɛ mə̃n ti kə tsu fa tʂʅ mə̃n tsu tʂə li,pu13-22 ʂʅ13 lɛ13-11 mə̃n53 ti21 kə21 tsu13-11 fa13 tʂʅ13-11 mə̃n53 tsu13-11 tʂə53 li21,pu ʂɻ̩ lɛ mə̃n ti kə t͡su fa tʂɻ̩ mə̃n t͡su tʂə li,pu13-22 ʂɻ̩13 lɛ13-11 mə̃n53 ti21 kə21 t͡su13-11 fa13 tʂɻ̩13-11 mə̃n53 t͡su13-11 tʂə53 li21
LZ,Lanzhou,9,太多了，用不着那么多，只要这么多就够了。,太多了，用不上那么些子，这么些就够了。,,tˈɛ tuə lɔ ỹn pu ʂɑ̃ lɛ mə̃n ɕiə tsɿ tsʅ mə̃n ɕiə tɕiou kou lɔ,tˈɛ13-11 tuə31 lɔ21 ỹn13-22 pu13-22 ʂɑ̃13 lɛ13-11 mə̃n53 ɕiə21 tsɿ21 tsʅ13-11 mə̃n53 ɕiə21 tɕiou13 kou13-11 lɔ53,tʰɛ tuə lɔ ỹn pu ʂɑ̃ lɛ mə̃n ɕiə t͡sɹ̩ t͡sɻ̩ mə̃n ɕiə t͡ɕiou kou lɔ,tʰɛ13-11 tuə31 lɔ21 ỹn13-22 pu13-22 ʂɑ̃13 lɛ13-11 mə̃n53 ɕiə21 t͡sɹ̩21 t͡sɻ̩13-11 mə̃n53 ɕiə21 t͡ɕiou13 kou13-11 lɔ53
LZ,Lanzhou,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个尕，这两个哪个好些唦?,,tʂʅ kə ta lɛ kə ka tʂʅ liɑ̃ kə la kə xɔ ɕiə ʂa,tʂʅ13-11 kə53 ta13 lɛ13-11 kə53 ka442 tʂʅ13-11 liɑ̃442 kə21 la442 kə21 xɔ442 ɕiə21 ʂa21,tʂɻ̩ kə ta lɛ kə ka tʂɻ̩ liɑ̃ kə la kə xɔ ɕiə ʂa,tʂɻ̩13-11 kə53 ta13 lɛ13-11 kə53 ka442 tʂɻ̩13-11 liɑ̃442 kə21 la442 kə21 xɔ442 ɕiə21 ʂa21
